This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19900702   1.02   1.21   1.40   1.10   0.80   0.59
19900703   0.54   0.70   1.01  -0.12   0.20   0.01
19900704   1.69   2.06   2.13   1.32   1.60   1.40
19900705  -0.48  -0.07   0.00  -0.69  -0.86  -0.42
19900706   0.37   0.34   0.32  -0.32  -0.22   0.36
19900709   0.05   0.92   0.57  -0.29  -0.11   0.07
19900710   1.62   1.03   1.24   0.90   0.83   0.94
19900711  -0.33  -0.26   0.20   0.41   0.39  -0.09
19900712   0.62   0.46   0.48   0.21   0.01   0.26
19900713   1.57   1.05   1.04   1.19   1.64   1.32
19900716   0.29   0.08   0.77   0.70   0.83   1.54
19900717   0.38  -0.01   0.14   0.19   0.13  -0.35
19900718   1.25   1.27   1.05   0.22   0.30   0.18
19900719  -0.53  -0.60  -0.70  -0.51  -0.66  -1.13
19900720  -1.45  -1.26  -1.33  -2.15  -1.69  -1.53
19900723  -1.14  -0.95  -0.67  -1.18  -1.10  -0.81
19900724  -0.84  -1.14  -1.02  -0.81  -1.04  -1.23
19900725  -0.22   0.34   0.05  -0.52  -0.38   0.16
19900726  -1.11  -1.14  -0.59  -1.53  -1.55  -1.00
19900727  -1.65  -0.90  -0.61  -2.13  -1.36  -1.09
19900730  -0.26  -0.26   0.13   0.03  -0.20   0.12
19900731   2.77   2.65   3.08   2.89   2.67   2.28
19900801  -1.04  -0.26  -0.74  -0.85  -1.09  -1.12
19900802  -3.02  -2.81  -2.72  -2.46  -3.09  -3.11
19900803  -1.67  -1.74  -1.72  -1.57  -2.21  -2.61
19900806  -3.99  -4.43  -4.31  -3.03  -3.47  -3.91
19900807  -3.86  -4.38  -4.37  -1.92  -2.37  -3.02
19900808   1.07   1.38   1.21   1.69   2.62   2.94
19900809  -0.01   0.70   0.40  -1.03  -1.55  -1.14
19900810  -1.08  -0.59  -0.53  -0.86  -0.79  -0.81
19900813  -4.32  -3.93  -3.23  -2.56  -3.12  -3.63
19900814   0.25   0.27   0.07   1.92   1.84   2.12
19900815   4.60   4.32   4.78   4.50   5.39   6.29
19900816  -0.20  -0.40  -0.79  -1.74  -2.36  -2.28
19900817  -1.30  -1.16  -0.97  -1.04  -0.94  -1.40
19900820  -0.60  -0.74  -0.16   0.15  -0.04  -0.12
19900821  -0.14  -0.47  -0.63  -0.30  -0.15  -1.03
19900822  -2.92  -3.77  -3.61  -3.18  -3.08  -2.67
19900823  -5.58  -5.56  -5.38  -6.72  -6.01  -5.47
19900824  -3.71  -3.02  -3.24   1.00   0.77   1.52
19900827   2.99   2.84   2.13   4.59   4.75   5.12
19900828   4.05   3.91   4.08   2.73   3.03   3.05
19900829  -0.32   0.28   0.05  -2.25  -1.88  -2.09
19900830   1.32   1.55   1.15   0.96   2.02   2.79
19900831   2.42   2.33   2.63   1.95   0.90   0.32
19900903   0.20   0.85   0.38  -1.17  -1.36  -0.95
19900904  -1.97  -1.89  -2.06  -1.62  -1.72  -2.33
19900905  -1.91  -1.85  -1.95  -1.15  -1.34  -1.51
19900906  -0.95  -1.02  -1.06  -0.03  -0.38  -0.22
19900907  -0.37  -0.94  -0.41   0.47   0.65   1.21
19900910   3.56   3.29   2.78   3.43   3.95   3.66
19900911  -0.34  -0.73  -0.22  -1.73  -1.52  -1.69
19900912   3.24   3.24   2.64   3.10   3.49   2.94
19900913   1.17   0.77   0.68   0.20   0.30  -0.13
19900914   0.19  -0.38   0.04  -0.16  -0.52  -0.68
19900917  -1.31  -1.71  -1.21  -1.97  -2.14  -2.04
19900918  -2.46  -3.17  -2.39  -2.88  -2.69  -2.14
19900919  -0.38  -0.10  -0.79  -1.16  -0.85  -0.74
19900920  -1.46  -1.03  -0.90  -1.53  -1.39  -0.69
19900921  -0.74  -1.15  -1.21  -0.07  -0.25   1.03
19900924   0.59   0.59   0.59   0.59   0.59   0.59
19900925  -2.14  -2.41  -2.10  -4.17  -3.18  -3.50
19900926  -3.00  -3.24  -2.83  -4.08  -4.03  -4.02
19900927  -4.02  -3.62  -4.30  -2.65  -2.51  -2.63
19900928  -3.28  -3.09  -3.55  -2.54  -2.66  -3.00
19901001  -3.12  -2.80  -2.85  -2.16  -2.51  -0.46
19901002   0.43  -0.19   1.13   8.04   9.99  10.59
19901003   3.77   3.48   3.12   1.15   0.48   0.68
19901004   1.01   2.16   2.25   0.40   0.15   0.89
19901005   4.22   4.02   3.71   2.95   3.17   2.36
19901008   4.06   4.05   3.89   4.63   4.73   3.15
19901009   2.23   1.62   1.45   0.39  -0.02  -0.23
19901010   0.28   0.28   0.28   0.28   0.28   0.28
19901011  -2.35  -2.54  -1.96  -3.37  -3.23  -3.20
19901012  -0.54  -0.72   0.14   0.32   0.70   0.61
19901015   1.23   2.27   0.96   3.23   3.38   1.98
19901016   1.73   2.32   2.11   1.93   2.39   2.42
19901017   2.42   2.90   2.28   3.31   3.06   1.94
19901018   1.63   2.11   1.08   2.95   2.08  -0.01
19901019   2.08   1.19   1.36   1.90   0.89   0.99
19901022   2.94   2.25   2.12   2.83   1.93   1.75
19901023  -0.30  -0.42  -0.30  -0.72  -1.40  -0.64
19901024  -0.93  -0.26  -0.41  -1.39  -1.32  -1.41
19901025   3.62   3.91   3.68   3.74   2.47   2.27
19901026  -0.81  -0.51  -0.49  -1.90  -1.67  -1.44
19901029   1.26   1.59   1.05   0.49   0.49   0.51
19901030  -0.79  -0.81  -0.89  -1.04  -1.10  -1.21
19901031  -0.17  -0.47  -0.13  -1.16  -1.27  -1.09
19901101  -3.97  -3.86  -4.07  -4.22  -3.58  -3.24
19901102  -0.01  -0.21   0.11   1.92   0.94   0.82
19901105   2.81   2.83   2.86   2.44   2.24   1.77
19901106  -1.96  -1.63  -1.59  -1.32  -1.52  -2.03
19901107  -1.81  -1.72  -1.47  -2.31  -2.32  -2.11
19901108  -3.85  -3.74  -3.37  -3.58  -2.75  -2.96
19901109  -1.84  -1.64  -1.87  -0.61  -0.85  -0.34
19901112   0.68   0.68   0.68   0.68   0.68   0.68
19901113   2.76   3.04   2.48   3.25   3.41   2.84
19901114   0.90   0.68   0.70   0.34  -0.35  -0.72
19901115  -0.97  -0.79  -0.37  -1.54  -1.20  -0.83
19901116  -1.85  -1.31  -1.44  -1.60  -1.60  -1.49
19901119   1.06   0.57   0.51   1.84   1.55   1.35
19901120  -1.43  -1.17  -0.97  -1.46  -0.97  -1.28
19901121  -1.29  -1.17  -1.17  -1.08  -0.72  -1.08
19901122   1.47   1.72   1.40   2.74   2.95   2.21
19901123  -0.02  -0.02  -0.02  -0.02  -0.02  -0.02
19901126  -0.51  -0.39  -0.71  -0.33   0.51  -0.57
19901127  -0.33  -0.56  -0.37  -0.38  -0.50   0.00
19901128  -3.74  -3.08  -3.13  -3.09  -3.35  -3.31
19901129  -4.43  -4.69  -5.38  -3.71  -3.74  -3.70
19901130  -2.87  -3.27  -2.46  -1.20  -1.41  -1.26
19901203  -0.06   0.28  -0.02   0.10   0.18   0.22
19901204  -2.97  -2.99  -2.84  -2.58  -2.57  -2.75
19901205  -1.97  -1.56  -1.19   0.71   1.16   0.56
19901206   1.77   1.89   2.44   3.78   3.43   3.00
19901207   5.18   4.94   4.80   5.86   5.28   5.23
19901210   2.01   1.74   1.47   0.62   0.18  -0.03
19901211   1.13   0.74   0.60   0.58   0.88   0.44
19901212   1.53   1.12   0.55   1.07   0.57   0.14
19901213   1.35   1.00   0.42   1.70   1.80   1.75
19901214  -0.56  -0.99  -1.05  -0.85  -1.47  -1.72
19901217  -1.11  -1.09  -1.36  -1.64  -1.36  -1.38
19901218  -0.74  -0.40  -0.36   0.76   0.74   0.68
19901219   0.06   0.19  -0.08   1.41   1.06   0.35
19901220  -2.17  -2.39  -1.83  -2.08  -2.06  -1.91
19901221  -2.26  -2.07  -2.64  -2.17  -2.34  -2.03
19901224  -0.33  -0.33  -0.33  -0.33  -0.33  -0.33
19901225  -1.99  -1.79  -1.28  -2.21  -2.09  -2.35
19901226  -0.67  -1.02  -0.81   0.25   0.30   0.13
19901227   0.54   0.09   0.20   0.62   0.37  -0.02
19901228   0.15   0.16   0.47   0.64   0.62   0.57
19901231  -0.46  -0.46  -0.46  -0.46  -0.46  -0.46
19910101   0.46   0.46   0.46   0.46   0.46   0.46
19910102   0.39   0.39   0.39   0.39   0.39   0.39
19910103   1.17   1.16   1.14   1.16   1.19   1.17
19910104  -1.54  -1.90  -1.58  -0.71  -0.97  -2.04
19910107  -2.05  -1.70  -2.08  -2.46  -2.21  -1.58
19910108  -2.67  -2.56  -1.42  -2.92  -2.38  -2.02
19910109   0.75   0.98   0.58   1.16   1.65   1.92
19910110  -1.45  -1.15  -0.94   0.30   0.04  -0.15
19910111   0.30   1.00   0.72   0.83   1.11   1.27
19910114  -1.21  -1.12  -0.94  -0.18  -0.73  -0.32
19910115  -0.63  -0.65  -0.63  -0.63  -0.63  -0.63
19910116  -3.80  -3.46  -3.34  -3.56  -3.03  -3.38
19910117   4.44   4.28   4.20   6.89   6.67   6.63
19910118   2.32   1.57   1.29   1.78   1.38   1.08
19910121  -0.96  -0.90  -0.88  -1.16  -0.99  -1.38
19910122  -0.56  -0.68  -0.40   0.61   0.25  -0.16
19910123  -2.83  -2.53  -2.18  -1.36  -1.42  -1.62
19910124   0.10  -0.18  -0.34   1.69   1.14   0.71
19910125   0.35   0.55   0.56   1.87   0.96   0.74
19910128   0.06   0.30   0.19  -0.08  -0.11  -0.04
19910129   0.18   0.66   0.62   0.20   0.13   0.61
19910130   0.19   0.48   0.17  -0.63  -0.54  -0.12
19910131   0.20   0.32   0.33   0.17   0.00   0.06
19910201  -0.44  -0.84  -0.66  -0.90  -0.44  -0.41
19910204   1.81   1.23   0.91   0.96   0.87   0.89
19910205   3.72   3.89   3.95   2.78   2.98   3.56
19910206   2.96   2.93   2.82   2.57   2.48   1.60
19910207   1.45   1.31   1.14   0.82   1.45   0.81
19910208   2.37   2.38   1.82   0.59   1.09   1.03
19910211   0.14   0.14   0.14   0.14   0.14   0.14
19910212   3.43   3.07   3.00   2.84   3.04   2.50
19910213   2.13   1.36   1.45   0.03   0.27  -0.06
19910214   2.94   1.85   0.76  -0.06   0.31   0.83
19910215  -0.91  -0.11  -0.59  -1.00  -1.06   0.77
19910218   4.02   4.55   3.96   2.82   3.14   3.69
19910219   0.21  -0.13   0.09  -0.84  -0.76  -1.05
