This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Developed_ex_US.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199604   ,6.53   ,5.37   ,4.54   ,4.00   ,2.68   ,4.07
199605   ,0.17   ,0.21   ,1.65  ,-2.17  ,-0.35  ,-1.11
199606  ,-2.04  ,-0.19  ,-0.21  ,-0.72   ,0.67   ,0.48
199607  ,-4.23  ,-3.24  ,-2.51  ,-4.24  ,-2.64  ,-2.82
199608   ,1.02   ,0.29   ,1.18  ,-1.12   ,0.36   ,0.27
199609  ,-0.78  ,-0.27   ,0.06   ,2.49   ,2.55   ,2.73
199610  ,-0.28   ,0.11   ,1.50  ,-3.43  ,-0.01  ,-1.57
199611   ,1.78   ,1.33   ,1.31   ,2.38   ,3.72   ,4.26
199612  ,-2.32  ,-1.95  ,-1.02  ,-4.93  ,-0.50  ,-0.26
199701  ,-1.01  ,-1.88  ,-1.29  ,-7.12  ,-2.87  ,-2.51
199702   ,2.00   ,1.17   ,0.75   ,2.17   ,0.85   ,1.10
199703  ,-2.40  ,-1.75  ,-1.20  ,-2.25  ,-0.17   ,0.45
199704  ,-2.05  ,-1.50  ,-1.37  ,-0.68   ,1.17   ,1.38
199705   ,7.04   ,7.78   ,6.59   ,9.51   ,7.47   ,7.92
199706   ,0.64   ,2.55   ,1.44   ,5.55   ,4.72   ,4.28
199707  ,-3.82  ,-3.49  ,-2.27  ,-1.39   ,2.80   ,2.00
199708  ,-2.18  ,-3.70  ,-2.09  ,-5.98  ,-7.58  ,-6.89
199709  ,-1.47   ,0.20   ,1.93   ,2.94   ,7.12   ,5.56
199710  ,-5.13  ,-3.98  ,-4.04  ,-9.85  ,-7.02  ,-5.70
199711  ,-8.45  ,-6.21  ,-5.20  ,-3.19  ,-0.91  ,-1.28
199712  ,-4.51  ,-3.81  ,-3.13  ,-1.00   ,0.80  ,-0.14
199801   ,5.85   ,3.95   ,3.47   ,6.03   ,3.06   ,4.72
199802   ,7.81   ,6.22   ,7.04   ,8.70   ,6.29   ,4.97
199803   ,3.50   ,2.86   ,4.90   ,0.72   ,4.24   ,2.99
199804   ,0.62   ,1.32   ,2.38  ,-0.20   ,0.41   ,2.30
199805  ,-0.19   ,0.20   ,1.93  ,-0.90   ,0.59  ,-0.54
199806  ,-3.59  ,-3.33  ,-2.41  ,-1.13  ,-0.68   ,0.95
199807  ,-2.69  ,-2.01  ,-1.11   ,1.18  ,-0.03   ,1.70
199808 ,-11.89 ,-10.44 ,-11.26 ,-14.57 ,-11.37 ,-10.38
199809  ,-1.88  ,-2.03  ,-2.91  ,-4.28  ,-2.64  ,-3.16
199810   ,7.44   ,6.94   ,5.67  ,12.91  ,10.11   ,8.51
199811   ,4.29   ,4.09   ,3.46   ,5.57   ,4.10   ,4.20
199812  ,-0.05   ,1.49   ,2.01   ,1.48   ,3.19   ,3.89
199901   ,0.62  ,-0.01   ,1.49   ,0.53  ,-1.64   ,2.61
199902  ,-1.00  ,-1.31   ,1.24  ,-3.50  ,-2.52  ,-1.29
199903   ,6.89   ,5.06   ,3.19   ,4.84   ,4.54   ,3.55
199904   ,9.07   ,8.13   ,7.46   ,4.85   ,5.22   ,3.61
199905  ,-1.05  ,-1.11  ,-0.72  ,-5.61  ,-4.21  ,-3.28
199906   ,8.32   ,8.62   ,8.68   ,3.25   ,4.19   ,5.65
199907   ,4.72   ,4.08   ,3.90   ,3.00   ,3.56   ,3.55
199908   ,3.74   ,3.65   ,3.87   ,3.88   ,0.83   ,1.22
199909   ,2.15   ,2.06   ,2.18   ,3.40   ,0.57   ,3.09
199910   ,0.18  ,-0.56   ,0.34   ,1.65   ,3.45   ,5.42
199911   ,1.25   ,0.31   ,2.41   ,1.28   ,2.89   ,9.84
199912   ,1.50   ,1.38   ,4.81   ,4.50   ,8.05  ,10.76
200001   ,1.64  ,-1.68   ,1.96  ,-4.75  ,-8.05  ,-5.96
200002   ,6.33   ,2.14   ,7.53   ,2.49   ,1.74   ,5.34
200003  ,-0.12   ,1.10  ,-1.45   ,3.79   ,3.75   ,2.66
200004 ,-12.21  ,-7.78  ,-9.22  ,-6.25  ,-3.60  ,-7.31
200005  ,-0.08   ,0.38  ,-1.50  ,-1.85   ,0.12  ,-5.32
200006   ,6.53   ,5.35   ,3.17   ,5.19   ,3.50   ,2.48
200007  ,-4.39  ,-3.82  ,-4.16  ,-3.51  ,-3.75  ,-4.22
200008   ,3.24   ,1.61   ,2.04   ,5.31   ,1.34  ,-0.03
200009  ,-4.74  ,-3.15  ,-3.35  ,-6.48  ,-4.69  ,-3.80
200010  ,-8.90  ,-6.57  ,-7.18  ,-5.98  ,-2.37  ,-3.18
