This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007   5.92   6.13   6.14   0.37  -0.73  -0.34
199008 -16.48 -13.79 -17.22 -11.87 -10.64  -9.21
199009 -15.82 -16.44 -16.12 -16.68 -17.27 -16.16
199010  28.16  26.87  27.82  32.62  24.68  23.46
199011 -18.93 -18.75 -19.21 -16.11 -12.08 -11.48
199012  -2.32  -2.84  -2.87   4.66   4.64   1.48
199101  -4.42  -6.67  -7.46   0.65   3.63   2.33
199102  24.46  26.36  24.59  12.83  12.06  11.22
199103  -1.61  -1.60   0.35  -5.19  -4.10  -4.64
199104   4.26   3.87   1.90  -0.09   3.24   3.22
199105  -2.20  -3.04  -1.75  -1.68  -1.14  -1.89
199106  -4.61  -6.55  -6.44  -7.66  -7.74  -6.41
199107   0.19  -0.16  -0.99   2.50   2.28   3.08
199108 -11.73 -11.54 -12.31  -6.23  -6.59  -5.78
199109  12.99  11.04  11.56  10.51   8.27   9.04
199110   8.24   7.04   6.65   3.56   4.46   5.03
199111 -10.71 -11.10 -10.95  -7.41  -8.26  -7.97
199112   4.72   5.45   3.17   3.69   3.79   2.48
199201  -5.47  -6.37  -6.17  -4.63  -5.28  -6.06
199202  -3.75  -5.31  -4.69  -4.91  -7.66  -8.99
199203 -12.89 -13.01 -11.46 -10.93 -10.84 -11.11
199204 -10.94 -11.12  -9.91  -5.70  -5.99  -8.62
199205  14.17  15.18  14.96   8.91   8.09   8.50
199206  -8.90  -9.42  -8.75  -7.52  -8.87  -9.91
199207  -6.93  -7.76  -9.30   1.20  -4.01  -5.14
199208  11.02  12.28  14.13  20.74  13.02  17.42
199209   1.21   0.60   0.09  -2.46  -2.70  -3.67
199210  -7.31  -5.55  -6.77  -5.56  -4.40  -5.24
199211  -0.30  -0.29  -1.42   3.12   1.67   2.57
199212   0.08   1.64   0.72  -1.03  -1.06  -1.21
199301  -1.78  -2.40  -3.08  -0.71  -0.50  -0.42
199302   5.89   5.69   6.93   5.19   3.24   4.81
199303  16.48  16.59  17.64  16.77  15.45  17.60
199304  19.66  17.68  17.83  16.35  17.89  16.52
199305  17.33  14.46  16.40   5.78   1.90   3.39
199306  -6.67  -5.91  -6.97  -2.09  -5.02  -4.80
199307   2.12   2.94   2.96   8.24   7.09   6.78
199308   0.96   2.58   2.67   2.43   2.41   2.54
199309  -5.91  -4.04  -2.93  -6.80  -5.22  -2.74
199310  -9.94  -9.56  -8.29  -0.54  -0.95  -4.61
199311 -19.07 -17.00 -16.27 -19.84 -14.00 -12.84
199312   2.87   2.26   0.39   2.98   2.73   0.69
199401  21.01  17.25  17.38  18.57  16.62  15.69
199402   5.46   4.40   5.38   3.95   4.17   3.58
199403   4.02   3.28   2.24  -3.05  -2.35  -2.29
199404   6.64   5.30   4.67   4.53   2.75   2.83
199405   1.17  -0.23  -0.42   3.23   1.72  -0.49
199406  12.18  10.80   9.15   5.35   5.71   6.95
199407  -3.78  -2.76  -2.78  -4.58  -3.98  -2.99
199408  -1.92  -1.67  -2.08  -0.89   1.89  -0.02
199409  -4.86  -4.23  -3.62  -2.81  -1.91  -3.96
199410   3.35   2.41   0.72   3.28   3.42   0.45
199411  -8.12  -7.60  -8.12  -6.19  -5.99  -5.59
199412   3.61   1.97   1.70   3.15   1.31   1.31
199501  -7.64  -4.04  -3.03  -5.48  -8.69  -4.85
199502  -5.13  -6.03  -6.95  -5.64  -4.88  -4.61
199503   6.88   6.31   5.73   7.54  11.19   9.44
199504   1.80   2.03   1.98   6.63   2.59   3.95
199505  -9.78  -8.27  -8.53  -6.18  -6.10  -6.19
199506  -5.52  -4.95  -5.56  -6.86  -2.02  -2.43
199507   7.75   5.80   5.16   9.40   5.28   4.91
199508   1.37   0.02  -0.79  -3.67  -1.97  -3.45
199509  -4.17  -3.79  -2.19  -0.61  -1.53  -0.31
199510  -2.39  -1.83  -3.33  -4.70  -4.03  -3.15
199511   7.40   4.86   3.37   6.75   4.10   2.33
199512   7.30   7.10   6.61   5.70   4.05   4.27
199601   2.96   2.24   1.28  -1.61  -1.78  -1.10
199602  -2.72  -1.71  -0.87  -2.63  -0.95  -0.84
199603   3.38   1.85   1.82   4.41   2.27   2.57
199604  12.23  11.69  10.39   5.96   6.17   6.86
199605  -3.57  -3.38  -3.27  -4.74  -4.38  -4.59
199606  -1.88  -0.48  -0.25   0.28   0.87   0.15
199607  -7.40  -5.44  -4.90  -5.97  -4.36  -3.46
199608  -3.17  -3.70  -4.08  -4.54  -4.53  -3.91
199609  -0.52  -1.23  -1.78   3.37   3.63   2.86
199610  -6.42  -6.14  -6.32  -6.94  -6.98  -6.77
199611  -4.03  -2.98  -3.54  -0.41   1.54   1.99
199612 -12.70 -10.42 -10.09 -10.40  -5.85  -4.01
199701 -10.19  -9.55  -9.58 -14.26  -9.80  -8.60
199702  -0.69   0.43  -1.62   2.62   2.09   1.52
199703  -8.08  -6.75  -7.19  -4.81  -2.42  -3.38
199704  -2.66  -3.31  -2.51   1.27   1.62   3.99
199705  16.90  16.22  17.37  13.03  15.14  11.53
199706   2.14   3.03   3.21   8.76   5.94   3.98
199707 -12.74 -10.96  -9.99  -8.42  -3.48   1.31
199708 -10.20  -9.95 -11.42  -6.46  -8.83 -11.98
199709 -15.09 -12.51 -12.69  -6.29  -1.84   2.83
199710   0.87  -0.60  -1.70  -7.67  -8.14  -9.38
199711 -19.13 -15.87 -17.59 -13.72  -5.44  -4.17
199712 -15.92 -14.20 -12.83 -12.44  -6.23  -5.17
199801  27.85  21.70  23.03  16.05   9.56   7.24
199802   8.15   5.32   3.74   4.37   0.55  -0.98
199803  -9.61  -8.25  -8.67  -7.68  -6.04  -5.99
