This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199807  -1.46  -0.64  -1.55   0.06  -2.76  -3.16
199808  -6.90  -6.85  -8.86  -9.37  -7.27 -10.57
199809  -6.15  -4.66  -6.54  -2.74  -2.17  -7.16
199810  15.49  10.23  13.87  15.64  17.41  20.55
199811   3.79   5.30   6.81   3.82   2.98   4.98
199812   4.36   3.75   1.36   3.07   4.01   2.12
199901   2.29   0.82  -0.11   1.35   0.18   2.91
199902   5.92  -0.93  -1.43  -1.59  -3.84  -3.39
199903  16.65  11.07  15.07  13.61  12.61  18.39
199904   8.92   8.82  11.57   3.80   3.38   8.93
199905  -4.89  -5.36  -5.67  -4.70  -4.35  -6.31
199906  27.96  16.93  14.38  11.55   5.72  13.11
199907   4.26   6.82   7.84  11.94   9.57   9.45
199908   7.08   6.74   2.79   3.70   0.04   8.07
199909   9.30   4.03   2.27   9.50   4.35   8.74
199910   4.32   0.83  -2.18  10.85   2.55   5.93
199911   2.94  -1.30  -3.92  16.61   1.92  -5.04
199912  -3.18  -5.35  -7.31   4.63  11.00  -7.73
200001  -4.44  -1.48  -0.28  -7.71  -4.17   0.76
200002   4.20  -4.63  -2.35  -0.28  -1.27  -9.44
200003   8.48   9.51  10.35   2.63  10.31  12.81
200004 -12.43  -9.26 -11.26 -10.60  -5.94  -6.90
200005  -5.41   1.32   3.01 -11.72  -3.82  -0.03
200006   5.34   8.79  12.69   4.54   6.90   9.40
200007 -16.46 -11.32  -9.40 -12.92 -10.51 -10.99
200008   9.50   7.42   6.38   9.24   4.25   5.34
200009  -8.23  -5.73  -3.52  -6.73  -1.99   0.66
200010 -16.08 -10.99  -7.43 -10.24  -2.63  -2.96
200011  -4.73   0.40   2.07  -3.92  -2.63   0.90
200012 -11.88  -9.08  -6.60 -14.85  -4.02  -4.56
200101   3.54  -1.43  -1.31   3.60  -3.88  -3.12
200102  -1.00   0.69   1.74  -9.94  -2.57  -0.15
200103  -3.89  -3.58  -2.46  -3.40  -4.47  -3.80
200104   7.39   9.57  12.54   7.90   8.95  12.17
200105   5.26   2.87   1.41  -0.95   0.57   1.32
200106  -6.21  -3.40  -0.34  -8.74  -2.71  -1.68
200107 -12.20  -8.49  -6.13 -11.23  -6.75  -4.48
200108  -4.18   0.47   3.80  -5.41  -2.85   3.10
200109  -8.78  -8.24  -8.03  -5.91  -8.82  -7.30
200110   7.44   2.68   1.83   3.19  -0.03  -0.27
200111  -7.48  -3.63  -5.83   1.33  -1.17  -6.72
200112 -13.10 -10.42 -10.44  -8.40  -6.62  -7.79
200201  -5.05  -5.96  -5.13  -9.47  -6.17  -6.32
200202   3.08   7.27   7.34   5.18   4.14   7.06
200203   8.03   4.82   2.97   7.67   5.32   1.56
200204   7.24   6.54   5.21   4.84   5.98   4.36
200205   9.08   9.27   9.65   5.81   6.81  10.72
200206  -2.59  -2.69  -2.38  -5.59  -4.24  -2.58
200207  -4.02  -1.44  -1.43  -7.71  -6.11  -3.92
200208  -5.37  -1.87  -0.89  -1.11  -1.08  -1.98
200209  -8.03  -3.74  -3.41  -7.94  -2.43  -4.63
200210 -10.42  -8.91  -6.72  -4.19  -8.33  -5.37
200211  -4.00  -1.99  -1.60   5.78   3.12   1.58
200212  -0.09  -0.73   0.10  -4.39  -0.87  -2.13
200301  -0.81   0.36   0.73  -5.07  -2.96  -3.25
200302  -0.33   4.42   7.19  -0.16   1.28   3.99
200303  -1.21   1.04   0.92  -3.29  -3.62  -1.76
200304   5.30   3.71   4.36   0.64   0.40   1.86
200305   7.15   5.48   5.81   5.57   4.07   2.53
200306   9.05   5.77   8.70   5.89   6.95  10.12
200307   3.41   2.38   1.84   3.64   3.07   4.09
200308   9.19   7.66   9.66   8.68   9.33  13.08
200309  13.89   8.47   7.89   5.53   7.46   8.18
200310  15.29   6.41   4.63   1.50   4.97   6.49
200311  -8.41  -5.70  -6.75  -2.79  -3.55  -4.84
200312   3.89   4.88   6.16   5.56   6.37   8.86
200401   6.72   5.53   7.22   1.26   2.54   1.23
200402  -2.76  -0.03   0.73  -0.32   0.08   0.81
200403  23.00  21.85  21.79  10.69  14.79  18.95
200404   6.22   2.26  -0.68  -4.57  -6.23  -5.29
200405  -6.28  -7.40  -5.07  -3.11  -1.69  -3.82
200406  13.22   9.67   9.81   4.45   4.93   5.57
200407 -11.10  -6.80  -4.92  -8.27  -5.49  -5.15
200408   2.37   0.74   1.45   2.47  -0.04   1.17
200409  -6.55  -3.24  -2.45  -3.73  -2.70  -1.47
200410   1.42   2.41   2.94   3.17   2.03   2.46
200411   4.76   2.28   3.02   3.46   4.36   4.39
200412   3.53   4.08   5.19   5.69   4.69   5.85
200501   5.92   4.82   4.52  -2.45  -1.77   0.02
200502   1.87   3.02   5.13   0.97   2.00   2.27
200503  -1.72   0.58   1.99  -2.45  -1.54   0.71
200504   1.34   0.15   0.12  -3.26  -1.82  -1.10
200505  -4.65  -3.76  -4.07  -1.91  -2.30  -2.00
200506   3.76   3.15   1.83   0.50   0.70   1.73
200507   3.59   1.94   1.67   0.92   0.77   0.76
200508   2.12   3.69   3.79   8.38   7.17   5.31
200509  -2.13   3.74   4.25   7.45  10.37   7.37
200510   2.73   2.51   1.66  -1.11  -0.85   2.27
200511   1.71   3.87   2.57   4.79   3.66  -0.37
200512  16.93  11.99  11.11  11.69   9.00   5.23
200601   1.20   5.29   4.70   2.98   4.60   4.36
200602  -8.81  -5.88  -5.43  -4.37  -0.36  -0.26
200603   4.02   2.77   2.83   2.97   3.59   1.97
200604  -0.08   2.53   1.53   1.58   3.35   2.76
200605 -12.13  -7.88  -7.41  -6.02  -7.52  -5.35
200606  -2.40  -2.65  -3.73  -1.66  -1.13  -1.27
200607 -11.57  -6.56  -4.39  -3.81  -0.34  -0.47
200608   3.41   2.41   1.06   1.85   2.21   0.66
200609  -3.89  -2.40  -2.21  -1.35  -1.02  -1.97
200610  -0.59  -0.66  -0.79   2.13   2.72   0.14
200611  -3.75  -1.10  -1.02  -1.22   0.90   0.36
200612  -1.96   0.62   0.37   0.37   4.15   0.48
200701   1.40   1.34   1.19   0.51   0.81   1.15
200702  -0.29   3.77   3.92   2.57   4.56   3.85
200703  -3.57  -0.39   0.32  -2.18  -1.15  -0.74
200704  -6.48  -2.59  -1.88  -2.36  -2.00  -2.02
200705  -4.02  -2.21  -1.97   1.61   1.31  -0.13
200706   2.73   2.56   2.25  -0.64   0.79  -1.48
200707  -1.31   0.80   1.31   0.49  -0.21  -1.26
200708  -8.51  -5.61  -4.83  -2.09  -3.99  -2.82
200709  -1.38  -0.54  -0.53   2.14   2.23   1.41
200710   9.78   1.14  -0.57  -0.45   0.88  -0.68
200711  -3.73  -4.64  -2.34  -2.02  -1.25  -2.92
200712  -6.58  -6.08  -4.00  -4.51  -2.97  -2.79
200801  -6.90  -4.05  -3.65  -5.98  -4.51  -1.52
200802   3.78   2.03   2.47   0.10   1.86   0.13
200803  -1.77  -0.08   0.10  -4.37  -3.88  -2.85
200804  -0.23   0.79   0.44   8.59   6.32   5.33
200805   2.27   3.65   4.12   2.01   1.83   2.51
200806  -7.24  -5.10  -2.96  -7.81  -6.33  -4.74
200807  -5.27  -4.34  -2.80  -3.80  -2.56  -1.66
200808  -7.38  -6.21  -6.06  -3.84  -4.29  -2.91
200809 -10.62  -9.08  -7.30 -13.88  -9.74  -6.75
200810 -13.97  -9.77  -5.37 -13.28 -14.85 -12.82
200811   5.73   4.49   3.28   0.93  -2.61   3.32
200812  10.48   7.85   9.71   7.96   8.46   9.26
200901  -1.81  -5.16  -3.77  -9.35  -4.88  -7.58
200902 -15.55 -12.55 -12.47 -11.96 -11.37 -13.83
200903   1.78   2.09   2.45   2.62   0.05   3.40
200904   4.74   4.74   2.47   6.53  10.86   6.02
200905  15.29  12.55  11.34  13.09   9.35  10.17
200906   7.58   6.79   7.55   3.56   1.15   3.67
200907   3.42   2.90   2.19   2.32   5.60   4.77
200908   5.50   5.88   6.56   3.94   3.05   2.10
200909   2.61   1.27  -1.09   2.40  -2.40  -3.54
200910  -2.08  -2.86  -2.96  -4.23  -1.07  -0.88
200911  -5.21  -3.54  -6.66   1.29  -2.20  -5.27
200912  -4.21  -3.06   0.12  -2.20   0.53   5.89
201001   2.72   2.38   3.29   3.04   1.22   3.04
201002   1.69   1.51   1.41   1.84   0.26  -0.53
201003   1.03   3.00   7.65   2.64   5.24   8.27
201004   5.07   3.42   6.06   0.39  -0.82   1.54
201005  -5.20  -6.09  -8.29  -6.63  -8.16 -10.54
201006   0.12   2.35  -0.19   2.59  -2.41  -3.46
201007   3.00   0.94   1.32   3.75   2.92   2.71
201008  -4.00  -2.50  -3.39  -3.32  -1.64  -2.50
201009   4.11   4.13   3.89   6.28   4.15   3.33
201010  -0.81  -1.90  -2.84   1.12   2.20   1.44
201011   2.24   2.02   3.45   2.15   1.84   1.49
201012  10.18   9.66  11.17   6.95   6.93   8.62
201101   1.85   0.87   3.25  -0.63   1.12  -0.10
201102   4.05   4.39   5.21   3.91   5.37   4.94
201103  -9.49  -6.24  -4.33  -6.72 -10.54  -9.23
201104   0.90   0.44  -1.58   1.96   0.19   0.61
201105  -2.69  -0.71  -2.28  -1.75  -1.02  -2.39
201106   2.57   3.99   5.24   1.90   2.18   3.79
201107   4.54   4.58   4.38   4.42   3.69   3.72
