This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP/BE portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  OP/BE is operating profitability at the last fiscal year end of the prior calendar
year divided by BE as of 6 months before formation.  Firms with negative
OP are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
,SMALL LoBO,ME1 BO2,SMALL HiBO,BIG LoBO,ME2 BO2,BIG HiBO
19900702   ,0.44   ,0.80   ,0.87   ,0.68   ,0.82   ,0.72
19900703   ,0.19   ,0.36   ,0.42   ,0.27   ,0.19   ,0.19
19900704   ,0.47   ,0.50   ,0.60   ,0.84   ,0.67   ,0.61
19900705  ,-0.47  ,-0.45  ,-0.37  ,-0.51  ,-0.81  ,-0.86
19900706   ,0.04   ,0.01   ,0.12   ,0.00   ,0.23   ,0.28
19900709   ,0.38   ,0.50   ,0.49   ,0.17   ,0.39   ,0.13
19900710   ,0.38   ,0.16   ,0.40   ,0.10   ,0.15   ,0.20
19900711  ,-0.07  ,-0.23  ,-0.23   ,0.21   ,0.32   ,0.59
19900712   ,0.55   ,0.49   ,0.46   ,0.64   ,0.68   ,0.51
19900713   ,0.30   ,0.35   ,0.28   ,0.62   ,0.86   ,0.91
19900716   ,0.20   ,0.37   ,0.23   ,0.65   ,0.62   ,0.63
19900717   ,0.15   ,0.26   ,0.21   ,0.24   ,0.09   ,0.01
19900718  ,-0.08   ,0.03  ,-0.19   ,0.18  ,-0.10  ,-0.37
19900719  ,-0.24  ,-0.13  ,-0.15  ,-0.32  ,-0.18  ,-0.26
19900720  ,-0.16  ,-0.15  ,-0.04  ,-0.84  ,-0.90  ,-0.92
19900723  ,-0.79  ,-0.62  ,-0.62  ,-0.78  ,-0.86  ,-1.21
19900724  ,-0.21  ,-0.35  ,-0.20  ,-0.36  ,-0.45  ,-0.63
19900725   ,0.28   ,0.10   ,0.20  ,-0.01   ,0.18  ,-0.03
19900726  ,-0.11  ,-0.15  ,-0.13  ,-0.69  ,-0.77  ,-0.76
19900727  ,-0.17  ,-0.08   ,0.07  ,-0.65  ,-0.83  ,-0.74
19900730  ,-0.31  ,-0.11  ,-0.01  ,-0.16   ,0.14   ,0.15
19900731   ,0.83   ,0.94   ,0.80   ,1.49   ,1.46   ,1.52
19900801  ,-0.41  ,-0.17  ,-0.47  ,-0.63  ,-0.44  ,-0.52
19900802  ,-1.14  ,-1.43  ,-1.39  ,-1.91  ,-1.64  ,-2.04
19900803  ,-1.33  ,-1.38  ,-1.41  ,-1.58  ,-1.70  ,-1.76
19900806  ,-2.45  ,-2.81  ,-2.65  ,-2.98  ,-2.99  ,-3.63
19900807  ,-1.17  ,-1.01  ,-0.79  ,-0.85  ,-0.67  ,-0.56
19900808   ,0.10   ,0.04  ,-0.22   ,0.67   ,0.30   ,1.21
19900809   ,0.15   ,0.20   ,0.39  ,-0.26  ,-0.11  ,-0.14
19900810  ,-0.34  ,-0.47  ,-0.37  ,-0.59  ,-0.57  ,-0.87
19900813  ,-0.68  ,-0.98  ,-0.71  ,-1.55  ,-1.08  ,-1.05
19900814   ,0.29   ,0.52   ,0.31   ,1.14   ,0.90   ,1.00
19900815   ,1.05   ,1.08   ,0.79   ,2.53   ,1.96   ,2.57
19900816  ,-0.51  ,-0.64  ,-0.45  ,-1.33  ,-1.26  ,-1.87
19900817  ,-0.93  ,-1.02  ,-1.20  ,-1.37  ,-1.35  ,-1.30
19900820  ,-1.16  ,-1.23  ,-1.35  ,-0.71  ,-0.63  ,-0.57
19900821  ,-1.25  ,-1.53  ,-1.93  ,-1.31  ,-1.47  ,-1.53
19900822  ,-1.38  ,-1.15  ,-1.02  ,-1.63  ,-1.40  ,-1.76
19900823  ,-2.83  ,-2.48  ,-2.26  ,-3.71  ,-3.38  ,-4.06
19900824  ,-0.72  ,-0.56  ,-0.72   ,0.78   ,0.71   ,1.24
19900827   ,1.88   ,2.05   ,2.40   ,3.07   ,3.40   ,4.11
19900828   ,1.28   ,1.52   ,1.19   ,1.39   ,1.35   ,1.32
19900829  ,-0.01  ,-0.14   ,0.04  ,-0.60  ,-0.46  ,-0.47
19900830  ,-0.26  ,-0.25  ,-0.30   ,0.56   ,0.13   ,0.12
19900831   ,0.12  ,-0.07  ,-0.12   ,0.36   ,0.30   ,0.64
19900903  ,-0.34  ,-0.54  ,-0.72  ,-0.99  ,-0.82  ,-0.75
19900904  ,-0.68  ,-0.72  ,-0.51  ,-0.98  ,-0.95  ,-1.00
19900905   ,0.15   ,0.48   ,0.58  ,-0.15   ,0.18  ,-0.24
19900906  ,-0.39  ,-0.49  ,-0.41  ,-0.56  ,-0.58  ,-0.64
19900907  ,-0.56  ,-0.66  ,-0.57  ,-0.03   ,0.18   ,0.47
19900910   ,0.18   ,0.18   ,0.05   ,1.33   ,1.25   ,1.43
19900911  ,-0.28  ,-0.34  ,-0.50  ,-0.94  ,-0.86  ,-0.93
19900912   ,0.68   ,0.72   ,0.51   ,1.82   ,1.41   ,1.39
19900913   ,0.10   ,0.17   ,0.42   ,0.12  ,-0.12  ,-0.34
19900914  ,-0.22  ,-0.30  ,-0.19  ,-0.28  ,-0.66  ,-0.48
19900917  ,-0.36  ,-0.44  ,-0.36  ,-0.61  ,-0.78  ,-0.80
19900918  ,-0.79  ,-1.10  ,-0.98  ,-1.36  ,-1.18  ,-1.20
19900919  ,-0.93  ,-1.22  ,-1.36  ,-0.92  ,-1.14  ,-1.13
19900920  ,-1.46  ,-1.52  ,-1.80  ,-1.62  ,-1.68  ,-1.63
19900921  ,-1.10  ,-1.43  ,-1.33  ,-0.62  ,-0.47  ,-0.08
19900924  ,-0.46  ,-0.50  ,-0.51  ,-0.44  ,-0.50  ,-0.60
19900925  ,-1.02  ,-1.02  ,-0.96  ,-1.67  ,-1.65  ,-1.42
19900926  ,-1.34  ,-0.83  ,-0.96  ,-2.13  ,-1.68  ,-2.06
19900927  ,-1.19  ,-0.93  ,-1.08  ,-1.60  ,-1.19  ,-1.33
19900928  ,-0.59  ,-0.43  ,-0.48  ,-1.36  ,-0.74  ,-0.64
19901001  ,-0.07   ,0.57   ,0.87   ,0.32   ,1.09   ,1.41
19901002   ,0.68   ,0.99   ,0.80   ,3.75   ,3.45   ,4.40
19901003   ,0.75   ,0.54   ,0.34   ,0.57   ,0.21  ,-0.11
19901004   ,0.41   ,0.48   ,0.41   ,0.19   ,0.30   ,0.14
19901005   ,0.33   ,0.34   ,0.45   ,1.73   ,1.07   ,1.22
19901008   ,1.43   ,2.00   ,2.08   ,2.57   ,2.63   ,2.89
19901009  ,-0.28  ,-0.45  ,-0.44  ,-0.75  ,-1.08  ,-1.17
19901010  ,-0.87  ,-0.80  ,-0.83  ,-0.72  ,-0.87  ,-0.73
19901011  ,-1.37  ,-1.03  ,-0.97  ,-1.55  ,-1.56  ,-2.01
19901012   ,0.20   ,0.11   ,0.17   ,0.08   ,0.81   ,0.97
19901015  ,-0.30  ,-0.22  ,-0.04   ,1.12   ,0.89   ,1.92
19901016   ,0.43   ,0.51   ,0.49   ,0.43   ,0.51   ,0.69
19901017   ,0.20   ,0.16   ,0.05   ,1.17   ,0.85   ,1.07
19901018   ,1.04   ,1.00   ,0.81   ,1.52   ,1.68   ,2.02
19901019   ,0.66   ,0.82   ,0.69   ,1.19   ,1.01   ,1.69
19901022   ,0.19   ,0.18   ,0.27   ,1.04   ,0.73   ,1.47
19901023   ,0.37   ,0.33   ,0.22  ,-0.29   ,0.13  ,-0.37
19901024   ,0.32   ,0.21   ,0.43  ,-0.26  ,-0.47  ,-0.52
19901025   ,0.58   ,0.47   ,0.48   ,0.87   ,0.49   ,1.10
19901026  ,-0.88  ,-0.92  ,-0.83  ,-1.68  ,-1.32  ,-1.87
19901029  ,-0.30  ,-0.25  ,-0.44  ,-0.25  ,-0.31  ,-0.05
19901030  ,-0.59  ,-0.46  ,-0.59  ,-0.85  ,-0.53  ,-0.47
19901031  ,-0.39  ,-0.16  ,-0.14  ,-0.44  ,-0.43  ,-0.51
19901101  ,-0.65  ,-0.43  ,-0.43  ,-1.40  ,-1.22  ,-1.61
19901102   ,0.32   ,0.10   ,0.25   ,0.92   ,0.68   ,1.36
19901105   ,1.02   ,1.20   ,1.08   ,1.54   ,1.47   ,1.55
19901106  ,-0.31  ,-0.16  ,-0.37  ,-0.59  ,-0.46  ,-1.28
19901107  ,-0.74  ,-0.51  ,-0.51  ,-1.36  ,-1.70  ,-1.61
19901108  ,-1.02  ,-1.12  ,-0.94  ,-1.49  ,-1.23  ,-1.54
19901109  ,-0.20  ,-0.14  ,-0.16   ,0.37   ,0.42   ,0.33
19901112   ,0.54   ,0.73   ,0.58   ,1.02   ,1.04   ,1.16
19901113   ,0.59   ,0.81   ,0.43   ,1.48   ,1.11   ,1.29
19901114   ,0.35   ,0.16   ,0.47  ,-0.06  ,-0.13   ,0.29
19901115  ,-0.65  ,-0.25  ,-0.37  ,-0.62  ,-0.63  ,-1.04
19901116   ,0.08   ,0.10   ,0.18  ,-0.41  ,-0.21  ,-0.65
19901119   ,0.34   ,0.37   ,0.34   ,0.77   ,1.15   ,1.42
19901120  ,-0.36  ,-0.28  ,-0.30  ,-0.98  ,-0.61  ,-0.81
19901121  ,-0.43  ,-0.23  ,-0.34  ,-0.43  ,-0.16  ,-0.44
19901122   ,0.04   ,0.36   ,0.25   ,1.08   ,0.81   ,1.41
19901123  ,-0.07  ,-0.41   ,0.06   ,0.04   ,0.02  ,-0.05
19901126  ,-0.40   ,0.06  ,-0.23  ,-0.36  ,-0.41  ,-0.22
19901127   ,0.35   ,0.50   ,0.44   ,0.27   ,0.19   ,0.10
19901128  ,-0.63  ,-0.59  ,-0.82  ,-1.64  ,-1.36  ,-1.49
19901129  ,-1.30  ,-1.27  ,-1.01  ,-1.98  ,-1.77  ,-1.91
19901130  ,-0.26  ,-0.77  ,-0.14  ,-0.12   ,0.16   ,0.20
19901203   ,0.05   ,0.03  ,-0.17   ,0.37   ,0.30   ,0.42
19901204  ,-0.05   ,0.04   ,0.27  ,-0.73  ,-0.53  ,-0.71
19901205   ,0.10   ,0.34   ,0.26   ,0.86   ,0.64   ,0.89
19901206   ,0.94   ,1.08   ,0.98   ,1.66   ,1.68   ,1.99
19901207   ,1.50   ,1.17   ,1.15   ,2.40   ,1.92   ,2.50
19901210   ,0.29   ,0.27   ,0.36   ,0.41   ,0.12   ,0.20
19901211  ,-0.53  ,-0.29  ,-0.28  ,-0.26  ,-0.30  ,-0.13
19901212   ,0.51   ,0.30   ,0.47   ,0.46   ,0.48   ,0.82
19901213   ,0.22   ,0.13   ,0.22   ,0.75   ,0.61   ,0.78
19901214  ,-0.43  ,-0.59  ,-0.35  ,-0.96  ,-0.92  ,-0.81
19901217  ,-0.88  ,-0.86  ,-0.78  ,-1.28  ,-0.98  ,-1.19
19901218   ,0.01   ,0.04   ,0.01   ,0.35   ,0.63   ,0.83
19901219   ,0.07   ,0.10   ,0.18   ,0.31   ,0.52   ,0.46
19901220  ,-1.17  ,-1.21  ,-1.39  ,-1.67  ,-1.56  ,-1.60
19901221  ,-0.78  ,-0.95  ,-0.83  ,-1.18  ,-0.88  ,-1.01
19901224  ,-0.54  ,-0.56  ,-0.64  ,-0.60  ,-0.49  ,-0.57
19901225  ,-0.23  ,-0.15  ,-0.17  ,-0.65  ,-0.61  ,-1.07
19901226   ,0.09   ,0.16   ,0.28   ,0.25   ,0.16   ,0.37
19901227   ,0.00   ,0.09  ,-0.03  ,-0.15   ,0.02   ,0.01
