This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP/BE portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  OP/BE is operating profitability at the last fiscal year end of the prior calendar
year divided by BE as of 6 months before formation.  Firms with negative
OP are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
,SMALL LoBO,ME1 BO2,SMALL HiBO,BIG LoBO,ME2 BO2,BIG HiBO
19901228   ,0.91   ,0.84   ,1.17   ,0.74   ,0.76   ,0.63
19901231   ,0.60   ,0.36   ,0.37  ,-0.09  ,-0.06   ,0.05
19910101   ,0.07   ,0.07   ,0.06   ,0.17   ,0.16   ,0.20
19910102   ,0.12  ,-0.01  ,-0.07  ,-0.11  ,-0.16  ,-0.37
19910103  ,-0.32  ,-0.34  ,-0.41   ,0.07  ,-0.05  ,-0.05
19910104  ,-0.51  ,-0.63  ,-0.54  ,-0.49  ,-0.75  ,-0.36
19910107  ,-1.65  ,-1.64  ,-1.75  ,-2.18  ,-1.97  ,-2.25
19910108  ,-0.92  ,-1.03  ,-0.88  ,-1.45  ,-1.21  ,-1.39
19910109   ,0.00   ,0.17   ,0.14   ,0.95   ,0.68   ,0.68
19910110  ,-0.34  ,-0.34  ,-0.35  ,-0.14  ,-0.05   ,0.39
19910111  ,-0.05   ,0.00  ,-0.13   ,0.31   ,0.23   ,0.57
19910114  ,-1.35  ,-1.37  ,-1.38  ,-1.31  ,-1.04  ,-0.99
19910115  ,-0.38  ,-0.32  ,-0.38  ,-0.34  ,-0.25  ,-0.18
19910116  ,-0.37  ,-0.34  ,-0.24  ,-1.20  ,-0.96  ,-1.06
19910117   ,2.64   ,3.07   ,3.09   ,4.96   ,5.01   ,5.59
19910118   ,0.35   ,0.60   ,0.55   ,0.69   ,1.00   ,1.17
19910121   ,0.10   ,0.03   ,0.31  ,-0.40  ,-0.40  ,-0.64
19910122  ,-0.28  ,-0.22  ,-0.50  ,-0.30  ,-0.38  ,-0.36
19910123   ,0.10   ,0.10   ,0.01  ,-0.31  ,-0.13  ,-0.53
19910124   ,0.52   ,0.59   ,0.49   ,1.15   ,1.18   ,1.23
19910125   ,0.43   ,0.40   ,0.55   ,0.64   ,0.71   ,0.70
19910128   ,0.40   ,0.62   ,0.52   ,0.21   ,0.21   ,0.14
19910129   ,0.43   ,0.23   ,0.39   ,0.09   ,0.14   ,0.06
19910130   ,0.78   ,1.00   ,0.84   ,0.74   ,0.63   ,0.61
19910131   ,1.02   ,1.07   ,0.97   ,0.87   ,0.69   ,0.60
19910201   ,0.66   ,0.54   ,0.71   ,0.04   ,0.00  ,-0.29
19910204   ,1.19   ,1.01   ,0.90   ,1.33   ,0.99   ,1.03
19910205   ,1.50   ,1.47   ,1.43   ,2.00   ,1.69   ,1.97
19910206   ,1.65   ,1.32   ,1.23   ,1.86   ,1.36   ,1.83
19910207   ,0.19   ,0.38   ,0.24   ,0.56   ,0.57   ,0.50
19910208   ,0.48   ,0.36   ,0.20   ,0.78   ,0.64   ,0.63
19910211   ,1.22   ,1.38   ,1.36   ,1.38   ,1.41   ,1.40
19910212   ,0.72   ,0.70   ,0.62   ,0.72   ,0.46   ,0.81
19910213   ,1.01   ,0.66   ,0.79   ,0.32   ,0.61   ,0.41
19910214   ,0.41   ,0.49   ,0.37   ,0.00  ,-0.02  ,-0.51
19910215   ,0.31   ,0.32   ,0.50   ,0.11   ,0.36   ,0.28
19910218   ,1.11   ,0.94   ,0.83   ,1.80   ,1.20   ,1.65
19910219   ,0.15   ,0.13   ,0.12  ,-0.20  ,-0.16  ,-0.40
19910220  ,-0.45  ,-0.46  ,-0.38  ,-1.01  ,-0.74  ,-1.04
19910221   ,0.34   ,0.40   ,0.64   ,0.02  ,-0.01   ,0.06
19910222   ,0.03  ,-0.03  ,-0.10  ,-0.44  ,-0.37  ,-0.43
19910225   ,0.14   ,0.35   ,0.29   ,0.53   ,0.66   ,1.01
19910226   ,0.00  ,-0.14  ,-0.15  ,-0.47  ,-0.76  ,-0.85
19910227   ,0.42   ,0.37   ,0.34   ,0.44   ,0.35   ,0.28
19910228   ,0.80   ,0.77   ,0.94   ,0.77   ,0.40   ,0.31
19910301  ,-0.22  ,-0.41  ,-0.37  ,-1.12  ,-0.82  ,-1.13
19910304   ,0.66   ,0.46   ,0.69  ,-0.17  ,-0.26  ,-0.41
19910305   ,0.97   ,1.00   ,1.14   ,0.90   ,1.03   ,1.05
19910306   ,0.48   ,0.77   ,0.80   ,0.61   ,0.81   ,0.87
19910307   ,0.04   ,0.03   ,0.09   ,0.01  ,-0.09  ,-0.16
19910308   ,0.13  ,-0.10  ,-0.15  ,-0.18  ,-0.18   ,0.25
19910311  ,-0.24  ,-0.34  ,-0.48  ,-0.76  ,-0.90  ,-0.85
19910312   ,0.03   ,0.19   ,0.05   ,0.51   ,0.30   ,0.59
19910313   ,0.03   ,0.13   ,0.05  ,-0.34  ,-0.25  ,-0.19
19910314   ,0.26   ,0.48   ,0.55   ,0.70   ,0.53   ,0.73
19910315  ,-0.46  ,-0.48  ,-0.51  ,-0.09  ,-0.30   ,0.22
19910318  ,-0.57  ,-0.75  ,-0.81  ,-0.68  ,-0.72  ,-0.34
19910319  ,-0.90  ,-0.97  ,-1.11  ,-0.97  ,-1.28  ,-1.13
19910320  ,-0.26  ,-0.25   ,0.03  ,-0.89  ,-0.84  ,-1.05
19910321   ,0.53   ,0.55   ,0.50   ,0.58   ,0.52   ,0.50
19910322  ,-0.10  ,-0.17  ,-0.07  ,-0.26  ,-0.11   ,0.32
19910325  ,-0.80  ,-0.92  ,-1.12  ,-0.72  ,-0.74  ,-0.95
19910326   ,0.28   ,0.32   ,0.26   ,0.05   ,0.26   ,0.62
19910327  ,-0.28   ,0.05  ,-0.13  ,-0.50  ,-0.33  ,-0.52
19910328   ,0.26   ,0.25   ,0.14  ,-0.30  ,-0.18  ,-0.42
19910329   ,0.28   ,0.35   ,0.49   ,0.35   ,0.40   ,0.39
19910401   ,0.23   ,0.48   ,0.50  ,-0.03  ,-0.10  ,-0.36
19910402   ,1.05   ,1.12   ,1.13   ,1.71   ,1.73   ,2.17
19910403   ,0.98   ,0.96   ,0.87   ,1.29   ,1.16   ,1.21
19910404   ,0.67   ,0.71   ,0.54   ,0.83   ,0.59   ,0.65
19910405  ,-0.20  ,-0.23  ,-0.30  ,-0.32  ,-0.40  ,-0.72
19910408  ,-0.24  ,-0.29  ,-0.22  ,-0.17  ,-0.31  ,-0.20
19910409   ,0.57   ,0.54   ,0.69   ,0.16   ,0.11  ,-0.04
19910410  ,-0.50  ,-0.54  ,-0.47  ,-1.00  ,-0.73  ,-0.71
19910411   ,0.71   ,0.53   ,0.61   ,0.79   ,0.70   ,0.68
19910412   ,0.34  ,-0.04   ,0.10   ,0.36   ,0.35   ,0.40
19910415   ,0.47   ,0.70   ,0.60   ,0.78   ,1.01   ,1.15
19910416   ,0.29   ,0.35   ,0.35   ,0.34   ,0.36   ,0.65
19910417   ,0.46   ,0.23   ,0.29   ,0.10   ,0.21   ,0.13
19910418  ,-0.65  ,-0.79  ,-0.82  ,-0.82  ,-0.91  ,-1.06
19910419  ,-1.30  ,-1.47  ,-1.49  ,-1.82  ,-1.72  ,-1.80
19910422  ,-1.67  ,-1.52  ,-1.63  ,-1.77  ,-1.66  ,-1.64
19910423   ,0.51   ,0.55   ,0.66   ,1.07   ,1.13   ,0.86
19910424   ,0.03   ,0.01  ,-0.20  ,-0.31  ,-0.24  ,-0.26
19910425  ,-0.33  ,-0.28  ,-0.08  ,-0.78  ,-0.63  ,-0.75
19910426  ,-0.28  ,-0.34  ,-0.25  ,-0.28   ,0.00  ,-0.05
19910429  ,-0.48  ,-0.36  ,-0.31  ,-0.23  ,-0.26  ,-0.29
19910430   ,0.48   ,0.44   ,0.91   ,0.91   ,0.98   ,0.94
19910501   ,0.58   ,0.39   ,0.45   ,0.89   ,0.90   ,1.15
19910502   ,0.28   ,0.29   ,0.17   ,0.28   ,0.08  ,-0.11
19910503  ,-0.35  ,-0.54  ,-0.55  ,-0.56  ,-0.50  ,-0.30
19910506   ,0.21   ,0.12   ,0.30   ,0.33   ,0.16  ,-0.05
19910507   ,0.56   ,0.48   ,0.54   ,0.18   ,0.24   ,0.09
19910508  ,-0.29  ,-0.16  ,-0.22  ,-0.49  ,-0.43  ,-0.47
19910509   ,0.26  ,-0.06   ,0.25   ,0.13   ,0.25   ,0.27
19910510   ,0.04   ,0.13   ,0.03  ,-0.18  ,-0.21  ,-0.32
19910513  ,-0.13   ,0.08   ,0.08  ,-0.32  ,-0.38  ,-0.38
19910514  ,-0.13  ,-0.07   ,0.03  ,-0.37  ,-0.12  ,-0.07
19910515  ,-0.72  ,-0.59  ,-0.63  ,-0.30  ,-0.35  ,-0.49
19910516   ,0.10  ,-0.07   ,0.09   ,0.07   ,0.14   ,0.27
19910517  ,-0.95  ,-0.85  ,-1.00  ,-0.72  ,-0.64  ,-0.74
19910520  ,-0.32  ,-0.09   ,0.05  ,-0.13   ,0.01  ,-0.09
19910521   ,0.47   ,0.45   ,0.73   ,0.68   ,0.78   ,0.86
19910522  ,-0.19  ,-0.18  ,-0.22  ,-0.21  ,-0.31  ,-0.21
19910523   ,0.20   ,0.32   ,0.30   ,0.40   ,0.41   ,0.43
19910524   ,0.17   ,0.19   ,0.07   ,0.05   ,0.06  ,-0.03
19910527  ,-0.09  ,-0.01  ,-0.03  ,-0.05  ,-0.04  ,-0.09
19910528   ,0.41   ,0.47   ,0.41   ,0.73   ,0.39   ,0.54
19910529   ,0.07  ,-0.09  ,-0.07  ,-0.06   ,0.07  ,-0.03
19910530   ,0.35   ,0.31   ,0.29   ,0.49   ,0.51   ,0.75
19910531   ,0.24  ,-0.06  ,-0.08   ,0.42   ,0.46   ,0.20
19910603   ,0.04   ,0.19   ,0.13  ,-0.12   ,0.05  ,-0.47
19910604   ,0.05   ,0.10   ,0.13  ,-0.15  ,-0.22  ,-0.29
19910605  ,-0.33  ,-0.21  ,-0.29  ,-0.61  ,-0.63  ,-0.57
19910606  ,-0.23  ,-0.32  ,-0.34  ,-0.30  ,-0.39  ,-0.52
19910607  ,-0.64  ,-0.69  ,-0.77  ,-0.99  ,-1.08  ,-0.95
19910610  ,-0.30  ,-0.26  ,-0.36  ,-1.13  ,-0.88  ,-1.07
19910611  ,-0.21  ,-0.09   ,0.00   ,0.44   ,0.57   ,0.60
19910612  ,-1.03  ,-0.92  ,-0.84  ,-1.12  ,-1.03  ,-0.89
19910613   ,0.07  ,-0.07   ,0.02   ,0.21   ,0.20   ,0.48
19910614   ,0.64   ,0.62   ,0.59   ,0.83   ,0.90   ,0.97
19910617  ,-0.11  ,-0.08  ,-0.05  ,-0.48  ,-0.47  ,-0.51
19910618  ,-0.62  ,-0.56  ,-0.60  ,-0.81  ,-0.65  ,-0.70
19910619  ,-0.56  ,-0.35   ,0.00  ,-0.94  ,-0.65  ,-1.13
19910620  ,-0.08  ,-0.09   ,0.03   ,0.30   ,0.33   ,0.42
19910621   ,0.08  ,-0.03  ,-0.02   ,0.18   ,0.33   ,0.57
19910624  ,-0.79  ,-0.59  ,-0.55  ,-1.05  ,-1.08  ,-1.26
19910625  ,-0.73  ,-0.58  ,-0.89  ,-0.40  ,-0.04   ,0.12
19910626   ,0.25   ,0.13   ,0.09  ,-0.04   ,0.21   ,0.06
19910627  ,-0.20  ,-0.23   ,0.15  ,-0.21   ,0.02  ,-0.07
19910628  ,-0.29  ,-0.42  ,-0.49  ,-1.01  ,-0.93  ,-0.88
19910701   ,0.39   ,0.35   ,0.29   ,1.25   ,1.35   ,1.84
19910702  ,-0.31  ,-0.21  ,-0.33  ,-0.44  ,-0.39  ,-0.12
19910703  ,-0.96  ,-0.87  ,-0.68  ,-1.57  ,-1.54  ,-1.60
19910704  ,-0.42  ,-0.37  ,-0.37  ,-0.64  ,-0.43  ,-0.08
19910705   ,0.08   ,0.19   ,0.29   ,0.05   ,0.52   ,0.26
19910708  ,-0.45  ,-0.35  ,-0.03  ,-1.26  ,-0.67  ,-0.65
19910709  ,-0.33  ,-0.10   ,0.05   ,0.49   ,0.40   ,0.58
19910710   ,0.79   ,0.63   ,0.60   ,1.22   ,1.03   ,1.14
19910711  ,-0.12  ,-0.09  ,-0.21  ,-0.24  ,-0.08  ,-0.11
19910712   ,1.40   ,1.35   ,1.71   ,1.61   ,1.53   ,1.29
19910715   ,0.77   ,0.57   ,0.58   ,0.99   ,0.86   ,0.86
19910716  ,-0.06  ,-0.12  ,-0.13  ,-0.15  ,-0.36  ,-0.50
19910717   ,0.08   ,0.05   ,0.09  ,-0.11  ,-0.12  ,-0.35
19910718   ,0.30   ,0.40   ,0.39   ,0.29   ,0.33   ,0.42
19910719   ,0.53   ,0.62   ,0.72   ,0.41   ,0.57   ,0.22
19910722  ,-0.55  ,-0.41  ,-0.52  ,-0.69  ,-0.52  ,-0.61
19910723  ,-0.24  ,-0.14  ,-0.21   ,0.07  ,-0.03  ,-0.13
19910724   ,0.33   ,0.34   ,0.43   ,0.75   ,0.42   ,0.56
19910725  ,-0.41  ,-0.66  ,-0.61  ,-0.45  ,-0.49  ,-0.41
19910726   ,0.59   ,0.59   ,0.62   ,0.76   ,0.69   ,0.91
19910729  ,-0.33  ,-0.46  ,-0.30  ,-0.37  ,-0.17  ,-0.05
19910730   ,0.34   ,0.30   ,0.48   ,0.64   ,0.68   ,0.98
19910731   ,0.62   ,0.51   ,0.62   ,0.50   ,0.44   ,0.61
19910801  ,-0.18  ,-0.26  ,-0.28  ,-0.27  ,-0.29  ,-0.29
19910802   ,0.42   ,0.63   ,0.76   ,0.57   ,0.44   ,0.55
19910805   ,0.08   ,0.21   ,0.30  ,-0.26  ,-0.17  ,-0.32
19910806   ,0.13  ,-0.06   ,0.36   ,0.15   ,0.20   ,0.44
19910807   ,0.06   ,0.11   ,0.23   ,0.61   ,0.41   ,0.26
19910808  ,-0.41  ,-0.38  ,-0.30  ,-0.66  ,-0.55  ,-0.41
19910809  ,-0.41  ,-0.40  ,-0.40  ,-0.70  ,-0.80  ,-0.67
19910812  ,-0.38  ,-0.24  ,-0.10  ,-0.35  ,-0.34  ,-0.45
19910813  ,-0.15  ,-0.20  ,-0.13  ,-0.03   ,0.01   ,0.01
19910814   ,0.19   ,0.01   ,0.05   ,0.77   ,0.38   ,0.66
19910815  ,-0.22   ,0.02  ,-0.03  ,-0.44  ,-0.32  ,-0.35
19910816  ,-0.80  ,-0.77  ,-0.88  ,-0.93  ,-1.13  ,-1.15
19910819  ,-4.10  ,-4.23  ,-4.66  ,-5.26  ,-4.97  ,-4.80
19910820   ,0.51   ,0.70   ,0.85   ,1.50   ,1.51   ,1.64
19910821   ,2.36   ,2.58   ,3.00   ,3.14   ,3.02   ,3.35
19910822   ,1.59   ,1.56   ,1.58   ,1.33   ,1.50   ,1.28
19910823  ,-0.35  ,-0.30  ,-0.41  ,-0.93  ,-0.57  ,-0.64
19910826  ,-0.16   ,0.06   ,0.11  ,-0.58  ,-0.24  ,-0.49
19910827  ,-0.18  ,-0.07  ,-0.02  ,-0.20  ,-0.15  ,-0.09
19910828   ,0.24   ,0.35   ,0.30   ,0.18   ,0.25   ,0.50
19910829   ,0.15   ,0.19   ,0.15   ,0.52   ,0.31   ,0.55
19910830   ,0.28   ,0.36   ,0.28   ,0.71   ,0.41   ,0.48
19910902   ,0.22   ,0.31   ,0.31   ,0.46   ,0.60   ,0.46
19910903   ,0.06   ,0.31   ,0.36   ,0.07   ,0.04  ,-0.32
19910904  ,-0.04   ,0.01  ,-0.05  ,-0.27  ,-0.22  ,-0.14
19910905   ,0.11   ,0.00   ,0.10  ,-0.05   ,0.01  ,-0.11
19910906   ,0.52   ,0.68   ,0.75   ,0.47   ,0.44   ,0.30
19910909   ,0.75   ,0.75   ,0.90   ,0.32   ,0.41   ,0.47
19910910  ,-0.58  ,-0.45  ,-0.48  ,-0.61  ,-0.63  ,-0.80
