This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
198907  -8.64  -3.87  14.94  -0.91   0.95  -2.19
198908   9.35  17.41   4.39   2.66   0.85   5.82
198909  20.30  24.93  10.02  17.44  14.34  18.76
198910   6.18  -4.95  -5.02  -0.94  -0.15  -2.42
198911  -1.34  -4.80   4.71   0.57  -1.14  -3.14
198912  -1.84  11.32  17.68   2.93   9.18   6.61
199001  -0.84  12.31  13.87  -5.83  -2.11   5.45
199002   5.71  12.47   9.26   2.18   3.56   7.62
199003 -11.11  -1.04  -5.98  -3.26  -6.74  -6.73
199004   8.59   8.70  -9.16  -1.26  -0.83   9.90
199005  -0.81  10.72  10.50   8.95   8.20   8.76
199006  22.89   8.85  -3.79   4.31   2.65  10.86
199007   8.18  10.46   1.23   4.57   7.80   4.18
199008  -7.68 -11.62  -9.00 -10.97 -12.21 -12.85
199009  -4.64  -7.25  -0.69 -10.97 -12.33 -12.75
199010  15.58   4.86  -0.68   0.54   6.10  -3.44
199011  -1.21  -2.22  -1.66  -0.57  -2.30  -7.29
199012  -3.04  -0.23   0.51  -2.37   0.63   1.97
199101   3.53   5.46  -0.12   1.21   1.33   4.92
199102   3.21  12.95  10.40  13.72  10.65  16.87
199103   5.48  -0.79  17.55   0.35   8.82  -0.02
199104   2.00   1.55  -1.55   0.35   3.97  -2.10
199105   5.21  10.12  18.12   4.01   7.97   2.40
199106  -0.35  -5.06  -8.78  -3.32  -3.13  -3.42
199107  -5.08  -4.86  -1.48   0.03   5.50   2.22
199108  -4.89  -1.51  -2.58  -1.61   3.46   0.99
199109  -2.91  -4.85  -3.27  -2.13  -2.48  -3.80
199110   0.42   3.60   0.52   5.81   7.61   5.19
199111  -0.74   4.82   0.18  -1.19  -1.08   0.72
199112   0.07   8.78   5.54   6.71   7.91  10.88
199201   4.05  -0.03   8.13   6.87   9.14   8.88
199202   6.80  -5.93   9.83   2.52   8.78   1.86
199203  -0.52  -3.48   3.80   0.51  -2.66  -7.54
199204   0.95   7.64   4.14   1.20  -1.72   1.02
199205  -1.83  -2.66   3.79  -3.49   1.96  -0.76
199206  -2.12   3.11  -6.26  -0.90 -10.51  -6.46
199207   0.63   2.25  -3.64   0.30  -0.69   0.90
199208  -2.37  -3.67  -7.33  -5.45  -1.80  -5.21
199209  -4.60  -3.00  -3.59  -1.40   2.00  -3.01
199210   3.74   6.27   6.52   7.39   2.68   3.45
199211  -0.84   8.09  -1.39   1.77  -3.30   1.60
199212   5.31   3.03   0.63   1.20   3.37   0.28
199301  -2.05  -2.76  -3.53  -2.61   0.17   1.45
199302   0.75  13.06   5.80   0.73   5.93   6.67
199303   2.84   9.37   3.77   5.42   0.60   2.28
199304   6.15   8.28  11.40   0.62   6.81   7.39
199305   6.87   4.80  11.32   2.54   4.59   6.57
199306  -4.51   0.54  -4.91   0.32   4.17  -3.89
199307   3.65   4.49   4.19   5.37   4.09   1.28
199308   4.80  10.51  11.48   5.83   8.80  11.16
199309   5.94   9.03   7.24   1.55   5.31   6.21
199310  14.56  12.06  11.91  10.31  10.08   8.82
199311   3.75   9.59  12.15   2.58   7.37   6.88
199312  19.03  17.23  27.28  19.17  17.90  18.86
199401  -2.83  -7.04  -6.39  -2.66  -3.18   4.81
199402   7.05   3.53   6.75  -2.05  -0.56  -0.81
199403  -9.68 -10.42 -13.05 -10.33 -12.08  -9.90
199404  -5.21  -1.80   1.22   3.29   0.41  -4.27
199405  -0.55  -4.28  -1.97   2.20   1.91   3.82
199406  -4.87   2.06  -2.54  -3.70  -2.16  -4.05
199407   5.12   4.34   3.50   6.53   7.51   8.46
199408  21.49  17.12  10.88  10.15  11.54  15.14
199409  10.40   7.51   5.39   0.90   1.97   4.57
199410  -3.58  -3.88  -0.72  -2.72  -3.65  -2.08
199411  -0.21  -4.56  -2.82  -5.96  -3.54  -4.31
199412  -4.61 -11.52  -5.80  -8.43 -10.89  -6.45
199501 -13.95 -18.30 -13.48 -11.93 -13.64  -9.75
199502   4.56   5.29  -0.65   3.17  -1.50   0.06
199503  -3.36   1.99  -1.86   1.56  -0.06  -2.21
199504   0.33  -2.92   2.07   0.32   4.63   4.35
199505  -0.28   4.98   4.47   7.97   5.28   6.34
199506   0.06   1.21   1.49   0.68   0.26   1.12
199507   4.78   4.66   2.31   1.86   0.81   3.37
199508  -0.18  -2.19  -2.30  -4.23  -2.74  -3.90
199509  -1.70  -2.42   0.54  -1.47   0.61   1.45
199510   0.36  -4.64  -1.59  -2.76  -0.66  -3.06
199511   3.44  -0.69  -0.02  -1.77  -0.09  -2.99
199512   6.82   4.88   3.04   4.16   5.06   3.96
199601  11.79  11.57   8.54   7.41   7.56   6.90
199602   0.08   2.48  -2.23  -1.59  -3.04  -1.60
199603   6.65   7.09  -0.12   0.48   0.78   1.53
199604   6.13   8.44   0.98   3.32   1.30   3.14
199605  -6.62  -9.44  -4.82  -1.99  -2.07  -3.26
199606   3.63   2.00   2.06  -0.58   1.56  -0.49
199607  -0.91  -2.39  -4.45  -6.26  -5.63  -4.60
199608   9.45   2.09   1.51   2.73   3.45   2.44
199609   4.44   3.84   2.10   1.63   1.74   0.17
199610   1.02   0.81  -1.16  -2.49  -2.80   0.26
199611  -1.68  -1.11   2.98   1.33   1.60   2.03
199612  -1.84  -1.51  -1.13  -0.02   0.55   2.40
199701   6.42   6.52  10.52   4.57   7.35   9.72
199702   6.93   5.27   5.18   3.39   6.11   5.37
199703   1.18  -0.17  -0.56  -2.03  -1.54  -3.53
199704  -8.47  -4.07  -1.73  -4.44  -0.75   0.36
199705   3.03   1.11   1.09   1.02   4.58   3.67
199706   2.37   2.79   5.86   4.00   4.02   6.88
199707  -1.00  -0.22   3.10  -0.71   0.88   2.93
199708 -15.78  -9.25  -5.99 -12.82 -11.50 -10.65
199709  -1.75  -0.64  -0.29   0.37   1.22   6.27
199710 -16.27 -13.58 -11.71 -14.45 -17.92 -16.77
199711 -15.46  -7.86  -7.33  -6.93  -4.19  -3.01
199712  -5.82  -2.72  -1.68  -1.45   2.06  -0.37
199801  -2.69  -4.75  -7.64  -5.34  -5.90  -7.81
199802  11.39  10.11   7.41  11.23  11.41   9.20
199803   1.38   4.96   6.55   2.85   3.27   6.88
199804   2.92   0.57   2.80   0.52   0.88   0.55
199805  -3.60  -4.19  -6.32  -9.39 -12.58 -13.61
199806  -9.71  -7.71  -8.42 -10.30 -11.21  -9.76
199807   0.06  -0.05   1.56   1.10   4.30   1.02
199808 -21.00 -19.26 -17.39 -24.34 -28.15 -22.69
199809  -2.06   2.16   0.83   4.91   4.74   6.33
199810   2.82   2.82   2.91   9.04   9.71   8.04
199811   7.70   8.11   7.68   6.14   6.99   6.19
199812   1.81  -0.88  -0.22  -2.80  -0.82  -1.91
199901  -2.28  -2.99  -4.32  -1.96  -0.40  -3.19
199902  -0.67  -2.97   0.67   0.97   0.44   0.25
199903   7.06   6.57  10.15   6.89  11.61  10.72
199904   8.92  13.19  12.15  11.76   7.61  19.68
199905   6.06   6.59   5.11   1.88   0.17  -0.83
199906  12.11  12.84  12.84  11.06  10.61  10.12
199907  -2.47   0.36   1.29   0.93  -3.65  -1.81
199908   2.49   5.04   6.33   3.38   1.62   3.78
199909  -4.79   1.17  -2.13  -3.08  -3.28  -3.17
199910   2.38   2.63   3.64   3.56   3.44   1.67
199911   7.78   6.19   6.97  12.54   6.93   7.22
199912   9.40   2.91   3.48  13.56  14.61   7.87
200001   2.94   5.42   5.04   0.17  -0.80   2.14
200002  10.37   2.75  -3.28   7.74   0.04  -2.88
200003   1.27   2.97  -0.88   1.01  -0.25   1.38
200004 -14.42 -10.36  -9.16 -12.63  -9.17 -10.19
200005  -6.33  -3.84  -1.17  -1.11  -4.08  -2.60
200006  -0.95  -3.33  -1.53   5.34   1.05   0.22
200007  -6.84  -3.81  -0.75  -6.33  -5.14  -0.01
200008  -2.24  -0.92  -1.64   1.32   0.59  -0.93
200009  -8.81  -8.47  -6.83 -11.10 -10.62  -3.59
200010 -14.66  -8.68  -7.65  -7.41  -9.41  -7.71
200011  -8.52  -5.78  -6.48  -8.77  -8.53  -7.43
200012  -2.05  -4.68  -0.61  -0.17   1.81   6.64
200101   4.41   8.95   8.90  12.40  15.50   7.58
200102  -1.27  -1.06   0.20  -9.41  -6.65  -2.95
200103  -6.45  -4.87  -4.27  -9.36  -7.79  -7.60
200104   0.96  -0.22   0.60   3.43   5.31   4.85
200105  -1.66   1.33   2.93   0.41   1.35   2.03
200106  -1.90  -1.70   0.22  -2.09  -2.25  -1.40
200107  -7.42  -4.61  -6.14  -5.49  -8.37  -7.18
200108  -4.48  -1.17   1.55  -3.04  -0.39   1.69
200109 -16.30 -12.71 -13.23 -15.47 -14.47 -13.65
200110   5.55   5.17   3.12   7.03   4.48   4.40
200111   8.20   7.61   6.81  10.56   9.80  10.54
200112   3.26   5.43   6.99   9.37   9.06   5.43
200201   3.67   4.77   6.94   1.42   4.12   6.02
