This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199208  -5.98  -3.89  -6.20  -3.74  -3.66  -6.29  -6.96  -7.13  -5.41  -5.30  -5.60  -6.61  -7.38  -0.96  -4.52  -6.97  -6.77  -3.45  -8.90  -8.82  -7.07  -8.09  -4.44  -3.66  -6.64
199209  -1.37   0.08  -0.64  -1.49  -1.08   0.26  -2.60  -1.36  -1.30  -0.67  -0.14  -2.19  -0.34   1.71  -0.47  -1.88  -1.40  -0.12  -0.73  -1.02  -4.31  -3.25  -1.12  -2.66  -1.04
199210  -1.61  -3.11  10.34  -0.28  -1.46  -0.74   1.32   1.02   1.34   2.57   0.45  -0.61   4.57   0.28   1.98  -2.03   5.30   0.71   2.75  -1.18  -2.01  -4.92   6.58   8.85   7.13
199211  -0.41   1.13   7.02   1.72   2.58   2.70  -0.63   0.37   2.08   4.88  -1.34   0.98   1.70   7.67   2.67   0.25   0.24  -0.20   3.33  -0.63   1.56  -2.37  -3.57  -2.86  -4.95
199212   9.04   3.33  -0.22   5.16   1.66  -0.18   3.80   1.85   2.84   1.19   2.96   2.57   1.02   3.49  -0.73   3.63  -2.95   2.48   1.10  -2.05   5.08   8.38  -2.59  -1.32  -3.55
199301   1.18   0.50   4.52   4.22   4.13   2.30   0.97   0.70   1.87   4.18  -0.15   3.78   4.27  -4.26  -0.06   1.15   2.60   4.19   2.27   2.38  -1.89  -2.90   3.38   3.70   1.29
199302   7.97   8.08   7.50  11.72   7.15   4.67  11.20   9.84   9.47   4.46   6.69  10.62   4.51   8.36   8.07   6.52   5.44   3.14   7.62   6.52   8.78   7.92   7.49   8.09  12.94
199303   9.63   6.96   9.02   4.14   8.79   6.54   8.46   3.51  -0.02   5.25   5.86   5.85   2.99   6.42  10.23   4.13   0.20   1.81   8.76   8.38   2.97   2.93   0.41   1.26   3.66
199304  10.81   7.19  11.49   7.51  10.39  10.31   7.14   2.71   9.37   6.18  11.59  13.57   3.30   6.94   4.65   7.65   9.94   6.00   5.69   9.20   2.11   0.65   6.67   6.86   7.34
199305   8.26   5.70  22.70   5.91   9.71   1.88  13.01   4.62   9.93   2.60   8.45  13.12   7.90  11.31   0.75   2.77  10.14   4.61   4.11  11.43   2.06  -0.35   4.97   8.11   5.31
