This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 OP portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199208  -6.34  -2.45  -2.93  -3.20  -4.27  -6.97  -6.82  -5.42  -5.86  -6.07  -6.80  -5.47  -4.44  -3.96  -5.63  -6.39  -7.87  -6.03  -3.83  -8.23  -7.62  -4.12  -6.67  -5.79  -5.59
199209  -1.38  -1.56  -0.59  -1.02  -0.11  -0.49  -0.19  -0.08  -3.74  -3.06  -1.37  -0.26  -4.42  -2.08   3.48  -0.81  -0.07  -3.52  -2.73   0.10  -4.52  -0.89  -2.58  -1.67  -4.07
199210  -3.00  -1.58   2.36   8.44  -1.00  -1.93   3.11   5.27  -0.79   1.88   0.51  -0.35   2.86   2.59   9.22   3.21   2.15   2.26  -3.96   3.04   8.04   4.97   5.21   1.28   1.33
199211  -0.28   2.01   1.25   6.98   2.14   3.13   0.88   3.50   2.95   0.09   0.91   7.54  -1.76   0.26  -0.94   2.55  -1.55  -0.11   0.13   0.17  -5.27  -2.37  -5.68  -2.32   0.56
199212   2.42  10.63   2.44  -0.15   2.29   2.62  -1.17   0.94   2.91   1.46  -0.09   0.74  -0.28   0.66   3.47   1.30  -4.37   0.69   1.32   0.75  -5.43  -3.66  -1.47   4.06   6.13
199301   2.63   0.28   5.87   2.90   2.90   0.78   4.72   3.70   3.51   1.08  -0.71  -0.29   4.87   0.49   2.30   2.59   1.38   2.32   3.15   1.97   4.01  -0.48   1.84  -0.03   0.63
199302   9.00   8.02   8.27   6.10   5.55   7.48   6.96   6.25   8.19   3.72   7.59   6.08   4.78   7.76   9.25   6.26   8.18   3.84   5.40   7.80  10.12  11.49  10.44   7.00   6.69
199303  10.26   6.67   5.75   5.57   6.11   5.07   6.19   4.90   7.06   6.88   7.45   4.26   3.21   5.43   9.78   2.84   2.60   1.74  11.39   5.90   0.21  -1.96   1.77   4.08   2.17
199304  10.71   7.21   8.66  12.90   5.91   7.58  17.71   5.69   9.71  13.31   7.42   9.81   6.31   5.33   6.99   9.43  10.65   7.61   3.31   6.19   8.62   6.14   7.36   3.35   1.53
199305  12.59   7.32   7.74  15.36   7.79  -1.20   8.33  12.74   9.21   6.29   6.29   5.59   7.20   5.11   5.63   4.86  12.56   5.52   4.74   3.92   6.63   6.51   7.12   2.48   2.94
199306   0.76   6.50   0.37   8.83  -1.41   9.07  -4.21  -2.99  -1.32   0.71  -1.67  -3.74  -1.61  -2.70  -2.78  -3.43  -4.29  -1.24  -1.64  -2.69  -4.23  -4.97  -3.90  -1.23  -2.44
199307  13.52   8.28   4.39   7.10   4.47  -1.59   1.96   1.01   3.45   2.07  -3.72  -1.28   3.21   4.15   1.55  -5.25   0.00   1.76   6.10   8.17   2.52   2.08   0.36   4.09   4.64
199308   4.49   7.43   6.65   5.94   5.86   5.92   6.34   3.16   8.46   4.57   7.03   4.96   4.90   1.98   4.03   8.86   7.29   9.33   3.75   1.64   7.29   9.45   6.13   3.40   9.54
199309  -6.22  -0.45  -2.40  -0.37  -5.53  -0.64  -5.27  -1.45  -0.82   1.72  -2.96   2.58  -3.82  -2.24  -1.09  -0.78  -0.26   0.56  -3.58  -3.98   1.46   3.74   1.71  -1.78   0.61
199310  11.23  11.69   6.63   9.37  11.26  10.82  14.84  10.32   7.96   9.39  12.82   6.87  12.15  16.80  13.92  12.70  17.45  12.56  11.92  12.76  22.76  15.49  20.68  10.96  17.61
199311  -2.82   7.44   1.46   0.44  -0.63  -1.88   1.18   1.01   0.39   0.62  -0.04   0.16   0.77  -5.09   0.71   1.34  -1.86  -3.27  -2.87   0.32  -1.25  -4.74   1.20  -3.76  -4.74
199312  18.13  11.22  16.52  17.27   9.94  15.50  19.09  15.29   9.93  12.93  18.92  20.97  21.34  13.17  16.12  18.72  15.77  11.37  13.02  12.53  26.07  24.93  31.26  16.06  14.99
199401  17.78  15.37   8.44  10.96   3.30   1.21   4.91   2.45   2.64  -1.62   3.64   3.29   1.82   7.91  -3.63  -3.92   3.61   3.58   8.67  -2.62   2.90  -1.01  -0.17   4.31  -0.72
199402   1.54  -0.95  -0.30  -0.66  -0.90  -0.22  -1.08   0.16   2.34  -3.97  -2.64  -2.71  -3.64  -5.88  -2.25   0.22  -5.19  -3.25  -4.28  -5.06  -7.38  -6.48  -8.94  -5.83  -7.74
199403 -10.76 -10.30  -7.72  -8.68  -9.29 -12.36 -14.46  -8.02  -7.51  -5.24 -10.73  -9.35  -8.23 -11.40  -8.35 -14.70  -9.58  -9.72  -6.84  -4.35 -10.43 -11.17  -8.42  -9.98  -9.27
199404  -0.21  -0.01   0.45  -0.10  -1.56   3.93   4.37   1.45   2.02  -0.42   0.68   7.65   3.63   1.03  -0.22   6.82  -0.69   4.69   1.24  -0.51   2.77   2.59  -0.78   2.59   6.47
199405   1.16   2.17   0.64   1.60  -0.33   0.61   2.39   2.58  -0.74   0.64  -0.68   1.65   0.80   3.09   2.18  -0.15   3.59   0.36   2.05   5.12   3.71   4.14   7.29   4.11   6.24
199406  -1.83  -2.89  -3.74  -2.53  -5.03  -4.29  -5.95  -4.98  -2.11  -4.04  -4.78  -3.39  -4.34  -5.16  -6.17  -5.83  -6.57  -1.51  -5.30  -2.48  -8.02  -7.95  -7.98  -4.72  -4.64
199407   2.98   0.28   2.97  -0.61  -0.55   2.68   1.31   3.41   0.39   0.42   0.72   3.14   3.53   3.16  -0.77   4.38   3.82   2.60   4.22   3.24   6.08   7.83   5.99   5.65   3.64
199408   0.23   5.73   2.86   0.26   0.17   1.68   1.20   3.56   1.50   0.50   3.96   4.63   1.91   1.81   1.98   2.63   0.55   2.41   4.31   1.70   3.04   6.36   4.63   3.94   4.08
199409  -1.62  -2.78  -0.45  -1.06  -2.50  -1.14   0.35  -0.37   2.29  -1.90  -0.31  -0.36  -1.50  -3.02  -0.52  -0.05   0.49  -0.65  -0.26  -0.42  -0.83  -2.39  -1.21  -4.18  -3.73
199410  -2.77  -1.61  -0.72  -1.24  -2.09  -0.79  -1.41   0.70  -4.04  -1.38   1.32   2.40  -0.94  -3.43  -0.45   3.24   3.48   3.10  -1.56  -1.53   1.49   1.37   1.75   2.22   1.52
199411  -8.20  -4.19  -3.41  -5.35  -5.51  -9.89  -6.47  -4.72  -6.93  -7.32  -7.87  -7.85  -5.74  -6.86  -8.20 -11.57 -10.51  -4.19  -6.50  -7.50 -14.49 -10.85  -7.85  -2.19  -8.47
199412  -2.50  -3.59   0.59  -3.18  -2.53  -4.20  -4.07  -0.91  -4.18  -3.71  -3.00  -0.51   0.32   0.66  -1.61  -2.06  -1.89   3.06  -1.27  -0.88  -3.45  -2.08  -0.40   1.80  -1.64
199501  -7.35  -8.04 -11.46  -7.43  -7.10  -7.58 -11.01  -8.31  -6.36  -8.32  -8.56  -8.09  -9.20  -5.95  -7.98  -9.59  -8.06  -7.84  -6.63  -9.01 -10.20  -7.90  -8.14  -8.05  -2.37
199502  -2.20   1.09  -2.40  -2.79  -2.53   0.44   5.15  -0.97   0.91   1.45   1.47   1.58   4.71   5.41   1.56   5.73   4.86   1.07   1.52   2.02  10.21  14.72   9.51   2.67   2.89
199503  -2.80  -2.13   1.15  -1.44  -0.86  -1.02   0.37  -1.80  -2.08  -1.37   0.51  -3.14  -0.91   1.37   1.20  -0.43   0.50  -1.33  -1.22   1.27   1.18   1.12   0.46   1.35   2.55
199504   1.80   0.68  -0.04   1.17   0.30   0.28   0.95  -0.62  -0.14   1.87  -0.61   1.07   2.74   2.60   1.69   3.05   1.15   3.19   3.73   3.80  -2.55  -0.79   1.20   4.32   2.21
199505  -1.96  -0.61  -2.43  -1.16   3.10   1.68   1.98   1.49   1.45   3.48   3.02   4.62   2.49   2.87   2.20   5.49   4.10   1.08   1.86   3.19   9.02   8.77   7.03  -0.02   4.38
199506  -2.93   0.47  -0.38   0.80   2.87   0.54   0.03   0.42  -0.46   0.65   1.34  -6.72  -0.36  -1.45   1.22  -1.42   3.48  -1.32  -1.36  -2.41  -4.13  -0.30  -1.91  -2.10  -3.82
199507   5.97   7.81  10.63  10.60  10.92   9.76   6.77   6.39   8.67   6.93   6.54   3.45   8.53  11.43   9.85   4.53   3.79   5.61   7.97   4.55   1.56   3.94   4.95   7.63   4.75
199508   6.73   4.04  11.72   6.01   4.83  -0.64   2.13   2.88   6.04   2.16  -0.28   3.04   0.29   0.68   2.50  -2.61  -3.55  -1.14   0.54   4.49  -6.48  -3.03  -1.51  -0.05  -0.55
199509  -0.60   2.85  -1.11   1.10   2.98   1.85   2.86  -1.64   3.79   3.42   0.50  -0.49   1.41  -0.59   4.17   0.43   0.88   0.53   2.88   2.63   3.36   4.51   1.69   3.05   0.33
199510  -3.54  -3.00  -4.35  -3.55  -0.08  -3.18  -0.28  -2.11  -2.86  -1.51  -3.01  -1.26  -0.80  -1.77  -3.30   0.27  -1.84  -2.07  -2.44  -2.19   3.28  -1.15   0.59   0.69   0.07
199511   2.21   0.97   7.91   4.41   3.93   0.98  -0.79   0.91  -1.26   0.61   0.42  -1.02  -0.66   0.05   1.79   1.00   1.27   0.93   2.00   0.96  -0.14   1.95   1.59   1.07   1.24
199512  -1.78   0.31   1.58   0.38  -2.45   3.94   3.87   1.85   2.90   1.11   2.59   3.26   2.42   2.21   4.14   2.00   3.75   2.77   3.46   2.09   3.81   4.61   3.46   1.32   4.31
199601   8.31   6.42   3.73   5.50  11.17   9.86   7.98   8.26   6.34   7.06   6.58   9.44   7.07   5.10   6.07   8.14  10.83   5.54   5.94  13.99  16.18  11.59   6.31   8.32   6.35
199602   5.84   3.64   0.04   1.98   4.24  -0.05  -0.92   4.44   2.28   2.92   2.75   1.76   2.96   1.85   1.16   2.96   4.01   1.20   2.74   0.94  -1.59  -1.66   1.09   0.62   1.63
199603   0.46  -1.42  -1.07  -0.08  -0.69  -1.31  -0.73  -0.70  -0.89  -0.25  -2.15   0.96  -0.73   2.68  -0.05  -0.34   0.52   1.21   1.35  -1.36  -0.32  -0.59  -0.79  -0.23  -1.62
199604   1.98   0.88   5.73   1.67   2.74   8.61   3.93   2.12   2.84   1.19   1.63   3.34   3.86   1.35   4.19   4.42   1.56   1.63   2.32   2.74  -0.32   2.14   1.09   4.01   1.16
