
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198006   3.80   2.94   4.10   3.29   3.59   1.08   4.73   2.20   5.20   2.38
198007   0.23   0.22   1.27  -0.59   0.77  -0.54   0.07   0.58   1.07   1.18
198008  -0.27   0.28   0.58   0.65  -0.54  -1.51  -0.55  -1.31   0.35   5.97
198009   0.39  -2.03   1.68  -0.37   1.15  -2.80   0.46  -0.84   0.52  -2.95
198010  -0.27  -2.14   1.59   0.86   1.03  -4.94  -0.28  -2.35   1.10  -5.51
198011  -2.07  -4.72  -1.35  -2.26  -2.13  -3.22  -3.14  -3.61  -2.89  -5.13
198012  -3.92  -3.54  -4.09  -3.48  -3.98  -5.08  -3.95  -3.23  -3.37  -2.66
198101  -7.08  -7.21  -6.18  -8.38  -5.28 -10.01  -8.89  -6.80  -5.98  -8.35
198102   0.56   3.48   0.24  -0.02   2.32   4.87   0.84   0.85   0.61   4.99
198103   2.10   3.61   0.20   4.83   1.78   5.14   0.22   2.63   1.08   4.53
198104  -3.64  -2.70  -4.00  -3.03  -2.82  -4.59  -3.22  -2.74  -3.82  -4.03
198105  -9.26  -8.94  -8.60  -9.28  -7.85  -9.03  -7.95 -10.51 -10.08  -7.12
198106  -2.07  -0.11  -3.06  -0.92  -1.86  -2.16  -2.69  -1.82  -3.49  -5.37
198107  -2.61  -4.67  -0.64  -3.13  -4.67  -5.32  -2.37  -5.76  -1.15  -2.75
198108   1.94   0.54   2.23   2.67   1.52   2.05   0.58   1.29   1.52   1.22
198109  -3.09  -3.63  -2.02  -3.29  -2.09  -3.37  -3.64  -1.74  -3.83  -4.80
198110   0.85   0.48   1.32   1.05   0.14  -0.02   0.98   1.60   1.02  -0.50
198111   7.21   7.49   6.74   7.19   6.05   3.76   5.77   7.05   6.74   6.08
198112  -3.57  -3.93  -3.61  -3.81  -3.00  -1.57  -3.86  -3.28  -2.86  -3.07
198201  -0.89   1.05  -1.68  -1.49  -1.52   2.01  -1.54  -1.17  -1.06   3.47
198202  -2.33  -0.30  -2.47  -2.29  -2.27  -0.95  -3.40  -0.50  -1.37   1.28
198203  -1.57  -2.04  -2.06  -3.34  -1.04  -1.28  -1.84  -1.48  -3.22  -0.19
198204   2.75   3.16   2.25   4.16   2.51   1.41   1.63   3.09   3.00   0.62
198205  -2.92  -4.10  -2.10  -4.78  -2.45  -4.80  -1.93  -4.19  -1.97  -2.01
198206 -10.57 -12.57  -9.75 -10.54 -10.07 -13.22 -10.51 -11.34  -9.15 -11.49
198207  -0.43  -0.73  -0.31  -2.02  -0.37  -1.20  -0.50  -2.52  -0.45  -0.02
198208  -0.54  -1.28  -0.22  -1.93   0.67  -2.74  -0.10  -1.40  -0.28  -1.86
198209  -0.79  -1.22   0.09  -0.95  -0.57   0.01  -0.20  -1.44  -0.42  -1.75
198210   0.60   1.05   1.23   2.00   0.88   2.88   0.04   1.53   1.49  -0.68
198211   4.50   5.20   4.94   4.83   4.48   3.78   4.09   4.98   6.90   8.60
198212   7.88   7.57   6.08   7.88   7.33   8.83   7.68   7.76   7.05   7.52
198301   0.45   4.25  -0.17   0.01   1.98   4.26  -0.58   1.40   0.40   4.38
198302   4.99   6.78   4.45   5.56   4.96   7.19   4.23   5.07   4.75   7.56
198303   7.04   7.75   5.60   6.93   6.89   6.73   4.87   7.16   7.30   6.11
198304   2.49   1.13   1.99   2.50   1.67  -0.81   2.82   1.25   2.12  -2.65
198305  -4.24  -3.43  -3.83  -5.33  -3.26  -2.58  -3.03  -4.50  -4.07  -0.48
198306   2.53   2.64   2.45   2.10   2.48   0.64   2.89   1.03   2.87   3.37
198307  -0.62  -0.08  -0.75   0.01  -1.64   0.51  -1.87  -0.92  -0.05  -0.14
198308  -4.15  -4.27  -4.41  -4.21  -5.57  -4.02  -4.13  -3.88  -4.22  -4.75
198309   3.20   3.63   4.83   3.65   3.74   3.56   2.32   2.49   4.71   4.34
198310   1.96   2.52   3.80   2.02   3.23   2.11   1.04   0.41   5.13   1.11
198311   0.92   1.52   0.79   1.04  -0.50   1.67   0.29   0.62   2.56   3.21
198312   1.50   2.57   0.81   1.29   1.30   2.58   1.11   1.98   1.11   2.60
198401   4.03   6.82   2.63   5.74   1.84   7.28   1.13   6.44   1.46   8.53
198402   2.04   1.98   1.22   3.69   1.90   2.10   1.55   3.83   1.17  -0.27
198403   1.20   1.17   0.85   0.72   1.92   1.71   1.56   1.20   0.15   1.64
198404  -2.16  -2.89  -2.46  -1.15  -2.55  -2.75  -2.46  -1.59  -2.87  -5.53
198405  -4.53  -3.94  -4.74  -3.77  -4.86  -3.42  -4.51  -3.48  -5.09  -4.98
198406  -1.46  -3.07   0.29  -2.50   0.74  -2.98  -0.52  -3.27   0.09  -1.46
198407  -8.06  -8.47  -7.42  -8.48  -6.97  -8.39  -6.94  -8.65  -7.40  -9.79
198408   8.24   7.44   7.66   9.24   8.93   8.24   8.27   8.35   8.64   8.59
198409  -0.59  -1.23  -0.77   0.55  -2.20  -1.35  -2.01   0.57  -1.46  -0.26
198410   0.25   1.45   0.90  -1.38   1.39   1.30   0.07  -0.57   1.57   2.24
198411  -1.76  -0.79  -2.51  -1.38  -2.45  -1.66  -1.59  -0.86  -3.53  -2.50
198412   0.27   0.68  -0.32   0.75  -0.78   0.76  -0.62  -0.07   0.13   1.44
198501   5.23   4.73   5.58   3.71   7.15   2.80   5.87   4.22   6.89   5.59
198502  -2.94  -3.68  -3.63  -1.90  -4.46  -2.78  -3.44  -2.45  -3.96  -1.03
198503   8.26   8.76   8.40   7.39   7.54   9.15   8.03   7.69   8.03   9.93
198504   2.71   1.18   3.52   2.54   2.56   1.65   1.42   2.58   2.60   1.38
198505   5.87   6.20   6.12   4.98   5.63   5.19   4.79   5.01   7.50   6.83
198506   3.83   3.87   5.19   1.74   6.01   2.82   3.21   2.01   4.59   7.30
198507   7.82   9.13   8.20   7.38   7.27   9.18   6.63   7.76   8.39   5.51
198508   5.76   7.19   6.27   5.53   5.91   5.84   4.08   4.62   5.97   9.80
198509   5.00   5.16   3.90   3.74   4.85   4.45   5.55   4.95   5.94   2.55
198510  10.91   9.81  11.95  10.58  11.15  10.18  10.31   9.64  12.75  11.71
198511   7.68   8.38   8.44   6.35   9.02   8.35   6.78   6.74   8.98   6.71
198512   9.42   8.46   8.79   6.33   9.89  10.38   8.08   5.33  10.27   8.88
198601   3.09   4.36   3.02   3.95   4.00   3.79   3.06   2.40   4.49  15.61
198602  11.59  15.57   8.64  15.29  10.64  16.07   7.69  14.93   8.71  11.98
198603   8.59   8.41   8.69   7.89   9.51   7.73   5.91   6.15   8.91   9.19
198604  10.23   7.16  13.36   9.56  13.44   8.55  10.20   9.84  10.71  11.88
198605  -8.66 -10.00  -7.26  -9.09  -7.41  -9.55  -6.83  -8.81  -7.24 -10.82
198606   1.27   0.26   1.33   0.23  -0.01  -0.22   2.88   0.78   0.75   1.96
198607   3.90   0.17   4.96   1.97   4.46   1.46   1.62   0.87   4.97   5.01
198608  12.88  14.46  12.78  13.20  13.69  13.01  12.10  12.89  12.78  11.34
198609  -4.80  -3.54  -5.16  -3.62  -5.55  -3.47  -4.54  -3.39  -6.13  -7.20
198610  -0.20  -1.08   0.99  -0.49   1.26  -0.23  -0.84  -1.67   1.78  -0.04
198611   5.91   3.62   7.26   3.82   7.05   1.82   6.88   3.96   7.31   3.79
198612   1.27   1.28   1.34   1.66  -0.04   1.04   1.42   1.39   1.03  -1.83
198701   3.22   3.66   1.22   3.81   2.76   4.37   2.66   3.87   2.20   6.22
198702  -3.12  -0.54  -3.74  -2.50  -3.10  -0.40  -1.19  -2.22  -3.39  -0.28
198703   4.70   3.82   4.77   5.11   3.78   3.72   4.45   4.47   4.34   2.52
198704   2.31   2.70   2.21   2.13   3.15   3.43   4.75   2.10   3.12   8.04
198705  -4.89  -3.96  -5.44  -3.65  -6.44  -3.62  -5.89  -3.86  -6.66  -3.77
198706   2.01   2.16   2.51   2.19   2.16   1.53   2.02   1.24   2.61  -0.31
198707   4.39   4.12   4.41   3.87   4.96   3.59   4.38   3.86   5.07   6.85
198708   2.16   2.80   2.12   2.51   2.44   3.50   2.99   2.24   1.73   5.45
198709  -2.40  -2.63  -2.66  -1.88  -2.27  -2.60  -2.06  -3.35  -2.74  -0.69
198710 -18.06 -16.02 -19.89 -15.84 -20.53 -15.64 -21.88 -12.73 -21.27 -18.96
198711  -3.05  -4.53  -3.35  -2.26  -3.71  -2.29  -6.14  -1.14  -5.09  -7.14
198712   2.54   0.99   3.84   0.93   4.22   0.26   4.34   2.22   3.49  -4.04
198801  -9.62  -9.12  -9.14 -10.68  -9.03  -9.35  -9.54  -9.20  -9.95 -11.68
198802  11.51  14.07  10.42  13.11   8.53  11.63   9.17  10.67  11.99  17.26
198803   0.72   1.41   0.56   0.51   1.59   2.04   2.49   0.48   0.53   5.79
198804  -0.01   0.36  -0.29   0.15   0.87   1.81  -0.68  -0.56   0.77  -3.82
198805  -2.15  -1.39  -2.24  -1.62  -3.00  -1.56  -2.14  -2.58  -2.49   1.07
198806   0.91   2.50   0.98   2.06  -0.16   3.69   0.24   0.39   1.26   1.22
198807  -1.50  -1.53  -1.30  -2.40  -1.18  -3.76  -1.93  -1.23  -1.49   0.24
198808  -1.92  -2.01  -2.44  -1.02  -1.96  -1.75  -2.21  -2.14  -2.54  -1.31
198809   5.79   6.55   6.41   5.82   6.04   5.86   4.30   5.44   6.06   3.54
198810   8.66   8.23   8.66   9.37   7.59   8.52   7.71   8.38   8.81   8.31
198811   1.77   1.79  -0.07   4.03   1.20   2.67  -1.44   3.22   0.27   1.65
198812   1.27   3.42   0.37   2.58   0.81   3.01   0.44   1.48   0.46   4.19
198901  -1.79  -0.93  -2.82  -2.50  -1.67  -0.31  -0.18  -0.46  -2.86   3.01
198902  -0.37   0.62  -0.63   0.23  -0.78   0.89   0.25  -0.68   0.31   6.46
198903   0.06   0.74  -0.35  -0.52  -0.09   0.55  -0.62   0.28  -0.07   2.50
198904   4.06   4.35   4.02   4.56   4.99   5.12   5.76   4.42   4.63   3.49
198905  -3.60  -3.02  -4.91  -2.82  -4.60  -1.16  -3.77  -3.36  -5.04  -1.87
198906   5.03   5.26   4.94   5.57   5.55   6.14   5.10   3.99   6.57   6.18
198907   9.28   8.00  11.55   7.94  11.30   5.57   9.05   7.60  11.42   3.17
198908  -0.91  -0.75  -0.04  -0.14  -1.80   0.01  -0.70  -2.10  -0.16  -1.04
198909   4.50   4.30   4.78   3.15   5.41   4.59   5.90   3.22   4.91   7.16
198910  -5.22  -4.79  -5.30  -5.61  -5.33  -4.51  -5.77  -4.30  -6.38  -9.75
