This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 D/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  D/P is the total dividends paid from July of t-1 to June of t per dollar of equity in June of t.
Firms with negative or zero
D/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
192707   4.79   5.83   4.65   7.87   8.36   6.15
192708  -0.40   0.20   0.46   3.30   2.17   1.85
192709   1.66   4.36   0.54   4.81   5.14   4.03
192710  -2.15   0.08  -1.87  -4.87  -3.57  -2.97
192711  10.91   6.62   8.23   6.68   6.47   8.48
192712   5.32   4.91   4.57   1.55   2.17   5.31
192801   6.38   1.76   3.64  -0.72  -0.18  -2.90
192802  -4.08  -1.98  -2.36  -2.34  -0.55  -0.50
192803  10.40   5.83   6.75   8.54   9.80   5.98
192804  11.82   3.09   6.30   3.64   3.06   5.40
192805   3.25   3.54   4.98   0.82   1.95   2.98
192806  -7.34  -5.63  -7.64  -3.86  -3.78  -4.47
192807   2.20   1.26  -1.89   1.39   0.83  -0.20
192808   4.71   7.67   2.55   9.69   6.03   6.53
192809   1.95   3.15   4.64   2.02   3.04   2.98
192810   9.29   2.39   1.59   2.44   1.48  -0.18
192811   7.72  11.22   6.04  17.05   9.45   9.78
192812  -0.33   1.55   0.35   1.26  -0.09   3.06
192901   6.51   0.79   0.97   4.26   6.22   5.21
192902  -1.74  -0.93   4.34  -1.25   0.24   0.92
192903  -3.27  -4.88  -4.98  -0.83   0.18  -0.75
192904   2.03   2.65   0.12   3.18   1.61  -1.68
192905  -9.18  -8.30  -9.42  -2.89  -5.70  -7.92
192906   6.62   9.98   6.25  14.17   9.20   5.82
192907   2.82   2.00   0.33   5.48   4.43   2.18
192908  -2.21   3.13   0.29  11.53   8.91   3.39
192909  -2.45  -5.02  -2.62  -3.52  -5.77  -5.05
192910 -22.59 -19.24 -14.78 -24.81 -12.89 -13.44
192911 -17.56  -9.58  -8.97 -14.20 -10.99  -2.68
192912   2.05  -0.63  -3.49   4.20   0.46  -3.81
193001   4.16   7.64   6.74   6.37   4.14   3.83
193002  -0.12   1.39   2.69   3.40   2.09   1.92
193003   8.33   6.10   7.37   8.21   6.39   3.87
193004  -4.08  -2.29  -3.47   1.14  -4.34 -10.58
193005  -1.09  -2.97  -1.53  -2.00   0.23   1.41
193006 -18.51 -15.23 -13.69 -17.87 -12.17 -13.20
193007   5.78   3.96   5.17   3.67   5.10   4.47
193008   0.33  -2.87  -3.94   1.95  -0.72  -6.07
193009 -10.13 -12.84 -16.23 -11.32 -11.85 -15.20
193010  -6.53  -9.76  -7.99  -7.96  -8.80 -11.02
193011  -4.57  -2.60   0.35  -2.67  -2.18  -0.03
193012  -7.78 -10.82 -13.98  -6.14  -7.08 -12.30
193101   3.70   9.88  13.38   4.41   8.19   6.86
193102   7.79  10.62  16.42   9.76   9.57  15.56
193103  -6.22  -4.30  -7.25  -5.73  -6.85  -6.02
193104 -11.01 -13.33 -16.46  -8.42  -8.94 -18.02
193105  -4.95 -10.19 -11.57 -12.48 -14.07 -16.42
193106   3.33   9.56  13.39  12.94  14.54  19.29
193107  -5.35  -7.19  -7.55  -5.49  -7.05 -11.17
193108  -4.57  -0.42  -1.08   0.25  -0.73   2.88
193109 -30.18 -27.94 -32.55 -27.94 -27.83 -34.79
193110   5.36  11.33   9.91   8.99   4.95  12.15
193111  -3.66 -10.30  -5.18  -6.83 -12.05  -9.56
193112 -15.30 -14.89 -18.29 -11.02 -16.07 -19.91
193201   0.05   2.42   8.96  -2.86  -0.07   1.39
193202   2.02   4.22  -4.42   6.66   3.99   2.27
193203  -9.16 -10.34 -10.68  -8.95 -14.31 -11.61
193204 -15.81 -15.15 -18.83 -17.07 -19.49 -18.27
193205 -15.25 -21.27 -21.15 -18.83 -23.10 -21.49
193206   7.06   1.80   5.34  -2.42   1.03   3.81
193207  26.25  31.38  42.71  24.32  36.30  55.58
193208  50.29  50.90  54.44  27.85  36.60  52.86
193209 -11.10  -4.62  -5.38  -2.69  -3.51   0.46
193210 -17.20 -17.12 -19.58  -8.17 -13.48 -21.47
193211  -7.15  -6.36  -6.52  -4.69  -6.01  -6.62
193212  -3.59  -3.02  -4.67   3.43   6.54   5.50
193301  -1.36   5.20   8.95  -0.57   1.51   8.31
193302 -15.31 -16.43 -16.47 -12.58 -15.88 -19.65
193303  11.61   2.39  10.81  -0.88   4.72   9.55
193304  42.55  40.51  52.19  27.23  44.19  49.88
193305  58.58  45.39  49.11  16.39  18.35  26.85
193306  21.19  17.90  17.04  10.07  12.77  18.06
193307 -13.49  -7.52  -8.45 -10.51  -7.83  -6.54
193308  14.53   7.51   7.92  17.58  11.45   4.14
193309  -9.92  -6.99  -5.56 -11.64  -7.52  -7.34
193310 -14.68  -5.69  -7.00  -6.89  -5.74  -6.88
193311   7.68   4.53   3.22  18.98   8.17   3.95
193312   7.27   7.19   3.26   7.07  -0.31  -1.56
193401  24.32  23.43  13.94  10.32   9.83   8.07
193402  -2.48  -4.53   3.12  -2.92  -3.08   0.08
193403   3.42   6.68   4.70  -0.46   0.11   0.60
193404  -1.83   1.16   1.60  -3.21  -0.74   0.66
193405  -9.49  -6.14  -4.29  -8.80  -4.55  -3.63
193406   2.53   3.96   4.93   2.25   3.13   2.67
193407 -18.09 -19.44 -11.46 -10.69  -7.46  -6.48
193408   7.68  14.56   4.04   6.55   5.51   2.22
193409   2.75   2.22  -1.46  -1.96   0.39   0.72
193410   5.12   0.73  -1.72  -2.84   0.18  -0.98
193411  11.16   8.75   7.96   9.55   9.55   3.46
193412   2.36   6.16  -2.21   2.30   0.87  -2.20
193501  -4.33  -1.86  -0.25  -3.33  -2.71  -1.59
193502   0.26   1.27  -4.26  -1.79  -0.13  -0.43
193503  -1.92  -4.67  -5.77  -3.66  -3.76  -1.30
193504   4.31   7.46   5.81  12.15   7.00   7.91
193505   1.74   4.89  -0.17   3.67   2.41   5.09
193506   8.93   3.27   6.14   5.40   5.40   6.54
193507   5.37  10.33   2.96   6.39   6.90   5.48
193508   2.21   0.79   4.75   2.48   1.71   1.76
193509   4.23   6.16   0.19   3.96   2.13   1.93
193510   9.09   8.45   5.96   6.70   7.15   4.73
193511   8.57   7.52   3.86   2.98   2.48   7.29
193512  12.18   1.61   9.17   4.02   4.25   1.93
193601   3.23   3.23   3.12   6.51   6.04   5.75
193602   7.70   2.82   0.80   2.01   1.03   2.58
193603   2.86   3.36   1.68   0.75   2.98  -2.64
193604 -12.31  -8.65  -8.67  -7.07  -7.64  -5.74
193605   5.75   5.67   1.73   4.90   4.24   6.02
193606   2.44   0.06   3.36   2.90   3.70   2.59
193607  10.67   5.99   5.87   8.56   5.46   3.83
193608   0.33   1.36   0.87   1.46   0.14   0.47
193609   3.75   6.54   1.54  -0.08   1.44   0.62
193610   4.99   3.57   8.25  10.74   6.09   4.67
193611   8.22   7.17   7.63   3.62   3.15   1.80
193612   5.91   1.91  -2.01   1.99  -1.01  -3.31
193701   4.82   4.98   5.36   3.69   0.91   2.53
193702   0.73   3.15  -0.76   2.22  -0.17  -1.65
193703  -3.06   1.41  -0.87   1.39  -2.37  -3.16
193704  -8.32  -9.84  -7.31  -7.54  -5.25  -6.24
193705  -1.25  -0.36  -0.41   0.23  -0.61  -0.53
193706  -8.95  -7.35  -3.33  -2.41  -4.56  -4.06
193707   6.73   8.98   7.70   8.16   7.90  11.34
193708  -6.76  -2.63  -2.81  -5.48  -4.35  -2.98
193709 -20.43 -19.11 -15.89 -15.09  -9.06 -11.68
193710 -11.49 -10.07  -8.78 -10.17  -7.18  -9.98
193711 -10.78 -11.47 -12.23  -8.05  -6.62 -10.99
193712 -11.10  -8.80 -10.10  -0.79  -3.87 -10.62
193801   2.83   4.62   5.61  -1.65   0.37   7.32
193802   9.58   6.20   4.91   7.59   3.79   4.62
193803 -30.89 -25.06 -25.22 -25.35 -20.20 -23.81
193804  23.11  15.06  18.75  13.68  14.41  13.96
193805  -8.96  -4.46  -5.56  -5.23  -1.23  -4.13
193806  29.64  24.70  24.53  27.47  17.29  26.43
193807  16.26  11.84  13.76   6.21   6.79  10.39
193808  -7.37  -2.51  -5.55  -2.89  -1.53  -4.03
193809  -3.90  -2.91  -1.45   1.64   0.95  -0.70
193810  15.51  13.79  10.68   7.53   5.50  12.45
193811  -4.98  -3.15  -2.87  -1.40  -1.57  -1.69
193812   5.01   4.15   2.19   4.86   3.27   3.06
193901  -7.83  -9.00  -7.24  -7.21  -3.85  -7.21
193902   4.65   5.58   6.23   1.62   4.08   6.42
193903 -22.46 -15.68 -13.87 -12.20  -9.51 -13.22
193904  -0.99  -0.77  -0.23  -1.49   0.48  -0.13
193905   9.09  11.18   9.02   6.36   6.32   8.58
193906  -8.92  -6.23  -4.13  -5.93  -4.17  -5.69
193907  14.65  10.99  12.91   9.57   8.66   9.24
193908 -11.24  -9.19  -9.10  -5.80  -5.55  -6.97
193909  25.13  26.80  15.84  17.60  10.12  12.06
193910   1.31   1.56   6.08  -1.43   0.91   0.55
193911  -4.39  -5.65  -2.61  -3.56  -1.27  -3.13
193912   3.72   4.07   2.57   3.13   3.11   2.20
194001  -2.27  -0.73   1.08  -3.12  -1.24   0.81
