yearmo,SENT^ ,SENT,pdnd,ripo,nipo,cefd,se,sd,s,,indpro,consdur,consnon,consserv,recess,employ,cpi
196501.0000,.,.,29.2012,16.7000,6.0000,.,131.1667,726.0833,0.2249,,31.1818,61.0000,157.3000,206.1000,0.0000,59582.0000,31.2000
196502.0000,.,.,27.2308,1.2000,7.0000,.,154.1667,637.0833,0.2290,,31.3757,65.4000,159.0000,207.1000,0.0000,59800.0000,31.2000
196503.0000,.,.,26.2920,34.9000,13.0000,.,142.1667,1215.0833,0.2245,,31.7911,68.4000,157.0000,207.9000,0.0000,60003.0000,31.3000
196504.0000,.,.,25.6840,17.7000,24.0000,.,162.1667,1070.0833,0.1511,,31.9295,67.3000,160.0000,209.7000,0.0000,60259.0000,31.4000
196505.0000,.,.,24.4915,20.0000,13.0000,.,449.1667,1324.0833,0.1665,,32.1788,65.1000,161.3000,211.1000,0.0000,60491.0000,31.4000
196506.0000,.,.,27.5853,7.2000,8.0000,.,309.1667,1728.0833,0.1561,,32.4280,62.0000,161.0000,212.3000,0.0000,60690.0000,31.6000
196507.0000,-2.1100,-1.9148,26.4476,35.3000,8.0000,19.2747,122.1667,1322.0833,0.1436,,32.7326,63.5000,163.8000,213.7000,0.0000,60965.0000,31.6000
196508.0000,-2.1662,-1.9243,24.7329,28.0000,8.0000,19.6852,93.1667,837.0833,0.1408,,32.8711,66.0000,163.4000,215.0000,0.0000,61228.0000,31.6000
196509.0000,-2.0483,-1.8178,23.1732,-5.3000,17.0000,17.5768,168.1667,1370.0833,0.1390,,32.9542,70.6000,165.0000,216.4000,0.0000,61490.0000,31.6000
196510.0000,-1.9059,-1.6566,21.0132,-4.4000,11.0000,13.5942,124.1667,861.0833,0.1340,,33.2865,69.5000,170.6000,218.4000,0.0000,61719.0000,31.7000
196511.0000,-1.7977,-1.6740,16.1273,1.5000,20.0000,13.9602,257.1667,1142.0833,0.1413,,33.4249,69.1000,169.8000,220.2000,0.0000,61996.0000,31.7000
196512.0000,-1.7495,-1.6881,12.3574,0.1000,11.0000,13.8991,159.1667,1487.0833,0.1421,,33.8403,68.8000,171.2000,221.6000,0.0000,62322.0000,31.8000
196601.0000,-1.7853,-1.7274,11.2016,-5.8000,5.0000,16.0091,187.0833,1152.0000,0.1413,,34.1726,70.2000,172.5000,222.4000,0.0000,62529.0000,31.8000
196602.0000,-1.9107,-1.8317,8.5490,33.1000,4.0000,19.1794,130.0833,1143.0000,0.1359,,34.3942,72.3000,174.3000,223.6000,0.0000,62796.0000,32.0000
196603.0000,-1.6725,-1.5895,7.6430,21.0000,9.0000,16.0028,417.0833,2064.0000,0.1426,,34.8649,74.4000,175.4000,225.2000,0.0000,63192.0000,32.1000
196604.0000,-1.6630,-1.6195,2.6350,25.0000,16.0000,18.3215,210.0833,1371.0000,0.1425,,34.9203,72.5000,177.7000,226.8000,0.0000,63437.0000,32.3000
196605.0000,-1.5578,-1.5516,4.9117,-3.6000,10.0000,17.9505,69.0833,1037.0000,0.1265,,35.2526,68.7000,176.2000,228.2000,0.0000,63712.0000,32.3000
196606.0000,-1.4120,-1.4857,2.2596,18.0000,13.0000,15.0015,811.0833,1616.0000,0.1514,,35.4188,68.0000,177.9000,229.6000,0.0000,64111.0000,32.4000
196607.0000,-1.3130,-1.3877,2.4135,8.3000,8.0000,14.6787,110.0833,975.0000,0.1538,,35.6126,69.6000,179.7000,231.3000,0.0000,64301.0000,32.5000
196608.0000,-1.1213,-1.2209,3.0193,0.3000,5.0000,12.9739,137.0833,1575.0000,0.1497,,35.6403,72.3000,179.1000,231.8000,0.0000,64507.0000,32.7000
196609.0000,-1.3647,-1.3251,3.8807,-0.4000,1.0000,15.0601,67.0833,1333.0000,0.1453,,35.9726,75.1000,180.5000,233.5000,0.0000,64643.0000,32.7000
196610.0000,-1.3082,-1.3326,11.9428,-9.4000,5.0000,15.9377,137.0833,755.0000,0.1468,,36.2218,73.4000,180.0000,234.9000,0.0000,64854.0000,32.9000
196611.0000,-1.2826,-1.2889,5.0797,-4.1000,5.0000,16.4451,111.0833,1004.0000,0.1410,,35.9726,72.3000,180.7000,237.1000,0.0000,65019.0000,32.9000
196612.0000,-1.2297,-1.1756,2.8646,2.3000,3.0000,15.7038,126.0833,1535.0000,0.1390,,36.0557,72.2000,180.5000,239.1000,0.0000,65199.0000,32.9000
196701.0000,-1.0635,-1.0834,1.1088,44.7000,2.0000,13.6014,91.0833,1592.9167,0.1312,,36.2258,72.5000,181.5000,240.3000,0.0000,65407.0000,32.9000
196702.0000,-0.9161,-1.0453,-0.7174,7.9000,4.0000,14.9652,156.0833,1261.9167,0.1316,,35.8149,69.9000,182.7000,240.4000,0.0000,65429.0000,32.9000
196703.0000,-0.9505,-1.1551,-2.3804,22.6000,4.0000,16.8891,143.0833,2218.9167,0.1176,,35.6130,71.0000,182.9000,241.9000,0.0000,65530.0000,33.0000
196704.0000,-0.9964,-1.0718,-4.9175,8.0000,12.0000,18.2448,238.0833,1777.9167,0.1164,,35.9489,74.3000,183.6000,243.4000,0.0000,65466.0000,33.1000
196705.0000,-0.9671,-1.1256,-8.3335,20.7000,8.0000,16.8968,158.0833,1360.9167,0.1185,,35.6353,74.0000,183.6000,244.7000,0.0000,65620.0000,33.2000
196706.0000,-0.9287,-1.0318,-13.6194,43.3000,5.0000,16.1139,330.0833,2342.9167,0.0924,,35.6308,75.2000,184.9000,246.7000,0.0000,65750.0000,33.3000
196707.0000,-0.9033,-1.0111,-15.8249,35.1000,7.0000,14.6455,215.0833,2374.9167,0.0908,,35.5497,74.4000,183.7000,248.6000,0.0000,65888.0000,33.4000
196708.0000,-0.9461,-0.9962,-16.8649,53.8000,12.0000,13.3216,249.0833,2230.9167,0.0927,,36.2308,73.6000,185.8000,250.4000,0.0000,66143.0000,33.5000
196709.0000,-0.7359,-0.8987,-18.8215,36.7000,9.0000,11.8836,214.0833,1548.9167,0.0978,,36.1720,76.0000,187.8000,251.7000,0.0000,66164.0000,33.6000
196710.0000,-0.9369,-1.0197,-23.3633,27.6000,12.0000,10.2544,469.0833,1940.9167,0.1056,,36.4666,74.1000,185.1000,252.9000,0.0000,66225.0000,33.7000
196711.0000,-0.5870,-0.6727,-21.9520,47.7000,14.0000,7.3228,303.0833,1195.9167,0.1119,,36.9881,75.1000,187.8000,254.5000,0.0000,66703.0000,33.8000
196712.0000,-0.2804,-0.3518,-27.1952,103.8000,11.0000,2.1025,277.0833,2106.9167,0.1147,,37.3865,77.7000,190.7000,256.8000,0.0000,66900.0000,33.9000
196801.0000,-0.1531,-0.1857,-20.2643,63.9000,15.0000,0.9420,322.0833,1449.0000,0.1236,,37.3462,79.7000,191.3000,259.9000,0.0000,66804.0000,34.1000
196802.0000,0.0597,0.0336,-14.4395,32.1000,14.0000,-3.1058,227.0833,1381.0000,0.1255,,37.4801,79.5000,193.0000,261.2000,0.0000,67215.0000,34.2000
196803.0000,-0.1007,-0.0269,-14.8786,39.4000,21.0000,-0.2847,440.0833,1359.0000,0.1405,,37.5970,83.4000,196.4000,264.6000,0.0000,67295.0000,34.3000
196804.0000,-0.2032,-0.1318,-23.3261,56.0000,18.0000,2.1918,270.0833,1157.0000,0.1453,,37.6515,81.4000,195.8000,266.8000,0.0000,67556.0000,34.4000
196805.0000,-0.0899,0.1345,-28.4963,96.0000,28.0000,0.4179,300.0833,1567.0000,0.1490,,38.0738,84.0000,197.3000,268.5000,0.0000,67652.0000,34.5000
196806.0000,0.0618,0.3160,-27.2637,75.6000,23.0000,0.6370,385.0833,2025.0000,0.1529,,38.2137,83.8000,200.3000,272.2000,0.0000,67905.0000,34.7000
196807.0000,0.3423,0.5455,-26.2582,60.6000,30.0000,-0.7357,371.0833,1772.0000,0.1625,,38.1551,86.9000,202.6000,273.7000,0.0000,68126.0000,34.9000
196808.0000,0.5877,0.6899,-26.7278,45.6000,24.0000,1.5497,396.0833,1037.0000,0.1766,,38.2615,87.6000,203.7000,275.6000,0.0000,68330.0000,35.0000
196809.0000,0.7191,0.8772,-29.1025,67.6000,29.0000,0.3076,398.0833,1159.0000,0.1864,,38.4065,88.1000,202.2000,277.9000,0.0000,68484.0000,35.1000
196810.0000,1.2259,1.3012,-26.6529,36.6000,53.0000,-4.0707,524.0833,1604.0000,0.1913,,38.4827,88.1000,203.5000,280.0000,0.0000,68721.0000,35.3000
196811.0000,1.3074,1.3942,-28.6840,53.4000,52.0000,-3.2418,466.0833,1301.0000,0.1963,,38.9805,87.5000,207.0000,282.3000,0.0000,68984.0000,35.4000
196812.0000,2.0940,2.1456,-33.7925,43.5000,61.0000,-10.9100,483.0833,1572.0000,0.2086,,39.1036,87.9000,204.5000,284.2000,0.0000,69248.0000,35.5000
196901.0000,1.9983,2.0269,-31.2390,37.0000,68.0000,-9.4175,459.7500,1616.0833,0.2120,,39.3402,90.1000,207.3000,286.1000,0.0000,69439.0000,35.6000
196902.0000,1.8465,1.9535,-23.1050,20.4000,54.0000,-9.9145,807.7500,1237.0833,0.2335,,39.5919,90.8000,209.3000,288.6000,0.0000,69699.0000,35.8000
196903.0000,1.9816,2.0149,-22.7313,12.0000,88.0000,-8.9120,754.7500,1344.0833,0.2441,,39.9024,89.1000,209.9000,289.8000,0.0000,69905.0000,36.1000
196904.0000,2.4035,2.3987,-20.7974,23.1000,76.0000,-8.1861,829.7500,1917.0833,0.2539,,39.7555,90.4000,210.8000,292.7000,0.0000,70072.0000,36.3000
196905.0000,2.8418,2.7859,-20.0570,22.8000,72.0000,-7.1954,693.7500,1381.0833,0.2678,,39.6053,90.5000,213.6000,296.3000,0.0000,70328.0000,36.4000
