This file was created using the 202005 Bloomberg database.

Missing data are indicated by -99.99.



,WML
19901101    ,1.42
19901102    ,0.49
19901105   ,-0.27
19901106   ,-0.11
19901107    ,0.68
19901108    ,0.71
19901109    ,0.36
19901112   ,-0.10
19901113   ,-0.69
19901114    ,0.35
19901115    ,0.75
19901116    ,1.33
19901119   ,-0.49
19901120    ,0.02
19901121   ,-0.06
19901122   ,-1.30
19901123   ,-0.19
19901126   ,-0.55
19901127    ,0.17
19901128   ,-0.15
19901129    ,0.10
19901130   ,-0.20
19901203   ,-0.76
19901204    ,0.06
19901205   ,-0.87
19901206   ,-0.91
19901207   ,-1.03
19901210   ,-0.15
19901211   ,-0.21
19901212   ,-0.64
19901213   ,-0.65
19901214    ,0.28
19901217    ,0.77
19901218    ,0.02
19901219   ,-0.31
19901220    ,0.30
19901221    ,0.61
19901224   ,-0.15
19901225    ,0.32
19901226   ,-0.27
19901227   ,-0.08
19901228   ,-0.02
19901231   ,-0.04
19910101   ,-0.04
19910102    ,0.14
19910103   ,-0.26
19910104   ,-0.20
19910107    ,0.20
19910108    ,0.34
19910109   ,-0.17
19910110    ,0.18
19910111   ,-0.18
19910114    ,0.03
19910115   ,-0.09
19910116    ,0.46
19910117   ,-1.06
19910118   ,-0.20
19910121    ,0.33
19910122    ,0.24
19910123    ,0.54
19910124   ,-0.20
19910125    ,0.03
19910128   ,-0.02
19910129    ,0.14
19910130   ,-0.23
19910131   ,-0.01
19910201    ,0.13
19910204   ,-0.63
19910205   ,-0.96
19910206   ,-1.03
19910207   ,-0.79
19910208   ,-1.22
19910211   ,-0.26
19910212   ,-0.88
19910213   ,-1.36
19910214   ,-1.36
19910215   ,-0.16
19910218   ,-1.39
19910219   ,-1.00
19910220    ,0.15
19910221   ,-0.05
19910222   ,-0.30
19910225   ,-0.26
19910226   ,-0.36
19910227   ,-0.24
19910228   ,-0.13
19910301    ,0.12
19910304   ,-0.05
19910305    ,0.11
19910306   ,-0.18
19910307    ,0.06
19910308   ,-0.09
19910311   ,-0.32
19910312    ,0.07
19910313   ,-0.11
19910314    ,0.00
19910315    ,0.17
19910318    ,0.28
19910319    ,0.04
19910320    ,0.89
19910321    ,0.12
19910322   ,-0.15
19910325   ,-0.05
19910326    ,0.65
19910327    ,0.36
19910328    ,0.22
19910329   ,-0.25
19910401    ,0.25
19910402    ,0.14
19910403   ,-0.05
19910404   ,-0.11
19910405    ,0.08
19910408   ,-0.05
19910409    ,0.31
19910410    ,0.00
19910411    ,0.15
19910412   ,-0.03
19910415    ,0.23
19910416   ,-0.09
19910417    ,0.10
19910418   ,-0.17
19910419    ,0.26
19910422    ,0.33
19910423    ,0.09
19910424   ,-0.12
19910425   ,-0.18
19910426    ,0.00
19910429    ,0.28
19910430    ,0.08
19910501   ,-0.09
19910502    ,0.40
19910503   ,-0.13
19910506    ,0.54
19910507    ,0.34
19910508    ,0.14
19910509    ,0.27
19910510   ,-0.37
19910513   ,-0.03
19910514    ,0.19
19910515   ,-0.07
19910516    ,0.16
19910517   ,-0.17
19910520    ,0.22
19910521    ,0.57
19910522   ,-0.29
19910523   ,-0.15
19910524   ,-0.05
19910527   ,-0.06
19910528   ,-0.09
19910529   ,-0.12
19910530    ,0.38
19910531    ,0.01
19910603   ,-0.18
19910604   ,-0.09
19910605    ,0.29
19910606   ,-0.04
19910607    ,0.36
19910610    ,0.33
19910611   ,-0.01
19910612    ,0.05
19910613   ,-0.13
19910614   ,-0.02
19910617   ,-0.19
19910618    ,0.22
19910619    ,0.44
19910620    ,0.07
19910621    ,0.15
19910624    ,0.30
19910625   ,-0.03
19910626   ,-0.26
19910627    ,0.19
19910628    ,0.14
19910701   ,-0.15
19910702    ,0.18
19910703    ,0.22
19910704   ,-0.07
19910705    ,0.36
19910708    ,0.47
19910709   ,-0.05
19910710   ,-0.12
19910711    ,0.16
19910712    ,0.19
19910715    ,0.18
19910716    ,0.08
19910717    ,0.17
19910718    ,0.18
19910719   ,-0.02
19910722    ,0.07
19910723    ,0.35
19910724    ,0.06
19910725   ,-0.20
19910726    ,0.04
19910729    ,0.17
19910730   ,-0.03
19910731   ,-0.06
19910801    ,0.06
19910802   ,-0.06
19910805    ,0.17
19910806   ,-0.13
19910807    ,0.50
19910808    ,0.07
19910809    ,0.15
19910812    ,0.30
19910813    ,0.15
19910814    ,0.24
19910815    ,0.09
19910816    ,0.50
19910819    ,1.19
19910820    ,0.38
19910821   ,-0.38
19910822   ,-0.23
19910823    ,0.03
19910826   ,-0.01
19910827    ,0.01
19910828    ,0.25
19910829    ,0.19
19910830    ,0.01
19910902   ,-0.24
19910903   ,-0.27
19910904   ,-0.16
19910905   ,-0.27
19910906   ,-0.14
19910909   ,-0.40
19910910    ,0.10
19910911    ,0.06
19910912   ,-0.12
19910913   ,-0.01
19910916    ,0.06
19910917   ,-0.50
19910918   ,-0.28
19910919    ,0.02
19910920    ,0.42
19910923    ,0.10
19910924   ,-0.24
19910925    ,0.55
19910926   ,-0.03
19910927    ,0.07
19910930    ,0.37
19911001   ,-0.30
19911002   ,-0.12
19911003    ,0.28
19911004    ,0.51
19911007    ,0.19
19911008    ,0.11
19911009    ,0.48
19911010    ,0.15
19911011    ,0.22
19911014    ,0.07
19911015    ,0.28
19911016   ,-0.23
19911017    ,0.00
19911018    ,0.22
19911021   ,-0.26
19911022   ,-0.12
19911023   ,-0.37
19911024   ,-0.09
19911025   ,-0.01
19911028    ,0.22
19911029    ,0.23
19911030    ,0.04
19911031    ,0.22
19911101    ,0.07
19911104   ,-0.06
19911105   ,-0.09
19911106   ,-0.07
19911107   ,-0.08
19911108    ,0.16
19911111    ,0.00
19911112    ,0.32
19911113    ,0.08
19911114    ,0.35
19911115    ,0.20
19911118   ,-0.19
19911119   ,-0.38
19911120    ,0.13
19911121    ,0.31
19911122   ,-0.06
19911125   ,-0.50
19911126    ,0.02
19911127    ,0.11
19911128    ,0.02
19911129    ,0.25
19911202   ,-0.22
19911203    ,0.08
19911204   ,-0.27
19911205    ,0.00
19911206    ,0.16
19911209    ,0.02
19911210    ,0.11
19911211   ,-0.01
19911212    ,0.04
19911213    ,0.31
19911216    ,0.04
19911217    ,0.16
19911218    ,0.01
19911219   ,-0.03
19911220    ,0.20
19911223   ,-0.01
19911224    ,0.08
19911225   ,-0.21
19911226   ,-0.13
19911227   ,-0.03
19911230    ,0.22
19911231   ,-0.03
19920101    ,0.00
19920102    ,0.07
19920103    ,0.02
19920106   ,-0.38
19920107    ,0.43
19920108    ,0.43
19920109   ,-0.19
19920110    ,0.49
19920113    ,0.46
19920114   ,-0.26
19920115    ,0.15
19920116   ,-0.19
19920117    ,0.25
19920120   ,-0.30
19920121   ,-0.20
19920122   ,-0.26
19920123   ,-0.19
19920124    ,0.21
19920127   ,-0.09
19920128    ,0.16
19920129    ,0.12
19920130    ,0.11
19920131   ,-0.27
19920203    ,0.01
19920204    ,0.10
19920205   ,-0.12
19920206   ,-0.24
19920207    ,0.36
19920210    ,0.21
19920211   ,-0.07
19920212    ,0.36
19920213   ,-0.03
19920214    ,0.50
19920217    ,0.05
19920218    ,0.13
19920219    ,0.15
19920220    ,0.14
19920221   ,-0.07
19920224    ,0.11
19920225    ,0.03
19920226   ,-0.06
19920227    ,0.24
19920228    ,0.28
19920302    ,0.18
19920303    ,0.34
19920304    ,0.16
19920305    ,0.27
19920306    ,0.27
19920309    ,0.34
19920310    ,0.22
19920311    ,0.70
19920312   ,-0.09
19920313   ,-0.16
19920316    ,0.07
19920317    ,0.76
19920318    ,0.41
19920319   ,-0.66
19920320    ,0.09
19920323   ,-0.39
19920324    ,0.61
19920325    ,0.17
19920326   ,-0.31
19920327    ,0.19
19920330   ,-0.03
19920331   ,-0.11
19920401    ,1.15
19920402    ,0.99
19920403    ,0.45
19920406   ,-0.42
19920407    ,0.79
19920408    ,0.71
19920409    ,0.22
19920410   ,-0.73
19920413   ,-0.15
19920414    ,0.18
19920415   ,-0.69
19920416   ,-0.89
19920417   ,-0.15
19920420    ,0.52
19920421    ,0.19
19920422    ,0.30
19920423   ,-0.38
19920424    ,0.27
19920427   ,-0.46
19920428   ,-0.12
19920429    ,0.05
19920430    ,0.24
19920501   ,-0.12
19920504    ,0.04
19920505    ,0.16
19920506   ,-0.34
19920507   ,-0.77
19920508    ,0.17
19920511   ,-0.49
19920512   ,-0.82
19920513   ,-0.02
19920514   ,-0.07
19920515    ,1.11
19920518   ,-0.61
19920519   ,-0.44
19920520    ,0.08
19920521    ,0.08
19920522    ,0.39
19920525   ,-0.24
19920526    ,0.06
19920527    ,0.23
19920528   ,-0.08
19920529   ,-0.33
19920601    ,0.04
19920602   ,-0.17
19920603    ,0.17
19920604    ,0.52
19920605    ,0.19
19920608    ,0.36
19920609    ,0.04
19920610   ,-0.13
19920611    ,0.11
19920612    ,0.65
19920615    ,0.39
19920616    ,0.22
19920617    ,0.40
19920618    ,0.84
19920619   ,-0.15
19920622    ,0.39
19920623    ,0.21
19920624    ,0.46
19920625    ,0.02
19920626    ,0.69
19920629    ,0.33
19920630   ,-0.14
19920701   ,-0.79
19920702   ,-0.67
19920703   ,-0.35
19920706   ,-0.09
19920707    ,0.50
19920708    ,0.12
19920709   ,-0.22
19920710    ,0.30
19920713   ,-0.25
19920714    ,0.04
19920715    ,0.12
19920716    ,0.49
19920717    ,0.63
19920720    ,0.37
19920721    ,0.22
19920722    ,0.82
19920723   ,-0.47
19920724    ,0.24
19920727   ,-0.04
19920728    ,0.35
19920729    ,0.31
19920730   ,-0.38
19920731   ,-0.38
19920803    ,0.16
19920804    ,0.32
19920805   ,-0.08
19920806    ,0.06
19920807    ,0.67
19920810    ,0.84
19920811    ,0.53
19920812    ,0.10
19920813    ,0.30
19920814    ,0.06
19920817   ,-0.54
19920818    ,0.76
19920819   ,-0.10
19920820   ,-1.56
19920821   ,-2.91
19920824   ,-2.28
19920825    ,0.40
19920826    ,0.47
19920827   ,-1.68
19920828   ,-1.30
19920831   ,-0.76
19920901    ,0.16
19920902    ,0.91
19920903   ,-0.61
19920904   ,-0.82
19920907    ,0.17
19920908    ,0.71
19920909    ,0.25
19920910   ,-0.65
19920911    ,0.12
19920914   ,-0.51
19920915    ,0.36
19920916    ,1.56
19920917   ,-0.02
19920918   ,-0.28
19920921   ,-0.42
19920922   ,-0.24
19920923   ,-0.02
19920924   ,-0.30
19920925    ,0.33
19920928    ,0.35
19920929    ,0.83
19920930    ,0.60
19921001    ,0.60
19921002   ,-0.26
19921005    ,0.41
19921006    ,0.10
19921007   ,-0.19
19921008   ,-0.18
19921009   ,-0.29
19921012    ,0.08
19921013    ,0.08
19921014   ,-0.17
19921015    ,0.17
19921016   ,-0.20
19921019    ,0.52
19921020    ,0.25
19921021   ,-0.19
19921022   ,-0.14
19921023   ,-0.09
19921026   ,-0.54
19921027    ,0.22
19921028    ,0.12
19921029   ,-0.04
19921030    ,0.19
19921102   ,-0.33
19921103   ,-0.02
19921104    ,0.53
19921105    ,0.34
19921106    ,0.16
19921109    ,0.43
19921110   ,-0.07
19921111    ,0.42
19921112    ,0.33
19921113    ,0.02
19921116   ,-0.31
19921117   ,-0.25
19921118   ,-1.05
19921119    ,0.10
19921120    ,0.14
19921123    ,0.12
19921124    ,0.28
19921125   ,-0.33
19921126   ,-0.21
19921127    ,0.08
19921130   ,-0.65
19921201   ,-0.53
19921202    ,0.06
19921203   ,-0.63
19921204    ,0.63
19921207   ,-0.42
19921208    ,0.02
19921209    ,0.02
19921210   ,-0.75
19921211    ,0.01
19921214    ,0.39
19921215    ,0.23
19921216    ,0.37
19921217   ,-0.23
19921218   ,-0.61
19921221   ,-0.13
19921222    ,0.20
19921223    ,0.01
19921224    ,0.15
19921225   ,-0.06
19921228    ,0.21
19921229   ,-0.13
19921230    ,0.29
19921231    ,0.26
19930101   ,-0.01
19930104   ,-0.14
19930105    ,0.47
19930106    ,0.20
19930107   ,-0.22
19930108    ,0.12
19930111    ,0.12
19930112    ,0.06
19930113    ,0.28
19930114    ,0.10
19930115   ,-0.31
19930118   ,-0.27
19930119   ,-0.02
19930120   ,-0.28
19930121    ,0.29
19930122    ,0.21
19930125    ,0.10
19930126   ,-0.07
19930127   ,-0.01
19930128   ,-0.03
19930129   ,-0.26
19930201   ,-0.08
19930202   ,-0.33
19930203   ,-0.12
19930204    ,0.01
19930205   ,-0.58
19930208   ,-0.30
19930209   ,-0.17
19930210   ,-0.20
19930211    ,0.19
19930212   ,-0.07
19930215    ,0.20
19930216   ,-0.14
19930217    ,0.17
19930218   ,-0.22
19930219    ,0.24
19930222    ,0.10
19930223    ,0.09
19930224    ,0.07
19930225    ,0.04
19930226    ,0.40
19930301   ,-0.14
19930302    ,0.13
19930303    ,0.18
19930304    ,0.05
19930305    ,0.23
19930308   ,-0.47
19930309   ,-0.18
19930310   ,-0.09
19930311    ,0.08
19930312   ,-0.29
19930315   ,-0.22
19930316   ,-0.07
19930317    ,0.13
19930318   ,-0.08
19930319    ,0.04
19930322    ,0.18
19930323   ,-0.08
19930324    ,0.17
19930325   ,-0.05
19930326   ,-0.99
19930329   ,-0.68
19930330   ,-0.25
19930331   ,-0.09
19930401    ,1.23
19930402    ,0.07
19930405   ,-1.11
19930406   ,-0.04
19930407    ,0.02
