This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199207  -8.65  -8.45  -6.60  -7.61  -7.55  -9.41  -8.52  -8.45  -6.58  -5.86  -7.70  -8.29  -7.99  -6.36  -8.18  -7.89  -8.95  -5.57  -5.17  -6.90   1.99  -0.84  -3.94  -2.92  -3.58
199208  11.62   8.52   7.82   8.99   7.26  11.34  10.58  11.49  10.23   9.77  16.57  14.02  13.36  11.88  12.01  17.56  17.39  14.14  14.16  15.85  24.26  17.69  16.53  13.99  11.81
199209   4.00   2.87   4.52   0.62   2.31   0.46  -0.42   3.26   1.03  -0.53   0.36  -1.26  -0.14  -0.99  -2.21  -3.37  -2.59  -0.62  -1.10  -2.81  -3.22  -3.80  -2.15  -3.13  -2.51
199210  -8.88  -6.44  -5.99  -5.89  -8.06  -8.95  -7.64  -6.52  -5.80  -6.39  -6.85  -7.58  -4.97  -5.45  -4.60  -7.31  -8.29  -6.16  -4.82  -4.49  -4.49  -5.21  -5.75  -5.06  -3.51
199211  -1.77  -0.64  -3.36  -2.88  -1.63  -0.31  -1.90  -1.26  -0.69  -1.11   1.59   1.04   1.03   0.15  -0.41   3.65   3.76   1.75   0.76   1.33   4.15   2.31   1.91   1.46   2.02
199212   0.26   1.18   3.02   3.83   4.59   1.25   0.54  -0.27   2.08   1.63  -1.61  -1.74   1.13   1.96   2.01  -3.47  -3.14  -3.02  -1.00   0.27  -1.58  -0.70  -1.18  -1.80   0.61
199301  -3.41  -3.59  -2.50  -4.19  -2.26  -3.53  -2.10  -2.45  -0.50  -1.26  -0.56  -1.46  -3.07  -1.78  -2.00  -1.13  -0.78  -0.42  -0.94  -2.38   0.39  -1.03  -0.35  -0.25  -0.58
199302   5.62   8.16   7.19   9.56  10.92   6.71   5.05   5.68   4.46   5.51   3.83   7.47   4.80   5.56   4.76   6.05   5.97   3.98   4.06   4.86   4.14   6.42   3.63   3.95   2.15
199303  16.22  16.65  15.31  16.72  15.87  18.02  17.99  15.87  16.18  17.58  14.38  14.41  16.45  18.08  19.55  14.87  15.68  13.34  12.97  17.41  10.72  19.15  14.36  17.66  20.11
199304  17.83  19.29  18.08  18.03  19.90  17.27  16.83  18.53  16.80  20.79  15.79  15.95  16.96  18.10  21.11  13.66  14.47  16.59  17.01  19.83  13.09  16.34  19.49  18.88  19.34
199305  22.07  22.53  21.39  23.66  21.76  13.17  17.73  15.61  15.91  14.42   8.59  11.44  10.24  12.96  11.86   6.88   8.22   8.36   7.83   7.98   6.77   3.64   2.89   2.07  -0.76
199306  -6.45  -7.31  -7.04  -5.62  -6.57  -3.71  -5.07  -6.31  -5.58  -7.77  -6.69  -6.49  -8.27  -6.21  -5.92  -7.06  -5.66  -5.03  -4.44  -3.66  -0.85  -2.86  -4.54  -5.30  -5.47
199307   1.03   0.59   2.04   1.12   0.81   3.83   2.08   4.22   3.02   3.74   2.51   3.83   4.40   3.61   5.69   5.70   5.03   6.19   5.74   4.81   8.98   7.17   7.30   7.50   8.40
199308   0.51   1.27   1.80   2.56   1.17   4.90   3.78   1.36   2.72   0.92   2.42   1.22   2.68   1.88   2.24   2.44   2.43   3.33   1.30   0.68   2.54   1.93   1.64   3.84   3.90
199309  -5.72  -6.68  -1.55  -4.58  -5.82  -3.45  -3.34  -3.21  -4.56  -4.38  -2.66  -2.62  -2.86  -3.26  -5.35  -2.70  -2.65  -4.73  -4.35  -4.34  -4.28  -6.21  -6.57  -4.64  -4.74
199310  -8.97  -9.66  -9.34  -9.79  -9.52  -8.97 -10.14 -10.72 -10.33  -8.03  -8.87  -7.03  -8.73  -7.71  -7.12  -8.65  -7.02  -5.99  -5.52  -5.45  -2.33   0.19  -0.48  -1.44   0.62
199311 -16.43 -13.71 -15.34 -16.48 -14.07 -17.56 -18.22 -18.56 -19.71 -18.47 -17.26 -16.27 -18.05 -17.79 -21.35 -17.07 -15.77 -14.90 -16.03 -18.40 -15.08 -17.02 -14.08 -17.41 -14.28
199312   0.01  -0.47   1.28   1.62   0.57   0.94   3.05   1.57   4.57   2.70   0.83   2.68   1.90   2.73   3.87   0.18   0.10   2.17   3.34   2.03   0.49   2.17   1.41   3.38   5.71
199401  17.76  15.32  13.60  20.67  18.62  18.57  19.10  21.22  17.86  19.41  19.31  17.34  16.18  15.89  23.08  17.79  14.14  14.86  15.98  18.79  14.68  16.91  15.93  18.55  20.56
199402   4.56   5.06   4.65   5.02   6.26   3.89   2.81   5.24   4.37   7.51   3.91   5.43   4.24   5.33   5.28   3.38   6.31   3.38   5.20   5.76   2.58   2.68   4.02   4.49   6.33
199403   3.66   3.02   5.82   2.55   4.96   2.52   2.39   2.45   6.07   3.28   0.95   0.36   1.85   1.30   4.22  -0.73  -0.86   1.17   1.56   2.09  -3.51  -4.42  -2.57  -1.47  -1.96
199404   7.41  12.19   4.08   7.43   9.18   5.35   5.36   3.90   5.81   5.22   2.78   3.19   3.54   4.36   2.85   2.60   3.04   2.24   4.02   4.44   3.55   3.28   4.33   3.06   2.68
199405   0.90  -1.74   0.76   0.32   2.53  -2.15  -0.78   0.92   0.11   0.40   0.16  -1.97   0.25  -0.10   0.88   0.02   0.31   0.92   0.69   1.88   0.43  -0.35   3.19   4.77   4.53
199406  12.52  12.21  11.72  10.91  16.18   7.56   9.75   7.52  12.04  11.73   5.17   8.25   8.18  10.29  11.62   6.36   4.68   6.77   8.19  10.17   4.24   4.68   6.24   6.21   6.81
199407  -2.53  -3.08  -3.97  -2.20  -4.19  -3.12  -4.85  -2.48  -3.29  -2.40  -2.19  -4.16  -3.07  -4.16  -3.71  -2.78  -3.36  -2.50  -2.53  -4.09  -3.24  -4.06  -3.96  -4.17  -6.65
199408  -3.33  -2.57  -1.59  -2.60  -1.22  -1.71  -2.60   0.08  -1.32  -3.27  -2.08  -1.62  -0.03  -1.45  -0.32  -1.85  -1.47  -0.57  -0.22  -0.57   0.01   1.24   1.11  -1.37   2.18
199409  -5.41  -4.92  -4.84  -2.78  -4.14  -4.80  -4.16  -6.15  -4.44  -3.88  -5.33  -5.11  -2.78  -5.01  -3.88  -3.34  -5.63  -2.54  -2.62  -2.66  -3.50  -2.44  -2.06  -1.87  -2.56
199410   4.56   3.45   2.64   4.41   3.92   3.39   2.18   3.30   1.66   3.08   0.67   0.94   0.51   1.40   1.84   0.35   0.67   1.40   1.83   2.09   2.29   1.91   3.46   4.08   4.93
199411  -7.75  -7.13  -6.88  -6.69  -6.19  -7.60  -9.17  -7.50  -8.27  -8.65  -8.48  -7.45  -7.98  -8.06  -8.21  -7.32  -8.91  -5.95  -5.74  -7.59  -5.99  -4.85  -6.02  -6.73  -5.18
199412   2.38   4.73   3.25   0.22   0.94   1.95   3.81   1.39   2.42   3.01   2.50   2.66   1.20   4.12   3.71   2.31   2.77   3.21   2.38   2.60   2.57   1.72   1.69   1.12   1.56
199501  -4.63  -4.44  -6.91  -5.78  -6.22  -4.19  -5.66  -4.28  -2.12  -6.21  -3.01  -3.17  -2.86  -4.06  -7.45  -3.80  -3.61  -5.56  -5.13  -5.45  -5.43  -6.72  -7.05  -7.84 -10.06
199502  -4.88  -4.88  -5.24  -3.34  -4.35  -5.47  -6.95  -6.62  -7.56  -6.24  -8.45  -6.28  -6.38  -6.96  -6.16  -8.85  -6.71  -6.37  -4.97  -6.55  -4.33  -4.28  -6.02  -5.32  -4.14
199503   4.22   4.63   5.12   6.87   6.81   7.85   4.44   6.61   6.44   7.08   3.89   4.68   4.84   6.60   7.63   6.70   6.41   6.57   8.54   7.34   7.67  12.06   8.89  10.71  10.72
199504   3.01   1.37   1.23   0.13   1.07   0.72   2.46   2.61   1.72   2.01   2.95   1.60   2.61   2.38   3.07   3.43   4.67   3.83   3.24   3.13   6.49   4.20   4.83   3.27   1.81
