This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199810  16.76  23.54  19.37  21.11  17.59  17.22
199811   7.61   4.94   9.45   4.87   7.56   1.83
199812  -2.09  -3.22  -4.92  -1.82  -1.37  -3.52
199901  -1.50   0.37   0.26   1.51   1.45  -2.81
199902  -1.08  -1.01  -1.47  -0.76  -0.90  -0.97
199903   4.16   2.80   4.32   9.97   9.25   8.34
199904  24.32  23.67  22.52  17.45  14.74  18.15
199905   3.09   8.31  11.03  -6.15  -5.99  -7.01
199906  18.54  14.91  16.97   7.49   9.58   8.98
199907  -5.84  -4.90  -3.64  -2.99  -1.13  -1.13
199908  -3.19  -3.20  -2.74  -1.83  -0.21  -4.15
199909   4.06   0.81   0.83  -6.53  -1.23  -1.34
199910  -1.28   0.21  -0.87  -0.03   2.06   2.49
199911   5.70   4.59   4.14   8.28   7.72   6.65
199912  11.09   7.83  11.16   9.54   8.38  10.07
200001   5.75  -2.27  -1.11 -11.60  -7.58  -4.34
200002  10.37   1.29   2.36  -7.24  -3.54   7.09
200003   0.58  -0.29  -1.88   4.64   3.73  -4.11
200004 -20.16 -10.81 -16.99  -2.11  -4.58  -5.08
200005 -10.37  -8.35  -7.97 -10.56  -7.88  -5.56
200006   6.53   8.18   7.53  12.92  10.40  12.89
200007  -1.39   1.68  -0.96  -0.21  -1.48   1.83
200008   2.56   1.87   0.03   5.98   1.71   2.99
200009 -12.36  -8.32 -10.62  -6.70  -3.51 -10.84
200010  -9.56  -4.33  -7.67  -5.57  -3.19  -8.80
200011   0.27   0.31  -1.40   0.79   1.19  -4.48
200012   0.57   1.65  -0.43  11.01   3.48   4.33
200101   1.12   1.68   1.81   0.61   3.82   4.92
200102   1.12  -0.75  -1.95   4.57  -3.62  -8.84
200103 -11.22 -10.12 -14.55 -11.73 -12.05 -15.21
200104   5.67   4.27   7.48   4.38   7.28   8.49
200105   7.73   6.00   4.68   0.47  -0.69  -0.53
200106   1.36   1.90   1.29   1.54   2.66  -0.01
200107  -5.61  -3.25  -8.10  -1.47  -2.88  -5.24
200108  -1.26   0.32  -3.34  -1.69   0.00  -1.52
200109 -13.77 -13.99 -18.02 -14.51 -11.53 -16.98
200110   6.52   7.44  10.35   4.51   3.94   9.44
200111   7.03   7.35  10.13  11.43   9.05   7.37
200112   1.04   2.35   0.11   3.86   3.13   1.42
200201   4.88   5.71   7.01   5.22   0.67   0.28
200202  -0.69   2.81  -1.05   2.12  -2.57  -2.21
200203   4.00   5.43   6.30   3.34   5.08   4.69
200204   0.20   1.97  -0.46   2.50   1.94  -1.76
200205   5.07   7.33   4.98   2.09   0.41   3.89
200206  -3.85  -4.14  -5.38  -2.63  -4.48  -8.63
200207  -9.97  -8.54  -8.83  -5.43  -6.24  -4.81
200208   1.25  -0.10   1.44  -3.41   0.17   2.92
200209  -6.98  -6.94 -10.09  -8.48  -6.27  -7.26
200210   1.63   2.35   2.07   4.84   4.18   6.24
200211   0.94   2.11  -0.29   5.98   0.78   2.92
200212   0.94  -0.25   0.66  -4.37  -2.74  -3.53
200301   2.72   2.83   4.34  -0.58   1.97   2.98
200302   1.28   1.36  -0.17  -0.43  -0.87  -3.22
200303  -2.73  -2.86  -3.38  -3.03   0.52   1.49
200304   2.19   1.69   1.90   3.10   4.52   6.74
200305  13.00  11.95   8.61   6.01   6.85   7.47
200306   5.74   4.95   4.48   2.90   4.57   3.20
200307   9.27   9.33   9.52   3.73   1.60   4.13
200308  11.75   8.49   8.95  10.31   3.54   6.13
200309   8.71   8.32   8.86   5.93   5.23   3.71
200310   5.76   5.36   6.86   6.94   5.51   6.96
200311  -0.76   1.28   1.06  -1.06   0.61   1.11
200312   4.00   4.92   3.89   5.83   4.99   4.83
200401   8.64   6.61   5.48   5.31   4.37   3.18
200402   5.14   5.11   4.08   3.48   2.99   4.70
200403  -4.25  -3.26  -3.42  -2.09  -0.91  -1.28
200404  -7.44  -6.92  -7.67  -3.76  -5.22  -6.67
200405  -2.65  -1.21  -1.81   0.08   0.05   1.26
200406  -1.07   1.44  -1.25   0.15   0.67   0.96
200407   2.40   2.44   1.40   0.97   0.90   0.81
200408   0.17   1.71  -0.09   1.57   3.56   3.83
