This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 E/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  E/P is is earnings before extraordinary at the last fiscal year end of the prior calendar 
year divided by ME at the end of December of the prior year.  Firms with negative or zero
E/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
195107   4.63   6.18   5.46   6.33   8.53   5.91
195108   5.47   5.24   4.25   3.23   4.73   5.17
195109   0.50   0.77   0.44  -0.59  -0.58   1.42
195110  -2.95  -0.61  -2.14  -4.26  -1.34  -2.42
195111   0.78   0.54  -0.38  -0.53  -0.55  -0.35
195112   0.66   0.60   0.26   3.56   4.61   2.21
195201   1.13   1.12   0.40   0.37   2.58   0.12
195202  -5.25  -2.92  -1.36  -3.50  -4.80  -2.90
195203   0.12   0.31   1.67   2.66   5.53   6.96
195204  -5.45  -5.04  -5.00  -4.61  -6.78  -4.88
195205   0.87   2.47   1.15   2.77   2.89   1.95
195206   1.88   2.62   1.82   3.28   4.54   5.72
195207   0.40   0.49   1.17   0.52   1.22   1.84
195208  -0.11  -0.28  -0.65  -0.44  -2.02  -2.17
195209  -1.95  -1.42  -1.58  -1.68  -2.60  -2.99
195210  -2.14  -2.31  -1.37  -0.91   0.09  -0.43
195211   4.82   4.70   5.24   6.69   3.64   7.33
195212   2.14   1.01   1.10   1.27   3.86   2.31
195301   2.48   2.37   4.27  -0.21  -1.27   0.46
195302   1.86   0.17   1.34  -1.03  -0.92  -1.81
195303  -1.35  -2.58  -1.43  -0.43  -2.49  -3.38
195304  -2.53  -1.99  -0.53  -2.47  -3.08  -2.03
195305  -0.24   1.11   0.25   0.48  -0.28  -1.26
195306  -3.06  -4.57  -4.73  -1.97  -1.43  -3.00
195307   0.11   1.20   1.95   2.36   3.29   1.32
195308  -4.81  -4.53  -6.04  -2.78  -6.02  -8.38
195309  -1.67  -2.21  -0.66   1.16  -0.24  -0.99
195310   1.85   3.08   4.45   3.62   5.66   7.11
195311  -0.12   1.50   0.01   3.00   1.22   0.91
195312  -0.24  -2.43  -2.12   0.04   0.25   0.14
195401   6.58   6.16   5.73   2.91   6.45   7.82
195402   0.46   1.03   1.00   0.82   1.31   0.66
195403   2.25   0.57   2.05   3.35   3.87   5.14
195404   3.65  -0.49   2.29   4.23   5.21   5.89
195405   1.22   3.42   5.07   1.83   2.14   3.76
195406  -0.26   2.28   1.67   2.45  -0.45   0.23
195407   6.63   5.08   8.70   2.86   6.14   7.89
195408  -2.17  -1.27  -1.34  -3.21  -2.96  -4.23
195409   5.17   4.11   4.02   4.25   9.27   8.41
195410   0.40  -1.98  -0.58  -2.82  -1.55  -0.05
195411   9.01   7.82  10.10   8.95   6.81  11.74
195412  13.39   6.17  11.23   2.45   5.09  10.10
195501   2.38   1.39   1.43  -0.29   1.18   2.00
195502   5.14   3.26   6.54   3.54   0.84   2.67
195503  -0.52  -0.37  -0.43  -0.63  -0.63   0.34
195504  -1.12   2.66   0.80   4.23   2.99   2.44
195505  -0.85  -0.20  -0.17   1.97  -0.28  -0.62
195506   1.35   0.98   4.81   5.15   7.74  12.07
195507   2.75   0.87   0.76  -0.29   2.77   8.45
195508   1.30  -1.07   0.59   0.71  -0.67  -1.72
195509   0.95   0.65  -1.40  -1.40  -1.74   4.32
195510  -2.50  -0.94  -0.21  -2.93  -1.93  -3.30
195511   5.66   4.13   3.30   5.93   5.91   7.23
195512   3.58   2.17   1.21   1.91   1.89   0.46
195601  -3.31  -1.21  -2.52  -3.41  -1.63  -4.37
195602   2.52   1.01   2.58   3.75   3.72   3.40
195603   4.61   4.15   3.18   6.39   8.40   5.52
195604   4.02  -0.38   1.45  -0.45   0.99   1.59
195605  -5.59  -5.25  -3.94  -5.07  -5.15  -7.20
195606   2.74   1.21   1.60   3.69   2.53   5.51
195607   3.12   3.26   4.22   4.26   5.12   8.96
195608  -0.64  -0.97  -0.06  -3.91  -3.77  -1.29
195609  -2.73  -2.51  -3.83  -6.60  -4.62  -2.54
195610   0.86   0.96   1.47   0.52   0.14   2.07
195611   7.27  -1.02   1.49  -1.11  -0.17   1.53
195612   8.63   3.02   2.75   2.80   3.99   4.39
195701  -1.16  -0.06   0.88  -3.22  -4.00  -7.70
195702  -5.45  -2.72  -3.33  -1.21  -2.32  -5.39
195703   0.61   1.39   2.14   2.05   2.15   1.76
195704   3.83   2.64   3.98   4.40   5.20   3.91
195705   1.21   0.84   0.86   3.44   4.03   0.89
195706   0.93  -1.88  -0.06  -0.34  -1.13   0.12
195707  -1.66  -0.45   0.78   1.32   0.50  -0.29
195708  -6.18  -3.52  -5.67  -5.27  -4.77  -6.21
195709  -5.71  -4.19  -4.97  -6.34  -5.00  -4.49
195710  -9.99  -5.53  -6.56  -3.59  -3.46  -5.28
195711   5.54   0.73   1.18   2.13   1.92   0.44
195712  -6.20  -3.52  -4.92  -3.35  -3.40  -6.41
195801  14.87   8.70  10.92   3.06   5.27   8.04
195802  -2.02  -0.53  -0.80  -2.29  -1.15  -1.47
195803   4.37   2.78   3.65   2.78   3.35   4.55
195804   4.99   3.16   1.72   2.48   4.02   2.59
195805   5.79   3.00   2.85   1.29   2.14   1.72
195806   1.89   2.73   3.23   2.56   2.72   2.10
195807   4.80   6.12   6.19   4.04   3.46   7.84
195808   4.97   2.13   3.59   1.36   0.90   2.89
195809   7.61   7.19   5.78   3.85   5.45   7.14
195810   2.71   2.06   4.81   2.10   2.69   4.39
195811   6.26   3.86   4.09   2.69   2.18   2.55
195812   2.13   4.18   2.81   6.36   3.78   5.99
195901   2.20   5.25   6.17  -0.10   1.18   1.39
195902   4.81   3.42   3.99   2.08  -2.11   1.17
195903   5.04   1.90   1.65   0.84  -0.11  -0.75
195904  -2.05   5.55   4.07   4.44   3.61   4.39
195905   1.98  -0.73   0.00   2.10   1.15   3.69
195906   1.12   0.99   1.72  -0.94  -0.22   2.35
195907   3.09   2.94   3.66   4.32   2.12   3.72
195908  -3.77  -1.19  -0.92  -2.23  -0.38  -2.33
195909  -4.95  -4.90  -4.58  -5.06  -4.36  -2.75
195910   2.57   2.16   1.50   1.14   1.35   2.82
195911   1.50   1.89   1.85   2.91  -0.09   0.11
195912   3.32   4.59   0.82   3.26   2.15   1.11
196001  -7.83  -5.17  -3.68  -8.92  -5.06  -6.05
196002   1.02   1.14   1.21   0.65   2.77  -1.05
196003  -5.31  -0.73  -2.45  -1.27  -1.32  -1.41
196004  -2.95  -0.88  -0.84  -1.84  -1.24  -1.25
196005   3.72   3.74   2.37   4.19   2.17   0.24
196006   1.53   1.14   2.33   1.39   2.79   3.39
196007  -4.46  -3.72  -1.40  -4.31  -0.27  -0.77
196008   2.83   2.50   2.70   1.78   3.48   3.48
196009  -7.82  -7.11  -6.11  -7.68  -4.29  -4.33
196010  -6.27  -4.36  -3.04  -1.45   0.49   0.02
196011   8.25   4.20   4.12   5.11   3.37   3.86
196012   7.25   3.52   2.89   3.90   5.72   3.98
196101   7.32   6.13  10.22   4.38   6.99   9.14
196102   8.81   5.25   7.98   3.37   2.34   2.99
196103  11.44   4.13   4.62   1.67   3.49   2.96
196104   1.61   1.08   0.81  -0.34   0.94   2.60
196105   4.74   3.35   6.65   3.25   0.61   3.49
196106  -6.26  -4.54  -5.63  -2.41  -3.07  -2.94
196107   2.46   0.31   1.04   2.69   3.68   3.56
196108  -0.18  -0.58   1.94   2.43   2.42   0.09
196109  -5.63  -3.59  -3.00  -1.35  -2.69  -0.75
196110   0.80   1.58   1.86   2.20   3.59   2.83
196111   7.82   5.01   4.52   3.75   3.70   5.86
196112  -1.73   0.20  -0.77  -0.36  -0.69   3.30
196201  -3.14  -0.86  -0.41  -5.89  -2.76  -0.25
196202  -0.21   0.33   1.49   1.54   2.31   0.60
196203  -0.72  -0.16  -1.23  -0.57  -0.23  -0.81
196204  -8.51  -8.04  -6.33  -7.16  -5.52  -5.05
196205 -12.28 -10.31  -9.79 -10.32  -7.90  -5.78
196206  -9.90  -9.24  -6.03 -10.11  -7.14  -5.05
196207   8.92   5.43   5.23   8.78   4.76   3.87
196208   3.66   1.96   3.28   2.10   1.37   1.10
196209  -8.84  -6.56  -6.46  -6.32  -3.58  -3.46
196210  -5.71  -3.87  -1.63   1.17   0.31  -0.81
196211  15.90  12.65  12.15  10.86   8.58  10.28
196212  -3.50  -1.51  -0.90   0.78   2.36   2.16
196301   7.36   7.98   8.10   4.59   5.07   4.24
196302  -2.68  -2.14  -1.36  -3.33  -2.55  -2.01
196303   0.78   0.26   2.09   2.25   4.17   5.19
196304   4.07   3.01   3.23   4.84   3.84   5.94
196305   4.17   2.81   2.52   1.22   2.13   0.21
196306  -2.19  -2.16  -2.03  -2.82  -1.70  -0.37
196307  -1.24  -0.59  -0.70  -0.39   0.10   0.84
196308   5.56   4.59   4.35   4.98   4.18   5.60
196309  -2.07  -0.84  -2.20  -0.47  -2.29  -1.59
196310   1.72   1.29   1.91   3.78   0.14   6.70
196311  -2.97  -1.00  -1.45   0.56  -1.51  -5.43
196312   0.11   0.95  -0.18   2.24   2.50   1.42
196401   1.98   2.70   3.14   3.10   2.30   1.95
196402   1.40   2.23   1.98   0.98   1.09   2.40
