This file was created using the 202005 Bloomberg database.

Missing data are indicated by -99.99.



,WML
19901101    ,0.24
19901102    ,0.32
19901105    ,0.47
19901106    ,0.56
19901107    ,0.34
19901108    ,0.35
19901109   ,-0.31
19901112   ,-0.40
19901113   ,-0.08
19901114   ,-0.08
19901115    ,0.33
19901116    ,2.85
19901119    ,0.03
19901120    ,0.41
19901121    ,0.30
19901122   ,-1.78
19901123   ,-0.02
19901126    ,0.66
19901127    ,0.30
19901128   ,-0.21
19901129    ,0.01
19901130   ,-0.09
19901203   ,-1.01
19901204   ,-0.21
19901205   ,-0.84
19901206   ,-1.13
19901207   ,-0.44
19901210    ,0.22
19901211    ,0.25
19901212    ,0.00
19901213   ,-0.01
19901214    ,0.30
19901217    ,1.04
19901218    ,0.83
19901219    ,0.05
19901220    ,0.64
19901221    ,0.48
19901224    ,0.08
19901225   ,-0.07
19901226    ,0.03
19901227    ,0.33
19901228   ,-0.06
19901231   ,-0.12
19910101    ,0.00
19910102    ,0.74
19910103   ,-0.50
19910104   ,-0.43
19910107    ,0.33
19910108    ,0.43
19910109   ,-0.70
19910110    ,0.86
19910111   ,-0.04
19910114    ,0.88
19910115   ,-0.57
19910116    ,0.01
19910117   ,-2.88
19910118   ,-0.03
19910121    ,0.22
19910122    ,0.40
19910123    ,0.68
19910124   ,-0.76
19910125   ,-0.20
19910128    ,0.33
19910129    ,0.05
19910130    ,0.07
19910131   ,-0.13
19910201   ,-0.15
19910204   ,-0.58
19910205   ,-0.10
19910206   ,-0.21
19910207   ,-0.12
19910208   ,-0.63
19910211   ,-0.58
19910212   ,-0.24
19910213   ,-0.14
19910214   ,-0.37
19910215   ,-1.08
19910218   ,-1.20
19910219   ,-0.54
19910220   ,-0.04
19910221   ,-0.42
19910222   ,-0.91
19910225   ,-0.99
19910226    ,0.22
19910227    ,0.13
19910228    ,0.05
19910301    ,0.75
19910304   ,-0.77
19910305   ,-0.39
19910306   ,-0.93
19910307    ,0.12
19910308   ,-0.01
19910311    ,0.23
19910312   ,-0.32
19910313    ,0.27
19910314   ,-0.08
19910315   ,-0.12
19910318    ,0.24
19910319    ,0.18
19910320    ,0.56
19910321    ,0.15
19910322   ,-0.10
19910325   ,-0.15
19910326    ,0.78
19910327    ,0.05
19910328   ,-0.32
19910329    ,0.00
19910401   ,-0.05
19910402   ,-0.22
19910403   ,-0.49
19910404    ,0.20
19910405    ,0.13
19910408   ,-0.03
19910409    ,0.28
19910410    ,0.30
19910411    ,0.29
19910412   ,-0.10
19910415    ,0.48
19910416   ,-0.16
19910417    ,0.05
19910418   ,-0.18
19910419    ,0.80
19910422    ,0.36
19910423   ,-0.17
19910424   ,-0.19
19910425   ,-0.56
19910426   ,-0.21
19910429    ,0.80
19910430   ,-0.13
19910501   ,-0.03
19910502    ,0.00
19910503   ,-0.38
19910506    ,0.00
19910507    ,0.20
19910508    ,0.21
19910509    ,0.25
19910510   ,-1.08
19910513   ,-0.24
19910514    ,0.27
19910515    ,0.41
19910516   ,-0.23
19910517   ,-0.49
19910520    ,0.18
19910521    ,0.41
19910522   ,-0.22
19910523   ,-0.02
19910524   ,-0.48
19910527   ,-0.04
19910528   ,-0.03
19910529   ,-0.33
19910530   ,-0.17
19910531   ,-0.24
19910603   ,-0.17
19910604   ,-0.05
19910605   ,-0.04
19910606   ,-0.06
19910607   ,-0.05
19910610    ,0.51
19910611   ,-0.42
19910612   ,-0.27
19910613   ,-0.21
19910614   ,-0.02
19910617   ,-0.36
19910618    ,0.15
19910619    ,0.32
19910620    ,0.17
19910621    ,0.12
19910624    ,0.46
19910625   ,-0.06
19910626   ,-0.09
19910627    ,0.47
19910628    ,0.31
19910701    ,0.28
19910702    ,0.54
19910703    ,0.70
19910704    ,0.07
19910705    ,0.48
19910708   ,-0.15
19910709    ,0.19
19910710    ,0.39
19910711   ,-0.02
19910712    ,0.00
19910715    ,0.64
19910716    ,0.63
19910717    ,0.53
19910718    ,0.20
19910719    ,0.04
19910722    ,0.26
19910723    ,0.58
19910724   ,-0.58
19910725    ,0.23
19910726    ,0.19
19910729    ,0.65
19910730    ,0.01
19910731   ,-0.07
19910801   ,-0.04
19910802   ,-0.12
19910805    ,0.07
19910806   ,-0.28
19910807    ,0.13
19910808   ,-0.02
19910809   ,-0.08
19910812    ,0.20
19910813    ,0.22
19910814    ,0.12
19910815   ,-0.05
19910816    ,0.36
19910819    ,2.55
19910820   ,-0.14
19910821   ,-0.45
19910822   ,-0.92
19910823    ,0.07
19910826   ,-0.01
19910827   ,-0.28
19910828    ,0.02
19910829    ,0.29
19910830   ,-0.30
19910902    ,0.54
19910903    ,0.01
19910904   ,-0.06
19910905    ,0.17
19910906    ,0.08
19910909   ,-0.25
19910910    ,0.11
19910911    ,0.13
19910912   ,-0.05
19910913   ,-0.10
19910916    ,0.12
19910917    ,0.00
19910918    ,0.00
19910919   ,-0.01
19910920    ,0.58
19910923    ,0.23
19910924    ,0.00
19910925    ,0.40
19910926   ,-0.25
19910927    ,0.23
19910930    ,0.04
