This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 D/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  D/P is the total dividends paid from July of t-1 to June of t per dollar of equity in June of t.
Firms with negative or zero
D/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
193406   1.65   3.60   4.20   2.10   2.72   1.34
193407 -18.46 -19.79 -11.79 -10.95  -7.63  -6.64
193408   7.28  14.14   3.66   6.18   4.61   1.70
193409   2.24   1.38  -2.34  -2.22   0.06  -0.35
193410   5.04   0.51  -1.96  -2.91   0.00  -1.26
193411  10.90   8.33   7.61   9.02   9.00   2.93
193412   1.76   5.56  -3.20   1.99   0.36  -3.39
193501  -4.85  -2.41  -0.83  -3.53  -2.89  -1.84
193502   0.12   0.93  -4.44  -2.26  -0.72  -0.86
193503  -2.44  -5.36  -6.69  -4.06  -4.07  -2.49
193504   4.20   7.04   5.43  12.05   6.82   7.67
193505   1.63   4.39  -0.43   3.22   1.93   4.68
193506   8.38   2.62   5.26   5.10   5.03   5.44
193507   5.22   9.97   2.39   6.22   6.73   5.28
193508   2.05   0.58   4.16   2.11   1.14   1.47
193509   3.86   5.55  -0.61   3.64   1.79   0.85
193510   8.93   8.23   5.58   6.55   6.98   4.57
193511   8.41   7.21   3.26   2.54   1.66   6.97
193512  11.59   1.08   8.57   3.70   3.86   0.90
193601   3.11   2.81   2.75   6.35   5.83   5.51
193602   7.56   2.58   0.45   1.68   0.56   2.34
193603   2.10   2.95   1.29   0.47   2.74  -3.47
193604 -12.35  -8.88  -9.14  -7.22  -7.76  -5.91
193605   5.53   5.43   1.18   4.49   3.39   5.81
193606   1.77  -0.49   2.78   2.64   3.41   1.62
193607  10.62   5.67   5.51   8.38   5.23   3.71
193608   0.04   1.23   0.23   1.23  -0.39  -0.29
193609   3.16   5.71   0.65  -0.42   1.05  -0.04
193610   4.95   3.31   7.91  10.60   5.86   4.56
193611   6.94   6.51   6.96   2.63   2.12   0.84
193612   4.63   0.35  -3.88   1.46  -1.68  -3.98
193701   4.69   4.75   4.99   3.56   0.70   2.40
193702   0.52   2.95  -0.99   1.98  -0.57  -1.98
193703  -3.46   0.66  -1.54   1.08  -2.70  -3.80
193704  -8.41  -9.96  -7.58  -7.60  -5.48  -6.35
193705  -1.67  -0.56  -0.78  -0.24  -1.13  -1.27
193706  -9.35  -8.21  -4.27  -2.79  -5.07  -4.79
193707   6.28   8.91   7.32   8.03   7.68  11.13
193708  -6.88  -2.95  -3.00  -5.78  -4.84  -4.06
193709 -20.76 -19.93 -16.87 -15.51  -9.66 -12.17
193710 -11.95 -10.38  -9.41 -10.27  -7.40 -10.15
193711 -11.47 -12.44 -13.05  -9.44  -7.50 -13.01
193712 -12.10 -10.69 -12.67  -1.52  -4.95 -11.64
193801   2.42   4.51   5.02  -1.68   0.05   7.07
193802   9.33   5.78   4.63   7.29   3.27   4.01
193803 -31.08 -25.73 -26.08 -25.72 -20.88 -24.34
193804  22.83  14.93  18.37  13.65  14.04  13.77
193805  -9.16  -4.79  -5.92  -5.68  -1.70  -4.80
193806  29.25  24.00  23.73  27.04  16.56  25.80
193807  16.13  11.73  13.50   6.10   6.63  10.12
193808  -7.57  -2.71  -5.75  -3.04  -1.96  -4.64
193809  -3.92  -3.25  -1.97   1.40   0.40  -1.24
193810  15.46  13.64  10.39   7.42   5.38  12.07
193811  -5.18  -3.81  -3.16  -1.81  -2.18  -2.45
193812   4.63   3.67   1.02   4.44   2.67   2.29
193901  -7.90  -9.19  -7.55  -7.29  -3.98  -7.44
193902   4.57   5.26   6.00   1.43   3.51   5.74
193903 -22.50 -15.98 -14.47 -12.45 -10.06 -13.76
193904  -1.45  -1.06  -0.45  -1.64   0.36  -0.37
193905   9.04  10.81   8.65   6.05   5.75   7.77
193906  -9.12  -6.79  -4.78  -6.24  -4.76  -6.29
193907  14.44  10.82  12.53   9.45   8.49   8.83
193908 -11.40  -9.57  -9.72  -6.13  -6.12  -7.69
193909  24.64  26.00  14.84  17.28   9.52  11.36
193910   0.68   1.16   5.84  -1.51   0.77   0.27
193911  -4.98  -6.20  -3.29  -4.63  -2.11  -4.05
193912   1.95   2.96   0.46   2.62   2.23   1.29
194001  -2.46  -1.00   0.69  -3.20  -1.40   0.44
194002   4.81   2.85   1.69   1.23   0.64  -0.79
194003   5.11   1.11   2.36   1.97   1.18   0.04
194004   0.89   2.72   2.76  -0.66   0.01   0.05
194005 -23.32 -22.51 -27.61 -22.70 -20.33 -23.89
194006   5.00   4.11   3.85   4.35   6.69   7.05
194007   6.04   2.96   5.20   2.61   3.08   4.27
194008   1.68   1.52   2.38   0.81   1.40   4.09
194009   5.40   4.37   2.59   1.74   1.67   2.61
194010   5.04   4.02   2.18   1.98   2.39   3.65
194011  -0.52   1.25   2.19  -2.63  -3.74   0.19
194012  -1.85  -3.36  -3.69   0.79   0.15  -2.22
194101  -4.17  -0.58  -1.30  -4.11  -3.25  -7.26
194102  -1.77  -3.30  -2.05  -2.68  -1.64  -0.35
194103   0.95   2.07   0.12   0.62  -0.06  -0.40
194104  -4.96  -4.56  -7.36  -5.14  -5.04  -8.36
194105   1.18   1.75  -0.58   1.51  -0.82   0.20
194106   4.60   5.92   2.48   6.14   4.30   3.44
194107  12.90   8.22   8.72   5.12   5.28   4.93
194108  -0.78  -2.25  -1.51  -0.92  -0.72  -0.49
194109  -1.32  -0.30  -2.78  -1.18  -2.56   0.41
194110  -6.88  -5.78  -5.65  -4.24  -6.68  -7.21
194111  -3.89  -3.35  -3.28  -1.98  -4.39  -5.12
194112 -10.71  -7.32 -10.76  -5.87  -1.81 -10.63
194201   9.71   6.07   9.88  -2.68   2.75   6.00
194202   0.01  -1.92  -1.74  -4.38  -2.65   0.08
194203  -5.75  -4.17  -4.38  -8.17  -7.28  -4.36
194204  -3.91  -4.71  -3.12  -4.08  -5.98  -3.68
194205   1.78   1.09   1.99   6.15   3.61   6.43
194206  -0.78   1.31   0.59   2.40   1.77   1.20
194207   4.51   3.67   3.88   2.62   3.61   4.11
194208   2.38   2.61   1.10   0.61   1.81   0.60
194209   4.13   0.59   2.53   2.06   1.81   1.98
194210  10.47   6.15   7.54   5.66   6.10  10.72
194211  -3.70  -0.73  -3.21   0.74  -1.52  -4.14
194212   4.71   2.19  -0.37   5.37   3.30   4.40
194301  12.57  10.65  15.25   5.99   6.43   9.68
194302   6.82   8.21   9.29   3.36   6.61   8.37
194303  13.39  10.13  10.29   4.78   4.39   8.82
194304   3.26   1.27   1.00  -0.24   0.93  -0.57
194305   8.92   8.44   7.12   5.27   4.27   5.03
194306   0.32   0.83   0.25   1.37   1.80   0.90
194307  -7.32  -6.29  -6.24  -5.77  -2.47  -4.83
194308   0.98  -0.04  -0.28   1.14   1.01   0.15
194309   3.11   3.48   1.06   2.04   1.39   1.65
194310  -2.13  -1.15   0.15  -1.88  -0.87   0.45
194311  -9.81  -7.70  -9.20  -6.34  -5.43  -8.67
194312   7.44   8.60   6.46   6.04   4.57   4.37
194401   3.02   3.70   4.83   0.60   2.12   2.95
194402   0.58   0.29   1.83  -0.51  -0.03   1.13
194403   4.85   1.68   2.63   2.43   1.20   1.44
194404  -3.07  -3.01  -2.38  -1.74  -1.15  -2.39
194405   7.97   6.03   6.10   4.64   3.75   3.62
194406   9.47   7.56   8.66   4.41   4.54   5.20
194407  -2.33  -1.68  -0.53  -2.44  -0.75  -1.06
194408   2.24   3.45   2.19   1.08   0.65   0.99
194409  -0.97   0.05   0.98  -0.36  -0.78   0.85
194410  -1.18  -0.11   1.49  -0.32   0.61   0.85
194411   1.79   2.12   1.59   0.45   1.01   1.38
194412   7.24   5.66   5.99   2.86   2.16   6.31
194501   3.66   2.95   4.94   1.80   1.18   2.02
194502   8.68   7.98   7.90   5.42   4.99   7.02
194503  -7.19  -4.97  -5.35  -4.38  -3.43  -4.60
194504   9.89   8.24   7.38   7.99   6.24   8.41
194505   2.07   1.75   1.42   0.88   1.62   0.09
194506   3.12   0.00   2.72  -1.73   0.02   2.24
194507  -5.30  -3.58  -2.70  -2.39  -2.09  -1.43
194508   9.42   6.93   5.09   9.39   5.08   2.49
194509   6.39   6.87   6.03   4.99   3.63   4.20
194510   6.45   5.45   6.96   2.57   3.59   4.68
194511  10.39   7.51   9.14   3.21   3.27   6.01
194512   2.48   2.64   1.40   1.79   0.95  -0.79
194601   8.96   8.71   8.64   6.21   4.68   6.28
194602  -8.14  -7.45  -5.11  -5.92  -6.36  -5.05
194603   8.91   6.22   4.71   6.30   6.62   3.29
194604   6.51   6.44   6.71   3.58   4.81   3.16
194605   5.74   5.68   5.09   3.12   3.22   3.67
194606  -6.45  -5.53  -4.94  -4.81  -3.82  -3.13
194607  -4.78  -4.91  -2.75  -2.90  -2.17  -2.52
194608  -9.04  -7.84  -6.28  -6.35  -6.31  -7.32
194609 -15.07 -14.20 -12.69 -10.56  -9.03 -10.09
194610  -2.88  -0.82  -0.67  -2.94  -1.23  -1.32
194611  -0.64  -1.48   0.07  -0.42  -0.99  -0.22
194612   4.49   5.99   2.34   5.05   4.77   2.95
194701   1.80   2.92   3.29  -0.01   0.58   2.46
194702  -2.05  -0.57  -0.19  -0.85  -2.16  -1.22
194703  -3.69  -3.01  -2.44  -1.59  -1.11  -2.73
194704 -10.31  -7.52  -6.59  -6.01  -4.27  -3.62
194705  -5.40  -4.36  -3.56  -0.87  -0.22  -2.76
194706   5.61   4.46   2.17   7.06   6.00   1.49
194707   6.17   4.76   6.12   3.01   4.08   5.52
194708  -1.66  -1.96  -1.65  -2.45  -1.60  -3.22
194709   1.26  -0.01  -0.72  -1.30  -1.03  -0.24
194710   3.23   2.29   4.18   2.17   2.99   0.54
194711  -3.15  -4.01  -3.97  -2.09  -3.30  -2.26
194712   2.77  -0.16  -1.70   2.97   2.26   1.22
194801  -3.71  -2.88  -1.44  -5.27  -3.59  -2.25
194802  -7.11  -6.37  -5.72  -4.78  -4.42  -5.76
194803   8.82   8.11   6.71   6.98   7.26  10.12
194804   2.76   2.08   2.61   3.34   3.80   3.20
194805   7.75   6.84   8.04   7.37   5.80   7.01
194806  -1.90  -1.35  -2.68   0.11  -0.69  -2.24
194807  -6.13  -5.33  -4.53  -6.25  -3.63  -4.90
194808  -1.20  -1.23  -0.48  -0.83   0.06   0.79
194809  -4.73  -4.53  -4.51  -3.38  -2.91  -4.57
194810   6.11   4.02   3.43   7.23   4.37   4.55
194811 -13.07 -10.47  -9.87 -11.10  -8.64 -10.62
194812   1.44  -1.12  -2.58   3.90   1.63   1.12
194901  -0.12   1.72   2.24  -0.48   0.55  -0.09
194902  -5.41  -3.57  -5.97  -3.55  -3.26  -3.68
194903   7.31   5.31   4.46   4.18   2.29   2.43
194904  -2.13  -3.11  -3.27  -1.63  -2.04  -3.14
194905  -4.58  -3.49  -4.79  -4.11  -2.82  -2.79
194906  -2.49  -1.57  -2.22  -0.11  -0.25  -1.83
194907   4.26   4.96   8.14   4.76   6.22   5.70
194908   2.02   2.93   2.39   2.31   1.53   0.64
194909   4.64   3.14   2.94   2.42   2.75   2.98
194910   4.64   2.99   3.57   2.64   3.52   3.41
194911  -0.79  -0.58   0.79   0.87  -0.39   2.03
194912   7.58   4.68   5.73   3.64   5.12   5.11
195001   3.36   3.01   6.94   0.98   1.09   3.37
195002   1.89  -0.09   0.94   0.96   0.76  -0.29
195003  -0.16  -1.45  -1.72   1.47   1.21  -2.21
195004   5.50   4.49   5.65   3.07   4.58   5.45
195005   0.82   1.81   3.73   3.99   3.73   4.35
195006  -7.96  -7.92  -9.07  -6.74  -4.74  -6.87
195007   3.61   4.27   5.87  -2.07   3.28   2.43
195008   5.03   4.35   4.87   4.52   3.28   4.06
195009   4.91   4.57   4.03   4.92   3.12   6.81
195010   0.32  -0.40  -0.44  -0.39  -0.02  -0.32
195011   3.41   0.33   1.17   2.73   0.95  -2.73
195012   7.21   7.22   6.10   4.05   5.51   3.84
195101   8.09   8.38   7.64   4.06   5.73   7.81
195102  -0.13  -0.02   0.71   1.01   1.09   0.28
195103  -3.60  -3.96  -4.79  -1.91  -2.98  -1.66
195104   5.80   3.68   3.86   5.64   4.61   3.94
195105  -3.42  -2.63  -3.03  -2.24  -2.89  -4.97
195106  -6.27  -5.21  -6.27  -1.41  -2.60  -6.13
195107   6.67   5.21   4.53   7.83   5.45   6.37
195108   5.29   4.62   4.10   2.56   4.31   5.26
195109   1.62   2.34   1.80  -0.09   0.24   1.73
195110  -3.78  -3.47  -1.28  -2.94  -2.06  -1.97
195111   0.82  -0.47  -0.83  -0.35  -0.46   0.11
195112   1.33   0.20  -1.11   4.28   2.28   1.14
195201   2.76   0.78   1.51   1.49   1.73   0.66
195202  -3.41  -2.32  -2.30  -3.33  -3.25  -3.19
195203   2.27   2.08   1.22   4.39   3.80   5.15
195204  -5.35  -4.09  -4.87  -5.65  -3.91  -4.65
195205   1.91   1.73   1.86   2.98   2.39   1.97
195206   3.46   1.92   1.22   3.62   3.35   4.51
195207  -0.62   1.10   1.03   0.48   1.32   1.62
195208   0.64  -0.36  -0.04  -1.90  -0.99  -0.53
195209  -1.55  -1.50  -1.88  -2.15  -2.23  -3.48
195210  -2.25  -1.90  -1.78  -1.04  -0.02  -1.79
195211   5.78   4.45   4.26   5.69   4.40   5.61
195212   1.62   1.28   0.20   2.63   2.61   3.45
195301   1.19   3.11   4.69  -1.24  -0.26   2.30
195302   1.31   1.51   1.11  -0.79  -1.20  -1.50
195303  -1.82  -1.76  -2.68  -0.94  -2.07  -4.58
195304  -2.67  -2.01  -2.27  -3.30  -2.42  -2.48
195305   0.45  -0.43   0.41   0.19  -0.25  -0.62
195306  -3.90  -3.81  -4.19  -1.79  -1.75  -4.35
195307   1.55   1.34   0.82   2.86   2.22   1.92
195308  -6.53  -4.32  -5.75  -4.28  -5.09  -8.00
195309  -0.98  -1.21  -2.50   1.20  -0.60  -2.06
195310   4.75   3.29   2.28   4.76   4.29   6.06
195311   1.66   0.66   0.88   3.31   1.15  -0.38
195312  -1.38  -1.12  -3.52   0.45  -0.30  -3.26
195401   6.58   5.42   6.89   3.76   5.85   7.19
195402   0.85   1.19   0.62   1.17   1.06  -0.04
195403   1.84   2.61   1.25   4.54   2.29   3.72
195404   1.29   1.84   0.11   5.02   4.13   3.62
195405   4.10   3.43   3.70   2.02   2.26   5.16
195406   1.55   1.27   0.47   2.09  -0.31  -0.34
195407   6.82   8.05   6.05   2.63   6.58   6.72
195408  -0.43  -0.90  -0.69  -3.59  -2.42  -4.35
195409   4.87   3.84   3.17   5.87   6.92   4.72
195410  -0.10  -0.92  -0.90  -2.37  -1.49  -0.36
195411  10.47   7.31   8.01  10.62   6.48   9.41
195412   7.73   8.12   8.40   4.01   4.84  10.99
195501   1.90   0.32   1.88  -0.57   1.19   2.15
195502   4.03   3.96   4.45   3.35   1.48   2.66
195503   0.48  -1.54  -0.35   0.19  -1.17   0.45
195504   0.73   2.29   1.63   4.05   2.73   2.49
195505  -0.07   1.06  -1.22   2.21  -0.82  -0.38
