
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198206 -13.51 -12.86 -14.56 -11.85 -15.23 -12.22 -14.60 -13.24 -14.09 -21.11
198207   7.03   7.11   4.77   9.33   3.38   6.01   3.17   7.57   4.23  -2.91
198208  18.16  15.24  18.63  18.71  19.56  16.25  19.15  14.12  21.02   7.33
198209  -2.37  -2.61  -0.31  -3.74  -1.62  -2.02  -1.42  -1.60  -1.51  -0.78
198210  11.11  10.29  10.07  12.41   8.18  10.94   7.42  12.70  11.91 -15.45
198211   0.93   0.52   1.57   2.31   0.42   2.77   1.04   5.12  -1.77  21.60
198212   6.89  10.70   6.15   8.58   6.95   8.11   6.93  10.11   7.99   4.63
198301   2.18   9.79   2.47  -4.32   1.30   3.33   5.64  -2.62   9.29   8.12
198302   3.13   8.03  -2.71   8.53  -2.80   7.81  -3.49   9.48  -2.11  -5.43
198303   2.82   0.16   3.00   5.53   2.68   1.00   2.96   4.57   0.55  -0.98
198304  10.35   9.38  11.29   9.00  11.92   9.04   9.36   9.23  11.55   5.70
198305   2.43   3.69   3.09  -0.57   4.79   2.09   6.89  -0.13   4.64  16.47
198306   1.91   1.54   4.11  -2.78   5.25   2.37   1.86  -2.10   2.48   1.18
198307   0.39   0.56  -0.13  -1.00   3.63  -1.20   1.01   0.15   1.05  -5.91
198308  -0.14  -1.46  -0.18  -0.09   1.39  -0.41   1.70  -0.18   1.69  -0.34
198309   1.79   3.06   0.73   3.27  -1.15   3.11  -0.91   3.60  -0.03  -2.65
198310  -6.24  -7.44  -7.21  -2.07  -9.17  -2.70  -6.53  -2.52  -8.24  -8.39
198311   8.09  10.79   9.72   4.30  10.02   6.33  11.80   5.61  13.20   7.73
198312  -1.07  -1.22  -2.27   2.39  -3.61   1.57  -2.76   1.19  -5.85  -0.22
198401  -4.13  -1.20  -7.01  -3.77  -4.92  -3.69  -7.55  -3.40  -7.23  -3.64
198402  -1.42  -4.43   1.20  -1.70  -1.67  -2.00  -1.54  -2.78   1.89  -4.46
198403  -3.04  -4.18  -2.56  -8.45  -2.18  -5.20  -0.52  -7.23  -0.53  -6.83
198404  -2.96  -3.25  -2.28  -1.16  -4.73  -1.59  -6.20  -1.35  -4.28  -4.08
198405  -4.63  -7.55  -3.52  -2.80  -4.23  -3.57  -4.28  -3.56  -5.79 -13.32
198406  -2.69  -4.37  -1.50  -0.24  -0.49   0.29  -2.44  -1.03  -1.01  -5.67
198407  -3.21  -2.68  -3.51   1.85  -5.34   0.55  -4.25   1.06  -4.63 -10.69
198408  14.55  13.84  14.55   7.19  18.70   9.70  14.32   7.89  15.83  18.69
198409  -1.11  -1.95  -1.80  -2.36  -1.97  -2.53  -2.58  -1.39  -2.46   0.86
198410  -2.31  -1.50  -3.36   2.00  -3.45   0.72  -1.55   1.43  -4.03  -8.39
198411  -0.65  -0.09  -2.79   3.71  -2.84   1.77  -4.06   2.11  -4.71  -2.43
198412   1.26   4.85  -1.40   4.02  -0.66   2.83  -1.01   3.40   0.02  -3.56
198501   7.41   9.85   6.67   4.14   8.50   6.62   8.25   4.76   8.27  12.85
198502  -4.78  -6.81  -4.79  -4.03  -4.52  -2.94  -6.37  -5.29  -4.22  -5.58
198503   2.88  -3.00   6.81  -0.73   5.63   1.80   5.07   1.61   2.72   0.62
198504   0.63   0.34  -0.29   2.50  -1.73   0.49  -0.88   1.38  -0.70  -3.08
198505   2.70   1.59   2.89   6.44   3.73   4.57   1.06   6.59   2.47  -1.17
198506  -1.09   1.30  -3.63   1.76  -2.36   0.22  -3.48   1.53  -2.69  -4.81
198507   2.37   4.12   3.30   0.28   2.66   0.88   4.39   0.82   5.28   4.51
198508   0.32  -0.40   0.75  -0.17  -1.38  -0.13   1.76  -0.05  -1.96  -0.04
198509  -6.52  -7.98  -6.59  -5.20  -7.56  -7.22  -8.18  -4.85  -7.32 -11.82
198510   1.15   0.94   0.04   3.68   0.47   1.77  -0.36   2.92   0.95   0.35
198511   5.62   7.15   6.01   4.81   6.32   4.94   6.57   4.80   5.59  10.41
198512   0.17   3.75  -2.05  -0.30  -0.15   0.19  -1.08  -1.86   1.92   1.75
198601  -4.66  -2.47  -6.51  -7.59   1.81  -6.29   0.59  -7.27  -4.79  -3.39
198602   0.69  -2.80   2.92  -2.69   3.03  -0.45   3.45  -0.44   3.93  -4.79
198603   8.33  10.06   8.19  11.16   2.90  10.46   0.51  11.20   1.25   3.94
198604   1.11  -2.08   4.46   1.77   2.13  -1.46   5.53   2.24   2.66   1.85
198605   0.88   1.82  -0.52   0.46   1.00  -0.44   2.80   0.65   2.00   0.27
198606  -2.26  -2.59   0.18  -2.70  -0.74  -3.55   1.32  -2.26   0.37  -3.24
198607  -5.03  -7.05  -3.95  -4.30  -4.25  -5.70  -5.20  -3.84  -4.03  -6.26
198608   4.62   4.71   4.96   3.36   5.13   3.63   8.94   2.04   8.54   2.44
198609  -1.22   2.33  -4.47  -0.94  -0.54  -0.70  -2.35  -1.57  -1.56  -4.62
198610   1.92   1.43   2.95   1.43   0.69   0.19   1.68   1.19   4.56   2.27
198611   1.00   3.00  -0.22   1.19   2.94   2.66   1.96   0.34   1.00   1.03
198612   1.80   0.08   2.61   3.03  -1.82   4.93  -2.27   1.39  -2.40  -1.03
