This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199604   ,1.74   ,1.28   ,1.88   ,1.36   ,0.37   ,1.60
199605   ,2.85   ,2.83   ,4.57   ,0.15   ,2.26   ,2.38
199606  ,-0.37   ,0.45   ,0.40   ,0.24   ,0.77   ,0.79
199607  ,-1.49  ,-1.63  ,-1.53  ,-1.12  ,-1.26  ,-1.66
199608   ,1.24   ,1.85   ,2.31   ,1.36   ,2.41   ,3.96
199609  ,-1.44  ,-0.63  ,-0.11   ,1.07   ,1.96   ,2.26
199610   ,1.71   ,3.14   ,3.36   ,0.36   ,2.68   ,1.68
199611   ,2.79   ,2.46   ,1.63   ,4.26   ,4.17   ,5.94
199612   ,2.28   ,2.71   ,2.67   ,1.16   ,2.45   ,2.88
199701   ,1.45   ,1.06   ,0.52   ,0.91   ,0.02  ,-0.15
199702   ,2.04   ,1.03   ,1.74   ,1.14   ,1.05   ,0.86
199703   ,1.76   ,1.36   ,1.70   ,2.47   ,2.32   ,2.75
199704  ,-2.02  ,-1.33  ,-1.48  ,-0.73  ,-0.61   ,0.95
199705   ,3.56   ,4.09   ,3.25   ,5.60   ,5.67   ,3.41
199706   ,0.49   ,1.93   ,0.44   ,3.69   ,4.84   ,4.39
199707  ,-0.65  ,-1.01  ,-2.12   ,3.77   ,4.84   ,3.33
199708   ,0.24  ,-0.17   ,1.61  ,-5.10  ,-6.61  ,-4.17
199709   ,5.91   ,6.25   ,6.44   ,8.42  ,10.33   ,9.35
199710  ,-0.55  ,-1.25   ,0.00  ,-3.15  ,-5.96  ,-4.44
199711  ,-2.34  ,-1.33  ,-1.29   ,1.47   ,1.24   ,1.25
199712  ,-0.37  ,-0.09  ,-0.04   ,4.77   ,3.00   ,2.47
199801   ,4.11   ,0.95   ,2.44   ,4.40   ,3.34   ,3.71
199802   ,6.47   ,6.54   ,6.78  ,10.28   ,7.84   ,6.88
199803  ,10.30   ,8.16   ,9.40   ,6.80   ,6.78   ,7.37
199804   ,2.91   ,4.44   ,5.16   ,2.04   ,1.97   ,3.51
199805   ,4.13   ,3.88   ,6.56   ,2.60   ,3.00   ,1.25
199806  ,-3.39  ,-4.10  ,-2.16  ,-1.59  ,-0.32   ,1.73
199807  ,-0.45  ,-0.97  ,-0.81   ,5.28   ,1.63   ,1.47
199808 ,-10.70 ,-10.29 ,-10.72 ,-14.39 ,-11.57 ,-10.74
199809  ,-2.52  ,-4.77  ,-5.01  ,-5.78  ,-5.01  ,-3.09
199810   ,1.92   ,1.86   ,1.91   ,6.92   ,8.88   ,6.48
199811   ,2.03   ,1.87   ,1.91   ,6.64   ,4.29   ,4.58
199812   ,0.32   ,0.61   ,1.39   ,3.64   ,2.89   ,4.27
199901   ,0.24  ,-1.38   ,0.15  ,-1.13  ,-2.14   ,2.33
199902   ,0.09  ,-0.59   ,0.92  ,-4.32  ,-2.36  ,-0.83
199903   ,1.05  ,-0.15  ,-0.71  ,-0.18   ,1.14   ,0.17
199904   ,3.50   ,4.26   ,4.32   ,2.30   ,4.74   ,2.18
199905   ,0.83   ,1.06  ,-0.21  ,-4.47  ,-4.06  ,-3.05
199906   ,2.88   ,1.93   ,1.48   ,0.36   ,2.35   ,2.54
199907   ,5.58   ,4.11   ,3.91   ,0.32   ,2.32   ,0.36
199908   ,5.51   ,4.69   ,4.28   ,2.62   ,1.45   ,0.73
199909   ,2.35   ,0.33   ,1.35   ,2.25  ,-1.23   ,0.11
199910   ,1.99  ,-0.52   ,1.05  ,-1.44   ,2.31   ,3.80
199911   ,3.31  ,-0.05   ,4.10   ,1.74   ,0.86   ,6.66
199912   ,3.89   ,4.55   ,8.03   ,8.35   ,7.28  ,13.42
200001   ,1.57  ,-1.29   ,3.30  ,-8.35 ,-10.22  ,-4.82
200002   ,7.21   ,4.17  ,10.05   ,4.59   ,4.31   ,8.84
200003  ,-3.63  ,-2.46  ,-4.69   ,4.13   ,2.57   ,0.01
200004 ,-10.44  ,-7.22  ,-9.47  ,-3.27  ,-2.14  ,-7.30
200005   ,1.28   ,2.39  ,-1.28   ,1.81   ,3.33  ,-2.39
200006   ,1.69   ,1.71   ,1.06   ,4.81   ,1.45  ,-1.45
200007  ,-1.74  ,-1.42  ,-1.15   ,0.07  ,-1.68  ,-0.76
200008   ,0.32  ,-1.53  ,-0.22  ,-0.35  ,-0.46  ,-2.35
200009  ,-2.94  ,-2.01  ,-1.34  ,-5.20  ,-5.30  ,-3.54
200010  ,-9.01  ,-6.47  ,-6.42  ,-3.10  ,-1.73  ,-0.29
200011  ,-7.55  ,-1.93  ,-3.30  ,-3.22  ,-2.57  ,-5.88
200012   ,5.63   ,7.48   ,6.74   ,7.45   ,6.43   ,5.14
200101   ,2.90   ,2.01   ,2.46   ,0.97   ,1.28  ,-0.21
200102  ,-4.60  ,-2.77  ,-3.99  ,-6.77  ,-8.47 ,-10.49
200103 ,-10.22  ,-7.90  ,-9.55 ,-10.71  ,-9.80  ,-6.37
200104   ,4.13   ,5.22   ,4.92   ,5.30   ,7.87   ,9.96
200105  ,-2.89  ,-1.71  ,-1.32  ,-5.02  ,-3.40  ,-6.97
200106  ,-4.27  ,-3.33  ,-3.84  ,-1.90  ,-2.82  ,-4.64
200107  ,-2.68  ,-0.43  ,-1.77  ,-1.89  ,-0.86   ,1.70
200108  ,-1.28   ,2.05   ,1.05  ,-3.48  ,-0.42  ,-2.81
200109 ,-16.19 ,-14.45 ,-15.86 ,-12.58  ,-9.75 ,-10.77
200110   ,5.75   ,3.34   ,4.44   ,5.40   ,2.25   ,3.16
200111   ,6.33   ,6.03   ,6.20   ,6.67   ,4.11   ,2.33
200112  ,-1.07   ,1.05   ,2.24   ,1.07   ,1.94   ,2.84
200201  ,-2.54  ,-1.51  ,-0.46  ,-7.93  ,-4.31  ,-3.55
200202  ,-1.05   ,2.24   ,0.91  ,-2.34   ,1.31   ,1.52
200203   ,4.09   ,5.19   ,5.07   ,5.10   ,5.75   ,4.84
200204   ,1.70   ,4.94   ,2.70  ,-2.85   ,1.61  ,-1.12
200205   ,2.02   ,3.42   ,2.56  ,-0.13   ,0.77  ,-0.12
200206  ,-1.37   ,0.26  ,-0.67  ,-5.54  ,-2.34  ,-1.08
200207  ,-8.29  ,-8.00  ,-8.27 ,-13.10 ,-10.18 ,-10.14
200208  ,-2.00  ,-1.43  ,-0.21   ,0.29   ,0.83  ,-0.06
200209 ,-11.57  ,-9.64  ,-9.90 ,-20.34 ,-13.05  ,-9.85
200210   ,3.11   ,1.12   ,2.80  ,16.25   ,8.20   ,7.48
200211   ,5.30   ,4.71   ,3.67  ,10.28   ,5.18   ,2.24
200212   ,1.22   ,1.56   ,1.01  ,-5.93  ,-3.25  ,-1.56
200301  ,-1.00  ,-0.42  ,-1.40  ,-2.46  ,-3.86  ,-3.90
200302  ,-2.76  ,-2.75  ,-2.27  ,-3.58  ,-2.89  ,-3.76
200303  ,-1.28  ,-0.55  ,-0.04  ,-2.96  ,-1.09  ,-0.86
200304  ,11.51  ,11.44  ,10.90  ,17.58  ,13.54  ,11.30
200305  ,11.44   ,9.41  ,10.72   ,8.62   ,7.10   ,6.92
200306   ,2.87   ,3.37   ,2.74  ,-0.45   ,1.68   ,1.25
200307   ,3.42   ,2.90   ,3.19   ,5.92   ,1.89  ,-0.97
200308   ,3.63   ,2.71   ,3.24  ,-1.32  ,-0.42   ,1.14
200309   ,5.24   ,5.25   ,5.97   ,2.52   ,3.08   ,2.41
200310   ,6.20   ,6.12   ,4.96   ,9.56   ,5.77   ,5.07
200311   ,4.67   ,5.03   ,4.45   ,4.53   ,4.69   ,4.51
200312   ,5.49   ,6.34   ,5.26   ,6.78   ,7.82   ,7.83
200401   ,6.78   ,6.06   ,5.54   ,3.84   ,1.53   ,1.64
200402   ,3.65   ,4.26   ,4.73   ,2.67   ,3.15   ,3.18
200403  ,-3.10  ,-2.35  ,-1.71  ,-4.69  ,-2.55  ,-3.32
200404  ,-2.70  ,-1.02  ,-1.21  ,-1.15  ,-0.50  ,-1.34
200405   ,0.36   ,0.47   ,0.68   ,0.80   ,1.47   ,2.21
200406   ,2.26   ,3.66   ,3.79   ,2.04   ,1.56   ,2.18
200407  ,-3.78  ,-2.86  ,-1.98  ,-4.21  ,-2.84  ,-2.74
200408   ,0.21   ,0.55  ,-0.21   ,0.72   ,0.35   ,0.65
200409   ,4.51   ,4.17   ,4.35   ,4.91   ,3.97   ,3.80
200410   ,4.41   ,3.93   ,5.27   ,5.21   ,3.68   ,4.33
200411   ,9.35   ,9.04   ,8.41   ,8.12   ,6.54   ,6.25
200412   ,4.86   ,5.02   ,5.63   ,3.94   ,4.68   ,4.47
200501   ,2.20   ,2.35   ,2.40  ,-1.50  ,-1.56  ,-1.41
200502   ,5.57   ,5.80   ,5.40   ,3.84   ,4.81   ,4.74
200503  ,-2.83  ,-2.10  ,-2.29  ,-1.90  ,-2.79  ,-2.00
200504  ,-0.55  ,-2.63  ,-2.86  ,-3.05  ,-2.97  ,-1.44
200505  ,-1.23  ,-0.25  ,-1.25   ,0.99   ,0.34   ,0.10
200506   ,2.35   ,3.28   ,2.31   ,0.54   ,1.83   ,1.98
200507   ,4.53   ,4.81   ,4.57   ,4.26   ,3.83   ,3.89
200508   ,4.11   ,4.26   ,4.42   ,2.43   ,1.52   ,2.45
200509   ,1.69   ,1.33   ,2.19   ,1.55   ,1.70   ,2.11
200510  ,-4.00  ,-4.21  ,-4.00  ,-2.45  ,-1.75  ,-4.55
200511   ,1.15   ,1.49   ,1.47   ,0.91   ,2.95   ,0.52
200512   ,4.37   ,4.85   ,4.87   ,4.80   ,4.68   ,3.03
200601   ,9.03   ,9.51   ,7.93   ,6.50   ,6.62   ,6.28
200602   ,3.35   ,2.72   ,2.72   ,1.21   ,1.83  ,-0.75
200603   ,5.91   ,5.37   ,4.40   ,5.50   ,3.42   ,4.63
200604   ,7.06   ,7.59   ,7.81   ,4.50   ,5.34   ,5.88
200605  ,-4.72  ,-3.90  ,-3.35  ,-3.55  ,-3.09  ,-2.88
200606  ,-1.57  ,-1.18  ,-1.38   ,0.10   ,0.40   ,0.54
200607  ,-0.05  ,-0.09  ,-0.56   ,1.62   ,1.80   ,1.28
200608   ,2.41   ,3.45   ,3.47   ,3.17   ,4.21   ,2.02
200609   ,1.05   ,0.68   ,1.97   ,1.72   ,2.15  ,-0.23
200610   ,4.55   ,4.85   ,4.19   ,3.80   ,3.67   ,5.18
200611   ,6.17   ,6.25   ,6.99   ,5.12   ,2.89   ,4.31
200612   ,4.55   ,4.23   ,5.43   ,3.89   ,4.11   ,3.03
200701   ,2.56   ,3.67   ,2.59   ,1.19   ,1.73  ,-0.10
200702   ,0.73   ,1.35   ,1.38  ,-0.77  ,-0.66   ,0.40
200703   ,4.87   ,4.37   ,4.86   ,3.20   ,3.73   ,4.97
200704   ,4.98   ,6.73   ,5.95   ,5.96   ,6.68   ,5.40
200705   ,0.22   ,2.13   ,1.71   ,2.26   ,0.95   ,2.98
200706  ,-0.71   ,0.22   ,0.09  ,-1.09  ,-1.32   ,2.68
200707  ,-0.66   ,0.71  ,-0.01  ,-3.26  ,-1.92  ,-1.28
200708  ,-4.65  ,-4.05  ,-4.44  ,-1.60  ,-1.91  ,-0.53
200709   ,2.57   ,2.14   ,0.81   ,6.51   ,3.86   ,6.87
200710   ,4.27   ,5.21   ,5.64   ,4.45   ,3.71   ,6.04
200711  ,-7.10  ,-8.03  ,-8.24  ,-4.81  ,-3.04  ,-2.68
200712  ,-2.94  ,-2.73  ,-2.31  ,-0.90  ,-2.20  ,-1.77
200801  ,-8.94  ,-8.85 ,-10.93 ,-10.09  ,-9.36  ,-9.97
200802   ,4.75   ,4.35   ,4.32   ,1.13   ,1.57   ,2.58
200803  ,-0.84   ,0.50   ,0.58   ,1.76   ,1.37  ,-1.27
200804   ,1.67   ,2.50   ,2.39   ,3.84   ,3.75   ,6.55
200805   ,1.72   ,1.31   ,1.50   ,1.09  ,-0.12   ,2.22
200806  ,-6.38  ,-6.41  ,-7.87  ,-9.22  ,-9.38  ,-7.81
200807  ,-6.09  ,-4.63  ,-4.66  ,-2.47  ,-1.98  ,-5.36
200808  ,-5.44  ,-3.20  ,-3.26  ,-3.83  ,-4.55  ,-4.63
200809 ,-18.12 ,-15.84 ,-18.04 ,-14.71 ,-14.18 ,-15.12
200810 ,-26.94 ,-25.78 ,-26.99 ,-24.50 ,-24.68 ,-16.25
200811  ,-8.69  ,-8.23  ,-7.78  ,-7.62  ,-7.31  ,-6.69
200812   ,5.81   ,6.01   ,4.19   ,6.45   ,9.45   ,4.65
200901  ,-6.38  ,-7.71  ,-7.09 ,-12.44 ,-13.18  ,-9.02
200902  ,-7.36  ,-5.95  ,-4.63 ,-11.93 ,-11.99  ,-8.01
200903   ,4.81   ,4.26   ,5.70   ,5.42   ,9.34   ,6.10
200904  ,14.89  ,15.31  ,19.11  ,17.73  ,14.55  ,10.53
200905  ,13.51  ,13.33  ,14.38  ,11.50  ,12.91  ,13.28
200906  ,-0.59   ,0.02  ,-0.68  ,-2.79  ,-1.55  ,-2.10
200907   ,6.01   ,7.34   ,9.10  ,11.03  ,12.60   ,8.30
200908   ,8.86   ,9.14   ,8.15  ,10.39   ,6.22   ,1.63
200909   ,6.44   ,7.35   ,8.28   ,6.02   ,5.36   ,4.56
200910  ,-1.04  ,-1.00  ,-0.23  ,-5.06  ,-1.95  ,-0.13
200911  ,-0.53   ,1.79   ,1.94   ,0.51   ,4.10   ,3.97
200912  ,-1.90  ,-0.18  ,-0.29  ,-0.68   ,1.72   ,1.82
201001  ,-1.73  ,-1.24  ,-0.04  ,-6.63  ,-5.66  ,-5.35
201002  ,-3.33  ,-2.78  ,-2.56  ,-2.70  ,-1.63  ,-1.97
201003   ,4.95   ,6.76   ,7.02   ,8.16   ,5.70   ,6.33
201004  ,-0.72   ,1.39   ,2.75  ,-3.28  ,-1.71  ,-2.24
201005 ,-12.76 ,-12.43 ,-13.33 ,-13.69 ,-11.25 ,-11.73
201006  ,-1.27  ,-0.50  ,-1.60  ,-0.48  ,-0.04  ,-2.29
201007  ,10.85  ,10.40  ,10.97  ,16.07  ,11.17  ,10.31
201008  ,-5.11  ,-4.16  ,-3.47  ,-6.49  ,-3.97  ,-2.85
201009  ,12.27  ,12.23  ,12.76  ,12.01  ,11.93  ,10.66
201010   ,4.83   ,6.14   ,5.83   ,3.47   ,5.61   ,5.22
201011  ,-8.07  ,-6.26  ,-6.64  ,-9.31  ,-8.21  ,-7.19
201012  ,11.20  ,11.64  ,10.12   ,9.65   ,9.51   ,7.52
201101   ,4.73   ,3.34   ,3.01   ,6.83   ,2.77   ,2.51
201102   ,1.85   ,2.30   ,2.48   ,3.24   ,2.90   ,3.53
201103   ,0.70   ,2.33   ,1.91  ,-2.16  ,-0.02   ,0.62
201104   ,6.54   ,7.06   ,7.84   ,7.59   ,8.58   ,8.33
201105  ,-3.64  ,-2.75  ,-2.19  ,-4.76  ,-2.69  ,-2.35
201106  ,-3.40  ,-3.45  ,-2.65  ,-3.03  ,-1.34  ,-1.81
201107  ,-3.87  ,-2.86  ,-2.33  ,-4.93  ,-3.54  ,-1.95
201108 ,-10.29  ,-8.78  ,-8.79 ,-13.16 ,-10.55  ,-7.71
201109 ,-13.59 ,-12.81 ,-10.89 ,-12.08 ,-12.19 ,-10.19
201110   ,6.88   ,7.66   ,9.44  ,11.13  ,11.74  ,10.99
201111  ,-8.06  ,-7.14  ,-6.22  ,-6.90  ,-4.36  ,-3.36
201112  ,-3.46  ,-2.75  ,-3.11  ,-2.29  ,-2.19  ,-1.92
201201   ,8.52   ,8.09   ,8.10   ,8.26   ,4.76   ,4.54
201202   ,8.12   ,7.36   ,7.44   ,6.76   ,6.43   ,5.84
201203  ,-0.58   ,1.64   ,1.47  ,-0.45   ,0.50  ,-0.58
201204  ,-2.29  ,-0.98   ,0.06  ,-4.40  ,-2.48  ,-0.75
201205 ,-13.65 ,-11.57 ,-10.55 ,-13.68 ,-12.26 ,-11.60
201206   ,3.08   ,2.85   ,4.61   ,9.37   ,7.18   ,6.90
201207  ,-1.97  ,-0.35   ,0.23  ,-1.19   ,1.12   ,1.52
201208   ,5.03   ,4.47   ,4.77   ,7.19   ,3.84   ,3.58
201209   ,5.53   ,5.08   ,4.33   ,4.54   ,3.16   ,2.70
201210   ,1.07   ,1.57   ,1.12   ,2.99   ,1.95   ,0.69
201211  ,-0.63   ,0.34   ,1.03   ,2.82   ,2.57   ,2.29
201212   ,5.99   ,5.24   ,6.13   ,4.01   ,3.33   ,2.41
201301   ,7.57   ,7.98   ,5.23   ,8.98   ,5.72   ,4.67
201302  ,-2.23  ,-0.18   ,0.20  ,-4.51  ,-1.50  ,-2.79
201303  ,-2.15  ,-1.14  ,-0.69  ,-2.37  ,-0.12   ,0.58
201304   ,3.22   ,2.77   ,3.58   ,6.16   ,3.77   ,3.64
201305   ,2.16   ,2.40   ,2.50   ,2.57   ,0.69   ,0.11
201306  ,-3.95  ,-2.43  ,-1.98  ,-6.72  ,-4.36  ,-4.16
201307   ,5.76   ,5.97   ,7.79  ,10.13   ,6.91   ,6.91
201308   ,1.31   ,1.87   ,2.21   ,0.18  ,-1.90  ,-0.67
201309   ,7.71   ,6.84   ,7.16   ,8.00   ,6.68   ,6.68
201310   ,5.31   ,4.23   ,4.17   ,6.14   ,3.83   ,3.75
201311   ,1.10   ,2.11   ,3.28   ,1.69   ,1.34   ,0.85
201312   ,2.11   ,3.67   ,2.81   ,2.07   ,2.58   ,2.17
201401   ,0.69   ,0.11   ,0.17  ,-1.53  ,-4.57  ,-3.40
201402   ,8.18   ,7.51   ,7.91   ,6.61   ,7.08   ,8.28
201403  ,-0.30   ,0.26   ,0.22  ,-1.75  ,-0.33  ,-0.07
201404  ,-0.08   ,0.52  ,-0.89   ,0.60   ,2.78   ,2.30
201405  ,-0.01   ,0.31   ,0.36  ,-0.26   ,1.58   ,0.74
201406  ,-0.54   ,0.22   ,0.23  ,-2.56   ,0.64   ,0.81
201407  ,-4.40  ,-4.48  ,-5.08  ,-2.09  ,-4.89  ,-4.67
201408  ,-1.10  ,-0.75  ,-0.49   ,0.17   ,0.03   ,0.02
201409  ,-5.83  ,-5.25  ,-5.63  ,-2.49  ,-4.33  ,-3.58
201410  ,-5.32  ,-2.88  ,-2.63  ,-4.02  ,-2.00  ,-2.05
201411   ,1.05   ,0.70   ,0.69   ,1.15   ,2.41   ,2.85
201412  ,-2.63  ,-1.08  ,-0.81  ,-5.33  ,-2.92  ,-4.00
201501  ,-2.11  ,-1.45  ,-2.01  ,-3.85   ,0.75   ,1.73
201502   ,7.84   ,6.70   ,6.26   ,7.39   ,6.24   ,5.03
201503  ,-2.87  ,-2.05  ,-2.21  ,-1.44  ,-2.82  ,-2.09
201504   ,6.41   ,6.64   ,7.00   ,4.84   ,4.65   ,4.31
201505   ,0.57   ,1.88   ,1.46   ,0.24  ,-0.39  ,-0.54
201506  ,-1.06  ,-1.45  ,-0.57  ,-2.27  ,-3.60  ,-3.05
201507   ,0.69   ,1.61   ,2.48   ,2.85   ,1.92   ,2.93
201508  ,-3.28  ,-2.15  ,-2.70  ,-6.84  ,-6.47  ,-5.84
201509  ,-4.21  ,-3.72  ,-1.13  ,-6.15  ,-3.53  ,-3.83
201510   ,2.50   ,3.74   ,4.59   ,4.88   ,7.33   ,6.75
201511  ,-3.41  ,-0.39   ,0.40  ,-3.14  ,-0.96  ,-0.90
201512   ,1.07   ,1.94   ,1.66  ,-2.34  ,-2.62  ,-1.58
201601  ,-7.66  ,-6.74  ,-6.89  ,-9.52  ,-5.20  ,-5.35
201602  ,-0.66   ,0.29  ,-1.14  ,-3.23  ,-1.31  ,-1.46
201603   ,8.11   ,8.54   ,8.63   ,6.03   ,6.70   ,7.00
201604   ,2.96   ,1.65   ,1.10   ,3.57   ,2.38   ,1.69
201605  ,-0.50   ,0.86   ,2.66  ,-0.77  ,-0.39  ,-0.41
201606  ,-6.57  ,-7.30  ,-7.98 ,-10.98  ,-2.35  ,-3.07
201607   ,5.08   ,6.27   ,6.28   ,4.47   ,4.94   ,3.42
201608   ,2.05   ,2.80   ,2.14   ,2.81   ,0.45  ,-1.12
201609   ,1.49   ,1.98   ,2.00   ,0.40   ,1.42   ,0.53
201610  ,-3.19  ,-3.38  ,-3.59   ,1.56  ,-4.11  ,-5.74
201611  ,-1.70  ,-1.85  ,-1.19  ,-0.55  ,-2.98  ,-4.12
201612   ,4.05   ,3.99   ,4.11   ,5.84   ,4.78   ,3.96
201701   ,4.78   ,4.92   ,4.72   ,2.63   ,3.04   ,2.20
201702  ,-0.13   ,1.35   ,1.33  ,-1.50   ,1.09   ,2.50
201703   ,2.40   ,3.98   ,3.30   ,5.06   ,3.98   ,4.40
201704   ,4.75   ,7.25   ,7.69   ,4.14   ,4.86   ,4.39
201705   ,4.62   ,5.57   ,5.11   ,4.04   ,5.14   ,5.97
