This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199812   4.36   4.12   5.59   5.90   6.85   6.21
199901   4.14  -0.06  -0.51   4.08   2.10   4.94
199902  -7.57  -7.46  -7.64  -0.88  -3.35  -4.36
199903   1.48  -0.53   1.13   5.61   5.37   2.53
199904   8.94   9.95   8.72   7.09   4.72   3.23
199905   0.83   1.02   2.86  -1.34  -2.50  -2.01
199906   6.85   5.08   5.24   2.87   4.85   5.94
199907  -1.53  -1.15  -0.26  -3.82  -3.66  -2.63
199908  -1.96  -3.30  -3.80  -2.12  -1.95   0.66
199909   0.37  -0.18  -0.36  -2.32  -1.68  -3.42
199910   0.36  -0.78  -1.51   7.74   8.25   5.05
199911   8.56   3.31   6.27   4.42   1.35   3.31
199912  14.43   6.12   9.00  12.40   6.06   6.29
200001   2.39  -1.95  -7.23  -2.57  -4.20  -4.98
200002  27.38   8.55   3.88   6.14  -0.99  -1.26
200003 -11.48   1.14   3.61   3.15  10.85  10.10
200004 -12.41  -1.76  -2.53  -6.95  -2.09  -3.99
200005  -6.84  -2.06  -3.54  -5.86  -1.13  -2.97
200006  14.92   5.58   5.14   5.42   0.48   4.62
200007  -7.35   0.50   2.15  -4.37   0.86  -2.68
200008   8.24   7.38   5.88  12.28   7.61   6.03
200009  -6.62  -0.57  -1.90  -8.01  -3.16  -5.36
200010  -9.94  -2.39  -0.83  -8.68  -3.28   1.87
200011 -17.51  -4.40  -3.73 -21.30  -8.02  -7.20
200012   3.86   9.88   9.30   3.13   3.78  -0.96
200101  11.15   3.41   3.24   7.16   3.03   2.84
