This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  INV is percentage difference in Total Assets at the last fiscal year end of the prior calendar
year from the previous fiscal year as of 6 months before formation.  Firms with negative
INV are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19901022  -0.56   0.05   0.66   0.25   0.24   1.30
19901023  -0.48  -0.25  -0.41   1.36   1.43   2.03
19901024   0.73   0.20   0.62   0.18  -0.38  -0.30
19901025   0.26   0.17  -0.03  -0.03  -0.12   0.39
19901026   0.09  -0.45  -0.48  -0.94  -0.95  -1.16
19901029  -0.24  -0.41  -0.15  -1.02  -0.04  -0.73
19901030  -0.64  -0.76   0.04  -0.54  -1.52  -1.36
19901031  -0.43   0.36  -0.46   0.05  -0.03  -0.32
19901101  -0.34  -0.33  -1.29  -1.60  -1.62  -1.02
19901102  -1.24  -1.15  -0.89  -0.99  -1.20  -1.08
19901105   0.69   0.56   0.67   1.75   1.38   1.09
19901106   0.51   0.01   0.60   0.50   0.45   0.31
19901107  -0.68  -0.51  -1.04  -0.21   0.12  -0.56
19901108  -0.25   0.17  -0.10  -0.04   0.16  -0.42
19901109  -0.12  -0.15   0.28  -0.48  -0.80  -0.27
19901112  -0.27  -0.21   0.36   0.25   0.55   0.99
19901113  -0.38  -0.26  -0.58   0.76   0.91   1.38
19901114  -0.55  -0.83  -0.34  -0.21  -0.34  -0.16
19901115  -0.01  -0.17   0.19  -0.07  -0.31  -0.03
19901116   0.43   0.02  -0.37   0.00   0.03  -0.38
19901119  -0.74  -0.32  -0.42   0.33   0.50   0.83
19901120   0.24   0.46  -0.11   0.80   0.89   0.45
19901121  -0.45  -0.63  -0.31  -0.20   0.01   0.05
19901122   0.34   0.56   0.62  -0.05   0.33   0.47
19901123  -0.62  -0.39  -0.45  -0.23  -0.30  -1.58
19901126   0.10  -0.11  -0.15  -0.50  -0.88   0.91
19901127  -0.39  -0.22  -0.55  -0.56   0.17  -0.16
19901128  -0.30  -0.26  -0.19   0.19  -0.24   0.14
19901129   0.13   0.11  -0.11  -0.31  -0.56  -0.33
19901130   0.03  -0.68  -0.43  -0.74  -1.28  -2.57
19901203   0.93   0.65  -0.31   1.24   1.22   1.28
19901204   0.08   0.12   0.17  -0.04  -0.27  -0.67
19901205  -1.64  -0.66  -1.03  -0.31   0.30   0.39
19901206   0.60   0.36   0.08   0.74   1.15   1.58
19901207  -0.10   0.82   0.24   1.74   1.95   1.55
19901210  -1.06  -0.46  -0.50  -1.00  -0.91  -0.81
19901211  -0.60  -0.56  -0.01  -0.66  -0.31  -0.44
19901212  -0.36  -0.16  -0.27  -0.14   0.35   0.08
19901213  -1.38  -1.27  -0.98  -1.14  -0.57  -0.64
19901214   0.99   0.33   0.68   0.33  -0.18  -0.25
19901217  -0.39  -0.50  -0.82  -1.67  -1.92  -1.76
19901218  -0.43  -0.03  -0.03   0.11  -0.26  -0.19
19901219   0.02   0.02   0.79   0.39   0.53   0.23
19901220   0.05   0.40  -0.09  -0.38  -0.05  -0.36
19901221  -0.47  -0.68  -0.60  -0.72  -0.62   0.04
19901224   0.47   0.34   0.78   0.28  -0.16   0.03
19901225   0.00   0.00   0.00   0.00   0.00   0.00
19901226   0.08  -0.09   0.03  -0.12  -0.05  -0.17
19901227  -0.85  -0.91  -0.72  -0.44   0.37  -0.08
19901228   0.94  -0.29  -0.03   0.02   0.07   0.32
19901231  -0.78   0.18  -0.07   0.10  -0.24  -0.18
19910101   0.00   0.00   0.00   0.00   0.00   0.00
19910102   0.33   0.41   0.48   0.31   0.32   0.45
19910103   0.57   0.31   0.51  -0.40  -0.68   0.00
19910104  -0.18   0.33  -0.15  -1.07  -0.51  -0.38
19910107   0.10  -0.21  -0.19  -0.19  -0.50  -0.43
19910108  -0.29  -0.25  -1.06  -0.46  -0.50  -0.64
19910109  -0.16  -0.18  -0.51  -0.46  -0.10  -0.18
19910110  -0.31  -0.17  -0.33  -0.03   0.39  -0.09
19910111   0.01  -0.08  -0.24   0.25   1.05   0.64
19910114   0.18  -0.59   0.25  -0.27  -0.73  -0.85
19910115   0.50  -0.14   0.27  -0.49  -0.75  -0.94
19910116  -0.10   0.31  -0.25  -0.24  -0.57  -1.07
19910117  -0.49   0.15  -0.75   2.19   2.93   3.38
19910118   0.04   0.06   0.72   1.87   1.19   1.15
19910121  -0.44   0.08  -0.78  -0.17  -0.20  -0.01
19910122   0.38   0.01   0.51   0.64   0.25   0.05
19910123  -0.08   0.29   0.94  -0.47   0.20   0.28
19910124  -0.58  -0.02  -0.68   0.28   0.29   0.94
19910125   0.27   0.79   0.03   1.37   2.28   2.14
19910128   0.85   0.84   0.92   0.37   0.47   0.33
19910129   0.80   0.02   0.27   0.59   0.34  -0.01
19910130   0.66   0.81   0.22   0.34   0.83   0.22
19910131  -0.44   0.66   0.70   0.72   0.62   1.16
19910201   0.22   0.07   0.24  -1.09  -1.03  -0.62
19910204   0.44  -0.18  -0.21   0.84   1.05   1.00
19910205   1.47   0.93   0.67   1.92   2.24   3.13
19910206  -0.23   0.22   0.60   0.99   0.01   0.13
19910207   0.82   1.11   1.83   0.69  -0.29  -0.37
19910208  -0.27   0.13  -0.18  -0.07  -0.18   0.15
19910211   0.61   0.25   0.62   1.22   1.58   1.62
19910212   1.36   1.56   1.41   1.36   1.17   1.20
19910213   0.92   0.98   1.09   0.65   0.15   0.57
19910214  -0.19   0.03  -0.03  -0.14  -0.25   0.29
19910215   0.02   0.59  -0.02  -0.31   0.26   0.31
19910218   1.12   0.34   1.15   2.37   2.03   1.93
19910219   0.17  -0.25   0.30  -0.09  -0.35  -0.13
19910220  -0.19   0.40  -0.27  -0.81  -0.94  -0.17
19910221  -0.44  -0.33  -0.61  -1.02  -0.52  -0.20
