This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Developed_ex_US.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199810   7.67   7.03   5.54   8.84   9.79  11.09
199811   3.72   3.71   4.51   2.91   3.22   6.74
199812   0.59   1.05   1.40   2.57   3.70   2.77
199901   0.24  -0.42   2.05  -0.43  -0.21   1.50
199902  -0.91  -1.47   0.67  -1.06  -1.84  -3.34
199903   6.05   4.23   5.16   4.16   3.50   4.76
199904   8.81   7.60   8.49   3.93   5.15   4.31
199905  -1.57  -0.60  -0.73  -3.11  -3.76  -5.42
199906   7.17   6.64  11.03   2.11   4.83   6.04
199907   4.28   3.78   4.41   3.96   1.47   4.99
199908   2.45   2.72   5.32   0.05   2.62   1.85
199909   1.78   1.40   2.33   0.65   0.12   5.87
199910  -0.35  -1.36   1.52   1.88   2.78   6.90
199911  -0.74  -0.31   4.56   1.22   1.21  12.95
199912  -0.08   1.13   6.06   5.61   6.58  12.99
200001   0.67  -1.56   2.68  -7.11  -7.31  -5.34
200002   3.00   1.27  10.59   0.76   1.65   6.98
200003   2.37   1.45  -3.18   5.45   4.57   0.74
200004  -9.87  -7.12 -11.85  -5.60  -3.30  -8.09
200005   0.44   1.63  -2.67   1.00   0.23  -7.81
200006   7.30   5.93   2.90   2.27   3.29   4.22
200007  -4.79  -3.36  -4.33  -4.94  -3.00  -4.21
200008   2.97   2.10   1.94   3.38   0.62   1.55
200009  -3.96  -2.86  -5.05  -4.02  -5.04  -5.14
200010  -7.07  -6.07 -10.16  -2.39  -3.08  -4.91
200011   0.04  -1.11  -8.95  -2.83  -2.85  -5.84
200012   1.97   2.41   2.22   3.03   3.02  -1.07
200101   1.66   1.93   1.64   1.35   0.52   0.75
200102  -0.90  -1.22  -5.65  -4.25  -8.74 -10.57
200103  -6.04  -6.74 -10.30  -7.82  -8.19  -7.24
200104   7.29   7.36   5.85   7.45   7.56   9.70
200105   0.43   0.42  -0.58  -2.12  -3.42  -3.87
200106  -1.15  -1.52  -4.69  -2.41  -2.93  -5.65
200107  -2.75  -2.05  -6.55  -1.94  -1.63  -4.11
200108   1.61   1.46  -2.13   0.17  -0.29  -6.10
200109 -11.48 -10.97 -15.99 -10.69 -11.11  -9.33
200110   2.48   2.84   6.85   0.81   2.06   5.60
200111   1.36   2.06   4.57   2.32   3.16   5.26
200112  -2.22  -1.32  -3.02  -0.17   0.41  -0.34
200201  -1.13  -1.30  -2.26  -3.53  -4.05  -6.59
200202   3.38   3.24  -0.46   3.51   1.27  -0.47
200203   4.29   4.10   4.93   4.98   5.52   5.73
200204   4.19   4.68   1.49   3.15   2.41  -2.51
200205   6.76   5.82   3.20   2.15   2.97   0.95
200206  -0.39  -1.68  -3.41  -2.40  -2.82  -5.10
200207  -5.99  -5.43  -8.22  -9.15 -10.26  -8.50
200208  -1.26  -0.35  -1.51  -0.10   0.58  -0.42
200209  -7.16  -6.41  -9.97 -10.45 -11.48  -9.96
200210  -1.65  -0.54  -0.64   5.37   5.68   3.77
200211   2.12   1.94   2.72   4.27   5.55   3.88
200212   0.72   1.29   0.37  -2.16  -3.08  -2.90
200301   0.80   1.04  -0.16  -1.98  -3.38  -3.27
200302   1.44   1.10  -1.07  -2.00  -2.46  -1.17
200303  -0.40  -0.71  -1.98  -1.15  -2.28  -1.59
200304   7.64   7.17   7.74   9.11  11.06   8.06
200305   9.01   8.10   9.79   6.96   6.84   6.89
200306   6.28   4.72   4.42   2.23   2.35   3.22
200307   4.03   2.70   3.88   2.92   2.05   0.48
200308   7.91   5.04   4.97   2.12   3.23   2.66
200309   7.20   7.08   7.04   3.02   3.50   4.30
200310   7.09   4.76   7.12   7.20   5.05   4.66
200311  -1.15   1.13   0.93   3.27   1.93   1.82
200312   5.23   5.60   5.53   7.58   6.54   7.05
200401   8.06   4.46   4.98   3.58   1.99   0.66
200402   2.79   3.14   3.41   1.23   2.34   3.86
200403   5.75   4.50   4.69  -1.39   0.77   2.23
200404  -2.36  -2.10  -2.18  -2.18  -3.49  -2.56
200405  -3.10  -1.00  -1.20   0.22   0.98   0.65
200406   5.23   4.28   4.88   2.35   2.69   2.95
200407  -4.50  -2.78  -4.09  -3.91  -3.00  -3.14
200408   0.58   1.02   0.52   0.05   1.19   1.03
200409   2.81   2.21   2.28   3.08   3.03   2.36
200410   3.77   3.67   3.94   4.02   4.18   3.34
200411   7.25   6.79   7.00   6.46   6.55   5.26
200412   3.99   4.53   4.33   4.33   4.27   4.29
200501   2.76   2.53   2.61  -1.70  -1.44  -1.51
200502   4.89   4.50   4.50   4.20   4.25   3.63
200503  -1.37  -0.67  -1.96  -1.77  -1.79  -2.38
200504  -2.99  -1.44  -1.74  -2.24  -2.05  -3.04
200505  -1.65  -1.59  -2.09   0.59  -0.25  -0.40
200506   3.36   2.50   2.82   2.26   1.81   2.14
200507   3.39   3.23   3.60   2.82   3.87   3.33
200508   4.08   3.07   3.50   3.66   3.39   3.27
200509   2.39   2.25   3.15   3.45   4.16   3.93
200510  -1.59  -1.62  -2.62  -1.81  -3.68  -3.60
200511   2.12   1.77   2.70   1.30   2.59   3.71
200512   6.95   6.64   8.18   4.88   4.82   6.25
200601   5.73   6.24   7.98   5.00   6.61   6.02
200602  -0.70  -0.85  -0.76  -0.53  -0.23   0.60
200603   4.28   3.82   4.84   3.36   3.26   4.30
200604   4.87   5.09   5.39   4.62   5.39   4.44
200605  -5.59  -4.91  -5.89  -3.36  -4.12  -4.75
200606  -2.56  -2.33  -2.51  -0.27  -0.27   0.19
200607  -1.05  -1.48  -2.94   0.18   1.53   0.16
200608   2.54   2.37   3.16   3.32   2.54   3.28
200609   0.31  -0.15  -2.04   0.61  -0.04   0.11
200610   3.00   3.03   3.91   3.56   3.68   4.73
200611   3.23   3.79   2.87   3.44   3.03   3.07
200612   2.66   2.80   2.80   3.19   2.82   3.65
200701   3.47   2.89   2.41   1.17   0.85   0.67
200702   2.50   2.49   1.62   1.64   0.37   0.66
200703   3.13   3.25   2.94   2.74   3.47   2.11
200704   3.99   4.77   4.06   3.90   4.89   3.29
200705   2.02   2.19   1.69   2.57   2.26   2.29
200706   1.74   1.47   1.67  -0.31   0.42   0.53
200707   0.65   1.20   0.17  -1.79  -1.23  -0.35
200708  -6.03  -5.19  -7.27  -0.17  -2.14  -2.98
200709   2.51   3.18   4.67   5.23   5.81   6.67
200710   3.38   3.55   6.73   4.47   4.56   5.02
200711  -5.93  -6.57  -8.97  -2.61  -4.38  -4.92
200712  -2.55  -2.29  -2.84  -1.01  -1.92  -2.35
200801  -7.27  -8.32 -10.95  -8.43  -8.69  -8.77
200802   3.58   3.66   5.39   1.53   1.80   3.06
200803  -1.32  -1.29  -4.47  -0.53  -1.52  -1.72
200804   1.81   2.23   2.85   4.52   6.28   6.14
200805   2.90   1.88   4.12   1.58   1.58   2.61
200806  -5.18  -5.30  -7.45  -7.15  -8.17  -8.51
200807  -3.23  -4.70  -7.75  -2.83  -3.55  -4.91
200808  -4.13  -5.23  -7.48  -3.58  -4.34  -5.05
200809 -12.91 -14.20 -18.37 -10.53 -14.17 -18.01
200810 -18.42 -20.46 -28.07 -19.54 -19.86 -23.94
200811  -3.41  -3.87  -6.04  -2.19  -6.67  -7.71
200812   7.96   7.25   6.58   8.18   5.62   6.04
200901  -5.55  -5.62  -4.61 -10.18  -9.32  -8.58
200902  -9.76  -8.63  -8.54 -10.77 -10.52  -8.34
200903   3.30   4.01   5.25   3.22   7.89   7.56
200904   8.63  10.97  14.95  10.50  12.48  15.18
200905  14.01  15.62  18.73  10.85  14.50  14.53
200906   1.90   1.98   2.41  -0.80  -0.60  -2.13
200907   6.27   7.30   7.56   9.68   9.56   9.39
200908   6.44   6.99   6.22   3.94   4.75   2.88
200909   4.92   5.93   6.82   4.79   4.91   3.65
200910  -1.22  -0.63  -0.29  -1.38  -2.69  -1.39
200911  -0.04   0.83   0.18   2.42   3.04   1.98
200912  -0.13  -0.12   0.56   2.59   0.34   1.66
201001   0.07  -0.81  -1.15  -4.49  -4.78  -3.68
201002  -0.53  -0.13  -0.19  -0.78  -0.37   0.57
201003   6.12   5.98   5.63   5.78   6.20   7.26
201004   3.38   2.13   3.08  -1.28  -0.86  -1.18
201005 -11.19  -9.84 -11.82 -10.86 -10.38 -10.89
201006  -1.28  -0.29  -1.34  -1.48  -1.03  -1.31
201007   7.85   6.50   7.14  10.27   9.56   8.70
201008  -3.76  -2.71  -2.19  -5.01  -3.44  -1.34
201009  11.33   9.39  10.13  10.80  10.45   8.54
201010   3.79   2.53   3.34   3.44   4.46   4.05
201011  -1.77  -2.14  -1.58  -3.86  -4.86  -4.82
201012  11.12   9.95   9.30   7.99   7.95   8.32
201101   2.87   1.72   0.56   3.22   2.02   1.42
201102   3.15   3.09   2.55   3.55   3.13   3.87
201103  -1.23  -0.65  -0.73  -2.23  -1.15  -1.72
201104   4.21   3.98   3.74   5.51   6.18   5.91
201105  -2.63  -2.76  -3.39  -3.08  -2.77  -2.42
201106  -2.20  -0.76  -2.33  -1.65  -1.11  -1.35
201107   0.32   0.73   1.19  -1.09  -1.95  -0.69
201108  -7.84  -6.62  -7.75  -9.36  -8.89  -7.84
201109 -10.28  -7.82 -12.13  -9.66  -9.84 -11.87
201110   4.76   3.08   6.09   7.87   9.32  10.35
201111  -5.19  -4.13  -5.42  -4.43  -4.77  -4.46
201112  -1.14  -0.75  -1.47  -1.14  -0.71  -2.52
201201   7.80   6.82   8.01   4.73   5.78   7.06
201202   5.15   4.11   5.42   5.69   5.00   5.93
201203   0.42   0.91  -0.59   0.78  -0.29  -1.18
201204  -0.74  -0.87  -0.88  -1.48  -1.75  -1.05
201205 -10.62  -9.52 -11.18 -10.72 -10.99 -12.41
201206   3.09   3.28   2.13   6.64   6.44   5.17
201207  -0.99  -0.07  -0.34   0.34   0.99   1.48
201208   2.77   2.34   1.99   2.84   3.17   2.95
201209   3.96   4.45   4.69   3.04   3.47   3.36
201210   0.68   0.24  -0.76   0.49   1.19   0.68
201211   0.05   0.87  -0.84   1.94   1.64   2.71
201212   5.73   4.33   3.54   3.30   3.44   2.66
201301   6.53   5.90   5.48   5.79   5.32   4.47
201302  -0.42   0.02  -0.02  -0.75  -0.86  -1.55
201303   1.68   1.47   2.31   1.52   0.18   0.82
201304   4.41   3.29   3.22   5.72   4.27   3.66
201305  -2.71  -2.24  -1.26  -1.57  -1.89  -0.47
201306  -3.96  -2.86  -4.52  -2.89  -3.79  -4.52
201307   5.24   4.13   5.83   5.69   5.14   6.11
201308   0.27   0.10   0.93  -0.43  -1.65  -1.16
201309   8.68   7.96   7.88   7.94   6.47   6.97
201310   2.82   2.18   2.04   4.00   3.61   2.50
201311   0.44   0.27  -0.27   0.99   0.67   0.42
201312   1.93   1.39   2.48   1.83   1.44   1.97
201401   0.90   0.83   0.19  -2.72  -3.80  -4.18
201402   4.23   2.83   3.86   5.84   5.58   5.25
201403   0.27   0.80   0.02  -0.76   0.26  -0.91
201404  -0.70  -0.33  -0.58   0.49   1.57   1.49
201405   0.94   0.88   0.66   1.29   1.70   1.34
201406   2.97   3.30   3.56   0.71   1.62   1.21
201407  -0.95  -1.75  -1.39  -2.11  -2.21  -1.40
201408  -0.01  -0.17  -0.05  -0.27   0.01  -0.75
201409  -5.72  -4.52  -6.13  -3.27  -4.73  -3.20
201410  -4.02  -3.04  -3.93  -2.51  -0.91  -1.82
201411  -0.77  -1.61  -0.92   1.17   0.55   1.70
201412  -1.75  -0.56  -1.68  -3.91  -3.25  -1.81
201501  -0.54  -0.76  -1.28  -0.81  -0.09   0.26
201502   4.11   4.28   4.65   5.76   5.66   5.96
201503  -0.71  -0.33  -0.54  -1.44  -1.63  -0.75
201504   6.82   5.93   8.40   4.19   5.01   4.63
201505   1.02   1.05   1.61  -0.28  -1.14  -0.03
201506  -0.38  -0.57  -1.13  -2.54  -3.17  -2.43
201507  -3.13  -1.40  -2.50   1.57   1.07   0.71
201508  -4.35  -3.82  -5.71  -6.62  -6.69  -6.16
201509  -3.00  -3.20  -3.43  -5.02  -4.81  -4.53
201510   4.45   4.63   4.48   6.23   6.91   8.19
201511  -1.29  -0.17   0.29  -2.02  -1.53  -0.61
201512   0.94   0.99   1.10  -2.18  -1.35  -0.83
201601  -7.10  -6.88  -8.34  -5.10  -6.78  -8.05
201602   0.69   0.46  -0.22  -0.26  -1.43  -1.91
201603   8.22   7.84   9.02   5.45   7.62   7.25
201604   4.77   3.75   3.84   4.09   2.45   3.23
201605  -1.70  -0.46  -0.11  -1.62  -0.66  -0.57
201606  -1.40  -2.42  -3.54  -1.83  -3.74  -4.32
201607   4.93   6.27   4.63   3.77   5.15   6.40
201608  -0.07  -0.12   0.91   0.13  -0.25   0.53
201609   3.76   3.11   3.42   2.06   1.36   0.70
201610  -0.26  -0.54  -1.95  -0.98  -2.12  -1.95
201611  -2.13  -2.12  -2.27  -1.23  -2.35  -2.87
201612   2.17   2.40   1.56   3.17   2.95   2.62
201701   5.41   4.73   4.66   3.66   3.24   3.55
201702   1.55   1.80   1.04  -0.27   1.32   1.03
201703   1.20   2.57   2.16   3.23   3.66   2.56
201704   1.34   2.77   2.60   2.64   3.31   2.59
201705   2.64   3.44   3.69   3.67   3.55   3.51
201706   1.47   2.19   1.11   0.18   0.61   0.01
201707   3.98   3.53   3.19   4.51   2.60   3.03
201708   0.71   1.00   0.73   0.39   0.43  -0.21
201709   2.56   2.32   2.01   2.52   2.22   1.96
201710   1.73   1.11   1.77   1.44   1.50   1.58
201711   0.33   0.54   1.70   0.63   0.91   0.73
201712   3.43   2.98   3.65   2.47   1.19   1.70
201801   5.24   4.52   5.35   5.51   4.70   4.14
201802  -3.19  -2.93  -2.83  -4.53  -4.44  -3.94
201803  -2.40  -1.28  -1.15  -2.20  -1.09   0.41
201804   0.20   0.90  -0.60   2.52   2.01   1.59
201805  -1.03  -1.10   1.00  -2.83  -1.78  -0.48
201806  -2.67  -2.20  -2.76  -1.84  -1.26  -0.45
201807   0.13   0.15  -0.67   1.86   2.66   1.64
201808  -1.84  -1.38  -0.81  -2.71  -2.14  -0.31
201809   0.31   0.44  -0.03   1.38   0.98   0.16
201810  -8.84  -8.28 -11.05  -8.15  -7.52 -10.59
201811  -0.47   0.26   0.15  -0.30   0.24   0.02
201812  -6.55  -6.08  -7.79  -5.17  -4.39  -5.49
201901   5.34   5.80   6.42   6.84   6.18   7.73
201902   1.51   1.82   2.36   1.79   2.70   3.35
201903  -0.69  -0.68  -0.29   0.43   0.57   1.39
201904   2.20   1.86   2.99   2.71   3.13   3.42
201905  -4.04  -2.77  -4.09  -4.56  -4.61  -4.93
201906   2.98   3.02   2.32   5.12   5.59   5.38
201907  -0.57  -1.36  -0.82  -2.01  -1.77  -0.24
201908  -3.02  -3.65  -4.07  -3.01  -1.96  -1.62
201909   2.38   2.04   2.20   3.39   2.56   1.62
201910   3.33   4.20   4.01   2.98   3.38   3.98
201911   1.18   1.70   2.33   1.02   1.30   2.26
201912   4.92   4.50   5.27   3.55   3.09   3.73
202001  -3.37  -2.91  -3.05  -3.07  -1.92  -1.15
202002 -10.72 -10.06 -11.00  -9.76  -8.09  -7.82
202003 -15.80 -14.50 -15.96 -15.22 -13.17 -12.52
202004   8.78   8.89  11.98   5.58   5.64  10.64
202005   5.41   5.55   8.38   3.57   4.35   7.23
