This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
199304    ,1.92    ,3.46    ,1.93    ,0.24
199305    ,0.91    ,0.29    ,1.50    ,0.22
199306   ,-3.23   ,-1.58    ,1.53    ,0.25
199307    ,1.03   ,-1.10    ,3.00    ,0.24
199308    ,8.61    ,0.53    ,2.31    ,0.25
199309   ,-0.64    ,1.01    ,0.04    ,0.26
199310    ,2.46   ,-1.96    ,0.76    ,0.22
199311   ,-2.31    ,0.86   ,-1.59    ,0.25
199312    ,7.16   ,-2.61    ,2.61    ,0.23
199401    ,5.89    ,5.53    ,4.34    ,0.25
199402   ,-3.46    ,4.00    ,1.01    ,0.21
199403   ,-2.80    ,0.97    ,1.79    ,0.27
199404    ,3.79   ,-0.74    ,1.48    ,0.27
199405   ,-4.00    ,1.89    ,0.53    ,0.32
199406   ,-1.16   ,-0.22   ,-1.00    ,0.31
199407    ,4.66   ,-3.05    ,1.06    ,0.28
199408    ,1.90   ,-0.46   ,-2.62    ,0.37
199409   ,-3.58    ,2.64    ,0.31    ,0.37
199410    ,3.59   ,-3.02   ,-0.33    ,0.38
199411   ,-4.54   ,-0.41    ,0.45    ,0.37
199412    ,0.02    ,0.29   ,-0.58    ,0.44
199501   ,-1.55    ,1.51    ,0.96    ,0.42
199502    ,1.97   ,-0.90   ,-0.76    ,0.40
199503    ,3.45   ,-1.61   ,-2.47    ,0.46
199504    ,2.56   ,-1.67    ,0.40    ,0.45
199505    ,1.76   ,-0.28    ,0.46    ,0.54
199506    ,1.00   ,-0.06   ,-0.63    ,0.47
199507    ,3.99   ,-1.40   ,-1.03    ,0.45
199508   ,-4.05    ,1.21   ,-2.29    ,0.47
199509    ,2.37   ,-0.48   ,-1.93    ,0.43
199510   ,-0.71   ,-0.89   ,-0.29    ,0.47
199511   ,-0.32   ,-3.27    ,0.78    ,0.42
199512    ,1.84   ,-1.18    ,1.03    ,0.49
199601    ,0.44    ,0.09    ,0.12    ,0.43
199602    ,1.88    ,1.41    ,0.21    ,0.39
199603    ,0.89    ,0.27    ,0.51    ,0.39
199604    ,0.62    ,0.75    ,0.37    ,0.46
199605    ,1.50    ,1.78   ,-0.28    ,0.42
199606    ,0.22   ,-0.63    ,0.33    ,0.40
199607   ,-1.79   ,-0.39    ,0.97    ,0.45
199608    ,2.26   ,-0.69   ,-1.49    ,0.41
199609    ,1.17   ,-2.67    ,0.49    ,0.44
199610    ,1.55    ,1.01   ,-1.30    ,0.42
199611    ,4.08   ,-2.71    ,1.01    ,0.41
199612    ,2.01   ,-0.12    ,0.75    ,0.46
199701   ,-0.35    ,0.69    ,2.01    ,0.45
199702    ,0.68    ,0.62   ,-0.25    ,0.39
199703    ,2.04   ,-1.19    ,1.09    ,0.43
199704   ,-0.75   ,-1.42    ,0.19    ,0.43
199705    ,4.14   ,-1.22    ,1.10    ,0.49
199706    ,3.66   ,-3.66    ,1.04    ,0.37
199707    ,3.12   ,-5.85    ,1.81    ,0.43
199708   ,-5.29    ,6.12   ,-0.87    ,0.41
199709    ,8.74   ,-4.01    ,2.67    ,0.44
199710   ,-4.88    ,4.06    ,0.89    ,0.42
199711    ,0.75   ,-2.90   ,-0.49    ,0.39
199712    ,2.26   ,-3.77    ,1.95    ,0.48
199801    ,3.16   ,-1.37    ,0.46    ,0.43
199802    ,7.49   ,-1.82    ,1.00    ,0.39
199803    ,6.91    ,1.09    ,4.53    ,0.39
199804    ,2.19    ,1.54   ,-0.56    ,0.43
199805    ,2.22    ,2.14    ,1.01    ,0.40
199806   ,-0.50   ,-3.19   ,-1.88    ,0.41
199807    ,1.53   ,-3.68    ,1.50    ,0.40
199808  ,-12.08    ,1.72   ,-2.51    ,0.43
199809   ,-4.84    ,1.19   ,-2.70    ,0.46
199810    ,6.59   ,-5.96    ,0.83    ,0.32
199811    ,4.24   ,-3.07    ,0.72    ,0.31
199812    ,2.88   ,-2.53   ,-1.89    ,0.38
