This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoINV,LoBM_HiINV,HiBM_LoINV,HiBM_HiINV
200105  ,-0.72   ,0.78   ,3.84   ,4.14
200106  ,-2.60  ,-5.61   ,1.06  ,-0.54
200107  ,-4.49  ,-8.54  ,-3.88  ,-3.33
200108  ,-1.18  ,-4.93   ,2.75   ,1.28
200109 ,-15.61 ,-16.18 ,-12.89 ,-14.17
200110   ,9.20  ,11.02   ,5.48   ,6.11
200111   ,9.59  ,10.07  ,10.41  ,14.00
200112   ,2.64   ,4.36   ,5.52   ,5.58
200201   ,5.58   ,2.83   ,7.87   ,4.69
200202  ,-1.34  ,-1.22   ,1.78   ,0.16
200203   ,4.33   ,7.86   ,7.71   ,7.39
200204  ,-1.91  ,-4.93   ,4.47   ,3.23
200205  ,-0.60  ,-1.07   ,0.79  ,-1.53
200206  ,-6.99  ,-9.79  ,-1.61  ,-3.15
200207  ,-4.71  ,-4.43  ,-3.23  ,-4.48
200208   ,0.64   ,1.22   ,0.31   ,0.89
200209  ,-9.20 ,-12.23 ,-10.46 ,-11.25
200210   ,4.24   ,4.80   ,3.79   ,4.30
200211   ,5.87   ,4.27   ,6.41   ,4.04
200212  ,-2.62  ,-2.76  ,-1.45  ,-0.77
200301   ,0.34   ,0.62   ,3.18   ,2.29
200302  ,-1.98  ,-2.79  ,-2.06  ,-2.58
200303  ,-4.64  ,-5.55  ,-5.03  ,-5.39
200304   ,8.41   ,5.88   ,9.78  ,10.01
200305   ,8.00   ,7.18  ,11.16   ,9.74
200306   ,5.82   ,7.43   ,8.35   ,7.80
200307   ,4.09   ,7.46   ,4.97   ,5.92
200308   ,4.74   ,4.63   ,4.89   ,5.14
200309   ,1.65   ,1.51   ,2.13   ,3.36
200310   ,5.90   ,3.91   ,5.21   ,4.91
200311   ,1.54   ,1.29   ,3.21   ,1.76
200312   ,7.71   ,5.84   ,8.70   ,7.41
200401  ,-0.09   ,2.64   ,3.40   ,2.51
200402   ,1.57   ,2.66   ,3.29   ,3.78
200403   ,0.25  ,-0.42   ,1.00   ,0.76
200404  ,-2.18  ,-3.33  ,-0.14  ,-1.49
200405  ,-4.46  ,-5.26  ,-5.37  ,-5.25
200406  ,-0.53  ,-3.01  ,-0.86  ,-1.23
200407   ,0.16  ,-3.50   ,1.54  ,-0.52
200408   ,3.40   ,3.44   ,4.35   ,3.94
200409   ,5.20   ,3.58   ,6.81   ,6.00
200410   ,1.57   ,1.41   ,2.34   ,2.76
200411   ,9.36   ,7.78  ,10.26   ,9.85
200412   ,5.83   ,4.59   ,7.60   ,6.46
200501   ,7.39   ,3.51   ,6.44   ,7.43
200502   ,6.82   ,6.62   ,8.58   ,9.09
200503  ,-5.25  ,-4.45  ,-2.90  ,-3.88
200504  ,-3.36  ,-3.89  ,-1.40  ,-2.48
200505   ,1.77   ,1.69   ,3.80   ,3.58
200506   ,3.41   ,3.18   ,4.43   ,4.71
200507  ,10.19   ,7.61   ,7.00   ,6.84
200508   ,1.71   ,0.08   ,2.23   ,0.12
200509   ,4.92   ,5.68   ,3.03   ,6.66
200510  ,-3.32  ,-3.03  ,-3.75  ,-2.00
200511   ,9.35   ,8.43   ,6.74   ,7.87
200512   ,5.38   ,6.44   ,6.49   ,5.24
200601   ,8.88   ,7.91   ,8.13   ,6.92
200602   ,1.55   ,1.59   ,1.59   ,1.48
200603   ,2.92   ,2.86   ,3.10   ,2.90
200604   ,6.49   ,6.61   ,9.91   ,9.73
200605  ,-9.44  ,-9.69  ,-6.37  ,-7.09
200606  ,-5.47  ,-6.24  ,-4.74  ,-3.92
200607   ,0.30   ,0.77   ,0.11   ,0.52
200608   ,3.20   ,3.49   ,4.09   ,3.87
200609   ,3.40   ,3.46   ,3.83   ,4.03
200610   ,4.98   ,5.13   ,6.57   ,6.19
200611   ,7.27   ,7.60   ,9.29   ,7.35
200612   ,2.97   ,1.80   ,5.26   ,2.93
200701   ,1.56   ,1.04   ,4.04   ,3.52
200702   ,2.13   ,2.36   ,3.21   ,3.48
200703   ,4.40   ,5.44   ,4.98   ,5.60
200704   ,6.03   ,6.20   ,7.96   ,8.14
200705   ,6.85   ,6.64   ,7.79   ,7.73
200706   ,4.72   ,5.74   ,6.28   ,5.64
200707   ,5.67   ,5.87   ,7.30   ,7.12
200708  ,-5.47  ,-6.39  ,-3.93  ,-5.77
200709   ,5.24   ,6.31   ,7.54   ,7.16
200710   ,3.73   ,4.40   ,3.51   ,3.95
200711  ,-5.74  ,-7.49  ,-2.75  ,-4.76
200712   ,0.71   ,1.28   ,5.37   ,5.15
200801 ,-10.78 ,-13.98  ,-9.73 ,-10.41
200802   ,6.41   ,6.81   ,4.43   ,4.19
200803  ,-4.74  ,-6.88  ,-5.28  ,-5.96
200804   ,3.15   ,3.43   ,5.84   ,5.14
200805  ,-0.21  ,-1.55  ,-0.20  ,-1.90
200806 ,-10.32 ,-12.06  ,-8.84 ,-10.44
200807  ,-2.27  ,-2.63  ,-0.11  ,-1.02
200808  ,-7.73  ,-8.82  ,-5.46  ,-7.06
200809 ,-15.47 ,-18.30 ,-14.94 ,-17.10
200810 ,-27.26 ,-29.74 ,-24.75 ,-27.61
200811  ,-6.65  ,-9.26  ,-7.12  ,-9.52
200812   ,8.18   ,8.00  ,11.03   ,9.90
200901  ,-4.90  ,-5.98  ,-3.77  ,-3.96
200902  ,-3.85  ,-4.47  ,-4.44  ,-4.26
200903  ,12.36  ,14.23  ,10.32  ,12.59
200904  ,20.44  ,22.17  ,20.04  ,21.96
200905  ,18.60  ,21.57  ,21.71  ,23.18
200906  ,-0.20  ,-1.05  ,-0.04   ,0.60
200907   ,8.48   ,9.09   ,9.59   ,9.74
200908   ,1.41   ,3.23   ,5.05   ,4.73
200909   ,6.29   ,7.72   ,8.53   ,8.98
200910   ,0.02  ,-0.89   ,0.95  ,-0.37
200911   ,0.97   ,2.31   ,4.11   ,3.09
200912   ,4.40   ,6.18   ,7.06   ,7.40
201001   ,0.61  ,-0.85   ,2.03  ,-0.04
201002   ,1.51   ,0.66   ,0.89   ,0.29
201003   ,6.00   ,6.45   ,7.70   ,8.22
201004   ,2.80   ,2.66   ,6.23   ,5.63
201005  ,-9.73  ,-9.74  ,-9.27 ,-10.06
201006   ,1.05   ,0.22   ,2.42   ,1.58
201007   ,5.92   ,6.35   ,7.41   ,6.98
201008   ,0.18  ,-0.58   ,0.67  ,-0.27
201009   ,9.15  ,10.62   ,9.87  ,10.07
201010   ,1.94   ,3.03   ,4.62   ,4.48
201011  ,-2.39  ,-2.54  ,-4.06  ,-4.39
201012   ,5.13   ,4.52   ,5.83   ,6.04
201101  ,-1.56  ,-1.74  ,-2.78  ,-2.71
201102  ,-2.63  ,-3.08  ,-2.87  ,-2.96
201103   ,4.10   ,3.44   ,3.58   ,4.08
201104   ,5.11   ,3.55   ,5.67   ,4.68
201105  ,-2.66  ,-3.23  ,-3.29  ,-2.85
201106  ,-1.12  ,-1.57  ,-0.92  ,-0.70
201107   ,3.00   ,1.63   ,3.23   ,2.84
201108  ,-8.90 ,-10.42  ,-9.41 ,-10.62
201109 ,-12.46 ,-14.46 ,-11.35 ,-12.35
201110   ,9.13  ,10.09   ,7.44   ,7.79
201111  ,-5.89  ,-8.11  ,-6.94  ,-7.78
201112  ,-1.38  ,-2.35  ,-1.30  ,-2.65
201201  ,10.47  ,11.67  ,13.17  ,13.99
201202   ,7.85   ,8.79   ,8.36   ,8.02
201203  ,-3.15  ,-2.34  ,-3.19  ,-3.13
201204  ,-2.13  ,-2.72  ,-1.49  ,-1.78
201205  ,-8.60  ,-9.70  ,-7.70  ,-9.47
201206   ,3.95   ,2.64   ,3.56   ,3.08
201207  ,-1.30  ,-0.42   ,0.07  ,-0.54
201208   ,2.57   ,3.03   ,1.80   ,1.27
201209   ,5.32   ,5.53   ,6.89   ,7.75
201210  ,-0.59  ,-0.87  ,-0.61  ,-0.53
201211  ,-0.23   ,1.08   ,0.16   ,1.12
201212   ,3.08   ,3.19   ,3.31   ,3.38
201301   ,2.21   ,1.85   ,2.75   ,2.45
201302   ,0.48   ,0.51  ,-1.31  ,-1.87
201303  ,-1.25  ,-1.37  ,-0.89  ,-0.98
201304   ,0.78   ,1.34   ,2.50   ,2.23
201305  ,-0.57  ,-0.92   ,0.84  ,-0.01
201306  ,-6.74  ,-6.62  ,-6.85  ,-7.78
201307   ,2.50   ,2.54   ,0.49   ,0.17
201308  ,-4.21  ,-3.97  ,-3.87  ,-3.77
201309   ,8.05   ,6.90   ,8.02   ,7.56
201310   ,2.90   ,3.15   ,5.08   ,4.82
201311  ,-0.85  ,-1.89  ,-0.76  ,-1.65
201312  ,-0.20   ,0.67   ,2.39   ,0.94
201401  ,-1.26  ,-3.18  ,-1.25  ,-2.56
201402   ,4.42   ,5.13   ,4.75   ,5.06
201403   ,1.91   ,2.60   ,3.79   ,3.61
201404   ,1.80   ,0.60   ,3.43   ,3.50
201405   ,3.16   ,2.87   ,7.53   ,6.40
201406   ,2.87   ,1.82   ,5.65   ,4.57
201407   ,0.27  ,-0.48   ,0.44   ,1.22
201408   ,2.06   ,1.98   ,2.09   ,1.97
201409  ,-2.08  ,-2.65  ,-0.94  ,-1.66
201410  ,-1.31  ,-1.82  ,-1.40  ,-0.23
201411  ,-1.90  ,-1.74  ,-1.05  ,-1.07
201412  ,-1.62  ,-2.67  ,-2.67  ,-3.89
201501   ,1.98   ,0.90   ,2.40   ,1.14
201502   ,3.38   ,2.16   ,2.69   ,2.11
201503   ,0.21  ,-0.24  ,-1.68  ,-2.06
201504   ,6.90   ,6.70   ,6.95   ,6.30
201505  ,-0.56  ,-1.23  ,-0.84  ,-1.27
201506  ,-0.41  ,-2.75  ,-1.45  ,-2.82
201507  ,-4.43  ,-4.65  ,-0.68  ,-1.98
201508  ,-8.38  ,-8.65  ,-9.26  ,-9.24
201509   ,1.89   ,1.01   ,1.24   ,0.49
201510   ,6.05   ,5.81   ,6.60   ,6.66
201511  ,-0.56  ,-1.47  ,-0.50  ,-1.65
201512   ,0.42  ,-0.72   ,2.68   ,1.59
201601  ,-5.64  ,-5.23  ,-5.56  ,-5.44
201602  ,-1.27  ,-0.41  ,-2.30  ,-0.91
201603  ,11.74  ,10.37  ,10.82  ,10.40
201604   ,1.96   ,1.07   ,3.87   ,2.37
201605  ,-2.90  ,-2.97  ,-3.20  ,-3.10
201606   ,2.65   ,2.48   ,4.21   ,3.11
201607   ,4.08   ,4.15   ,5.63   ,5.13
201608  ,-0.30  ,-0.49   ,1.97   ,1.05
201609   ,1.48   ,1.78   ,1.97   ,1.79
201610  ,-2.27  ,-3.23   ,2.92   ,0.89
201611  ,-5.53  ,-5.94  ,-5.43  ,-4.93
201612   ,1.35   ,1.26   ,1.21   ,1.65
201701   ,3.49   ,3.60   ,6.65   ,5.58
201702   ,2.61   ,2.86   ,4.98   ,3.86
201703   ,2.79   ,1.98   ,4.04   ,4.17
201704   ,1.12   ,0.84   ,3.20   ,2.35
201705   ,1.83   ,2.24  ,-0.11   ,1.06
201706   ,0.10  ,-0.29   ,0.83   ,0.90
201707   ,1.80   ,2.26   ,3.16   ,2.92
201708   ,0.38   ,0.20   ,0.40   ,0.40
201709  ,-1.12  ,-1.10  ,-0.06  ,-0.15
201710   ,2.65   ,3.08   ,4.16   ,3.38
201711   ,2.11   ,2.89   ,1.81   ,1.38
201712   ,3.93   ,3.82   ,4.09   ,3.09
201801   ,5.29   ,6.56   ,5.10   ,6.08
201802  ,-2.85  ,-2.96  ,-3.08  ,-3.42
201803   ,0.01   ,0.15  ,-2.07  ,-1.96
201804  ,-0.54  ,-1.34   ,0.70  ,-0.06
201805  ,-4.19  ,-3.61  ,-2.97  ,-3.39
201806  ,-4.69  ,-4.81  ,-5.66  ,-5.82
201807  ,-0.38   ,0.01   ,0.25   ,1.31
201808  ,-1.21  ,-2.60  ,-1.71  ,-2.59
201809  ,-2.10  ,-2.61  ,-3.09  ,-2.23
201810 ,-11.29 ,-10.55  ,-7.65  ,-7.80
201811   ,5.77   ,4.89   ,5.58   ,4.74
201812  ,-0.96  ,-1.78  ,-0.11  ,-0.71
201901   ,4.66   ,4.98   ,3.56   ,5.22
201902   ,0.17   ,2.02   ,0.54   ,0.95
201903   ,1.10   ,0.69   ,1.56   ,1.37
201904   ,0.19   ,0.26   ,0.25   ,0.27
201905  ,-4.21  ,-4.85  ,-3.88  ,-3.93
201906   ,3.14   ,3.48   ,1.73   ,2.74
201907  ,-3.69  ,-2.35  ,-3.24  ,-2.58
201908  ,-3.59  ,-3.14  ,-4.21  ,-4.32
201909   ,3.05   ,2.69   ,2.72   ,2.90
201910   ,2.93   ,3.83   ,1.20   ,1.74
201911  ,-0.59  ,-1.26  ,-0.33  ,-0.36
201912   ,5.03   ,5.40   ,4.72   ,4.44
202001  ,-1.37  ,-2.18  ,-1.69  ,-1.89
202002  ,-6.43  ,-6.51  ,-7.11  ,-7.35
202003 ,-16.09 ,-16.60 ,-19.61 ,-20.77
202004  ,16.75  ,16.35  ,15.66  ,16.17
202005   ,5.11   ,5.19   ,2.94   ,3.21
202006   ,6.37   ,7.66  ,10.97  ,10.18



  Average Value Weighted Returns -- Annual
,LoBM_LoINV,LoBM_HiINV,HiBM_LoINV,HiBM_HiINV
1993  ,67.72  ,71.56 ,113.90 ,125.56
1994  ,-7.42 ,-17.86  ,-8.09 ,-13.57
1995  ,-3.56  ,-5.12  ,-3.17  ,-4.37
1996   ,7.61   ,4.80  ,11.75  ,13.14
1997 ,-24.49  ,-9.84  ,-9.84 ,-19.89
1998 ,-22.53 ,-17.88 ,-21.46 ,-16.38
1999  ,90.06  ,55.84  ,66.25  ,53.18
2000 ,-30.56 ,-37.78 ,-28.29 ,-33.24
2001  ,-3.06  ,-4.08   ,3.89  ,-3.74
2002 ,-12.70  ,-8.73   ,0.67  ,-3.78
2003  ,53.71  ,44.00  ,63.58  ,68.70
2004  ,22.66  ,28.22  ,30.66  ,29.16
2005  ,37.43  ,34.34  ,31.40  ,40.58
2006  ,30.31  ,33.09  ,40.32  ,29.77
2007  ,33.61  ,38.08  ,47.82  ,39.19
2008 ,-52.20 ,-60.07 ,-43.84 ,-58.06
2009  ,70.43  ,86.18  ,81.19  ,95.69
2010  ,25.50  ,20.47  ,25.57  ,18.86
2011 ,-13.96 ,-21.98 ,-20.15 ,-17.74
2012  ,13.89  ,23.75  ,20.86  ,17.28
2013  ,-0.51   ,3.56  ,-0.04  ,-4.13
2014   ,0.48   ,1.41   ,1.34  ,-4.32
2015  ,-8.45  ,-7.91 ,-15.42 ,-12.87
2016   ,5.33   ,4.22  ,19.57  ,13.80
2017  ,30.45  ,45.52  ,31.20  ,31.83
2018 ,-13.28 ,-17.99  ,-9.12 ,-15.89
2019  ,11.83  ,26.62  ,10.47  ,16.26



  Average Equal Weighted Returns -- Annual
,LoBM_LoINV,LoBM_HiINV,HiBM_LoINV,HiBM_HiINV
1993  ,83.95  ,91.34 ,106.04 ,121.85
1994   ,2.15  ,-6.72   ,5.27   ,2.68
1995 ,-13.64 ,-14.77  ,-9.51 ,-14.57
1996  ,16.18  ,12.35  ,11.19  ,12.36
1997 ,-52.68 ,-44.68 ,-33.92 ,-33.59
1998   ,7.63  ,-2.84  ,43.02  ,26.27
1999  ,83.94  ,78.25  ,95.61  ,77.91
2000 ,-31.00 ,-47.95 ,-17.77 ,-21.09
2001  ,-3.32   ,3.42  ,17.55  ,12.62
2002  ,-7.77 ,-16.12  ,15.91   ,2.11
2003  ,49.14  ,43.19  ,68.43  ,61.91
2004  ,21.11  ,10.15  ,38.86  ,30.13
2005  ,44.81  ,35.43  ,47.89  ,51.22
2006  ,28.74  ,26.47  ,47.28  ,39.38
2007  ,32.99  ,34.60  ,63.96  ,56.78
2008 ,-53.26 ,-61.73 ,-46.40 ,-55.48
2009  ,80.57  ,96.94 ,108.31 ,116.16
2010  ,22.99  ,21.11  ,38.09  ,30.25
2011 ,-16.02 ,-25.25 ,-18.97 ,-22.62
2012  ,16.95  ,19.76  ,25.19  ,23.38
2013   ,2.36   ,1.52   ,7.81   ,1.26
2014   ,8.35   ,2.10  ,21.68  ,17.61
2015   ,5.67  ,-4.04   ,7.37  ,-1.72
2016   ,4.25   ,1.79  ,15.90  ,11.56
2017  ,23.84  ,24.65  ,38.33  ,32.88
2018 ,-16.82 ,-18.02 ,-14.48 ,-15.49
2019   ,7.91  ,11.73   ,4.25   ,8.21



  Number of Firms in Portfolios
,LoBM_LoINV,LoBM_HiINV,HiBM_LoINV,HiBM_HiINV
199207    ,128     ,98    ,323    ,199
199208    ,128     ,98    ,323    ,199
199209    ,128     ,98    ,323    ,199
199210    ,128     ,98    ,323    ,199
199211    ,128     ,98    ,323    ,199
199212    ,128     ,98    ,323    ,199
199301    ,128     ,98    ,322    ,199
199302    ,128     ,98    ,322    ,199
199303    ,128     ,98    ,322    ,199
199304    ,128     ,98    ,322    ,199
199305    ,128     ,98    ,321    ,199
199306    ,128     ,98    ,321    ,199
199307    ,179    ,200    ,461    ,279
199308    ,179    ,200    ,461    ,279
199309    ,179    ,200    ,461    ,278
199310    ,179    ,200    ,461    ,278
199311    ,179    ,200    ,461    ,277
199312    ,179    ,200    ,461    ,277
199401    ,179    ,199    ,458    ,277
199402    ,179    ,199    ,458    ,277
199403    ,179    ,199    ,458    ,277
199404    ,179    ,199    ,458    ,277
199405    ,179    ,199    ,457    ,277
199406    ,179    ,199    ,457    ,277
199407    ,261    ,293    ,731    ,506
199408    ,261    ,293    ,731    ,506
199409    ,261    ,293    ,731    ,506
199410    ,261    ,293    ,731    ,506
199411    ,261    ,293    ,731    ,506
199412    ,261    ,293    ,731    ,506
199501    ,259    ,293    ,728    ,504
199502    ,259    ,292    ,729    ,504
199503    ,259    ,292    ,729    ,505
199504    ,259    ,292    ,729    ,505
199505    ,259    ,292    ,728    ,505
199506    ,259    ,291    ,728    ,505
199507    ,485    ,613   ,1373    ,968
199508    ,485    ,613   ,1371    ,967
199509    ,484    ,612   ,1371    ,967
199510    ,484    ,612   ,1370    ,967
199511    ,483    ,612   ,1369    ,967
199512    ,483    ,610   ,1367    ,967
199601    ,483    ,608   ,1363    ,966
199602    ,483    ,608   ,1363    ,966
199603    ,483    ,608   ,1362    ,966
199604    ,483    ,607   ,1361    ,966
199605    ,483    ,607   ,1361    ,965
199606    ,483    ,607   ,1360    ,965
199607    ,583    ,664   ,1569   ,1243
199608    ,583    ,663   ,1569   ,1243
199609    ,583    ,663   ,1567   ,1242
199610    ,582    ,663   ,1566   ,1241
199611    ,582    ,663   ,1565   ,1240
199612    ,582    ,663   ,1564   ,1240
199701    ,582    ,663   ,1561   ,1240
199702    ,582    ,662   ,1557   ,1239
199703    ,582    ,662   ,1555   ,1237
199704    ,582    ,662   ,1553   ,1236
199705    ,582    ,661   ,1552   ,1234
199706    ,582    ,660   ,1549   ,1232
199707    ,756    ,794   ,1796   ,1236
199708    ,756    ,793   ,1793   ,1235
199709    ,756    ,793   ,1786   ,1229
199710    ,754    ,793   ,1781   ,1228
199711    ,752    ,793   ,1779   ,1228
199712    ,752    ,793   ,1776   ,1227
199801    ,752    ,792   ,1774   ,1226
199802    ,751    ,792   ,1767   ,1222
199803    ,751    ,792   ,1765   ,1221
199804    ,751    ,792   ,1765   ,1221
199805    ,750    ,792   ,1760   ,1221
199806    ,750    ,789   ,1756   ,1218
199807    ,689    ,632   ,2518   ,1413
199808    ,688    ,631   ,2513   ,1412
199809    ,686    ,630   ,2506   ,1409
199810    ,685    ,630   ,2500   ,1404
199811    ,685    ,630   ,2490   ,1401
199812    ,683    ,628   ,2482   ,1399
199901    ,683    ,626   ,2475   ,1393
199902    ,682    ,624   ,2465   ,1389
199903    ,681    ,624   ,2451   ,1387
199904    ,679    ,620   ,2435   ,1381
199905    ,678    ,618   ,2433   ,1379
199906    ,676    ,618   ,2425   ,1372
199907    ,618    ,616   ,2682   ,1776
199908    ,614    ,613   ,2674   ,1773
199909    ,611    ,613   ,2671   ,1772
199910    ,609    ,613   ,2668   ,1770
199911    ,608    ,613   ,2663   ,1763
199912    ,608    ,612   ,2654   ,1759
200001    ,607    ,611   ,2646   ,1754
200002    ,608    ,609   ,2644   ,1751
200003    ,608    ,609   ,2637   ,1748
200004    ,607    ,608   ,2633   ,1746
200005    ,606    ,608   ,2627   ,1743
200006    ,603    ,606   ,2620   ,1740
200007    ,612    ,688   ,3523   ,1500
200008    ,607    ,686   ,3513   ,1497
200009    ,604    ,685   ,3505   ,1491
200010    ,603    ,685   ,3494   ,1487
200011    ,600    ,684   ,3481   ,1483
200012    ,599    ,681   ,3470   ,1480
200101    ,598    ,677   ,3449   ,1477
200102    ,598    ,676   ,3442   ,1476
200103    ,597    ,676   ,3434   ,1472
200104    ,595    ,676   ,3426   ,1468
200105    ,593    ,674   ,3420   ,1468
200106    ,592    ,673   ,3413   ,1465
200107    ,664    ,768   ,3476   ,1548
200108    ,662    ,767   ,3464   ,1546
200109    ,662    ,766   ,3457   ,1539
200110    ,660    ,764   ,3445   ,1533
200111    ,658    ,759   ,3427   ,1530
200112    ,657    ,755   ,3419   ,1528
200201    ,655    ,754   ,3403   ,1522
200202    ,655    ,751   ,3386   ,1518
200203    ,655    ,751   ,3382   ,1515
200204    ,655    ,750   ,3373   ,1514
200205    ,650    ,749   ,3359   ,1513
200206    ,647    ,749   ,3346   ,1504
200207    ,634    ,746   ,3620   ,1790
200208    ,633    ,744   ,3611   ,1789
200209    ,630    ,741   ,3603   ,1786
200210    ,629    ,739   ,3598   ,1783
200211    ,627    ,737   ,3586   ,1773
200212    ,625    ,736   ,3573   ,1765
200301    ,621    ,734   ,3564   ,1757
200302    ,620    ,732   ,3561   ,1754
200303    ,619    ,729   ,3554   ,1751
200304    ,618    ,729   ,3548   ,1748
200305    ,615    ,725   ,3539   ,1740
200306    ,611    ,725   ,3532   ,1738
200307    ,722    ,819   ,3656   ,1877
200308    ,718    ,818   ,3652   ,1873
200309    ,716    ,815   ,3641   ,1872
200310    ,715    ,814   ,3631   ,1870
200311    ,713    ,812   ,3621   ,1864
200312    ,711    ,812   ,3617   ,1862
200401    ,707    ,812   ,3612   ,1858
200402    ,704    ,812   ,3608   ,1855
200403    ,702    ,812   ,3599   ,1851
200404    ,699    ,811   ,3592   ,1846
200405    ,693    ,808   ,3578   ,1840
200406    ,685    ,803   ,3563   ,1838
200407    ,696    ,930   ,3757   ,2388
200408    ,695    ,929   ,3751   ,2383
200409    ,695    ,928   ,3741   ,2379
200410    ,695    ,928   ,3739   ,2376
200411    ,694    ,926   ,3729   ,2370
200412    ,688    ,923   ,3701   ,2358
200501    ,688    ,921   ,3699   ,2353
200502    ,687    ,918   ,3695   ,2350
200503    ,687    ,917   ,3691   ,2347
200504    ,686    ,915   ,3684   ,2339
200505    ,679    ,914   ,3664   ,2327
200506    ,677    ,914   ,3653   ,2327
200507    ,911   ,1079   ,3990   ,2280
200508    ,909   ,1078   ,3983   ,2272
200509    ,909   ,1077   ,3973   ,2269
200510    ,907   ,1075   ,3973   ,2267
200511    ,905   ,1075   ,3963   ,2262
200512    ,903   ,1074   ,3955   ,2257
200601    ,902   ,1070   ,3938   ,2253
200602    ,901   ,1068   ,3935   ,2251
200603    ,897   ,1065   ,3925   ,2248
200604    ,895   ,1064   ,3915   ,2244
200605    ,893   ,1063   ,3903   ,2239
200606    ,893   ,1062   ,3895   ,2238
200607    ,895   ,1198   ,4433   ,2629
200608    ,890   ,1196   ,4422   ,2627
200609    ,888   ,1193   ,4417   ,2625
200610    ,885   ,1191   ,4406   ,2621
200611    ,884   ,1191   ,4393   ,2619
200612    ,881   ,1188   ,4390   ,2619
200701    ,880   ,1186   ,4384   ,2618
200702    ,877   ,1184   ,4379   ,2615
200703    ,875   ,1182   ,4369   ,2614
200704    ,871   ,1178   ,4358   ,2613
200705    ,869   ,1170   ,4340   ,2606
200706    ,866   ,1168   ,4329   ,2602
200707   ,1316   ,1542   ,4526   ,2348
200708   ,1315   ,1539   ,4522   ,2342
200709   ,1311   ,1536   ,4507   ,2338
200710   ,1306   ,1533   ,4496   ,2331
200711   ,1303   ,1530   ,4484   ,2330
200712   ,1300   ,1528   ,4465   ,2329
200801   ,1296   ,1528   ,4453   ,2326
200802   ,1290   ,1526   ,4441   ,2324
200803   ,1286   ,1524   ,4427   ,2317
200804   ,1285   ,1524   ,4406   ,2309
200805   ,1277   ,1519   ,4392   ,2300
200806   ,1272   ,1513   ,4384   ,2297
200807   ,1025   ,1302   ,4896   ,3391
200808   ,1018   ,1299   ,4887   ,3385
200809   ,1014   ,1295   ,4877   ,3381
200810   ,1011   ,1293   ,4864   ,3372
200811   ,1011   ,1291   ,4849   ,3367
200812   ,1005   ,1291   ,4833   ,3360
200901   ,1001   ,1289   ,4822   ,3354
200902    ,999   ,1286   ,4812   ,3351
200903    ,996   ,1283   ,4800   ,3347
200904    ,993   ,1283   ,4792   ,3341
200905    ,985   ,1277   ,4781   ,3326
200906    ,981   ,1271   ,4766   ,3321
200907   ,1213   ,1275   ,5815   ,3162
200908   ,1203   ,1269   ,5801   ,3158
200909   ,1196   ,1266   ,5792   ,3148
200910   ,1190   ,1263   ,5782   ,3146
200911   ,1187   ,1261   ,5777   ,3143
200912   ,1183   ,1260   ,5768   ,3138
201001   ,1182   ,1256   ,5752   ,3130
201002   ,1177   ,1253   ,5718   ,3121
201003   ,1175   ,1251   ,5695   ,3113
201004   ,1168   ,1244   ,5681   ,3110
201005   ,1160   ,1244   ,5657   ,3098
201006   ,1151   ,1240   ,5642   ,3094
201007   ,1402   ,1398   ,5419   ,3003
201008   ,1400   ,1397   ,5410   ,2999
201009   ,1398   ,1396   ,5400   ,2994
201010   ,1395   ,1392   ,5391   ,2991
201011   ,1392   ,1391   ,5387   ,2987
201012   ,1387   ,1388   ,5376   ,2981
201101   ,1385   ,1385   ,5365   ,2973
201102   ,1382   ,1384   ,5354   ,2969
201103   ,1379   ,1382   ,5349   ,2968
201104   ,1378   ,1380   ,5337   ,2964
201105   ,1367   ,1378   ,5316   ,2959
201106   ,1358   ,1373   ,5295   ,2949
201107   ,1454   ,1504   ,5565   ,3242
201108   ,1450   ,1503   ,5557   ,3236
201109   ,1447   ,1503   ,5544   ,3231
201110   ,1440   ,1501   ,5537   ,3222
201111   ,1438   ,1501   ,5519   ,3217
201112   ,1434   ,1499   ,5507   ,3212
201201   ,1429   ,1492   ,5495   ,3200
201202   ,1427   ,1490   ,5485   ,3194
201203   ,1424   ,1488   ,5479   ,3189
201204   ,1422   ,1488   ,5464   ,3184
201205   ,1416   ,1489   ,5444   ,3171
201206   ,1413   ,1485   ,5430   ,3160
201207   ,1369   ,1551   ,5418   ,3474
201208   ,1365   ,1549   ,5413   ,3469
201209   ,1361   ,1546   ,5408   ,3463
201210   ,1355   ,1541   ,5401   ,3458
201211   ,1350   ,1533   ,5383   ,3451
201212   ,1347   ,1532   ,5365   ,3447
201301   ,1340   ,1526   ,5355   ,3438
201302   ,1338   ,1523   ,5336   ,3433
201303   ,1335   ,1523   ,5328   ,3424
201304   ,1306   ,1513   ,5292   ,3402
201305   ,1300   ,1509   ,5270   ,3397
201306   ,1293   ,1503   ,5261   ,3385
201307   ,1554   ,1474   ,5914   ,2719
