This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoINV,LoBM_HiINV,HiBM_LoINV,HiBM_HiINV
200011  ,-5.82 ,-11.49  ,-6.99  ,-8.79
200012   ,2.27   ,0.24   ,2.14   ,1.64
200101  ,11.84  ,14.22  ,11.57  ,11.73
200102  ,-7.02  ,-9.31  ,-2.87  ,-5.98
200103  ,-6.25 ,-10.59  ,-6.66  ,-8.41
200104   ,4.17   ,6.23   ,2.23   ,4.37
200105  ,-0.77  ,-0.03   ,2.58   ,1.86
200106  ,-2.22  ,-2.91  ,-0.52  ,-2.64
200107  ,-4.52  ,-6.36  ,-8.02  ,-7.71
200108  ,-0.03  ,-3.80   ,0.64  ,-1.71
200109 ,-12.52 ,-16.56 ,-13.58 ,-14.99
200110   ,4.74   ,8.59   ,3.53   ,4.02
200111   ,5.53  ,11.30   ,9.76  ,13.36
200112   ,6.61  ,10.57   ,8.29   ,6.30
200201   ,3.75   ,1.28   ,5.29   ,4.07
200202   ,0.03   ,1.10   ,2.34   ,1.63
200203   ,4.99   ,7.78   ,6.11   ,6.88
200204   ,1.35  ,-1.66   ,0.67   ,1.21
200205  ,-2.19  ,-2.46  ,-1.00  ,-2.14
200206  ,-7.89  ,-8.40  ,-5.61  ,-8.96
200207 ,-10.92  ,-5.20  ,-5.35  ,-6.54
200208   ,1.62   ,1.62   ,0.29   ,2.23
200209 ,-10.72  ,-9.58 ,-10.83 ,-12.03
200210   ,6.44   ,6.38   ,4.89   ,8.12
200211   ,4.27   ,6.05   ,7.11   ,5.93
200212  ,-2.19  ,-4.21  ,-1.58  ,-1.94
200301  ,-0.08  ,-2.42   ,0.90   ,0.91
200302  ,-2.09  ,-3.12  ,-1.82  ,-2.71
200303  ,-1.78  ,-2.39  ,-3.58  ,-2.95
200304  ,12.07   ,7.11   ,8.79  ,10.35
200305   ,6.27   ,6.72   ,8.49   ,7.05
200306   ,4.14   ,6.70   ,5.70   ,6.81
200307   ,2.43   ,7.34   ,4.93   ,5.92
200308   ,6.51   ,6.22   ,6.16   ,7.89
200309   ,1.73   ,0.80   ,2.17   ,1.67
200310   ,6.93   ,6.46   ,8.38   ,8.70
200311   ,1.22  ,-0.18   ,2.05   ,2.25
200312   ,7.37   ,4.75   ,9.06   ,8.67
200401   ,1.76   ,5.57   ,3.29   ,3.40
200402   ,4.49   ,4.10   ,4.74   ,5.98
200403   ,0.43   ,2.38   ,0.97   ,2.11
200404  ,-7.23  ,-6.80  ,-7.02  ,-7.93
200405  ,-0.74  ,-2.82  ,-3.21  ,-3.53
200406  ,-0.23   ,0.01   ,1.57   ,1.03
200407  ,-2.88  ,-3.08  ,-0.43  ,-0.56
200408   ,4.57   ,3.32   ,4.27   ,4.83
200409   ,5.63   ,6.30   ,5.52   ,6.28
200410   ,2.09   ,3.90   ,2.91   ,1.81
200411   ,8.38   ,7.77   ,9.11   ,9.35
200412   ,5.32   ,5.55   ,6.38   ,4.29
200501   ,1.69  ,-0.13   ,0.25   ,1.27
200502   ,7.69   ,8.14   ,8.04  ,10.56
200503  ,-6.52  ,-5.65  ,-5.87  ,-5.77
200504  ,-2.65  ,-2.88  ,-2.27  ,-3.15
200505   ,2.85   ,5.33   ,3.18   ,2.43
200506   ,3.15   ,3.41   ,4.07   ,3.81
200507   ,8.32   ,5.39   ,6.27   ,7.07
200508   ,1.21   ,1.39   ,0.26   ,1.02
200509   ,9.45   ,7.93   ,7.72  ,10.08
200510  ,-5.73  ,-4.53  ,-6.63  ,-6.52
200511   ,8.24   ,7.37   ,7.35   ,8.68
200512   ,6.17   ,5.42   ,6.75   ,6.95
200601  ,11.40   ,9.88  ,10.29   ,9.74
200602  ,-0.44   ,0.02   ,1.34   ,1.09
200603   ,0.03   ,1.79   ,0.82   ,1.75
200604   ,7.21   ,5.45   ,9.52   ,8.20
200605  ,-9.65 ,-10.13  ,-9.38 ,-10.46
200606   ,0.64  ,-1.20  ,-1.69  ,-1.60
200607   ,1.84   ,1.30   ,1.26   ,0.84
200608   ,3.04   ,3.10   ,2.10   ,3.81
200609   ,1.09   ,1.96   ,1.70  ,-0.79
200610   ,3.21   ,5.60   ,5.57   ,3.88
200611   ,6.03   ,7.79   ,8.45   ,7.91
200612   ,3.78   ,4.84   ,6.01   ,3.59
200701  ,-0.20  ,-0.96  ,-0.69  ,-1.38
200702   ,0.02  ,-0.12   ,0.79   ,0.02
200703   ,3.45   ,4.34   ,5.38   ,3.98
200704   ,3.55   ,5.67   ,6.28   ,4.09
200705   ,3.40   ,6.12   ,6.04   ,6.29
200706   ,3.87   ,4.59   ,4.97   ,5.43
200707   ,8.05   ,5.07   ,4.94   ,7.49
200708  ,-1.51  ,-3.19  ,-3.60  ,-3.16
200709   ,6.01  ,10.87   ,9.34  ,10.06
200710   ,9.35   ,9.74   ,9.71  ,10.04
200711  ,-6.91  ,-8.07  ,-4.84  ,-7.91
200712   ,1.31   ,0.25   ,2.60   ,0.22
200801  ,-7.78 ,-15.34 ,-10.77 ,-13.17
200802   ,5.72   ,8.60   ,6.51   ,7.31
200803  ,-2.69  ,-5.36  ,-4.23  ,-6.54
200804   ,5.32   ,6.97   ,7.99   ,6.94
200805   ,0.93   ,1.28   ,4.41  ,-0.27
200806  ,-9.92  ,-9.86  ,-8.19 ,-10.13
200807  ,-7.28  ,-5.29  ,-1.29  ,-2.03
200808  ,-7.09  ,-8.90  ,-6.73  ,-9.13
200809 ,-16.54 ,-21.65 ,-16.91 ,-17.35
200810 ,-25.24 ,-29.06 ,-24.25 ,-30.38
200811  ,-8.39  ,-9.60  ,-4.61  ,-8.14
200812   ,6.87   ,8.38   ,7.84   ,6.81
200901  ,-4.78  ,-7.50  ,-6.63  ,-7.06
200902  ,-3.94  ,-5.35  ,-4.27  ,-6.67
200903  ,11.89  ,14.79  ,12.78  ,16.01
200904  ,12.93  ,19.95  ,16.79  ,19.58
200905  ,16.58  ,19.47  ,16.88  ,19.39
200906  ,-2.09  ,-0.93  ,-0.39  ,-1.83
200907  ,10.26  ,10.19  ,10.47  ,14.04
200908   ,0.14  ,-0.28   ,0.61  ,-0.20
200909   ,9.50   ,8.85   ,8.56  ,10.77
200910  ,-0.63  ,-1.52   ,0.87   ,0.77
200911   ,4.72   ,5.00   ,3.04   ,4.13
200912   ,2.67   ,5.52   ,5.43   ,4.89
201001  ,-5.64  ,-4.90  ,-3.28  ,-5.11
201002   ,0.25   ,1.33  ,-0.24   ,1.59
201003   ,7.87   ,7.94   ,7.33   ,9.37
201004   ,1.28   ,1.36   ,2.28   ,1.20
201005  ,-7.98  ,-8.38  ,-8.86 ,-10.34
201006  ,-0.02  ,-0.49   ,0.49  ,-0.92
201007   ,9.10   ,6.94   ,8.38   ,8.39
201008  ,-0.81  ,-1.80  ,-1.14  ,-2.09
201009  ,11.59  ,11.49  ,11.22  ,10.74
201010   ,3.01   ,3.04   ,3.21   ,2.74
201011  ,-1.33  ,-1.79  ,-2.79  ,-3.18
201012   ,7.53   ,5.78   ,8.27   ,7.26
201101  ,-2.42  ,-2.80  ,-1.99  ,-2.19
201102  ,-1.60  ,-2.41  ,-2.77  ,-0.14
201103   ,5.19   ,5.00   ,5.40   ,6.44
201104   ,4.15   ,3.66   ,4.31   ,2.98
201105  ,-1.88  ,-1.78  ,-2.72  ,-3.85
201106  ,-1.29  ,-1.44  ,-1.79  ,-1.35
201107   ,0.52   ,0.78  ,-0.09   ,0.00
201108  ,-7.16  ,-9.57  ,-9.30 ,-10.23
201109 ,-13.59 ,-15.78 ,-14.01 ,-15.97
201110  ,11.37  ,12.91  ,10.96  ,13.99
201111  ,-5.52  ,-7.08  ,-6.91  ,-5.58
201112  ,-0.47  ,-3.06  ,-0.90  ,-0.21
201201   ,8.27  ,11.42  ,12.32  ,12.45
201202   ,5.58   ,7.16   ,6.38   ,6.13
201203  ,-2.74  ,-2.00  ,-3.86  ,-3.18
201204  ,-1.42  ,-1.40  ,-1.74  ,-1.99
201205  ,-9.76 ,-10.13 ,-10.50 ,-11.31
201206   ,3.08   ,3.74   ,4.24   ,3.50
201207   ,1.99   ,2.02   ,0.54   ,0.89
201208   ,0.81   ,0.77  ,-0.15   ,0.97
201209   ,3.91   ,6.06   ,6.20   ,6.73
201210  ,-0.36  ,-0.71   ,0.30  ,-2.26
201211   ,0.92   ,1.91   ,0.59   ,0.84
201212   ,4.00   ,4.28   ,6.69   ,5.28
201301   ,1.65   ,0.65   ,2.88   ,1.88
201302  ,-0.60   ,0.27  ,-1.29  ,-1.94
201303  ,-0.60  ,-1.74  ,-1.36  ,-0.85
201304   ,1.11   ,1.57   ,0.63   ,1.02
201305  ,-2.43  ,-0.21  ,-2.46  ,-3.00
201306  ,-4.85  ,-6.26  ,-6.43  ,-8.32
201307   ,1.62   ,1.04   ,2.19   ,1.50
201308  ,-3.61  ,-2.66  ,-2.18  ,-1.49
201309   ,6.25   ,6.89   ,7.48   ,6.40
201310   ,2.85   ,5.51   ,4.04   ,4.17
201311  ,-1.62  ,-0.32  ,-2.39  ,-1.69
201312   ,0.22  ,-0.60  ,-0.42  ,-1.12
201401  ,-5.50  ,-5.46  ,-6.41  ,-6.32
201402   ,3.53   ,5.55   ,1.92   ,3.23
201403   ,2.10   ,0.74   ,4.28   ,3.27
201404   ,0.86  ,-0.37   ,1.20   ,0.68
201405   ,3.23   ,4.22   ,3.98   ,3.89
201406   ,3.17   ,2.72   ,3.29   ,3.18
201407   ,1.16   ,0.47   ,2.57   ,2.77
201408   ,3.48   ,1.41   ,2.01   ,2.27
201409  ,-6.23  ,-4.70  ,-6.27  ,-8.52
201410   ,0.24   ,2.02   ,0.02  ,-0.78
201411  ,-0.69  ,-0.66  ,-1.24  ,-2.05
201412  ,-4.18  ,-3.86  ,-3.22  ,-5.02
201501   ,1.26   ,2.01   ,0.63  ,-1.47
201502   ,3.03   ,1.72   ,2.52   ,3.50
201503  ,-0.96   ,0.13  ,-2.32  ,-1.14
201504   ,5.98   ,5.06   ,9.48   ,9.08
201505  ,-3.08  ,-1.95  ,-3.29  ,-3.52
201506  ,-1.06  ,-1.78  ,-2.81  ,-3.84
201507  ,-5.32  ,-6.59  ,-8.01  ,-6.57
201508  ,-7.21  ,-9.25  ,-9.24  ,-9.07
201509  ,-1.49  ,-2.13  ,-3.11  ,-1.23
201510   ,5.05   ,8.20   ,6.54   ,8.17
201511  ,-1.81  ,-0.93  ,-4.03  ,-4.44
201512  ,-2.34  ,-1.49  ,-1.39  ,-1.55
201601  ,-5.08  ,-6.22  ,-6.85  ,-6.61
201602  ,-1.77  ,-0.97   ,0.44   ,0.03
201603  ,10.60  ,10.81  ,13.34  ,13.71
201604   ,1.31   ,0.14   ,2.66   ,0.98
201605  ,-2.88  ,-1.28  ,-5.32  ,-4.50
201606   ,3.67   ,3.06   ,5.00   ,5.12
201607   ,4.43   ,3.40   ,5.94   ,4.98
201608   ,0.93   ,3.21   ,2.96   ,2.37
201609   ,0.18   ,2.39   ,1.06   ,0.98
201610  ,-1.01  ,-2.17   ,1.78   ,0.88
201611  ,-4.70  ,-6.28  ,-2.60  ,-4.34
201612   ,0.53  ,-0.78   ,1.11   ,0.92
201701   ,5.56   ,4.63   ,6.26   ,4.29
201702   ,1.69   ,3.46   ,4.17   ,4.32
201703   ,4.21   ,2.82   ,2.06   ,2.52
201704   ,2.45   ,2.75   ,0.89   ,1.08
201705   ,2.56   ,3.99   ,1.20   ,2.16
201706   ,0.24   ,1.81   ,0.45   ,0.39
201707   ,3.02   ,7.04   ,4.76   ,5.06
201708   ,1.70   ,2.12   ,2.37   ,1.62
201709  ,-0.09   ,1.68  ,-1.84  ,-1.15
201710   ,1.70   ,4.02   ,2.81   ,4.01
201711   ,0.47   ,0.94   ,0.31  ,-0.04
201712   ,3.50   ,2.98   ,4.30   ,3.93
201801   ,5.17   ,7.73   ,9.48   ,7.00
201802  ,-3.82  ,-4.32  ,-4.46  ,-4.64
201803  ,-0.03  ,-1.15  ,-2.10  ,-2.09
201804  ,-0.01  ,-1.61   ,0.84  ,-1.16
201805  ,-3.66  ,-0.89  ,-3.66  ,-5.35
201806  ,-3.71  ,-3.44  ,-5.29  ,-4.89
201807   ,2.28  ,-0.49   ,3.19   ,4.28
201808  ,-0.97  ,-3.69  ,-2.50  ,-2.05
201809  ,-0.86  ,-3.55   ,0.93  ,-1.15
201810  ,-9.87 ,-10.21  ,-6.44  ,-8.96
201811   ,2.60   ,7.06   ,3.21   ,4.26
201812  ,-0.44  ,-3.80  ,-1.66  ,-1.28
201901   ,4.85   ,9.42   ,7.66   ,6.54
201902   ,0.96   ,0.06   ,0.26   ,0.27
201903   ,1.22   ,1.77   ,0.09   ,1.20
201904   ,1.60   ,2.82   ,0.67   ,2.00
201905  ,-5.63  ,-8.54  ,-4.93  ,-4.49
201906   ,4.99   ,6.86   ,5.26   ,4.53
201907  ,-1.58   ,0.14  ,-3.17  ,-2.29
201908  ,-2.63  ,-3.39  ,-6.11  ,-5.14
201909   ,1.00   ,2.71   ,2.29   ,1.95
201910   ,3.66   ,4.42   ,3.31   ,4.46
201911  ,-2.07   ,0.91  ,-0.93   ,0.22
201912   ,5.51   ,8.00   ,6.62   ,6.75
202001  ,-3.08  ,-2.54  ,-7.11  ,-5.37
202002  ,-5.65  ,-3.57  ,-6.91  ,-6.97
202003 ,-14.47 ,-13.91 ,-18.63 ,-22.89
202004   ,9.65  ,10.24   ,9.54  ,11.06
202005   ,3.50   ,2.66  ,-0.19   ,0.76
202006   ,5.78   ,9.84   ,4.84   ,6.49



  Average Equal Weighted Returns -- Monthly
,LoBM_LoINV,LoBM_HiINV,HiBM_LoINV,HiBM_HiINV
199207   ,1.00   ,0.43   ,2.04   ,0.89
199208  ,-0.36  ,-0.54  ,-1.49  ,-2.69
199209   ,0.84   ,1.97   ,0.78   ,4.03
199210   ,2.61   ,3.38   ,1.83   ,5.03
199211  ,-3.38   ,0.92  ,-2.95  ,-0.16
199212   ,0.67   ,0.01   ,1.54   ,0.05
199301   ,0.81   ,2.22   ,0.21   ,1.35
199302   ,6.65   ,8.54   ,4.57   ,8.40
199303   ,1.61   ,1.95   ,0.83   ,3.14
199304   ,5.72   ,2.87   ,8.07   ,8.39
199305   ,5.20   ,3.01   ,6.99   ,7.67
199306  ,-2.54  ,-1.94  ,-2.27  ,-0.68
199307   ,3.98   ,3.02   ,4.61   ,4.67
199308   ,5.47   ,5.89  ,11.67   ,8.79
199309   ,4.71   ,3.09   ,5.94   ,4.10
199310  ,13.78  ,13.28  ,10.91  ,13.09
199311   ,2.59   ,5.82   ,8.18   ,6.96
199312  ,15.88  ,20.72  ,16.22  ,17.78
199401  ,-4.61  ,-5.06  ,-2.18  ,-1.69
199402   ,3.13   ,0.17   ,2.39   ,1.93
199403  ,-8.39  ,-7.18  ,-6.43  ,-7.25
199404   ,2.78   ,0.07   ,1.12   ,1.11
