This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 CF/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  CF/P is cashflow (earnings before extraordinary plus deferred tax income statement plus common equitys
 share of depreciation) at the last fiscal year end of the prior calendar year divided by ME at the end of December of the prior year.  Firms with negative or zero
CF/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
195107   3.82   6.66   5.97   5.57   8.04   9.46
195108   7.16   5.30   5.14   3.45   6.10   7.20
195109   0.52   1.75   1.17  -0.19   0.50  -0.17
195110  -1.55  -0.81  -1.93  -4.50  -1.37  -1.51
195111   0.08   1.86   0.98   0.31   0.87  -0.03
195112   0.88   2.25   1.47   4.40   4.28   2.70
195201   0.95   1.41   0.57  -0.63   2.27   4.17
195202  -3.64  -2.39  -1.38  -2.84  -2.97  -4.76
195203   1.41   0.36   2.74   1.79   7.06   6.78
195204  -3.39  -5.74  -4.83  -4.27  -5.91  -7.55
195205   0.77   2.91   2.45   3.26   3.77   3.42
195206   2.72   3.15   2.69   3.26   5.51   5.17
195207   1.28   0.98   1.22   1.37   1.11  -0.03
195208  -0.44   0.61  -0.02  -0.03  -0.95  -1.88
195209  -1.28  -0.34  -1.50  -1.18  -2.16  -3.93
195210  -1.83  -1.41  -1.66  -0.34  -0.48   0.62
195211   6.80   4.42   6.93   7.47   4.72   5.04
195212   4.14   1.95   1.87   2.61   3.46   3.54
195301   3.62   2.53   4.47  -0.09  -1.33  -0.87
195302   2.74   0.77   2.33  -0.41  -0.13   0.00
195303  -4.42  -0.89  -0.73  -1.22  -1.15  -1.93
195304  -0.94  -1.92  -0.47  -1.81  -3.98  -2.39
195305   0.84   1.38   0.95   0.56   1.02   0.69
195306  -3.88  -2.76  -4.59  -1.61  -1.29  -0.78
195307   0.12   1.69   2.04   2.38   3.15   3.47
195308  -5.15  -2.70  -6.32  -2.99  -3.86  -7.14
195309  -1.46  -0.97   0.00   1.61   0.08  -0.68
195310   2.02   3.90   4.38   4.36   4.68   7.33
195311   3.83   1.11   1.02   3.50   2.77   2.41
195312  -0.67  -0.02  -1.90   0.42   0.31   1.73
195401   5.58   5.34   7.09   3.28   6.44   7.46
195402   0.78   2.68   0.91   1.51   1.51   3.27
195403   2.39   1.89   2.46   4.14   2.99   6.03
195404   3.12   3.59  -0.17   4.97   4.67   5.17
195405   3.20   3.21   6.17   2.29   3.31   3.74
195406   1.01   3.71   1.43   3.42  -0.41  -2.18
195407   4.41   5.82   9.72   2.96   6.25   7.56
195408  -0.47  -1.90  -0.04  -3.03  -2.00  -2.42
195409   4.77   4.85   4.58   4.98   9.07   9.30
195410  -1.56  -1.85   0.45  -2.55  -1.66  -0.43
195411   9.51   8.16  11.65   9.75   7.84  11.64
195412  12.56   9.48  11.06   2.94   5.20   9.16
195501   2.06   1.87   1.62  -0.19   1.40   1.52
195502   4.03   5.25   6.50   3.36   1.95   3.71
195503   0.79   1.09  -0.83  -0.52  -0.27   0.86
195504  -0.34   1.32   1.46   4.62   2.81   2.65
195505   0.48  -0.32   0.69   2.36   0.63  -0.30
195506   2.25   3.83   3.85   5.39   8.10  11.52
195507   0.10   1.23   1.74  -0.85   7.36   0.81
195508   0.99   1.28   0.63   1.80  -1.45   0.96
195509  -1.48  -0.65   0.88  -2.16   1.82   1.07
195510  -1.66  -0.98  -0.69  -2.89  -2.70  -2.21
195511   6.10   4.39   4.37   7.42   6.90   7.41
195512   5.68   1.93   2.04   2.57   0.59   2.78
195601  -3.81  -0.84  -2.23  -4.58  -2.11  -1.75
195602   1.36   2.36   3.19   5.33   2.94   4.47
195603   2.86   4.55   4.72   7.14   6.27   8.24
195604  -0.78   1.45   2.18  -0.61  -0.88   5.03
195605  -5.25  -4.76  -3.59  -4.98  -3.52  -7.59
195606   2.26   2.13   2.33   4.42   3.42   4.32
195607   2.23   3.16   4.68   4.50   4.99   7.82
195608   0.19   0.38   0.12  -4.17  -1.90  -2.55
195609  -1.56  -2.71  -3.16  -6.61  -4.08  -3.49
195610   0.30   1.30   1.73   1.30  -0.37   1.54
195611   4.30   0.66   1.62  -0.86  -0.15   4.11
195612   4.56   4.68   3.30   3.92   2.57   5.84
195701   0.65   1.99  -0.11  -3.85  -2.37  -7.36
195702  -4.48  -3.88  -2.19  -1.35  -1.52  -2.21
195703   1.63   2.65   2.25   3.08   1.64   1.90
195704   2.59   3.31   4.40   5.22   3.94   5.69
195705   1.61   2.43   0.84   4.75   2.82   4.40
195706  -0.84  -1.12   0.71   1.07  -1.87  -0.96
195707   0.22  -0.57   1.09   1.54   0.78   0.42
195708  -3.45  -4.30  -5.08  -5.35  -3.43  -5.55
195709  -4.92  -4.23  -4.33  -6.55  -4.12  -6.36
195710  -6.26  -5.93  -6.77  -3.28  -3.50  -4.85
195711   7.43   1.44   1.68   2.86   2.58   1.89
195712  -0.30  -3.66  -4.78  -3.28  -2.50  -6.16
195801   7.86  10.60  11.72   3.46   4.42   6.02
195802  -2.44  -1.31   0.55  -2.02   0.05  -3.21
195803   5.45   3.55   4.20   2.92   3.49   5.92
195804   7.33   1.74   2.31   2.81   3.73   1.56
195805   3.90   3.84   4.04   1.63   2.71   2.34
195806   3.05   3.29   3.41   3.10   2.54   3.18
195807   5.10   5.67   7.20   4.25   3.75   6.74
195808   3.25   3.47   3.51   1.90   1.24   3.55
195809   9.14   5.60   7.69   4.55   5.53   5.16
195810   2.65   3.23   4.13   2.24   2.76   3.48
195811   4.18   7.54   2.70   3.73   2.50   2.32
195812   2.45   3.19   4.08   5.80   5.64   5.41
195901   4.90   3.63   7.07  -0.40   1.28   2.49
195902   2.31   5.42   3.88   2.38  -0.90   1.18
195903   2.55   0.75   3.10   0.95   0.20   1.05
195904  11.52   4.75   2.54   4.80   3.60   3.64
195905  -3.15   0.73   0.88   2.82   1.41   2.99
195906   0.90   1.92   2.18   0.26  -1.14   1.48
195907   0.61   4.04   3.56   4.01   2.73   4.07
195908  -3.43  -1.54  -1.42  -1.53   0.26  -2.64
195909  -7.15  -3.54  -4.71  -4.63  -3.97  -4.66
195910   4.92   1.47   1.15   1.39   1.18   2.44
195911   4.03   1.22   2.33   3.30   0.72  -0.25
195912   6.13   3.57   1.58   3.18   2.82   2.51
196001  -7.89  -3.98  -5.56  -8.68  -4.99  -6.56
196002   5.44   0.56   1.78   1.65   2.75  -0.96
196003  -3.77  -1.38  -2.77  -0.87  -1.05  -1.75
196004   0.71  -2.22  -1.71  -1.55  -1.41  -1.47
196005   7.56   2.97   2.51   5.17   2.40  -1.34
196006   1.90   1.29   3.38   1.90   2.90   2.67
196007  -4.63  -2.90  -1.39  -3.95  -0.60  -0.05
196008   4.23   2.07   2.78   2.23   4.06   4.19
196009  -8.19  -5.94  -6.08  -7.15  -4.55  -3.06
196010  -7.60  -2.44  -3.49  -1.44   0.58   1.05
196011   9.59   4.25   4.45   5.19   4.17   4.71
196012   6.21   3.39   3.62   3.27   7.13   5.25
196101   5.52   7.29  11.10   4.72   7.04   8.24
196102   8.04   6.42   7.83   3.92   2.39   3.04
196103   7.59   6.05   5.44   1.88   4.33   2.19
196104   2.30   0.14   1.02  -0.76   1.00   4.11
196105   4.15   4.75   6.94   3.49   1.71   1.15
196106  -6.22  -3.79  -5.68  -1.69  -3.63  -2.60
196107   1.50   0.37   1.45   1.97   4.32   3.50
196108  -0.67   1.43   1.17   4.28   1.57   0.36
196109  -6.30  -2.49  -3.11  -0.93  -1.32  -5.52
196110   3.17   2.53   0.49   2.80   2.62   4.82
196111   8.66   6.52   4.02   3.36   5.89   4.17
196112  -0.33  -1.43   1.04  -1.31   1.32   1.82
196201  -2.59  -1.30   0.76  -5.87  -3.01  -0.29
196202  -0.15   1.24   1.91   1.36   2.52   2.75
196203   0.10  -0.79  -0.35   0.14  -0.40  -2.17
196204  -8.24  -7.03  -6.93  -8.08  -4.76  -5.37
196205 -11.56  -9.37  -9.99 -10.50  -7.02  -5.96
196206 -11.25  -7.28  -6.38 -10.57  -6.68  -6.39
196207   9.40   5.61   5.43   8.93   5.78   4.50
196208   3.33   2.96   3.81   2.43   2.34   1.67
196209  -8.06  -6.79  -6.49  -6.18  -4.25  -3.30
196210  -4.96  -3.74  -1.56   0.09   1.45   0.04
196211  15.92  12.62  13.86  12.66   9.05  11.19
196212  -3.07  -1.21  -0.60   1.04   1.73   2.83
196301   7.45   8.30   8.69   4.58   5.58   3.64
196302  -3.08  -1.51  -0.51  -3.15  -2.21  -1.26
196303   0.24   1.86   2.55   2.59   3.59   5.49
196304   2.71   3.00   4.20   4.84   4.07   6.32
196305   3.75   3.20   4.07   2.13   1.82   1.80
196306  -1.59  -1.91  -1.77  -2.71  -1.91  -0.40
196307  -0.55  -0.32  -0.77  -0.34   0.84  -0.54
196308   5.56   5.37   4.56   5.45   4.78   6.93
196309  -3.72  -0.04  -1.78  -0.55  -1.72  -1.99
196310   0.60   1.75   2.20   3.48   3.22   2.01
196311  -3.31  -1.04  -0.53   0.67  -1.87  -1.18
196312   1.47   0.51   0.53   1.93   2.59   3.21
196401   1.36   1.98   4.42   2.98   2.70   1.71
196402   1.24   2.44   2.65   1.33   1.66   4.21
