date,recession
01-Feb-1869,0
01-Mar-1869,0
01-Apr-1869,0
01-May-1869,0
01-Jun-1869,0
01-Jul-1869,1
01-Aug-1869,1
01-Sep-1869,1
01-Oct-1869,1
01-Nov-1869,1
01-Dec-1869,1
01-Jan-1870,1
01-Feb-1870,1
01-Mar-1870,1
01-Apr-1870,1
01-May-1870,1
01-Jun-1870,1
01-Jul-1870,1
01-Aug-1870,1
01-Sep-1870,1
01-Oct-1870,1
01-Nov-1870,1
01-Dec-1870,1
01-Jan-1871,0
01-Feb-1871,0
01-Mar-1871,0
01-Apr-1871,0
01-May-1871,0
01-Jun-1871,0
01-Jul-1871,0
01-Aug-1871,0
01-Sep-1871,0
01-Oct-1871,0
01-Nov-1871,0
01-Dec-1871,0
01-Jan-1872,0
01-Feb-1872,0
01-Mar-1872,0
01-Apr-1872,0
01-May-1872,0
01-Jun-1872,0
01-Jul-1872,0
01-Aug-1872,0
01-Sep-1872,0
01-Oct-1872,0
01-Nov-1872,0
01-Dec-1872,0
01-Jan-1873,0
01-Feb-1873,0
01-Mar-1873,0
01-Apr-1873,0
01-May-1873,0
01-Jun-1873,0
01-Jul-1873,0
01-Aug-1873,0
01-Sep-1873,0
01-Oct-1873,0
01-Nov-1873,1
01-Dec-1873,1
01-Jan-1874,1
01-Feb-1874,1
01-Mar-1874,1
01-Apr-1874,1
01-May-1874,1
01-Jun-1874,1
01-Jul-1874,1
01-Aug-1874,1
01-Sep-1874,1
01-Oct-1874,1
01-Nov-1874,1
01-Dec-1874,1
01-Jan-1875,1
01-Feb-1875,1
01-Mar-1875,1
01-Apr-1875,1
01-May-1875,1
01-Jun-1875,1
01-Jul-1875,1
01-Aug-1875,1
01-Sep-1875,1
01-Oct-1875,1
01-Nov-1875,1
01-Dec-1875,1
01-Jan-1876,1
01-Feb-1876,1
01-Mar-1876,1
01-Apr-1876,1
01-May-1876,1
01-Jun-1876,1
01-Jul-1876,1
01-Aug-1876,1
01-Sep-1876,1
01-Oct-1876,1
01-Nov-1876,1
01-Dec-1876,1
01-Jan-1877,1
01-Feb-1877,1
01-Mar-1877,1
01-Apr-1877,1
01-May-1877,1
01-Jun-1877,1
01-Jul-1877,1
01-Aug-1877,1
01-Sep-1877,1
01-Oct-1877,1
01-Nov-1877,1
01-Dec-1877,1
01-Jan-1878,1
01-Feb-1878,1
01-Mar-1878,1
01-Apr-1878,1
01-May-1878,1
01-Jun-1878,1
01-Jul-1878,1
01-Aug-1878,1
01-Sep-1878,1
01-Oct-1878,1
01-Nov-1878,1
01-Dec-1878,1
01-Jan-1879,1
01-Feb-1879,1
01-Mar-1879,1
01-Apr-1879,0
01-May-1879,0
01-Jun-1879,0
01-Jul-1879,0
01-Aug-1879,0
01-Sep-1879,0
01-Oct-1879,0
01-Nov-1879,0
01-Dec-1879,0
01-Jan-1880,0
01-Feb-1880,0
01-Mar-1880,0
01-Apr-1880,0
01-May-1880,0
01-Jun-1880,0
01-Jul-1880,0
01-Aug-1880,0
01-Sep-1880,0
01-Oct-1880,0
01-Nov-1880,0
01-Dec-1880,0
01-Jan-1881,0
01-Feb-1881,0
01-Mar-1881,0
01-Apr-1881,0
01-May-1881,0
01-Jun-1881,0
01-Jul-1881,0
01-Aug-1881,0
01-Sep-1881,0
01-Oct-1881,0
01-Nov-1881,0
01-Dec-1881,0
01-Jan-1882,0
01-Feb-1882,0
01-Mar-1882,0
01-Apr-1882,1
01-May-1882,1
01-Jun-1882,1
01-Jul-1882,1
01-Aug-1882,1
01-Sep-1882,1
01-Oct-1882,1
01-Nov-1882,1
01-Dec-1882,1
01-Jan-1883,1
01-Feb-1883,1
01-Mar-1883,1
01-Apr-1883,1
01-May-1883,1
01-Jun-1883,1
01-Jul-1883,1
01-Aug-1883,1
01-Sep-1883,1
01-Oct-1883,1
01-Nov-1883,1
01-Dec-1883,1
01-Jan-1884,1
01-Feb-1884,1
01-Mar-1884,1
01-Apr-1884,1
01-May-1884,1
01-Jun-1884,1
01-Jul-1884,1
01-Aug-1884,1
01-Sep-1884,1
01-Oct-1884,1
01-Nov-1884,1
01-Dec-1884,1
01-Jan-1885,1
01-Feb-1885,1
01-Mar-1885,1
01-Apr-1885,1
01-May-1885,1
01-Jun-1885,0
01-Jul-1885,0
01-Aug-1885,0
01-Sep-1885,0
01-Oct-1885,0
01-Nov-1885,0
01-Dec-1885,0
01-Jan-1886,0
01-Feb-1886,0
01-Mar-1886,0
01-Apr-1886,0
01-May-1886,0
01-Jun-1886,0
01-Jul-1886,0
01-Aug-1886,0
01-Sep-1886,0
01-Oct-1886,0
01-Nov-1886,0
01-Dec-1886,0
01-Jan-1887,0
01-Feb-1887,0
01-Mar-1887,0
01-Apr-1887,1
01-May-1887,1
01-Jun-1887,1
01-Jul-1887,1
01-Aug-1887,1
01-Sep-1887,1
01-Oct-1887,1
01-Nov-1887,1
01-Dec-1887,1
01-Jan-1888,1
01-Feb-1888,1
01-Mar-1888,1
01-Apr-1888,1
01-May-1888,0
01-Jun-1888,0
01-Jul-1888,0
01-Aug-1888,0
01-Sep-1888,0
01-Oct-1888,0
01-Nov-1888,0
01-Dec-1888,0
01-Jan-1889,0
01-Feb-1889,0
01-Mar-1889,0
01-Apr-1889,0
01-May-1889,0
01-Jun-1889,0
01-Jul-1889,0
01-Aug-1889,0
01-Sep-1889,0
01-Oct-1889,0
01-Nov-1889,0
01-Dec-1889,0
01-Jan-1890,0
01-Feb-1890,0
01-Mar-1890,0
01-Apr-1890,0
01-May-1890,0
01-Jun-1890,0
01-Jul-1890,0
01-Aug-1890,1
01-Sep-1890,1
01-Oct-1890,1
01-Nov-1890,1
01-Dec-1890,1
01-Jan-1891,1
01-Feb-1891,1
01-Mar-1891,1
01-Apr-1891,1
01-May-1891,1
01-Jun-1891,0
01-Jul-1891,0
01-Aug-1891,0
01-Sep-1891,0
01-Oct-1891,0
01-Nov-1891,0
01-Dec-1891,0
01-Jan-1892,0
01-Feb-1892,0
01-Mar-1892,0
01-Apr-1892,0
01-May-1892,0
01-Jun-1892,0
01-Jul-1892,0
01-Aug-1892,0
01-Sep-1892,0
01-Oct-1892,0
01-Nov-1892,0
01-Dec-1892,0
01-Jan-1893,0
01-Feb-1893,1
01-Mar-1893,1
01-Apr-1893,1
01-May-1893,1
01-Jun-1893,1
01-Jul-1893,1
01-Aug-1893,1
01-Sep-1893,1
01-Oct-1893,1
01-Nov-1893,1
01-Dec-1893,1
01-Jan-1894,1
01-Feb-1894,1
01-Mar-1894,1
01-Apr-1894,1
01-May-1894,1
01-Jun-1894,1
01-Jul-1894,0
01-Aug-1894,0
01-Sep-1894,0
01-Oct-1894,0
01-Nov-1894,0
01-Dec-1894,0
01-Jan-1895,0
01-Feb-1895,0
01-Mar-1895,0
01-Apr-1895,0
01-May-1895,0
01-Jun-1895,0
01-Jul-1895,0
01-Aug-1895,0
01-Sep-1895,0
01-Oct-1895,0
01-Nov-1895,0
01-Dec-1895,0
01-Jan-1896,1
01-Feb-1896,1
01-Mar-1896,1
01-Apr-1896,1
01-May-1896,1
01-Jun-1896,1
01-Jul-1896,1
01-Aug-1896,1
01-Sep-1896,1
01-Oct-1896,1
01-Nov-1896,1
01-Dec-1896,1
01-Jan-1897,1
01-Feb-1897,1
01-Mar-1897,1
01-Apr-1897,1
