This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  INV is percentage difference in Total Assets at the last fiscal year end of the prior calendar
year from the previous fiscal year as of 6 months before formation.  Firms with negative
INV are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
19900702   ,1.11   ,1.20   ,1.24   ,1.17   ,0.89   ,0.68
19900703   ,0.76   ,0.84   ,0.44   ,0.12   ,0.06  ,-0.10
19900704   ,1.82   ,1.92   ,2.06   ,1.36   ,1.60   ,1.33
19900705  ,-0.15  ,-0.10  ,-0.42  ,-0.54  ,-0.98  ,-0.53
19900706   ,0.59   ,0.39   ,0.21  ,-0.55  ,-0.02  ,-0.03
19900709   ,0.38   ,0.43   ,0.58  ,-0.55   ,0.04  ,-0.04
19900710   ,1.34   ,1.16   ,1.30   ,0.91   ,0.91   ,0.79
19900711  ,-0.20  ,-0.33   ,0.16   ,0.82   ,0.07   ,0.09
19900712   ,0.31   ,0.81   ,0.70  ,-0.17   ,0.23   ,0.17
19900713   ,1.43   ,1.24   ,0.98   ,1.34   ,1.40   ,1.43
19900716   ,0.33   ,0.49   ,0.47   ,0.54   ,1.07   ,1.14
19900717   ,0.23   ,0.20   ,0.29  ,-0.22   ,0.23   ,0.01
19900718   ,1.29   ,1.08   ,1.44   ,0.63   ,0.12  ,-0.02
19900719  ,-0.69  ,-0.49  ,-0.54  ,-0.76  ,-0.46  ,-0.82
19900720  ,-1.34  ,-1.30  ,-1.30  ,-1.68  ,-2.01  ,-1.74
19900723  ,-0.92  ,-1.07  ,-1.00  ,-1.09  ,-1.03  ,-1.14
19900724  ,-1.09  ,-0.96  ,-1.02  ,-0.73  ,-1.06  ,-1.22
19900725   ,0.21   ,0.12  ,-0.23  ,-0.73  ,-0.33  ,-0.09
19900726  ,-0.94  ,-1.20  ,-0.87  ,-1.60  ,-1.54  ,-1.15
19900727  ,-1.24  ,-0.80  ,-1.19  ,-0.75  ,-2.06  ,-1.48
19900730  ,-0.19  ,-0.30  ,-0.05   ,0.05  ,-0.23   ,0.02
19900731   ,2.84   ,2.84   ,2.84   ,2.93   ,2.52   ,2.46
19900801  ,-0.64  ,-0.78  ,-0.61  ,-1.03  ,-1.09  ,-0.86
19900802  ,-2.83  ,-2.87  ,-2.92  ,-2.42  ,-3.16  ,-2.87
19900803  ,-1.75  ,-1.65  ,-1.97  ,-2.34  ,-1.80  ,-2.19
19900806  ,-4.35  ,-4.35  ,-4.41  ,-3.68  ,-3.17  ,-3.53
19900807  ,-3.97  ,-4.29  ,-4.42  ,-2.13  ,-2.15  ,-2.61
19900808   ,1.13   ,1.53   ,1.37   ,2.73   ,2.02   ,2.78
19900809   ,0.30   ,0.37   ,0.27  ,-1.77  ,-0.95  ,-1.32
19900810  ,-0.84  ,-0.67  ,-0.88  ,-0.75  ,-0.76  ,-0.76
19900813  ,-3.92  ,-4.20  ,-3.99  ,-3.09  ,-2.64  ,-3.18
19900814   ,0.00   ,0.53   ,0.22   ,2.13   ,1.65   ,1.99
19900815   ,4.98   ,4.33   ,4.48   ,5.00   ,4.72   ,5.94
19900816  ,-0.98   ,0.20  ,-0.50  ,-2.48  ,-1.98  ,-2.14
19900817  ,-1.13  ,-1.21  ,-1.11  ,-0.72  ,-1.16  ,-1.18
19900820  ,-0.62  ,-0.64  ,-0.36  ,-0.19   ,0.29   ,0.00
19900821  ,-0.38   ,0.08  ,-0.55  ,-0.31  ,-0.22  ,-0.64
19900822  ,-3.39  ,-3.65  ,-3.94  ,-2.96  ,-3.17  ,-2.70
19900823  ,-5.92  ,-5.37  ,-5.71  ,-7.64  ,-6.18  ,-4.88
19900824  ,-3.27  ,-3.55  ,-3.61   ,1.61   ,0.58   ,1.11
19900827   ,3.19   ,2.35   ,3.21   ,5.02   ,4.44   ,5.00
19900828   ,4.30   ,3.64   ,4.14   ,2.69   ,3.21   ,2.44
19900829  ,-0.13   ,0.36  ,-0.33  ,-1.87  ,-2.19  ,-2.05
19900830   ,1.14   ,2.34   ,1.41   ,1.67   ,1.49   ,2.40
19900831   ,2.00   ,3.50   ,2.27   ,0.89   ,1.77   ,0.45
19900903   ,0.39   ,0.26   ,1.02  ,-1.42  ,-1.35  ,-0.82
19900904  ,-2.30  ,-1.69  ,-2.02  ,-1.65  ,-1.64  ,-2.11
19900905  ,-2.18  ,-2.29  ,-1.87  ,-1.45  ,-1.29  ,-1.07
19900906  ,-0.94  ,-0.81  ,-1.26  ,-0.31  ,-0.11   ,0.12
19900907  ,-0.63  ,-0.42  ,-0.33   ,0.54   ,0.60   ,0.98
19900910   ,3.48   ,3.87   ,3.11   ,3.88   ,3.70   ,3.58
19900911  ,-0.19  ,-0.68  ,-0.66  ,-1.21  ,-1.69  ,-1.86
19900912   ,2.97   ,3.34   ,3.20   ,3.35   ,3.25   ,3.08
19900913   ,0.73   ,1.05   ,1.18   ,0.45   ,0.26  ,-0.17
19900914   ,0.08   ,0.14  ,-0.16  ,-0.39  ,-0.55  ,-0.39
19900917  ,-1.28  ,-1.59  ,-1.54  ,-2.08  ,-2.18  ,-1.84
19900918  ,-2.62  ,-2.67  ,-2.77  ,-2.53  ,-2.88  ,-2.40
