This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199901   1.61  -0.07   4.40   0.60   3.42   9.67
199902  -5.45  -6.38  -9.91  -2.22  -2.70  -6.81
199903   0.54  -0.77   3.36   4.04   2.56   6.81
199904   8.15   7.82  11.06   5.87   4.11   2.84
199905   2.79   2.83  -0.99  -1.54  -2.00  -2.90
199906   5.12   7.16   6.60   2.38   5.90   6.91
199907   0.09  -0.72  -2.69  -3.00  -2.84  -3.85
199908  -2.07  -2.61  -3.87  -2.29  -0.04  -0.70
199909  -0.35  -0.04   1.01  -3.47  -3.12  -0.99
199910   0.21  -1.22   0.39   5.20   7.59   6.28
199911   5.89   4.16  10.01   0.92   1.76   5.94
199912  11.19   7.16  13.37   3.10   4.88  14.13
200001   1.59  -2.67  -1.40  -1.42  -3.94  -6.44
200002  18.80  11.74  20.93  -2.46  -1.13   4.41
200003  -8.36  -1.57  -6.08  10.95   8.12   9.11
200004  -6.58  -1.71 -13.30  -1.31  -0.71 -10.23
200005  -5.43  -2.89  -6.50  -2.60  -0.11  -7.06
200006  11.51   5.54  13.91   0.96   0.91   9.25
200007  -0.59  -0.92  -7.00  -0.42  -0.92  -3.48
200008   8.61   6.80   6.02   5.83   7.26   9.41
200009  -1.81  -0.78  -8.39  -0.96  -1.94 -12.08
200010  -3.27  -2.93 -12.22   1.35  -0.92  -6.03
200011  -6.86  -6.15 -19.40  -3.18  -7.08 -19.42
200012   7.74   9.51   3.83   5.50   3.69  -6.82
200101   3.68   4.10  14.65   0.92   1.08  11.51
200102  -3.61  -3.62 -13.53  -2.94  -8.20 -19.23
200103  -3.05  -3.44 -10.25  -3.25  -6.74 -12.57
