This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 INV portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoOP_LoINV,LoOP_HiINV,HiOP_LoINV,HiOP_HiINV
200204   ,3.72  ,-0.16   ,2.26   ,1.72
200205   ,0.45  ,-1.40   ,1.03  ,-1.38
200206  ,-2.24  ,-5.75  ,-3.40  ,-4.65
200207  ,-3.72  ,-4.89  ,-2.33  ,-3.73
200208  ,-0.05   ,0.53   ,1.94   ,1.72
200209 ,-10.98 ,-12.76  ,-7.60  ,-9.72
200210   ,3.52   ,4.06   ,5.14   ,5.08
200211   ,5.54   ,3.32   ,9.34   ,5.40
200212  ,-1.46  ,-1.67  ,-2.28  ,-0.86
200301   ,3.02   ,2.57   ,1.70   ,0.61
200302  ,-2.64  ,-2.97   ,0.17  ,-2.10
200303  ,-5.34  ,-6.05  ,-3.62  ,-4.57
200304   ,9.11   ,9.52  ,11.37   ,7.72
200305  ,11.18   ,9.51   ,8.82   ,8.18
200306   ,8.62   ,7.82   ,5.48   ,7.47
200307   ,4.76   ,5.17   ,5.14   ,8.29
200308   ,4.32   ,4.47   ,6.99   ,5.73
200309   ,1.54   ,2.71   ,3.93   ,2.94
200310   ,5.00   ,4.30   ,6.57   ,5.07
200311   ,2.59   ,1.61   ,4.31   ,1.65
200312   ,8.35   ,6.78   ,9.28   ,7.16
200401   ,3.23   ,1.81   ,1.28   ,3.61
200402   ,2.84   ,3.44   ,3.69   ,3.39
200403   ,0.67   ,0.71   ,1.71  ,-0.10
200404  ,-0.37  ,-1.84  ,-0.83  ,-2.46
200405  ,-5.38  ,-5.29  ,-4.69  ,-5.32
200406  ,-1.16  ,-1.85   ,0.44  ,-1.58
200407   ,0.85  ,-1.71   ,3.42  ,-0.63
200408   ,3.91   ,3.55   ,5.43   ,4.32
200409   ,6.33   ,5.51   ,7.57   ,4.96
200410   ,2.08   ,2.76   ,2.76   ,1.60
200411  ,10.11   ,9.29  ,10.22   ,9.35
200412   ,7.37   ,5.74   ,7.15   ,6.34
200501   ,7.50   ,8.53   ,2.44   ,1.98
200502   ,8.58   ,8.94   ,7.09   ,7.35
200503  ,-3.40  ,-4.34  ,-2.65  ,-3.52
200504  ,-2.03  ,-2.91  ,-0.32  ,-2.79
200505   ,3.66   ,3.08   ,2.88   ,2.98
200506   ,4.61   ,4.94   ,2.80   ,3.00
200507   ,7.70   ,7.29   ,7.11   ,6.67
200508   ,2.03  ,-0.38   ,2.39   ,0.95
200509   ,3.34   ,6.82   ,3.43   ,5.21
200510  ,-3.28  ,-1.01  ,-5.51  ,-5.00
200511   ,7.56   ,8.34   ,5.61   ,7.33
200512   ,6.25   ,4.88   ,6.51   ,7.14
200601   ,8.25   ,7.68   ,8.13   ,6.04
200602   ,1.67   ,1.73   ,1.13   ,1.13
200603   ,3.13   ,2.59   ,2.80   ,3.41
200604   ,9.28   ,8.75   ,9.11   ,8.53
200605  ,-6.85  ,-7.85  ,-7.37  ,-7.96
200606  ,-4.89  ,-4.21  ,-4.90  ,-5.63
200607  ,-0.09   ,0.52   ,0.93   ,0.79
200608   ,3.62   ,3.36   ,5.24   ,4.60
200609   ,3.82   ,3.93   ,3.60   ,3.68
200610   ,6.57   ,5.54   ,5.17   ,6.50
200611   ,9.66   ,7.80   ,6.12   ,6.62
200612   ,4.90   ,2.50   ,4.73   ,2.73
200701   ,3.81   ,2.66   ,2.82   ,2.90
200702   ,3.52   ,3.56   ,1.05   ,2.22
200703   ,5.24   ,5.93   ,3.37   ,4.68
200704   ,7.78   ,7.94   ,7.03   ,6.66
200705   ,8.35   ,8.16   ,4.76   ,5.90
200706   ,6.40   ,5.75   ,4.49   ,5.56
200707   ,7.60   ,6.75   ,4.85   ,6.50
200708  ,-4.47  ,-6.03  ,-3.60  ,-5.97
200709   ,6.90   ,6.52   ,7.49   ,7.31
200710   ,3.15   ,3.60   ,4.98   ,4.99
200711  ,-3.85  ,-6.18  ,-2.18  ,-5.33
200712   ,3.72   ,2.84   ,6.29   ,4.94
200801  ,-9.78 ,-11.36 ,-10.70 ,-12.59
200802   ,5.43   ,5.38   ,3.18   ,4.99
200803  ,-5.11  ,-6.86  ,-5.37  ,-5.49
200804   ,4.91   ,4.15   ,6.35   ,5.03
200805   ,0.09  ,-1.39  ,-1.19  ,-2.41
200806  ,-9.12 ,-10.58  ,-9.48 ,-11.89
200807  ,-0.75  ,-1.76   ,0.28  ,-0.87
200808  ,-6.20  ,-8.50  ,-4.76  ,-5.68
200809 ,-14.94 ,-17.67 ,-15.35 ,-16.97
200810 ,-25.32 ,-28.83 ,-24.82 ,-26.97
200811  ,-6.87  ,-9.17  ,-7.59  ,-9.99
200812  ,11.07  ,10.25   ,8.80   ,7.62
200901  ,-3.90  ,-4.40  ,-4.16  ,-4.77
200902  ,-4.41  ,-4.53  ,-4.08  ,-3.88
200903  ,11.24  ,13.43   ,8.97  ,12.29
200904  ,20.45  ,22.39  ,19.07  ,21.28
200905  ,19.65  ,21.44  ,25.94  ,25.39
200906  ,-0.02   ,0.53  ,-0.20  ,-0.65
200907   ,9.41   ,9.93   ,9.36   ,8.97
200908   ,4.09   ,3.55   ,5.40   ,5.49
200909   ,8.07   ,8.06   ,8.37   ,9.47
200910   ,0.72  ,-0.33   ,1.09  ,-0.82
200911   ,3.28   ,2.21   ,4.51   ,3.92
200912   ,6.46   ,6.73   ,7.12   ,7.51
201001   ,1.76  ,-0.35   ,1.83  ,-0.17
201002   ,0.81   ,0.30   ,1.64   ,0.57
201003   ,7.27   ,7.43   ,7.87   ,8.12
201004   ,5.48   ,4.56   ,6.09   ,5.09
201005  ,-9.60 ,-10.43  ,-8.51  ,-9.23
201006   ,2.01   ,0.88   ,2.76   ,1.61
201007   ,7.15   ,6.80   ,6.84   ,6.76
201008   ,0.27  ,-0.47   ,1.62  ,-0.20
201009   ,9.52  ,10.02  ,10.39  ,10.60
201010   ,4.04   ,4.22   ,4.09   ,3.71
201011  ,-3.87  ,-4.32  ,-3.20  ,-2.98
201012   ,5.72   ,5.69   ,5.58   ,5.37
201101  ,-2.22  ,-2.14  ,-3.54  ,-2.84
201102  ,-2.90  ,-3.12  ,-2.57  ,-2.79
201103   ,3.50   ,3.88   ,4.36   ,3.89
201104   ,5.32   ,4.01   ,6.41   ,4.84
201105  ,-3.38  ,-3.22  ,-2.38  ,-2.56
201106  ,-1.09  ,-0.79  ,-0.44  ,-1.25
201107   ,3.31   ,2.63   ,2.70   ,2.14
201108  ,-9.37 ,-10.57  ,-9.04 ,-10.54
201109 ,-11.74 ,-13.72 ,-11.01 ,-11.84
201110   ,7.95   ,8.83   ,7.22   ,7.96
201111  ,-6.60  ,-7.55  ,-7.13  ,-8.43
201112  ,-0.99  ,-2.31  ,-2.51  ,-2.95
201201  ,12.50  ,12.64  ,13.04  ,14.28
201202   ,8.61   ,8.33   ,6.90   ,8.18
201203  ,-3.40  ,-3.17  ,-2.35  ,-2.47
201204  ,-1.81  ,-2.20  ,-0.91  ,-1.90
201205  ,-7.79  ,-9.74  ,-8.22  ,-9.20
201206   ,3.66   ,2.75   ,3.59   ,3.26
201207  ,-0.32  ,-0.76   ,0.19  ,-0.03
201208   ,2.00   ,1.76   ,1.78   ,1.95
201209   ,6.52   ,7.03   ,6.82   ,7.15
201210  ,-0.52  ,-0.71  ,-0.96  ,-0.50
201211  ,-0.10   ,0.92   ,0.80   ,1.49
201212   ,3.18   ,3.46   ,3.54   ,3.06
201301   ,2.75   ,2.42   ,2.15   ,1.93
201302  ,-0.75  ,-0.64  ,-1.77  ,-2.15
201303  ,-0.87  ,-1.24  ,-1.35  ,-0.80
201304   ,2.16   ,2.09   ,2.13   ,1.66
201305   ,0.93   ,0.24  ,-1.06  ,-1.36
201306  ,-7.05  ,-7.62  ,-5.88  ,-7.01
201307   ,0.97   ,0.92   ,0.60   ,1.20
201308  ,-3.90  ,-3.73  ,-4.06  ,-4.00
201309   ,8.10   ,7.61   ,7.68   ,6.75
201310   ,4.73   ,4.21   ,4.21   ,4.27
201311  ,-0.86  ,-1.93  ,-0.40  ,-1.36
201312   ,1.81   ,0.42   ,1.84   ,1.62
201401  ,-0.98  ,-2.41  ,-2.31  ,-3.44
201402   ,4.65   ,5.24   ,4.86   ,4.80
201403   ,3.04   ,2.87   ,5.08   ,3.87
201404   ,3.04   ,2.74   ,3.20   ,2.01
201405   ,6.27   ,5.29   ,7.93   ,4.86
201406   ,4.98   ,3.46   ,5.50   ,3.87
201407   ,0.16   ,0.51   ,1.39   ,0.61
201408   ,1.85   ,1.74   ,3.00   ,2.45
201409  ,-1.21  ,-1.95  ,-1.25  ,-2.21
201410  ,-1.44  ,-0.45  ,-1.15  ,-1.58
201411  ,-1.51  ,-1.58  ,-0.26  ,-0.91
201412  ,-2.36  ,-4.09  ,-2.65  ,-2.20
201501   ,2.35   ,0.72   ,2.04   ,1.62
201502   ,2.94   ,2.28   ,2.51   ,1.88
201503  ,-1.31  ,-1.38  ,-0.83  ,-1.25
201504   ,7.28   ,7.00   ,5.60   ,5.51
201505  ,-0.77  ,-1.03  ,-0.80  ,-1.65
201506  ,-1.13  ,-2.91  ,-1.58  ,-2.58
201507  ,-1.76  ,-3.45  ,-1.26  ,-2.62
201508  ,-9.39  ,-9.66  ,-7.58  ,-7.82
201509   ,1.66   ,0.99   ,0.44   ,0.24
201510   ,6.74   ,6.68   ,5.16   ,5.64
201511  ,-0.45  ,-1.45  ,-0.75  ,-1.80
201512   ,2.38   ,0.63   ,0.84   ,0.53
201601  ,-5.69  ,-5.50  ,-5.04  ,-5.08
201602  ,-2.12  ,-1.16  ,-1.59   ,0.14
201603  ,10.86  ,10.27  ,11.93  ,10.58
201604   ,3.24   ,1.73   ,3.96   ,1.88
201605  ,-3.12  ,-3.03  ,-3.17  ,-3.08
201606   ,3.77   ,2.68   ,3.94   ,3.07
201607   ,5.29   ,4.77   ,5.14   ,4.57
201608   ,1.31  ,-0.15   ,1.80   ,1.29
201609   ,1.90   ,1.61   ,1.63   ,2.09
201610   ,1.64  ,-0.99   ,1.52  ,-0.82
201611  ,-5.37  ,-5.11  ,-5.81  ,-5.85
201612   ,1.04   ,1.51   ,2.07   ,1.44
201701   ,5.94   ,4.52   ,5.55   ,5.04
201702   ,4.54   ,3.58   ,3.73   ,3.11
201703   ,3.66   ,3.12   ,4.06   ,3.37
201704   ,2.62   ,1.45   ,2.91   ,2.12
201705   ,0.15   ,1.25   ,1.37   ,2.18
201706   ,0.56  ,-0.02   ,1.00   ,1.10
201707   ,2.66   ,2.06   ,3.46   ,3.63
201708   ,0.39   ,0.03   ,0.48   ,0.79
201709  ,-0.25  ,-0.46  ,-0.62  ,-0.68
201710   ,3.87   ,3.31   ,3.43   ,3.14
201711   ,2.02   ,2.11   ,1.42   ,1.85
201712   ,3.89   ,3.53   ,4.64   ,3.17
201801   ,5.46   ,6.68   ,4.00   ,5.62
201802  ,-3.13  ,-3.12  ,-2.64  ,-3.39
201803  ,-1.36  ,-1.13  ,-2.24  ,-0.96
201804   ,0.60  ,-0.19  ,-0.33  ,-1.27
201805  ,-3.19  ,-3.27  ,-3.57  ,-3.83
201806  ,-5.46  ,-6.00  ,-5.19  ,-4.36
201807  ,-0.32   ,0.55   ,1.53   ,1.08
201808  ,-1.35  ,-2.17  ,-2.42  ,-3.23
201809  ,-2.63  ,-1.95  ,-3.54  ,-3.07
201810  ,-8.74  ,-9.28  ,-7.97  ,-8.53
201811   ,5.70   ,4.84   ,5.34   ,4.74
201812  ,-0.21  ,-1.09  ,-0.71  ,-1.33
201901   ,3.82   ,5.31   ,3.90   ,4.85
201902   ,0.32   ,1.11   ,0.88   ,1.88
201903   ,1.04   ,0.58   ,2.85   ,1.81
201904   ,0.12   ,0.21   ,0.63   ,0.35
201905  ,-3.97  ,-4.33  ,-3.93  ,-4.33
201906   ,2.01   ,2.81   ,2.27   ,3.44
201907  ,-3.36  ,-2.94  ,-3.37  ,-1.81
201908  ,-3.92  ,-3.76  ,-4.51  ,-3.96
201909   ,2.67   ,2.43   ,3.25   ,3.37
201910   ,1.45   ,2.45   ,2.28   ,2.76
201911  ,-0.47  ,-0.69  ,-0.13  ,-0.79
201912   ,4.49   ,4.15   ,5.90   ,5.82
202001  ,-1.53  ,-2.71  ,-1.90  ,-0.97
202002  ,-6.91  ,-7.07  ,-7.10  ,-6.90
202003 ,-18.38 ,-18.00 ,-19.97 ,-20.67
202004  ,16.06  ,16.21  ,15.49  ,16.32
202005   ,3.55   ,4.02   ,3.23   ,4.00
202006  ,10.51   ,9.71   ,7.45   ,8.37



  Average Value Weighted Returns -- Annual
,LoOP_LoINV,LoOP_HiINV,HiOP_LoINV,HiOP_HiINV
1993 ,103.83 ,117.79  ,80.48  ,71.63
1994  ,-4.80 ,-17.28 ,-12.21 ,-14.81
1995  ,-7.28  ,-7.21   ,1.19  ,-2.18
1996  ,12.21  ,13.54   ,9.85   ,5.03
1997 ,-18.86 ,-19.91 ,-12.16  ,-7.36
1998 ,-21.89 ,-18.85 ,-20.85 ,-15.88
1999  ,57.57  ,57.39  ,99.03  ,50.96
2000 ,-33.62 ,-40.43 ,-25.95 ,-31.91
2001  ,-0.05  ,-7.77  ,-0.95  ,-0.81
2002  ,-3.43  ,-9.13  ,-7.36  ,-6.32
2003  ,59.25  ,62.63  ,62.54  ,48.87
2004  ,28.63  ,27.59  ,23.50  ,29.34
2005  ,34.34  ,37.18  ,34.03  ,36.28
2006  ,34.54  ,33.80  ,36.65  ,28.66
2007  ,41.60  ,36.41  ,42.24  ,39.95
2008 ,-44.69 ,-63.31 ,-49.89 ,-53.27
2009  ,76.79  ,92.33  ,74.24  ,87.77
2010  ,28.60  ,17.56  ,22.99  ,22.10
2011 ,-22.73 ,-24.04 ,-10.62 ,-16.75
2012  ,19.30  ,15.14  ,16.18  ,25.81
2013   ,3.22  ,-0.52  ,-4.96   ,0.82
2014  ,-0.84  ,-3.79   ,3.57   ,1.22
2015 ,-11.63  ,-9.78 ,-13.76 ,-10.21
2016  ,12.16   ,5.06  ,14.85  ,10.17
2017  ,29.76  ,37.06  ,32.96  ,43.08
2018 ,-10.17 ,-15.26 ,-11.08 ,-18.43
2019   ,9.89  ,21.58  ,12.22  ,24.31



  Average Equal Weighted Returns -- Annual
,LoOP_LoINV,LoOP_HiINV,HiOP_LoINV,HiOP_HiINV
1993 ,109.95 ,115.96  ,73.26 ,106.47
1994   ,4.10  ,-2.68   ,4.57   ,1.99
1995 ,-11.47 ,-19.13  ,-9.13  ,-7.87
1996  ,12.52  ,10.47  ,12.73  ,15.07
1997 ,-41.03 ,-40.99 ,-37.10 ,-33.47
1998  ,44.35  ,20.75  ,15.00   ,9.90
1999  ,98.75  ,81.29  ,78.96  ,70.48
2000 ,-21.47 ,-31.46 ,-14.91 ,-28.28
2001  ,13.20   ,7.10  ,17.67  ,14.80
2002  ,10.27  ,-8.91  ,17.49   ,3.88
2003  ,62.06  ,54.41  ,78.23  ,58.78
2004  ,33.90  ,23.43  ,44.34  ,25.02
2005  ,50.36  ,52.55  ,35.74  ,34.81
2006  ,44.80  ,35.84  ,38.97  ,33.29
2007  ,58.86  ,48.49  ,49.22  ,47.14
2008 ,-47.30 ,-57.87 ,-49.32 ,-56.98
2009 ,100.68 ,106.87 ,111.96 ,116.55
2010  ,33.19  ,25.05  ,42.00  ,31.47
2011 ,-18.40 ,-23.44 ,-18.15 ,-23.51
2012  ,23.01  ,20.08  ,25.16  ,26.04
2013   ,7.41   ,1.95   ,3.43   ,0.00
2014  ,17.25  ,11.40  ,25.21  ,12.28
2015   ,7.76  ,-2.64   ,3.16  ,-3.02
2016  ,12.20   ,5.76  ,16.20   ,9.59
2017  ,34.28  ,27.23  ,36.14  ,32.77
2018 ,-14.49 ,-15.83 ,-17.02 ,-17.74
2019   ,3.81   ,7.03   ,9.85  ,13.57



  Number of Firms in Portfolios
,LoOP_LoINV,LoOP_HiINV,HiOP_LoINV,HiOP_HiINV
199207    ,306    ,193    ,140    ,101
199208    ,306    ,193    ,140    ,101
199209    ,306    ,193    ,140    ,101
199210    ,306    ,193    ,140    ,101
199211    ,306    ,193    ,140    ,101
199212    ,306    ,193    ,140    ,101
199301    ,305    ,193    ,140    ,101
199302    ,305    ,193    ,140    ,101
199303    ,305    ,193    ,140    ,101
199304    ,305    ,193    ,140    ,101
199305    ,305    ,193    ,139    ,101
199306    ,305    ,193    ,139    ,101
199307    ,470    ,267    ,167    ,207
199308    ,470    ,267    ,167    ,207
199309    ,470    ,267    ,167    ,207
199310    ,470    ,267    ,167    ,207
199311    ,470    ,267    ,167    ,206
199312    ,470    ,267    ,167    ,206
199401    ,468    ,266    ,166    ,206
199402    ,468    ,266    ,166    ,206
199403    ,468    ,266    ,166    ,206
199404    ,468    ,266    ,166    ,206
199405    ,467    ,266    ,166    ,206
199406    ,467    ,266    ,166    ,206
199407    ,667    ,463    ,321    ,331
199408    ,667    ,463    ,321    ,331
199409    ,667    ,463    ,321    ,331
199410    ,667    ,463    ,321    ,331
199411    ,667    ,463    ,321    ,331
199412    ,667    ,463    ,321    ,331
199501    ,663    ,461    ,321    ,331
199502    ,664    ,461    ,321    ,330
199503    ,664    ,462    ,321    ,330
199504    ,664    ,462    ,321    ,330
199505    ,664    ,462    ,320    ,330
199506    ,664    ,461    ,320    ,330
199507   ,1257    ,912    ,581    ,657
199508   ,1255    ,911    ,581    ,657
199509   ,1255    ,911    ,580    ,657
199510   ,1254    ,911    ,580    ,657
199511   ,1252    ,911    ,580    ,657
199512   ,1251    ,910    ,580    ,656
199601   ,1248    ,909    ,579    ,654
199602   ,1248    ,909    ,579    ,654
199603   ,1247    ,909    ,579    ,654
199604   ,1247    ,909    ,578    ,653
199605   ,1247    ,909    ,578    ,652
199606   ,1246    ,909    ,578    ,652
199607   ,1449   ,1139    ,678    ,761
199608   ,1449   ,1138    ,678    ,761
199609   ,1447   ,1137    ,678    ,761
199610   ,1445   ,1137    ,678    ,760
199611   ,1445   ,1136    ,677    ,760
199612   ,1445   ,1136    ,677    ,760
199701   ,1445   ,1136    ,676    ,760
199702   ,1442   ,1135    ,675    ,759
199703   ,1440   ,1134    ,675    ,758
199704   ,1438   ,1133    ,675    ,758
199705   ,1437   ,1132    ,675    ,756
199706   ,1435   ,1131    ,674    ,754
199707   ,1812   ,1291    ,723    ,734
199708   ,1809   ,1289    ,723    ,734
199709   ,1804   ,1285    ,722    ,732
199710   ,1800   ,1285    ,719    ,731
199711   ,1796   ,1285    ,719    ,731
199712   ,1793   ,1285    ,719    ,730
199801   ,1792   ,1285    ,718    ,728
199802   ,1787   ,1283    ,716    ,726
199803   ,1786   ,1282    ,715    ,726
199804   ,1786   ,1282    ,715    ,726
199805   ,1780   ,1282    ,715    ,726
199806   ,1776   ,1279    ,715    ,723
199807   ,2272   ,1230    ,916    ,805
199808   ,2266   ,1230    ,916    ,803
199809   ,2258   ,1228    ,915    ,801
199810   ,2253   ,1225    ,913    ,799
199811   ,2244   ,1223    ,912    ,798
199812   ,2237   ,1221    ,909    ,796
199901   ,2230   ,1215    ,909    ,794
199902   ,2222   ,1213    ,906    ,790
199903   ,2209   ,1211    ,904    ,790
199904   ,2196   ,1205    ,899    ,788
199905   ,2194   ,1202    ,898    ,787
199906   ,2186   ,1195    ,896    ,787
199907   ,2416   ,1433    ,875    ,954
199908   ,2407   ,1430    ,872    ,951
199909   ,2404   ,1429    ,869    ,951
199910   ,2400   ,1428    ,868    ,950
199911   ,2395   ,1423    ,867    ,948
199912   ,2389   ,1422    ,864    ,944
200001   ,2384   ,1420    ,860    ,940
200002   ,2383   ,1417    ,860    ,938
200003   ,2380   ,1415    ,856    ,937
200004   ,2377   ,1413    ,854    ,936
200005   ,2370   ,1410    ,854    ,936
200006   ,2364   ,1407    ,851    ,934
200007   ,3210   ,1274    ,912    ,907
200008   ,3201   ,1272    ,907    ,904
200009   ,3193   ,1266    ,904    ,903
200010   ,3183   ,1265    ,902    ,900
200011   ,3170   ,1262    ,900    ,898
200012   ,3158   ,1258    ,900    ,896
200101   ,3142   ,1253    ,894    ,894
200102   ,3135   ,1252    ,894    ,893
200103   ,3127   ,1249    ,893    ,892
200104   ,3119   ,1246    ,891    ,891
200105   ,3113   ,1245    ,889    ,890
200106   ,3105   ,1243    ,889    ,888
200107   ,3304   ,1435    ,830    ,872
200108   ,3295   ,1433    ,825    ,871
200109   ,3289   ,1428    ,824    ,868
200110   ,3284   ,1427    ,815    ,861
200111   ,3274   ,1424    ,805    ,856
200112   ,3266   ,1421    ,804    ,853
200201   ,3250   ,1415    ,802    ,852
200202   ,3236   ,1411    ,799    ,849
200203   ,3232   ,1410    ,799    ,847
200204   ,3224   ,1409    ,798    ,846
200205   ,3206   ,1407    ,797    ,846
200206   ,3193   ,1403    ,794    ,842
200207   ,3377   ,1543    ,868    ,985
200208   ,3368   ,1542    ,867    ,983
200209   ,3360   ,1537    ,864    ,982
200210   ,3354   ,1534    ,864    ,980
200211   ,3343   ,1527    ,861    ,975
200212   ,3331   ,1518    ,858    ,975
200301   ,3322   ,1512    ,854    ,971
200302   ,3321   ,1510    ,851    ,968
200303   ,3314   ,1508    ,850    ,964
200304   ,3309   ,1506    ,848    ,963
200305   ,3298   ,1498    ,847    ,959
200306   ,3289   ,1496    ,845    ,959
200307   ,3492   ,1645    ,872   ,1045
200308   ,3485   ,1642    ,871   ,1043
200309   ,3473   ,1638    ,870   ,1043
200310   ,3462   ,1636    ,870   ,1042
200311   ,3452   ,1631    ,868   ,1039
200312   ,3446   ,1629    ,868   ,1039
200401   ,3440   ,1627    ,865   ,1037
200402   ,3434   ,1624    ,864   ,1037
200403   ,3427   ,1622    ,860   ,1035
200404   ,3419   ,1620    ,858   ,1031
200405   ,3399   ,1612    ,858   ,1030
200406   ,3383   ,1610    ,851   ,1025
200407   ,3617   ,2167    ,826   ,1140
200408   ,3611   ,2161    ,825   ,1140
200409   ,3602   ,2157    ,824   ,1139
200410   ,3600   ,2154    ,824   ,1139
200411   ,3591   ,2151    ,822   ,1134
200412   ,3564   ,2145    ,815   ,1126
200501   ,3565   ,2141    ,812   ,1123
200502   ,3560   ,2136    ,812   ,1122
200503   ,3556   ,2133    ,812   ,1121
200504   ,3549   ,2127    ,811   ,1117
200505   ,3525   ,2118    ,808   ,1113
200506   ,3515   ,2119    ,805   ,1112
200507   ,4065   ,2233    ,826   ,1110
200508   ,4057   ,2226    ,825   ,1108
200509   ,4048   ,2223    ,824   ,1107
200510   ,4046   ,2221    ,824   ,1105
200511   ,4034   ,2217    ,824   ,1104
200512   ,4024   ,2212    ,824   ,1103
200601   ,4008   ,2206    ,822   ,1101
200602   ,4008   ,2203    ,818   ,1100
200603   ,3995   ,2200    ,817   ,1097
200604   ,3985   ,2197    ,815   ,1095
200605   ,3972   ,2194    ,814   ,1092
200606   ,3964   ,2194    ,814   ,1090
200607   ,4282   ,2563   ,1028   ,1249
200608   ,4270   ,2561   ,1024   ,1247
200609   ,4265   ,2557   ,1022   ,1246
200610   ,4257   ,2554   ,1017   ,1243
200611   ,4244   ,2553   ,1016   ,1242
200612   ,4241   ,2550   ,1013   ,1242
200701   ,4237   ,2549   ,1010   ,1240
200702   ,4231   ,2547   ,1008   ,1237
200703   ,4221   ,2545   ,1006   ,1236
200704   ,4209   ,2541   ,1003   ,1235
200705   ,4191   ,2529   ,1001   ,1232
200706   ,4179   ,2526    ,999   ,1229
200707   ,4463   ,2409   ,1351   ,1466
200708   ,4460   ,2403   ,1349   ,1463
200709   ,4444   ,2401   ,1346   ,1458
200710   ,4431   ,2396   ,1343   ,1453
200711   ,4421   ,2393   ,1338   ,1452
200712   ,4404   ,2393   ,1333   ,1449
200801   ,4389   ,2391   ,1332   ,1448
200802   ,4375   ,2389   ,1329   ,1446
200803   ,4361   ,2383   ,1325   ,1443
200804   ,4343   ,2375   ,1321   ,1443
200805   ,4322   ,2363   ,1320   ,1441
200806   ,4312   ,2360   ,1317   ,1435
200807   ,4528   ,3105   ,1388   ,1584
200808   ,4516   ,3099   ,1384   ,1581
200809   ,4505   ,3095   ,1381   ,1577
200810   ,4492   ,3088   ,1378   ,1573
200811   ,4482   ,3087   ,1373   ,1567
200812   ,4467   ,3084   ,1366   ,1563
200901   ,4453   ,3082   ,1365   ,1557
200902   ,4443   ,3078   ,1363   ,1555
200903   ,4430   ,3073   ,1361   ,1553
200904   ,4421   ,3069   ,1359   ,1551
200905   ,4405   ,3053   ,1356   ,1546
200906   ,4387   ,3043   ,1355   ,1545
200907   ,5477   ,2736   ,1545   ,1698
200908   ,5456   ,2730   ,1542   ,1694
200909   ,5445   ,2720   ,1537   ,1691
200910   ,5432   ,2717   ,1534   ,1689
200911   ,5425   ,2714   ,1533   ,1687
200912   ,5415   ,2710   ,1530   ,1685
201001   ,5401   ,2705   ,1527   ,1678
201002   ,5371   ,2699   ,1518   ,1672
201003   ,5351   ,2691   ,1513   ,1670
201004   ,5336   ,2686   ,1507   ,1665
201005   ,5307   ,2675   ,1504   ,1664
201006   ,5289   ,2669   ,1498   ,1662
201007   ,5314   ,2717   ,1499   ,1683
201008   ,5303   ,2712   ,1499   ,1683
201009   ,5293   ,2707   ,1497   ,1682
201010   ,5283   ,2704   ,1495   ,1678
201011   ,5280   ,2700   ,1491   ,1677
201012   ,5269   ,2697   ,1486   ,1671
201101   ,5259   ,2688   ,1483   ,1669
201102   ,5247   ,2686   ,1481   ,1666
201103   ,5241   ,2684   ,1479   ,1665
201104   ,5230   ,2680   ,1477   ,1663
201105   ,5212   ,2673   ,1463   ,1663
201106   ,5188   ,2665   ,1457   ,1656
201107   ,5592   ,2980   ,1423   ,1764
201108   ,5582   ,2977   ,1422   ,1760
201109   ,5567   ,2972   ,1421   ,1760
201110   ,5556   ,2965   ,1418   ,1756
201111   ,5538   ,2964   ,1416   ,1752
201112   ,5525   ,2959   ,1413   ,1750
201201   ,5512   ,2944   ,1409   ,1746
201202   ,5501   ,2938   ,1408   ,1744
201203   ,5493   ,2934   ,1407   ,1741
201204   ,5478   ,2932   ,1405   ,1738
201205   ,5458   ,2926   ,1399   ,1732
201206   ,5448   ,2917   ,1393   ,1726
201207   ,5537   ,3379   ,1240   ,1643
201208   ,5531   ,3374   ,1237   ,1641
201209   ,5522   ,3368   ,1237   ,1638
201210   ,5510   ,3361   ,1236   ,1635
201211   ,5493   ,3352   ,1230   ,1629
201212   ,5475   ,3348   ,1227   ,1628
201301   ,5461   ,3335   ,1224   ,1626
201302   ,5442   ,3330   ,1222   ,1623
201303   ,5432   ,3323   ,1221   ,1621
201304   ,5387   ,3301   ,1201   ,1611
201305   ,5364   ,3296   ,1196   ,1607
201306   ,5352   ,3284   ,1192   ,1601
201307   ,6050   ,2742   ,1403   ,1446
201308   ,6036   ,2735   ,1396   ,1444
201309   ,6029   ,2732   ,1392   ,1443
201310   ,6005   ,2731   ,1389   ,1438
201311   ,5993   ,2728   ,1386   ,1437
201312   ,5981   ,2724   ,1383   ,1436
201401   ,5966   ,2717   ,1381   ,1431
201402   ,5955   ,2708   ,1380   ,1431
201403   ,5941   ,2706   ,1378   ,1430
201404   ,5926   ,2700   ,1375   ,1427
201405   ,5909   ,2694   ,1374   ,1421
201406   ,5892   ,2692   ,1372   ,1419
201407   ,6234   ,2853   ,1590   ,1602
