This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 INV portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoOP_LoINV,LoOP_HiINV,HiOP_LoINV,HiOP_HiINV
200011  ,-7.49  ,-9.91  ,-4.34 ,-10.79
200012   ,1.60  ,-0.32   ,2.70   ,1.57
200101  ,11.14  ,12.40  ,11.98  ,13.82
200102  ,-3.69  ,-6.02  ,-7.27  ,-9.35
200103  ,-7.18  ,-8.70  ,-5.71 ,-10.43
200104   ,1.72   ,3.88   ,3.97   ,6.64
200105   ,2.19  ,-0.15  ,-0.77   ,1.38
200106  ,-0.71  ,-3.94  ,-1.40  ,-2.03
200107  ,-7.94  ,-8.75  ,-5.03  ,-5.36
200108   ,1.48  ,-1.79  ,-1.10  ,-3.94
200109 ,-13.96 ,-16.33 ,-12.11 ,-16.05
200110   ,3.63   ,6.50   ,3.96   ,7.29
200111   ,9.05  ,11.34   ,7.22  ,12.73
200112   ,7.32   ,7.96   ,8.10   ,9.76
200201   ,5.13   ,4.45   ,3.75   ,0.70
200202   ,2.00   ,0.19   ,1.55   ,1.72
200203   ,5.97   ,7.48   ,4.82   ,7.54
200204   ,2.12  ,-0.62  ,-1.60  ,-0.75
200205  ,-1.43  ,-3.00  ,-1.64  ,-2.22
200206  ,-6.11  ,-9.22  ,-6.78  ,-8.03
200207  ,-6.09  ,-6.80  ,-8.87  ,-4.98
200208  ,-0.05   ,1.96   ,1.70   ,1.73
200209 ,-11.37 ,-13.42 ,-10.02  ,-9.08
200210   ,4.73   ,8.23   ,5.85   ,6.64
200211   ,5.72   ,4.58   ,6.77   ,7.09
200212  ,-2.37  ,-0.86  ,-1.36  ,-5.06
200301   ,0.51   ,2.24   ,0.91  ,-3.06
200302  ,-1.76  ,-3.24  ,-2.50  ,-2.63
200303  ,-4.35  ,-2.27  ,-0.84  ,-2.81
200304   ,8.74   ,8.52  ,11.85   ,8.74
200305   ,9.35   ,7.00   ,5.62   ,6.63
200306   ,5.54   ,5.63   ,4.90   ,7.52
200307   ,5.02   ,5.26   ,3.27   ,7.75
200308   ,5.93   ,6.58   ,6.68   ,7.06
200309   ,1.64   ,1.69   ,2.28   ,0.81
200310   ,8.47   ,8.94   ,7.44   ,6.38
200311   ,1.42   ,2.50   ,1.85  ,-0.27
200312   ,8.02   ,7.66   ,9.03   ,5.51
200401   ,3.34   ,2.41   ,1.20   ,6.19
200402   ,5.18   ,5.80   ,3.60   ,4.29
200403   ,0.35   ,1.99   ,0.52   ,2.45
200404  ,-7.04  ,-8.10  ,-6.76  ,-6.75
200405  ,-3.15  ,-2.88  ,-1.49  ,-3.27
200406   ,1.12   ,0.41   ,1.01   ,0.47
200407  ,-0.01  ,-1.54  ,-3.34  ,-2.13
200408   ,4.10   ,4.16   ,4.76   ,3.98
200409   ,5.69   ,6.47   ,5.44   ,6.14
200410   ,2.32   ,2.61   ,2.67   ,3.07
200411   ,8.87   ,9.54   ,8.63   ,7.71
200412   ,5.69   ,4.98   ,6.07   ,4.91
200501   ,0.73   ,1.56   ,1.20  ,-0.33
200502   ,7.06   ,8.25   ,8.74  ,10.25
200503  ,-5.62  ,-5.63  ,-6.77  ,-5.79
200504  ,-2.49  ,-3.80  ,-2.43  ,-2.34
200505   ,2.57   ,2.56   ,3.52   ,5.05
200506   ,4.61   ,2.95   ,2.58   ,4.14
200507   ,6.68   ,6.30   ,7.77   ,6.00
200508  ,-0.57   ,1.99   ,1.90   ,0.55
200509   ,8.08  ,10.30   ,8.97   ,7.35
200510  ,-5.24  ,-5.44  ,-7.12  ,-5.45
200511   ,8.87   ,8.83   ,6.75   ,7.01
200512   ,6.67   ,5.80   ,6.26   ,6.43
200601   ,8.49  ,11.06  ,13.08   ,8.33
200602   ,1.73   ,0.80  ,-0.77   ,0.39
200603   ,0.80   ,1.57   ,0.12   ,1.88
200604   ,8.67   ,6.75   ,8.16   ,6.74
200605  ,-9.96 ,-10.22  ,-9.00 ,-10.33
200606  ,-1.80  ,-0.45   ,0.62  ,-2.48
200607   ,0.76   ,0.38   ,2.29   ,1.74
200608   ,2.04   ,4.81   ,2.96   ,2.12
200609   ,1.58   ,0.76   ,1.31   ,0.46
200610   ,5.09   ,3.30   ,3.91   ,6.22
200611   ,8.57   ,8.19   ,6.14   ,7.48
200612   ,5.64   ,4.10   ,4.37   ,4.40
200701  ,-0.58  ,-1.63  ,-0.39  ,-0.76
200702   ,0.58  ,-0.09   ,0.30  ,-0.02
200703   ,5.30   ,3.28   ,3.71   ,4.99
200704   ,6.30   ,4.59   ,3.80   ,5.22
200705   ,6.65   ,6.23   ,3.02   ,6.19
200706   ,3.83   ,5.88   ,5.32   ,4.16
200707   ,6.81   ,7.24   ,5.18   ,4.90
200708  ,-3.19  ,-3.57  ,-2.32  ,-2.85
200709   ,5.76   ,9.29  ,10.93  ,11.64
200710   ,8.56  ,11.14  ,10.78   ,8.81
200711  ,-5.41  ,-9.42  ,-5.88  ,-6.86
200712   ,1.74   ,0.41   ,2.57   ,0.11
200801  ,-9.94 ,-16.19  ,-9.46 ,-13.31
200802   ,6.61   ,8.01   ,5.83   ,8.24
200803  ,-4.16  ,-7.00  ,-3.08  ,-4.87
200804   ,5.31   ,7.53   ,8.96   ,6.57
200805   ,2.84  ,-1.35   ,3.55   ,2.32
200806  ,-9.02 ,-11.42  ,-8.57  ,-8.88
200807  ,-0.76  ,-4.76  ,-7.08  ,-1.41
200808  ,-6.50 ,-10.37  ,-7.21  ,-6.99
200809 ,-16.79 ,-19.47 ,-16.66 ,-18.80
200810 ,-24.24 ,-30.94 ,-25.17 ,-28.22
200811  ,-3.50  ,-8.53  ,-8.89  ,-9.06
200812   ,8.05   ,6.79   ,6.77   ,8.40
200901  ,-8.09  ,-7.57  ,-3.84  ,-6.80
200902  ,-4.21  ,-7.15  ,-4.00  ,-4.69
200903  ,12.58  ,15.61  ,12.08  ,15.34
200904  ,15.76  ,20.21  ,13.86  ,19.11
200905  ,16.92  ,20.30  ,16.57  ,18.24
200906   ,0.00  ,-1.80  ,-2.25  ,-0.97
200907  ,11.02  ,12.36   ,9.80  ,11.32
200908   ,0.35  ,-0.24   ,0.42  ,-0.25
200909   ,8.32  ,10.93   ,9.63   ,8.31
200910  ,-0.03   ,0.59   ,0.28  ,-1.76
200911   ,4.22   ,4.16   ,3.54   ,5.14
200912   ,4.82   ,4.78   ,3.42   ,5.77
201001  ,-4.13  ,-5.42  ,-4.68  ,-4.51
201002  ,-0.15   ,1.95   ,0.11   ,0.88
201003   ,8.18   ,9.41   ,7.07   ,7.61
201004   ,2.16   ,0.00   ,1.47   ,2.81
201005  ,-8.19  ,-9.78  ,-8.68  ,-8.67
201006   ,1.17  ,-0.75  ,-0.60  ,-0.60
201007   ,9.32   ,6.78   ,8.13   ,8.53
201008  ,-1.35  ,-1.75  ,-0.54  ,-2.13
201009  ,12.39  ,10.50  ,10.37  ,11.62
201010   ,2.88   ,3.68   ,3.35   ,2.18
201011  ,-2.98  ,-2.73  ,-0.99  ,-2.33
201012   ,8.16   ,6.44   ,7.59   ,6.65
201101  ,-2.37  ,-3.10  ,-2.04  ,-1.93
201102  ,-2.44  ,-1.75  ,-1.86  ,-0.75
201103   ,4.42   ,6.40   ,6.22   ,5.21
201104   ,3.60   ,3.80   ,4.90   ,2.85
201105  ,-3.32  ,-3.58  ,-1.19  ,-2.27
201106  ,-1.40  ,-2.01  ,-1.66  ,-0.85
201107   ,0.69   ,0.10  ,-0.49   ,0.74
201108 ,-10.23 ,-10.26  ,-5.92  ,-9.52
201109 ,-15.05 ,-17.74 ,-12.28 ,-14.40
201110  ,12.30  ,13.34   ,9.75  ,13.37
201111  ,-7.78  ,-7.43  ,-4.46  ,-5.71
201112  ,-1.07  ,-1.37  ,-0.28  ,-2.20
201201  ,12.04  ,12.75   ,8.69  ,11.21
201202   ,6.70   ,5.75   ,5.21   ,7.44
201203  ,-4.03  ,-4.37  ,-2.55  ,-1.13
201204  ,-2.09  ,-2.49  ,-1.00  ,-1.05
201205 ,-10.77 ,-10.40  ,-9.46 ,-10.79
201206   ,3.88   ,2.87   ,3.54   ,4.18
201207   ,0.78   ,1.17   ,1.54   ,1.91
201208   ,0.83   ,1.19  ,-0.34   ,0.52
201209   ,6.01   ,6.22   ,4.40   ,6.46
201210  ,-0.50  ,-1.64   ,0.60  ,-1.11
201211   ,0.75   ,0.21   ,0.70   ,2.66
201212   ,6.10   ,4.82   ,4.99   ,4.58
201301   ,2.86   ,1.56   ,1.85   ,0.80
201302  ,-0.79  ,-0.80  ,-1.25  ,-0.54
201303  ,-1.42  ,-0.53  ,-0.64  ,-2.16
201304   ,1.25   ,1.08   ,0.37   ,1.59
201305  ,-1.71  ,-1.67  ,-3.25  ,-1.10
201306  ,-6.80  ,-7.33  ,-4.63  ,-6.89
201307   ,3.15   ,0.75   ,0.21   ,1.58
201308  ,-2.18  ,-2.79  ,-3.59  ,-1.74
201309   ,7.45   ,6.70   ,6.28   ,6.66
201310   ,4.13   ,4.37   ,2.71   ,5.35
201311  ,-2.16  ,-0.66  ,-1.99  ,-1.04
201312   ,0.16  ,-0.52  ,-0.65  ,-1.01
201401  ,-5.74  ,-6.18  ,-6.52  ,-5.57
201402   ,2.71   ,3.99   ,2.33   ,5.02
201403   ,2.89   ,2.13   ,4.23   ,1.49
201404   ,0.40  ,-0.34   ,2.05   ,0.33
201405   ,3.59   ,3.72   ,3.80   ,4.32
201406   ,3.54   ,2.64   ,2.82   ,3.08
201407   ,1.65   ,1.91   ,2.46   ,1.01
201408   ,2.48   ,2.41   ,2.76   ,1.27
201409  ,-6.33  ,-7.62  ,-6.16  ,-5.21
201410  ,-0.19  ,-0.03   ,0.50   ,1.61
201411  ,-1.28  ,-1.38  ,-0.68  ,-1.07
201412  ,-3.86  ,-4.26  ,-3.30  ,-4.37
201501   ,0.72   ,0.43   ,1.10   ,0.84
