DATE,FII10,FII20,FII30,FII5,FII7
2011-07-01,0.62,1.36,1.62,-0.49,0.09
2011-08-01,0.14,0.81,1.1,-0.75,-0.36
2011-09-01,0.08,0.69,1.02,-0.72,-0.39
2011-10-01,0.19,0.72,0.99,-0.63,-0.28
2011-11-01,0,0.55,0.78,-0.85,-0.46
2011-12-01,-0.03,0.56,0.78,-0.78,-0.44
2012-01-01,-0.11,0.51,0.74,-0.92,-0.55
2012-02-01,-0.25,0.45,0.72,-1.11,-0.69
2012-03-01,-0.14,0.56,0.87,-1.03,-0.57
2012-04-01,-0.21,0.5,0.79,-1.06,-0.65
2012-05-01,-0.34,0.44,0.68,-1.12,-0.79
2012-06-01,-0.5,0.1,0.5,-1.05,-0.82
2012-07-01,-0.6,-0.01,0.39,-1.15,-0.92
2012-08-01,-0.59,0.06,0.47,-1.19,-0.94
2012-09-01,-0.71,0.02,0.44,-1.47,-1.17
2012-10-01,-0.75,-0.01,0.41,-1.47,-1.18
2012-11-01,-0.77,-0.06,0.35,-1.38,-1.13
2012-12-01,-0.76,0,0.33,-1.4,-1.13
2013-01-01,-0.61,0.2,0.48,-1.39,-1.04
2013-02-01,-0.57,0.19,0.57,-1.39,-0.94
2013-03-01,-0.59,0.19,0.62,-1.43,-0.97
2013-04-01,-0.65,0.07,0.48,-1.38,-0.97
2013-05-01,-0.36,0.35,0.72,-1.14,-0.69
2013-06-01,0.25,0.98,1.21,-0.59,-0.21
2013-07-01,0.46,1.09,1.34,-0.45,0.02
2013-08-01,0.55,1.16,1.44,-0.33,0.15
2013-09-01,0.66,1.22,1.5,-0.17,0.34
2013-10-01,0.43,1.05,1.37,-0.41,0.11
2013-11-01,0.55,1.2,1.51,-0.38,0.18
2013-12-01,0.74,1.32,1.61,-0.09,0.47
2014-01-01,0.63,1.17,1.44,-0.09,0.45
2014-02-01,0.55,1.12,1.4,-0.26,0.3
2014-03-01,0.56,1.05,1.33,-0.14,0.37
2014-04-01,0.54,0.98,1.23,-0.11,0.38
2014-05-01,0.37,0.82,1.08,-0.34,0.21
2014-06-01,0.37,0.84,1.11,-0.29,0.23
2014-07-01,0.28,0.72,0.98,-0.27,0.18
2014-08-01,0.22,0.64,0.9,-0.21,0.15
2014-09-01,0.46,0.81,1.05,0.1,0.38
2014-10-01,0.38,0.74,0.96,0.06,0.32
2014-11-01,0.45,0.77,0.99,0.14,0.37
2014-12-01,0.51,0.73,0.89,0.37,0.47
2015-01-01,0.27,0.5,0.66,0.17,0.24
2015-02-01,0.26,0.52,0.73,0.11,0.22
2015-03-01,0.28,0.55,0.73,0.04,0.23
2015-04-01,0.08,0.42,0.65,-0.26,-0.01
2015-05-01,0.33,0.7,0.96,-0.1,0.27
2015-06-01,0.5,0.89,1.13,0.05,0.39
2015-07-01,0.5,0.87,1.11,0.14,0.42
2015-08-01,0.56,0.87,1.08,0.31,0.49
2015-09-01,0.65,1.01,1.24,0.33,0.52
2015-10-01,0.57,0.98,1.22,0.21,0.39
2015-11-01,0.69,1.03,1.25,0.4,0.55
2015-12-01,0.73,1.06,1.26,0.46,0.59
2016-01-01,0.67,1.05,1.26,0.33,0.49
2016-02-01,0.47,0.85,1.09,0.14,0.3
2016-03-01,0.34,0.73,0.99,-0.03,0.16
2016-04-01,0.19,0.6,0.86,-0.22,-0.03
2016-05-01,0.21,0.64,0.86,-0.22,-0.04
2016-06-01,0.17,0.63,0.82,-0.27,-0.07
2016-07-01,0.04,0.42,0.61,-0.32,-0.16
2016-08-01,0.09,0.43,0.62,-0.17,-0.06
2016-09-01,0.12,0.47,0.64,-0.17,-0.05
2016-10-01,0.1,0.49,0.69,-0.26,-0.1
2016-11-01,0.32,0.69,0.86,-0.07,0.11
2016-12-01,0.56,0.89,1.04,0.15,0.36
2017-01-01,0.42,0.74,0.92,0.03,0.27
2017-02-01,0.4,0.73,0.93,0.01,0.29
2017-03-01,0.49,0.79,0.99,0.18,0.42
2017-04-01,0.39,0.72,0.91,0.08,0.28
2017-05-01,0.47,0.8,0.99,0.09,0.29
2017-06-01,0.46,0.75,0.93,0.14,0.32
2017-07-01,0.55,0.84,1.01,0.23,0.42
2017-08-01,0.43,0.74,0.93,0.16,0.35
2017-09-01,0.37,0.67,0.87,0.12,0.31
2017-10-01,0.5,0.77,0.94,0.25,0.42
2017-11-01,0.5,0.72,0.87,0.3,0.43
2017-12-01,0.5,0.68,0.8,0.42,0.48
2018-01-01,0.54,0.69,0.8,0.45,0.51
2018-02-01,0.76,0.89,0.99,0.63,0.73
2018-03-01,0.75,0.89,0.99,0.61,0.71
2018-04-01,0.74,0.85,0.93,0.65,0.72
2018-05-01,0.84,0.92,0.98,0.72,0.82
2018-06-01,0.79,0.87,0.93,0.71,0.76
2018-07-01,0.77,0.84,0.88,0.74,0.76
2018-08-01,0.79,0.86,0.92,0.79,0.79
2018-09-01,0.88,0.95,1,0.89,0.88
2018-10-01,1.04,1.14,1.21,1.01,1.03
2018-11-01,1.11,1.21,1.3,1.1,1.11
2018-12-01,1.02,1.11,1.19,1.08,1.04
2019-01-01,0.92,1.07,1.19,0.91,0.91
2019-02-01,0.8,0.96,1.1,0.73,0.76
2019-03-01,0.66,0.85,1.02,0.56,0.6
2019-04-01,0.6,0.79,0.97,0.49,0.54
2019-05-01,0.57,0.75,0.92,0.48,0.52
2019-06-01,0.37,0.59,0.79,0.28,0.32
2019-07-01,0.31,0.54,0.77,0.25,0.27
2019-08-01,0.04,0.25,0.49,0.11,0.07
2019-09-01,0.11,0.32,0.51,0.17,0.13
2019-10-01,0.15,0.36,0.55,0.12,0.12
2019-11-01,0.17,0.37,0.54,0.09,0.12
2019-12-01,0.14,0.35,0.52,0.06,0.09
2020-01-01,0.04,0.26,0.43,-0.09,-0.04
2020-02-01,-0.11,0.12,0.29,-0.26,-0.2
2020-03-01,-0.12,0.03,0.16,-0.08,-0.13
2020-04-01,-0.45,-0.28,-0.12,-0.37,-0.44
2020-05-01,-0.44,-0.26,-0.08,-0.43,-0.45
2020-06-01,-0.54,-0.28,-0.06,-0.67,-0.62
2020-07-01,-0.83,-0.53,-0.29,-1.03,-0.95
