This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML      RF
200306    2.80    2.27    1.42    0.10
200307    2.07    0.90    2.89    0.07
200308    3.12    2.70    1.12    0.07
200309    4.11    3.33   -0.47    0.08
200310    5.75    0.47    1.52    0.07
200311    1.97   -1.80   -0.49    0.07
200312    6.86   -1.80    0.99    0.08
200401    2.41    3.03    2.24    0.07
200402    2.37    0.56    0.45    0.06
200403    1.20    4.20    0.49    0.09
200404   -2.78    0.50   -0.20    0.08
200405    0.15   -2.10   -0.61    0.06
200406    2.82    2.00    0.75    0.08
200407   -3.57   -0.37    1.89    0.10
200408    0.69   -0.32    1.09    0.11
200409    2.60   -0.24    0.49    0.11
200410    3.75   -0.04    0.16    0.11
200411    6.09    0.64    0.85    0.15
200412    4.14   -0.30    0.97    0.16
200501   -1.29    3.98    1.12    0.16
200502    3.93    0.35    1.19    0.16
200503   -2.13    0.22    1.54    0.21
200504   -2.57    0.15    0.40    0.21
200505   -0.49   -1.94    0.84    0.24
200506    1.88    0.91    0.70    0.23
200507    3.18   -0.16    0.78    0.24
200508    3.17    0.23   -0.42    0.30
200509    3.49   -1.36    0.45    0.29
200510   -3.29    0.88    0.82    0.27
200511    2.17    0.02   -0.70    0.31
200512    5.11    2.42   -1.81    0.32
200601    5.74    0.54    1.45    0.35
200602   -0.52   -0.92    2.20    0.34
200603    3.27    0.70    0.22    0.37
200604    4.58    0.14    0.01    0.36
200605   -4.67   -1.54    0.58    0.43
200606   -0.79   -2.28   -0.25    0.40
200607    0.19   -2.75    2.27    0.40
200608    2.46   -0.23   -0.45    0.42
200609   -0.38   -0.96    0.93    0.41
200610    3.46   -0.62   -0.35    0.41
200611    2.70    0.21    0.43    0.42
200612    2.66   -0.31    0.62    0.40
200701    0.61    1.71    1.07    0.44
200702    0.54    1.14    0.66    0.38
200703    2.49    0.09    0.72    0.43
200704    3.75   -0.12    1.64    0.44
200705    1.92   -0.57    0.79    0.41
200706    0.00    1.20    0.37    0.40
200707   -1.42    1.70    0.06    0.40
200708   -2.60   -4.77    0.34    0.42
200709    5.29   -2.27   -1.57    0.32
200710    4.31    0.64   -2.72    0.32
200711   -4.61   -3.61   -0.34    0.34
200712   -2.05   -0.90    1.65    0.27
200801   -8.88   -0.71    1.52    0.21
200802    2.09    2.32   -1.19    0.13
200803   -1.54   -1.54    2.80    0.17
200804    5.18   -3.30   -0.78    0.18
200805    1.76    1.28   -1.25    0.18
200806   -7.91    1.46    0.15    0.17
200807   -4.07   -2.10    2.33    0.15
200808   -4.57   -1.64    0.24    0.13
200809  -14.43   -1.39    2.52    0.15
200810  -21.11   -1.99    0.96    0.08
200811   -5.44    1.02   -0.70    0.03
