cmtcode,date,value
2000003,1951-07-31,1.9480121073298E-01
2000003,1951-08-31,2.0039032973870E-01
2000003,1951-09-28,6.6713516699552E-02
2000003,1951-10-31,1.8777821610178E-01
2000003,1951-11-30,1.6124737765126E-01
2000003,1951-12-31,4.8914812411357E-02
2000003,1952-01-31,4.3408711583638E-01
2000003,1952-02-29,2.0453147780903E-01
2000003,1952-03-31,2.4696504570820E-01
2000003,1952-04-30,1.8136239629869E-01
2000003,1952-05-29,8.8689543516797E-02
2000003,1952-06-30,6.4427056832095E-02
2000003,1952-07-31,1.0907932067067E-01
2000003,1952-08-29,1.0497245174521E-01
2000003,1952-09-30,1.9903013096445E-01
2000003,1952-10-31,3.0756544803780E-01
2000003,1952-11-28,3.8102206820443E-02
2000003,1952-12-31,2.7723529025589E-01
2000003,1953-01-30,3.0277439145991E-01
2000003,1953-02-27,1.0649829792898E-01
2000003,1953-03-31,1.2059169222357E-01
2000003,1953-04-30,-6.0141332130512E-02
2000003,1953-05-29,7.7615328856493E-02
2000003,1953-06-30,3.9618545178931E-01
2000003,1953-07-31,3.1554406399258E-01
2000003,1953-08-31,2.3695533861695E-01
2000003,1953-09-30,5.8897138281945E-01
2000003,1953-10-30,5.4034053574732E-01
2000003,1953-11-30,2.2030456852794E-01
2000003,1953-12-31,1.8520176973823E-01
2000003,1954-01-29,8.4268987570024E-01
2000003,1954-02-26,4.2795665597766E-01
2000003,1954-03-31,1.7714000188972E-01
2000003,1954-04-30,3.4965985700907E-01
2000003,1954-05-28,-3.1245422206935E-02
2000003,1954-06-30,1.9484825647937E-01
2000003,1954-07-30,1.8526973569888E-01
2000003,1954-08-31,-3.3954601689000E-02
2000003,1954-09-30,-3.2427054061852E-02
2000003,1954-10-29,-4.8126353553696E-02
2000003,1954-11-30,8.9228142892966E-02
2000003,1954-12-31,-7.4915874906574E-03
2000003,1955-01-31,-3.3587730216943E-01
2000003,1955-02-28,-5.1162455864848E-01
2000003,1955-03-31,2.3094972616125E-01
2000003,1955-04-29,3.3298699868536E-03
2000003,1955-05-31,1.7246819637220E-01
2000003,1955-06-30,2.2619489301192E-01
2000003,1955-07-29,3.3347805043647E-02
2000003,1955-08-31,2.3986048288934E-02
2000003,1955-09-30,2.2554759822074E-01
2000003,1955-10-31,1.8388380552987E-01
2000003,1955-11-30,-2.9132913393321E-01
2000003,1955-12-30,1.7674180327869E-01
2000003,1956-01-31,6.2157208774096E-01
2000003,1956-02-29,4.0889291398739E-02
