This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19900702   0.79   0.69   0.50   0.93   0.69   0.54
19900703   0.39   0.25   0.13   0.20   0.25   0.13
19900704   0.62   0.46   0.35   0.64   0.72   0.60
19900705  -0.56  -0.41  -0.41  -0.77  -0.87  -0.61
19900706   0.05   0.05   0.03   0.18   0.19   0.30
19900709   0.46   0.42   0.34   0.22   0.16   0.35
19900710   0.56   0.13   0.20   0.21   0.10   0.06
19900711  -0.17  -0.15  -0.08   0.64   0.38   0.11
19900712   0.62   0.47   0.40   0.71   0.60   0.48
19900713   0.52   0.27   0.16   0.82   0.89   0.75
19900716   0.38   0.24   0.18   0.59   0.58   0.73
19900717   0.07   0.19   0.19  -0.03   0.12   0.09
19900718   0.02  -0.15  -0.14  -0.24  -0.17  -0.05
19900719  -0.23  -0.10  -0.29  -0.17  -0.13  -0.52
19900720  -0.24  -0.04  -0.19  -1.12  -0.80  -0.72
19900723  -1.00  -0.77  -0.69  -1.26  -0.93  -0.77
19900724  -0.24  -0.22  -0.32  -0.46  -0.42  -0.61
19900725   0.15   0.17   0.22  -0.01   0.04   0.25
19900726  -0.13  -0.09  -0.05  -0.76  -0.73  -0.61
19900727  -0.25  -0.04  -0.03  -1.18  -0.53  -0.49
19900730  -0.28  -0.16  -0.21   0.09   0.10   0.09
19900731   0.86   0.77   0.69   1.47   1.59   1.21
19900801  -0.30  -0.28  -0.42  -0.42  -0.47  -0.61
19900802  -1.50  -1.13  -1.26  -1.96  -1.59  -2.00
19900803  -1.46  -1.42  -1.32  -1.68  -1.67  -1.76
19900806  -2.91  -2.50  -2.51  -3.35  -3.05  -3.40
19900807  -1.19  -0.93  -0.69  -0.44  -0.62  -0.95
19900808   0.11  -0.03   0.20   1.05   0.55   0.68
19900809   0.56   0.17   0.06  -0.01  -0.21  -0.22
19900810  -0.59  -0.41  -0.31  -0.89  -0.62  -0.54
19900813  -0.98  -0.77  -0.62  -0.77  -1.20  -1.43
19900814   0.54   0.33   0.31   1.04   0.83   1.05
19900815   1.15   0.73   0.92   2.14   2.20   2.51
19900816  -0.73  -0.62  -0.52  -1.71  -1.39  -1.39
19900817  -1.27  -1.09  -0.94  -1.38  -1.22  -1.50
19900820  -1.23  -1.37  -1.01  -0.61  -0.56  -0.68
19900821  -1.69  -1.63  -1.33  -1.50  -1.40  -1.53
19900822  -1.50  -1.14  -0.97  -2.06  -1.41  -1.20
19900823  -3.13  -2.53  -2.35  -4.23  -3.55  -3.18
19900824  -0.77  -0.38  -0.58   1.28   0.57   1.07
19900827   2.44   2.05   1.75   3.80   3.44   3.50
19900828   1.67   1.30   0.94   1.49   1.10   1.30
19900829  -0.04  -0.05   0.02  -0.46  -0.27  -0.70
19900830  -0.38  -0.19  -0.28  -0.11   0.17   0.55
19900831   0.29  -0.05  -0.15   1.00   0.35  -0.12
19900903  -0.37  -0.49  -0.43  -0.79  -0.80  -0.79
19900904  -0.78  -0.50  -0.54  -0.85  -0.86  -1.23
19900905   0.36   0.53   0.28  -0.17   0.10  -0.08
19900906  -0.51  -0.43  -0.34  -0.65  -0.64  -0.55
19900907  -0.55  -0.51  -0.45   0.38   0.17   0.38
19900910   0.35   0.06   0.04   1.24   1.32   1.29
19900911  -0.41  -0.40  -0.22  -0.83  -0.90  -0.92
19900912   0.74   0.60   0.40   1.33   1.65   1.30
19900913   0.30   0.12   0.03  -0.29  -0.06  -0.26
19900914  -0.22  -0.27  -0.35  -0.42  -0.54  -0.66
19900917  -0.38  -0.32  -0.39  -0.75  -0.71  -0.73
19900918  -1.04  -0.87  -0.82  -1.26  -1.24  -1.02
19900919  -1.11  -1.10  -0.93  -1.26  -0.94  -0.98
19900920  -1.70  -1.52  -1.40  -1.78  -1.57  -1.55
19900921  -1.34  -1.37  -1.04  -0.33  -0.36  -0.26
19900924  -0.77  -0.64  -0.46  -0.64  -0.55  -0.57
19900925  -0.77  -0.95  -0.87  -1.35  -1.47  -1.64
19900926  -1.33  -0.94  -0.94  -2.01  -1.74  -1.99
19900927  -1.52  -0.91  -0.97  -1.62  -1.14  -1.26
19900928  -0.51  -0.49  -0.42  -0.38  -0.79  -1.13
19901001   0.30   0.72   0.34   1.30   0.81   1.42
19901002   0.58   0.73   0.95   3.44   3.81   4.16
19901003   0.61   0.40   0.35   0.11   0.11   0.14
19901004   0.41   0.49   0.15   0.15   0.20   0.43
19901005   0.73   0.23   0.21   1.24   1.18   1.14
19901008   1.98   1.88   1.43   2.62   2.85   2.35
19901009  -0.37  -0.58  -0.65  -1.10  -1.04  -1.21
19901010  -0.71  -0.89  -0.79  -0.76  -0.92  -0.68
19901011  -1.54  -1.11  -0.97  -1.86  -1.65  -1.73
19901012   0.14   0.10   0.13   0.68   0.87   0.69
19901015   0.01  -0.01  -0.42   1.76   1.28   0.76
19901016   0.67   0.31   0.25   0.29   0.53   0.75
19901017   0.45   0.09  -0.16   1.17   0.95   0.64
19901018   1.41   0.92   0.76   2.57   1.57   0.93
19901019   1.08   0.70   0.32   1.63   1.13   1.11
19901022   0.49   0.08  -0.01   1.53   0.87   0.80
19901023   0.30   0.28   0.34  -0.20  -0.22   0.01
19901024   0.13   0.41   0.27  -0.55  -0.39  -0.32
19901025   0.74   0.35   0.38   1.17   0.54   0.49
19901026  -0.94  -0.72  -1.01  -1.66  -1.53  -1.66
19901029  -0.41  -0.30  -0.45  -0.33  -0.16  -0.19
19901030  -0.61  -0.42  -0.56  -0.38  -0.48  -0.80
19901031  -0.30  -0.16  -0.20  -0.58  -0.27  -0.40
19901101  -0.83  -0.48  -0.57  -1.66  -1.17  -1.11
19901102   0.18   0.35   0.28   1.36   0.90   0.80
19901105   1.38   1.00   0.94   1.72   1.45   1.24
19901106  -0.43  -0.28  -0.08  -0.91  -0.74  -0.82
19901107  -0.95  -0.43  -0.52  -1.75  -1.59  -1.32
19901108  -1.33  -0.97  -0.66  -1.57  -1.16  -1.37
19901109  -0.42   0.05  -0.03   0.47   0.36   0.45
19901112   0.91   0.55   0.58   1.21   1.04   1.17
19901113   0.73   0.52   0.60   1.34   1.10   1.18
19901114   0.50   0.26   0.30   0.35  -0.07  -0.09
19901115  -0.61  -0.24  -0.35  -1.09  -0.69  -0.50
19901116  -0.12   0.18   0.24  -0.65  -0.31  -0.21
19901119   0.47   0.34   0.22   1.25   1.15   0.95
19901120  -0.45  -0.31  -0.29  -0.95  -0.65  -0.74
19901121  -0.45  -0.24  -0.22  -0.39  -0.24  -0.39
19901122   0.28   0.27   0.07   1.11   1.17   0.84
19901123  -0.06   0.06   0.04  -0.06   0.03  -0.01
19901126  -0.28  -0.29  -0.28  -0.30  -0.12  -0.57
19901127   0.68   0.49   0.32   0.22   0.14   0.22
19901128  -0.72  -0.57  -0.48  -1.43  -1.40  -1.43
19901129  -1.40  -1.06  -1.02  -1.80  -1.80  -1.88
19901130  -0.46  -0.13   0.00   0.26   0.15   0.03
19901203   0.02  -0.05   0.09   0.42   0.28   0.46
19901204  -0.04   0.21   0.20  -0.65  -0.59  -0.51
19901205   0.15   0.21   0.55   0.72   0.90   0.91
19901206   0.85   0.96   0.98   1.87   1.61   1.61
19901207   1.43   1.12   1.03   2.36   2.04   2.04
19901210   0.34   0.40   0.03   0.33   0.19   0.04
19901211  -0.22  -0.39  -0.44  -0.16  -0.22  -0.39
19901212   0.59   0.35   0.36   0.90   0.57   0.33
19901213   0.36   0.11   0.12   0.79   0.65   0.57
19901214  -0.37  -0.52  -0.43  -0.80  -0.83  -1.14
19901217  -0.70  -0.75  -0.93  -1.13  -1.03  -1.20
19901218  -0.18   0.15   0.16   0.76   0.64   0.71
19901219   0.32  -0.05   0.23   0.53   0.52   0.23
19901220  -1.05  -1.31  -0.90  -1.41  -1.62  -1.65
19901221  -0.85  -0.76  -0.67  -0.96  -0.94  -0.95
19901224  -0.55  -0.44  -0.46  -0.56  -0.50  -0.54
19901225  -0.32  -0.13  -0.13  -0.83  -0.71  -0.79
19901226   0.15   0.16   0.17   0.21   0.37   0.17
19901227   0.13   0.11  -0.11   0.02  -0.07  -0.08
19901228   0.79   0.89   0.79   0.63   0.67   0.71
19901231   0.44   0.50   0.52   0.13  -0.02  -0.18
19910101   0.08   0.05   0.04   0.18   0.16   0.16
19910102  -0.29  -0.05   0.27  -0.40  -0.23  -0.09
19910103  -0.32  -0.49  -0.22  -0.23  -0.03   0.19
19910104  -0.71  -0.47  -0.38  -0.51  -0.44  -0.76
19910107  -1.78  -1.59  -1.55  -2.24  -2.09  -2.00
19910108  -0.94  -1.08  -0.71  -1.41  -1.27  -1.14
19910109  -0.03   0.03  -0.06   0.42   0.78   0.89
19910110  -0.35  -0.24  -0.13   0.42   0.03  -0.06
19910111  -0.03  -0.06  -0.13   0.47   0.31   0.39
19910114  -1.44  -1.40  -1.28  -0.86  -1.16  -1.27
19910115  -0.21  -0.36  -0.40  -0.16  -0.27  -0.24
19910116  -0.33  -0.20  -0.26  -0.91  -1.05  -1.03
19910117   2.91   2.81   2.60   5.29   4.97   5.30
19910118   0.74   0.40   0.21   1.08   1.02   0.93
19910121   0.15   0.12   0.13  -0.58  -0.45  -0.31
19910122  -0.30  -0.33  -0.18  -0.15  -0.49  -0.50
19910123  -0.03   0.26   0.21  -0.22  -0.38  -0.35
19910124   0.56   0.67   0.53   1.47   1.09   1.03
19910125   0.56   0.48   0.44   0.89   0.56   0.54
19910128   0.45   0.48   0.54   0.12   0.14   0.35
19910129   0.34   0.40   0.41   0.07   0.07   0.28
19910130   0.91   0.96   0.89   0.64   0.57   0.90
19910131   1.09   0.97   1.12   0.69   0.66   0.73
19910201   0.59   0.64   0.70  -0.31  -0.10   0.14
19910204   1.00   1.04   1.35   1.16   0.97   1.28
19910205   1.53   1.37   1.50   1.89   1.75   1.91
19910206   1.67   1.33   1.18   1.88   1.70   1.11
19910207   0.19   0.25   0.18   0.16   0.84   0.52
19910208   0.57   0.30   0.27   0.60   0.67   0.75
19910211   1.17   1.36   1.43   1.46   1.38   1.49
19910212   0.88   0.54   0.51   0.72   0.59   0.53
19910213   1.16   0.68   0.79   0.49   0.50   0.48
19910214   0.53   0.28   0.32  -0.38  -0.33   0.13
19910215   0.29   0.43   0.51   0.29   0.09   0.70
19910218   1.19   0.80   0.77   1.33   1.41   1.73
19910219   0.10   0.16   0.10  -0.15  -0.30  -0.42
