This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoOP,LoBM_HiOP,HiBM_LoOP,HiBM_HiOP
199605  ,-3.01  ,-2.74  ,-1.88  ,-3.34
199606  ,-1.56   ,0.79  ,-0.46   ,0.97
199607   ,1.43  ,-1.33  ,-2.62  ,-3.50
199608   ,2.14   ,2.30   ,1.09   ,0.81
199609   ,3.87   ,1.94   ,1.54   ,1.41
199610  ,-0.74  ,-0.45  ,-1.04  ,-0.06
199611   ,0.62  ,-0.59   ,1.35   ,1.30
199612  ,-3.82  ,-1.52  ,-0.72   ,0.03
199701   ,5.75   ,7.11   ,6.16   ,6.92
199702   ,4.36   ,3.85   ,4.25   ,3.59
199703  ,-0.78  ,-0.29  ,-1.52  ,-0.29
199704   ,0.64  ,-1.84  ,-0.05  ,-0.94
199705   ,0.12   ,0.36  ,-0.19   ,0.71
199706   ,0.49   ,3.85   ,2.00   ,2.41
199707  ,-1.12   ,0.64   ,0.57  ,-0.05
199708  ,-7.53 ,-10.18  ,-9.08  ,-9.32
199709  ,-4.22  ,-2.12  ,-1.25  ,-2.05
199710 ,-22.60 ,-17.61 ,-13.75 ,-11.96
199711 ,-21.30 ,-15.35 ,-13.29 ,-12.26
199712 ,-24.39 ,-16.56 ,-11.65  ,-9.57
199801  ,18.51   ,8.61  ,-0.73  ,-3.74
199802  ,16.47  ,21.04  ,20.48  ,20.08
199803   ,8.70   ,3.49   ,9.32   ,7.93
199804 ,-10.94  ,-6.37  ,-0.82  ,-1.12
199805 ,-15.43 ,-11.11  ,-9.61  ,-8.60
199806 ,-13.88 ,-13.95 ,-12.69 ,-12.32
199807   ,2.73   ,2.25   ,5.71   ,2.66
199808 ,-17.47 ,-16.45 ,-13.83 ,-15.73
199809   ,4.58   ,3.71   ,6.55   ,7.30
199810   ,5.67   ,4.75  ,11.31   ,5.63
199811   ,9.54  ,10.73  ,22.74  ,19.53
199812   ,1.76   ,3.76   ,4.38   ,2.21
199901  ,-1.15  ,-0.70   ,1.49  ,-3.79
199902  ,-2.12   ,0.28  ,-2.66  ,-0.89
199903   ,9.12   ,9.15   ,8.27   ,8.87
199904  ,11.82   ,9.37  ,14.98  ,15.26
199905   ,9.35   ,7.17  ,10.46  ,10.02
199906  ,15.88  ,12.19  ,18.98  ,16.18
199907   ,3.12   ,0.12   ,2.08  ,-0.49
199908   ,5.03   ,2.98   ,7.70   ,2.38
199909  ,-5.69  ,-3.48  ,-3.55  ,-3.24
199910   ,8.34   ,4.42   ,3.30   ,4.40
199911  ,11.59   ,7.92   ,3.40   ,4.95
199912   ,7.65  ,12.77   ,7.86   ,9.19
200001   ,4.59   ,3.75   ,8.55   ,6.20
200002   ,6.97   ,5.24   ,1.92   ,5.07
200003  ,-0.77   ,3.15   ,3.54   ,5.00
200004 ,-12.17 ,-11.41  ,-8.30  ,-5.71
200005  ,-3.18  ,-3.85  ,-3.31  ,-5.54
200006   ,0.80   ,0.39   ,0.34  ,-0.16
200007  ,-8.69  ,-7.36  ,-2.60  ,-1.80
200008  ,-0.74   ,1.43   ,1.23   ,3.14
200009 ,-11.75 ,-11.14  ,-7.92  ,-7.20
200010 ,-12.71 ,-11.14  ,-8.85  ,-5.98
200011  ,-7.29  ,-5.77  ,-3.44  ,-3.54
200012  ,-7.98  ,-6.10  ,-1.60  ,-1.97
200101  ,23.00  ,19.18  ,12.38   ,9.69
200102  ,-4.83  ,-3.33  ,-0.21  ,-2.19
200103 ,-10.08  ,-8.63  ,-7.81  ,-6.54
200104   ,3.70   ,3.51   ,0.79   ,2.11
200105  ,-1.31   ,1.74   ,3.87   ,4.58
200106  ,-4.63  ,-3.39  ,-0.06   ,2.03
200107  ,-7.83  ,-5.17  ,-4.07  ,-2.23
200108  ,-4.94  ,-1.03   ,2.06   ,2.67
200109 ,-17.39 ,-13.92 ,-13.20 ,-12.60
200110  ,13.46   ,6.46   ,5.54   ,6.15
200111   ,9.41   ,9.72  ,11.45  ,12.67
200112   ,1.76   ,5.17   ,5.30   ,5.60
200201   ,4.54   ,3.94   ,7.12   ,5.76
200202  ,-1.68  ,-0.86   ,1.34   ,1.05
200203   ,5.91   ,6.61   ,7.67   ,7.28
200204  ,-5.66  ,-0.43   ,4.36   ,3.89
200205  ,-0.98  ,-0.85   ,0.01   ,0.27
200206 ,-10.20  ,-6.30  ,-1.66  ,-2.50
200207  ,-5.95  ,-3.38  ,-3.87  ,-3.22
200208   ,0.19   ,1.50   ,0.18   ,1.96
200209 ,-12.74  ,-9.12 ,-11.21  ,-8.36
200210   ,4.29   ,4.60   ,3.58   ,4.99
200211   ,4.83   ,5.43   ,4.96   ,8.39
200212  ,-4.29  ,-1.17  ,-1.01  ,-1.67
200301   ,0.13   ,0.84   ,3.18   ,1.31
200302  ,-2.95  ,-2.22  ,-2.69  ,-0.31
200303  ,-7.08  ,-3.34  ,-5.30  ,-4.60
200304   ,7.68   ,6.66   ,9.51  ,11.07
200305   ,7.77   ,7.42  ,11.20   ,9.27
200306   ,6.76   ,6.72   ,8.70   ,6.49
200307   ,3.09   ,8.45   ,5.55   ,6.13
200308   ,3.16   ,6.20   ,5.16   ,6.87
200309  ,-0.36   ,2.81   ,1.58   ,3.73
200310   ,5.32   ,4.59   ,4.68   ,6.88
200311   ,1.28   ,2.19   ,3.47   ,4.43
200312   ,6.96   ,6.86   ,9.33  ,10.77
200401   ,0.16   ,1.80   ,2.23   ,2.07
200402   ,0.38   ,3.49   ,3.02   ,2.84
200403  ,-0.47  ,-0.03   ,0.83   ,1.42
200404  ,-2.54  ,-2.84   ,0.25  ,-0.25
200405  ,-4.76  ,-5.26  ,-5.50  ,-5.34
200406  ,-2.43  ,-1.24  ,-1.19  ,-0.26
200407  ,-3.19  ,-0.59   ,0.48   ,2.65
200408   ,2.29   ,4.16   ,4.06   ,5.27
200409   ,4.44   ,4.93   ,6.58   ,7.29
200410   ,1.44   ,1.48   ,2.59   ,2.76
200411   ,8.94   ,8.06  ,10.14  ,11.15
200412   ,4.61   ,5.39   ,7.15   ,7.72
200501   ,9.17   ,1.60   ,7.51   ,2.57
200502   ,6.94   ,6.61   ,8.98   ,7.69
200503  ,-5.06  ,-4.16  ,-3.38  ,-2.03
200504  ,-4.76  ,-2.61  ,-1.95  ,-0.66
200505   ,1.47   ,1.65   ,3.79   ,4.04
200506   ,4.68   ,2.35   ,4.97   ,3.65
200507  ,10.09   ,7.78   ,7.12   ,5.79
200508   ,0.97   ,1.44   ,1.65   ,2.09
200509   ,5.95   ,4.35   ,4.05   ,4.22
200510  ,-1.80  ,-5.01  ,-2.62  ,-5.31
200511  ,10.53   ,6.63   ,7.23   ,5.75
200512   ,4.75   ,6.99   ,6.01   ,6.12
200601  ,10.27   ,6.59   ,7.75   ,7.02
200602   ,2.27   ,1.09   ,1.73   ,1.41
200603   ,2.72   ,3.14   ,3.09   ,3.35
200604   ,6.53   ,7.03   ,9.65  ,10.35
200605 ,-10.16  ,-8.79  ,-6.45  ,-5.72
200606  ,-6.40  ,-5.44  ,-4.29  ,-5.03
200607  ,-0.74   ,1.32   ,0.32   ,0.07
200608   ,2.44   ,5.03   ,3.89   ,5.50
200609   ,4.66   ,2.79   ,3.79   ,4.81
200610   ,4.91   ,5.80   ,6.56   ,6.23
200611   ,8.56   ,6.51   ,9.00   ,7.06
200612   ,1.40   ,3.48   ,4.56   ,3.78
200701   ,1.82   ,1.98   ,3.99   ,3.81
200702   ,2.25   ,2.02   ,3.74   ,1.39
200703   ,5.23   ,4.49   ,5.49   ,3.81
200704   ,6.46   ,5.59   ,8.10   ,7.89
200705   ,7.87   ,4.72   ,8.38   ,5.60
200706   ,5.31   ,5.18   ,6.29   ,4.62
200707   ,5.51   ,5.95   ,7.70   ,5.30
200708  ,-6.29  ,-5.29  ,-4.21  ,-3.93
200709   ,4.95   ,6.80   ,7.63   ,8.11
200710   ,3.09   ,5.15   ,3.39   ,4.61
200711  ,-7.42  ,-5.44  ,-3.18  ,-1.39
200712  ,-0.11   ,2.88   ,6.06  ,10.60
200801 ,-12.19 ,-12.82 ,-10.03 ,-11.35
200802   ,6.82   ,5.49   ,4.29   ,2.00
200803  ,-7.13  ,-4.71  ,-5.76  ,-6.88
200804   ,2.31   ,4.66   ,5.75   ,7.12
200805  ,-0.84  ,-1.15  ,-0.60  ,-2.91
200806 ,-11.22 ,-11.35  ,-9.33 ,-10.42
200807  ,-3.35  ,-2.14  ,-0.69   ,0.91
200808  ,-9.57  ,-6.78  ,-6.32  ,-4.24
200809 ,-17.18 ,-16.35 ,-15.68 ,-15.98
200810 ,-30.24 ,-26.01 ,-25.69 ,-25.69
200811  ,-7.59  ,-9.09  ,-7.82  ,-8.59
200812   ,9.44   ,6.54  ,10.58   ,9.03
200901  ,-5.38  ,-5.34  ,-3.69  ,-3.88
200902  ,-4.31  ,-3.30  ,-4.38  ,-3.84
200903  ,13.92  ,12.61  ,11.22   ,9.13
200904  ,21.44  ,20.72  ,20.72  ,19.98
200905  ,18.90  ,21.63  ,21.56  ,28.09
200906  ,-1.06  ,-0.40   ,0.42  ,-0.41
200907  ,10.22   ,8.49   ,9.61   ,9.58
200908   ,1.14   ,3.53   ,4.50   ,6.69
200909   ,5.84   ,7.80   ,8.46   ,9.43
200910  ,-1.04   ,0.24   ,0.55   ,0.11
200911   ,0.13   ,3.23   ,3.51   ,4.66
200912   ,5.11   ,5.25   ,6.81   ,8.47
201001   ,0.32  ,-0.67   ,1.26   ,2.05
201002   ,1.01   ,1.18   ,0.57   ,1.13
201003   ,5.00   ,7.23   ,7.71   ,8.42
201004   ,2.66   ,2.82   ,5.71   ,7.29
201005 ,-10.42  ,-8.91  ,-9.67  ,-8.93
201006   ,0.14   ,1.08   ,1.96   ,2.88
201007   ,5.70   ,6.63   ,7.32   ,7.05
201008  ,-0.92   ,0.33   ,0.19   ,0.75
201009  ,10.00  ,10.42   ,9.90  ,10.64
201010   ,2.38   ,2.79   ,4.54   ,4.69
201011  ,-3.20  ,-1.74  ,-4.20  ,-4.21
201012   ,4.42   ,5.12   ,5.89   ,5.65
201101  ,-1.48  ,-1.77  ,-2.47  ,-4.20
201102  ,-3.23  ,-2.43  ,-2.83  ,-2.86
201103   ,3.49   ,3.86   ,3.64   ,4.13
201104   ,3.98   ,4.96   ,5.15   ,5.96
201105  ,-3.78  ,-2.14  ,-3.26  ,-2.76
201106  ,-1.60  ,-1.22  ,-0.89  ,-0.69
201107   ,2.29   ,2.00   ,3.16   ,2.50
201108 ,-10.72  ,-8.79  ,-9.68 ,-10.67
201109 ,-13.66 ,-13.22 ,-12.05 ,-10.15
201110   ,9.64   ,9.11   ,7.74   ,6.38
201111  ,-7.50  ,-6.63  ,-6.95  ,-8.78
201112  ,-1.76  ,-2.28  ,-1.47  ,-3.23
201201  ,11.06  ,11.11  ,13.07  ,15.77
201202   ,8.31   ,8.06   ,8.46   ,6.97
201203  ,-3.98  ,-1.64  ,-3.21  ,-3.19
201204  ,-2.62  ,-2.07  ,-1.74  ,-0.91
201205  ,-9.95  ,-8.55  ,-8.22  ,-9.09
201206   ,3.34   ,3.25   ,3.34   ,3.55
201207  ,-1.99   ,0.29  ,-0.15  ,-0.26
201208   ,2.33   ,3.03   ,1.68   ,0.78
201209   ,5.25   ,5.60   ,7.01   ,8.36
201210  ,-0.56  ,-0.73  ,-0.57  ,-0.51
201211  ,-0.55   ,1.43   ,0.38   ,0.99
201212   ,2.98   ,3.68   ,3.43   ,2.97
201301   ,2.07   ,1.80   ,2.69   ,2.19
201302   ,0.43   ,0.21  ,-1.11  ,-4.05
201303  ,-2.09  ,-0.40  ,-0.91  ,-1.64
201304   ,0.29   ,1.56   ,2.56   ,2.07
201305  ,-0.60  ,-1.20   ,0.80  ,-1.32
201306  ,-7.63  ,-5.48  ,-7.22  ,-7.29
201307   ,2.59   ,2.34   ,0.51  ,-0.36
201308  ,-4.26  ,-3.80  ,-3.82  ,-4.31
201309   ,8.14   ,6.74   ,7.96   ,7.72
201310   ,3.04   ,3.29   ,4.98   ,5.07
201311  ,-0.97  ,-1.55  ,-1.15  ,-0.23
201312  ,-0.03   ,0.96   ,1.75   ,2.63
201401  ,-1.02  ,-3.36  ,-1.49  ,-2.40
201402   ,4.94   ,4.78   ,4.80   ,4.89
201403   ,1.48   ,3.06   ,3.38   ,5.77
201404   ,1.36   ,1.01   ,3.34   ,4.01
201405   ,3.07   ,3.22   ,6.76   ,9.55
201406   ,1.76   ,2.81   ,5.14   ,6.41
201407  ,-0.58   ,0.62   ,0.43   ,1.68
201408   ,1.55   ,2.24   ,1.85   ,3.02
201409  ,-1.66  ,-3.03  ,-1.16  ,-0.38
201410  ,-1.12  ,-2.08  ,-1.06  ,-0.74
201411  ,-2.11  ,-1.26  ,-1.30   ,0.29
201412  ,-2.39  ,-2.08  ,-3.15  ,-2.92
201501   ,1.38   ,1.13   ,1.94   ,2.54
201502   ,2.90   ,2.40   ,2.67   ,1.94
201503   ,0.05  ,-0.35  ,-1.86  ,-1.75
201504   ,7.24   ,5.77   ,7.03   ,5.22
201505  ,-0.57  ,-1.33  ,-0.98  ,-1.00
201506  ,-1.27  ,-1.99  ,-1.81  ,-2.06
201507  ,-5.43  ,-3.20  ,-1.12  ,-0.13
201508  ,-9.29  ,-7.40  ,-9.44  ,-8.05
201509   ,2.53   ,0.09   ,1.04   ,0.65
201510   ,6.56   ,4.78   ,6.68   ,6.35
201511  ,-0.84  ,-1.45  ,-0.75  ,-1.15
201512  ,-0.04  ,-0.37   ,2.46   ,2.18
201601  ,-5.78  ,-4.90  ,-5.48  ,-5.36
201602  ,-1.50  ,-0.13  ,-2.06  ,-1.59
201603  ,11.32  ,10.81  ,10.30  ,11.95
201604   ,1.33   ,1.82   ,3.24   ,4.20
201605  ,-2.90  ,-3.13  ,-3.15  ,-3.13
201606   ,2.09   ,2.90   ,3.75   ,4.03
201607   ,3.92   ,4.21   ,5.46   ,5.64
201608  ,-1.09   ,0.64   ,1.48   ,2.59
201609   ,1.79   ,1.67   ,1.89   ,2.10
201610  ,-3.69  ,-1.33   ,2.44   ,2.41
201611  ,-5.63  ,-6.16  ,-5.31  ,-5.64
201612   ,1.16   ,1.62   ,1.20   ,1.83
201701   ,2.84   ,4.54   ,6.25   ,6.42
201702   ,2.71   ,3.06   ,4.70   ,3.83
201703   ,1.90   ,2.97   ,3.96   ,4.73
201704   ,0.19   ,2.10   ,3.00   ,3.10
201705   ,1.97   ,2.10  ,-0.01   ,1.20
201706  ,-0.93   ,0.80   ,0.72   ,1.46
201707   ,0.71   ,3.40   ,2.96   ,3.62
201708  ,-0.36   ,0.78   ,0.36   ,0.47
201709  ,-1.58  ,-0.85  ,-0.03  ,-0.48
201710   ,2.64   ,2.93   ,3.98   ,3.80
201711   ,2.76   ,2.00   ,1.85   ,1.18
201712   ,3.73   ,3.80   ,3.75   ,4.01
201801   ,6.78   ,4.76   ,5.56   ,4.74
201802  ,-2.97  ,-2.97  ,-3.28  ,-3.08
201803   ,0.89  ,-1.02  ,-2.07  ,-2.44
201804  ,-0.40  ,-1.45   ,0.56   ,0.11
201805  ,-4.31  ,-3.80  ,-2.98  ,-3.85
201806  ,-5.55  ,-4.11  ,-5.78  ,-5.67
201807  ,-1.16   ,0.92   ,0.29   ,1.75
201808  ,-1.05  ,-2.79  ,-1.79  ,-2.70
201809  ,-1.39  ,-3.62  ,-2.99  ,-3.04
201810 ,-12.28  ,-9.19  ,-7.68  ,-6.88
201811   ,5.62   ,4.67   ,5.32   ,5.13
201812  ,-1.62  ,-1.14  ,-0.19  ,-0.88
201901   ,5.14   ,4.18   ,3.63   ,4.09
201902   ,0.34   ,1.62   ,0.45   ,0.70
201903  ,-0.06   ,1.96   ,1.34   ,2.74
201904   ,0.02   ,0.33   ,0.13   ,0.29
201905  ,-5.04  ,-4.04  ,-3.73  ,-4.11
201906   ,2.94   ,3.06   ,1.75   ,1.93
201907  ,-4.43  ,-1.65  ,-3.07  ,-3.99
201908  ,-3.46  ,-3.29  ,-4.03  ,-5.11
201909   ,2.47   ,3.30   ,2.69   ,3.37
201910   ,3.60   ,3.17   ,1.16   ,1.75
201911  ,-1.13  ,-0.38  ,-0.28  ,-0.49
201912   ,4.28   ,6.19   ,4.26   ,5.25
202001  ,-2.33  ,-0.90  ,-1.45  ,-1.56
202002  ,-6.66  ,-6.17  ,-6.95  ,-7.94
202003 ,-14.49 ,-18.57 ,-19.34 ,-22.23
202004  ,17.34  ,15.64  ,15.37  ,16.21
202005   ,5.31   ,4.75   ,2.99   ,2.39
202006   ,8.11   ,5.83  ,11.10  ,10.49



  Average Value Weighted Returns -- Annual
,LoBM_LoOP,LoBM_HiOP,HiBM_LoOP,HiBM_LoBM
1992   ,4.51  ,12.73   ,2.78  ,15.87
1993  ,83.96  ,65.12 ,113.25 ,116.14
1994 ,-15.27 ,-14.32  ,-8.62 ,-11.12
1995 ,-10.09  ,-1.77  ,-5.14  ,-1.73
1996  ,12.43   ,5.45  ,13.57  ,11.04
1997 ,-22.91 ,-14.52 ,-18.14  ,-4.92
1998 ,-25.55 ,-17.41 ,-18.49 ,-19.79
1999  ,64.67  ,74.46  ,53.98  ,68.89
2000 ,-43.01 ,-30.38 ,-33.04 ,-24.20
2001 ,-13.72  ,-1.59   ,0.74   ,0.92
2002 ,-20.32  ,-7.99  ,-0.86  ,-3.34
2003  ,44.15  ,47.83  ,64.96  ,70.26
2004  ,26.24  ,24.53  ,29.14  ,32.86
2005  ,34.55  ,36.43  ,36.73  ,32.72
2006  ,37.38  ,29.78  ,33.18  ,40.03
2007  ,42.23  ,34.29  ,37.95  ,56.39
2008 ,-61.79 ,-53.82 ,-52.69 ,-46.85
2009  ,76.99  ,75.78  ,87.55  ,88.59
2010  ,19.81  ,24.78  ,24.24  ,17.36
2011 ,-24.27 ,-15.62 ,-22.81 ,-10.23
2012  ,16.51  ,20.56  ,17.76  ,23.01
2013   ,4.64   ,0.70   ,0.39  ,-6.91
2014   ,3.18  ,-0.01  ,-4.53   ,7.03
2015  ,-5.04  ,-9.61 ,-13.89 ,-14.68
2016  ,-2.94   ,8.70  ,15.54  ,18.89
2017  ,41.15  ,39.92  ,29.18  ,35.80
2018 ,-17.05 ,-15.87 ,-10.30 ,-13.66
2019  ,21.23  ,21.54  ,11.86  ,13.78



  Average Equal Weighted Returns -- Annual
,LoBM_LoOP,LoBM_HiOP,HiBM_LoOP,HiBM_HiOP
1992   ,9.00  ,12.85  ,11.41  ,17.11
1993  ,76.68  ,74.64 ,109.96  ,94.97
1994   ,8.28   ,6.63  ,12.69  ,14.86
1995 ,-20.13 ,-11.64 ,-15.57  ,-6.77
1996  ,16.33  ,14.35  ,10.21  ,16.23
1997 ,-55.28 ,-41.57 ,-33.82 ,-30.01
1998   ,1.63   ,3.91  ,41.63  ,18.45
1999  ,98.87  ,80.75  ,97.47  ,80.40
2000 ,-43.31 ,-36.77 ,-19.87 ,-12.93
2001  ,-6.05   ,6.29  ,13.86  ,21.07
2002 ,-21.44  ,-1.29  ,10.39  ,17.83
2003  ,35.25  ,57.61  ,68.03  ,81.15
2004   ,8.38  ,20.20  ,34.12  ,43.00
2005  ,50.15  ,30.06  ,51.67  ,38.66
2006  ,27.55  ,30.86  ,45.76  ,44.73
2007  ,31.07  ,38.59  ,67.06  ,62.50
2008 ,-59.93 ,-56.05 ,-49.92 ,-52.83
2009  ,81.10  ,98.83 ,108.45 ,124.45
2010  ,16.80  ,27.97  ,33.83  ,42.21
2011 ,-23.68 ,-18.84 ,-19.86 ,-23.39
2012  ,12.52  ,24.39  ,24.08  ,26.02
2013   ,0.11   ,3.96   ,6.36  ,-0.49
2014   ,5.14   ,5.63  ,18.37  ,32.42
2015   ,2.07  ,-2.56   ,4.93   ,4.04
2016  ,-0.17   ,7.17  ,13.38  ,19.22
2017  ,17.71  ,31.27  ,36.15  ,38.65
2018 ,-17.28 ,-18.73 ,-14.78 ,-16.25
2019   ,4.09  ,14.85   ,3.95   ,5.93



  Number of Firms in Portfolios
,LoBM_LoOP,LoBM_HiOP,HiBM_LoOP,HiBM_HiOP
199107     ,70    ,119    ,286     ,81
199108     ,70    ,119    ,286     ,81
199109     ,70    ,119    ,286     ,81
199110     ,70    ,119    ,286     ,81
199111     ,70    ,119    ,285     ,81
199112     ,70    ,119    ,285     ,81
199201     ,69    ,117    ,279     ,81
199202     ,69    ,117    ,280     ,81
199203     ,69    ,117    ,280     ,81
199204     ,69    ,117    ,280     ,81
199205     ,69    ,117    ,280     ,81
199206     ,69    ,117    ,280     ,81
199207    ,142    ,174    ,500    ,160
199208    ,142    ,174    ,500    ,160
199209    ,142    ,174    ,500    ,160
199210    ,142    ,174    ,500    ,160
199211    ,142    ,174    ,500    ,160
199212    ,142    ,174    ,500    ,160
199301    ,142    ,174    ,499    ,160
199302    ,142    ,174    ,499    ,160
199303    ,142    ,174    ,499    ,160
199304    ,142    ,174    ,499    ,160
199305    ,142    ,174    ,499    ,159
199306    ,142    ,174    ,499    ,159
199307    ,299    ,340    ,772    ,256
199308    ,299    ,340    ,772    ,256
199309    ,299    ,340    ,772    ,255
199310    ,299    ,340    ,772    ,255
199311    ,299    ,340    ,772    ,254
199312    ,299    ,340    ,772    ,254
199401    ,298    ,340    ,770    ,253
199402    ,298    ,340    ,770    ,253
199403    ,298    ,340    ,770    ,253
199404    ,298    ,340    ,770    ,253
199405    ,298    ,340    ,769    ,253
199406    ,298    ,340    ,769    ,252
199407    ,413    ,394   ,1179    ,450
199408    ,413    ,394   ,1179    ,450
199409    ,413    ,394   ,1179    ,450
199410    ,413    ,394   ,1179    ,450
199411    ,413    ,394   ,1178    ,450
199412    ,413    ,394   ,1178    ,450
199501    ,411    ,394   ,1173    ,449
199502    ,411    ,393   ,1174    ,449
199503    ,411    ,393   ,1175    ,449
199504    ,411    ,393   ,1175    ,449
199505    ,411    ,393   ,1175    ,448
199506    ,410    ,393   ,1175    ,448
199507    ,513    ,699   ,1855    ,672
199508    ,513    ,699   ,1852    ,672
199509    ,513    ,698   ,1852    ,672
199510    ,513    ,698   ,1851    ,672
199511    ,512    ,698   ,1850    ,672
199512    ,511    ,697   ,1849    ,672
199601    ,511    ,695   ,1845    ,671
199602    ,511    ,695   ,1845    ,671
199603    ,511    ,695   ,1844    ,671
199604    ,511    ,694   ,1844    ,670
199605    ,511    ,694   ,1844    ,669
199606    ,511    ,694   ,1843    ,669
199607    ,581    ,776   ,2156    ,797
199608    ,580    ,776   ,2156    ,797
199609    ,580    ,776   ,2153    ,797
199610    ,579    ,776   ,2152    ,796
199611    ,578    ,776   ,2151    ,795
199612    ,578    ,776   ,2151    ,795
199701    ,578    ,775   ,2151    ,794
199702    ,578    ,774   ,2147    ,793
199703    ,577    ,774   ,2144    ,792
199704    ,577    ,774   ,2141    ,792
199705    ,577    ,773   ,2139    ,791
199706    ,577    ,772   ,2136    ,789
199707    ,861    ,852   ,2466    ,762
199708    ,860    ,852   ,2462    ,762
199709    ,860    ,852   ,2452    ,759
199710    ,860    ,850   ,2448    ,757
199711    ,858    ,850   ,2446    ,757
199712    ,858    ,850   ,2443    ,756
199801    ,858    ,849   ,2442    ,754
199802    ,858    ,848   ,2435    ,751
199803    ,858    ,848   ,2433    ,750
199804    ,858    ,848   ,2433    ,750
199805    ,857    ,848   ,2428    ,750
199806    ,857    ,845   ,2421    ,750
199807    ,726    ,830   ,3139   ,1146
199808    ,725    ,829   ,3133   ,1145
199809    ,723    ,827   ,3125   ,1143
199810    ,722    ,827   ,3118   ,1139
199811    ,722    ,826   ,3106   ,1137
199812    ,720    ,823   ,3098   ,1135
199901    ,719    ,822   ,3086   ,1133
199902    ,719    ,819   ,3075   ,1129
199903    ,719    ,818   ,3059   ,1128
199904    ,715    ,817   ,3044   ,1122
199905    ,712    ,816   ,3041   ,1121
199906    ,711    ,815   ,3027   ,1120
199907    ,665    ,728   ,3484   ,1289
199908    ,661    ,724   ,3476   ,1286
199909    ,659    ,723   ,3474   ,1284
199910    ,658    ,722   ,3470   ,1283
199911    ,658    ,721   ,3460   ,1281
199912    ,658    ,719   ,3453   ,1274
200001    ,658    ,717   ,3446   ,1268
200002    ,659    ,714   ,3440   ,1268
200003    ,659    ,714   ,3435   ,1263
200004    ,658    ,712   ,3431   ,1261
200005    ,657    ,712   ,3422   ,1261
200006    ,655    ,709   ,3415   ,1259
200007    ,721    ,666   ,4021   ,1259
200008    ,716    ,663   ,4014   ,1254
200009    ,714    ,661   ,4001   ,1252
200010    ,713    ,661   ,3991   ,1247
200011    ,711    ,658   ,3974   ,1244
200012    ,708    ,656   ,3961   ,1243
200101    ,706    ,653   ,3941   ,1237
200102    ,706    ,652   ,3932   ,1237
200103    ,706    ,651   ,3920   ,1235
200104    ,704    ,651   ,3911   ,1232
200105    ,702    ,649   ,3906   ,1231
200106    ,701    ,648   ,3896   ,1230
200107    ,809    ,696   ,4104   ,1102
200108    ,806    ,695   ,4095   ,1097
200109    ,806    ,694   ,4084   ,1094
200110    ,805    ,690   ,4077   ,1080
200111    ,803    ,683   ,4065   ,1070
200112    ,801    ,679   ,4055   ,1069
200201    ,799    ,678   ,4035   ,1067
200202    ,797    ,677   ,4019   ,1062
200203    ,797    ,677   ,4014   ,1060
200204    ,797    ,676   ,4005   ,1059
200205    ,791    ,676   ,3991   ,1058
200206    ,788    ,676   ,3977   ,1051
200207    ,669    ,753   ,4383   ,1178
200208    ,668    ,750   ,4372   ,1177
200209    ,664    ,748   ,4363   ,1174
200210    ,662    ,747   ,4356   ,1173
200211    ,661    ,744   ,4339   ,1168
200212    ,659    ,743   ,4320   ,1165
200301    ,657    ,739   ,4307   ,1161
200302    ,657    ,736   ,4304   ,1158
200303    ,655    ,733   ,4297   ,1155
200304    ,655    ,732   ,4288   ,1153
200305    ,650    ,730   ,4274   ,1150
200306    ,648    ,728   ,4265   ,1150
200307    ,766    ,858   ,4760   ,1187
200308    ,762    ,857   ,4754   ,1185
200309    ,757    ,857   ,4743   ,1184
200310    ,756    ,856   ,4731   ,1184
200311    ,753    ,855   ,4719   ,1180
200312    ,751    ,855   ,4713   ,1180
200401    ,748    ,854   ,4708   ,1176
200402    ,746    ,853   ,4701   ,1176
200403    ,746    ,851   ,4692   ,1171
200404    ,744    ,849   ,4684   ,1167
200405    ,736    ,848   ,4664   ,1167
200406    ,729    ,842   ,4653   ,1161
200407    ,779    ,917   ,5213   ,1123
200408    ,777    ,917   ,5203   ,1122
200409    ,776    ,917   ,5191   ,1119
200410    ,776    ,917   ,5186   ,1119
200411    ,775    ,915   ,5175   ,1114
200412    ,769    ,912   ,5143   ,1102
200501    ,770    ,909   ,5139   ,1097
200502    ,766    ,909   ,5134   ,1096
200503    ,765    ,909   ,5128   ,1095
200504    ,763    ,908   ,5117   ,1091
200505    ,758    ,905   ,5089   ,1087
200506    ,756    ,905   ,5083   ,1083
200507   ,1096   ,1037   ,5652   ,1059
200508   ,1093   ,1037   ,5641   ,1055
200509   ,1091   ,1037   ,5628   ,1053
200510   ,1089   ,1035   ,5626   ,1053
200511   ,1087   ,1035   ,5611   ,1052
200512   ,1085   ,1034   ,5598   ,1052
200601   ,1083   ,1031   ,5578   ,1051
200602   ,1082   ,1029   ,5574   ,1047
