This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoOP,LoBM_HiOP,HiBM_LoOP,HiBM_HiOP
199911  ,10.41  ,13.13   ,4.11   ,7.50
199912  ,12.41  ,15.12   ,7.50  ,11.37
200001  ,-2.40   ,0.61   ,2.45   ,1.50
200002   ,1.13   ,8.32  ,-2.33   ,2.44
200003  ,-0.38   ,1.02  ,-0.46   ,2.12
200004 ,-12.02 ,-12.17 ,-10.01  ,-8.61
200005  ,-4.88  ,-0.58  ,-1.30  ,-5.88
200006   ,2.50   ,4.30  ,-1.64   ,3.36
200007  ,-7.40  ,-8.06  ,-0.92  ,-2.63
200008   ,0.50   ,0.11  ,-0.50   ,0.88
200009 ,-10.54 ,-11.12  ,-8.69  ,-6.36
200010  ,-8.60  ,-8.85  ,-8.94  ,-7.86
200011 ,-11.97  ,-7.72  ,-6.90  ,-8.95
200012   ,0.85   ,0.91   ,0.83   ,4.04
200101  ,10.80  ,13.91  ,11.92  ,10.56
200102  ,-9.88  ,-9.24  ,-2.52  ,-7.35
200103  ,-9.19  ,-9.00  ,-7.23  ,-7.86
200104   ,3.40   ,6.22   ,2.26   ,4.59
200105  ,-2.55   ,0.29   ,2.74   ,1.48
200106  ,-3.90  ,-2.07  ,-1.33  ,-0.88
200107  ,-8.61  ,-4.39  ,-8.15  ,-7.14
200108  ,-1.78  ,-2.88   ,0.73  ,-2.30
200109 ,-15.56 ,-14.96 ,-14.87 ,-12.75
200110   ,7.57   ,6.73   ,3.82   ,3.21
200111   ,8.56   ,9.56  ,10.51  ,12.78
200112  ,11.00   ,8.57   ,6.27  ,10.29
200201   ,3.00   ,1.23   ,5.45   ,3.58
200202  ,-0.14   ,1.28   ,1.47   ,3.06
200203   ,6.78   ,6.55   ,6.52   ,6.13
200204  ,-2.09  ,-0.63   ,2.20  ,-1.87
200205  ,-3.99  ,-1.93  ,-1.45  ,-2.02
200206  ,-8.70  ,-7.99  ,-6.98  ,-6.35
200207  ,-7.55  ,-6.87  ,-5.65  ,-5.36
200208   ,1.18   ,1.44   ,0.54   ,1.61
200209 ,-13.09  ,-9.29 ,-12.41  ,-9.60
200210   ,3.40   ,7.04   ,6.52   ,4.60
200211   ,3.96   ,6.40   ,6.25   ,8.25
200212  ,-3.28  ,-3.75  ,-1.26  ,-3.75
200301  ,-0.79  ,-1.42   ,1.96  ,-0.74
200302  ,-2.87  ,-3.23  ,-2.63  ,-1.42
200303  ,-5.62  ,-1.61  ,-3.50  ,-3.37
200304  ,10.25   ,8.57   ,8.33  ,12.93
200305   ,6.49   ,6.40   ,8.91   ,5.73
200306   ,4.15   ,6.29   ,6.16   ,6.62
200307   ,4.37   ,6.32   ,5.32   ,5.26
200308   ,5.45   ,6.50   ,6.50   ,8.07
200309   ,0.77   ,1.12   ,1.90   ,2.06
200310   ,8.98   ,6.16   ,8.68   ,8.47
200311   ,0.86   ,0.07   ,2.20   ,1.73
200312   ,6.33   ,5.48   ,8.28  ,10.43
200401   ,2.08   ,4.52   ,3.36   ,3.52
200402   ,5.31   ,3.73   ,5.57   ,4.70
200403   ,0.08   ,1.68   ,1.26   ,1.87
200404  ,-7.42  ,-6.55  ,-7.40  ,-7.15
200405  ,-1.45  ,-2.55  ,-3.53  ,-2.87
200406   ,0.16   ,0.05   ,0.94   ,2.19
200407  ,-0.44  ,-4.15  ,-0.85   ,0.32
200408   ,2.71   ,4.51   ,4.74   ,4.08
200409   ,6.68   ,5.70   ,5.81   ,6.12
200410   ,3.42   ,2.74   ,2.08   ,3.15
200411   ,8.60   ,7.85   ,9.44   ,8.73
200412   ,4.79   ,5.68   ,5.58   ,5.07
200501   ,0.80   ,0.80   ,1.23  ,-0.32
200502   ,7.07   ,8.37   ,7.93  ,11.84
200503  ,-5.37  ,-6.26  ,-5.67  ,-6.10
200504  ,-3.71  ,-2.26  ,-2.73  ,-2.43
200505   ,1.68   ,5.10   ,2.97   ,2.63
200506   ,3.59   ,3.13   ,3.99   ,3.91
200507   ,6.01   ,7.05   ,6.73   ,6.40
200508   ,1.31   ,1.32   ,0.50   ,1.09
200509  ,10.73   ,7.68   ,8.46   ,9.29
200510  ,-4.91  ,-5.19  ,-5.56  ,-8.93
200511   ,9.27   ,7.08   ,8.60   ,6.34
200512   ,5.11   ,6.06   ,6.75   ,7.03
200601  ,11.51  ,10.19   ,9.02  ,12.07
200602   ,0.21  ,-0.32   ,1.79   ,0.22
200603   ,0.97   ,1.06   ,1.30   ,0.92
200604   ,6.51   ,6.11   ,8.24  ,10.54
200605 ,-10.59  ,-9.59  ,-9.92  ,-9.77
200606  ,-0.08  ,-0.50  ,-1.60  ,-1.83
200607   ,0.67   ,1.91   ,0.52   ,2.20
200608   ,2.78   ,3.20   ,3.72   ,1.22
200609   ,2.37   ,1.24   ,0.74   ,0.14
200610   ,4.45   ,4.56   ,4.10   ,6.18
200611   ,8.60   ,6.36   ,8.36   ,7.89
200612   ,6.49   ,3.46   ,4.23   ,6.32
200701  ,-0.54  ,-0.35  ,-1.04  ,-1.01
200702  ,-0.45   ,0.14   ,0.63   ,0.16
200703   ,4.64   ,3.59   ,4.12   ,5.92
200704   ,6.02   ,4.12   ,5.25   ,5.35
200705   ,7.97   ,3.57   ,5.78   ,6.86
200706   ,4.03   ,4.30   ,5.00   ,5.43
200707   ,9.24   ,4.69   ,5.82   ,5.78
