This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
196906, -11.7609, -10.8892, -12.2120,  -7.1475,  -6.2984,  -3.5900
196907,  -7.9598,  -9.1358, -11.4785,  -5.6836,  -6.1247,  -6.1134
196908,   4.0122,   4.2177,   8.2572,   3.0224,   5.1093,   6.9357
196909,  -1.6779,  -0.8455,  -1.6444,  -2.9013,  -2.9498,  -1.2822
196910,   7.7876,   8.0351,  10.9790,   4.7507,   5.2014,   5.6269
196911,  -4.8007,  -5.2784,  -6.1122,  -2.5106,  -3.8575,  -1.8482
196912,  -6.6082,  -4.3423,  -4.9522,  -3.3530,  -0.5614,  -0.9253
197001,  -3.0431,  -3.0267,  -7.3255,  -5.7498,  -8.1034,  -9.3068
197002,   5.2496,   2.9441,   3.0877,   8.0160,   5.9119,   4.0648
197003,  -0.0529,  -1.7953,  -5.0400,   2.0342,  -0.2890,  -1.8386
197004, -13.2319, -13.8814, -20.4585,  -8.5135,  -8.4419, -13.0372
197005,  -7.9115,  -9.7510, -12.3126,  -4.9691,  -5.2790,  -7.8147
197006,  -5.5409,  -6.7847,  -9.1942,  -5.0982,  -3.6955,  -7.2394
197007,   6.9554,   6.6525,   6.8181,   9.6365,   6.9117,   5.9673
197008,   6.4553,   6.8035,   6.7481,   5.8561,   4.1426,   5.8666
197009,   9.9342,  10.0108,  16.4421,   2.1033,   3.4074,   7.4623
197010,  -4.6169,  -5.2764,  -7.6641,  -0.8944,  -0.8746,  -2.6140
197011,   2.1814,   2.9549,  -0.0614,   6.0223,   5.3413,   5.0913
197012,   8.7672,   9.2701,   8.4939,   5.3980,   6.4406,   5.1024
197101,  14.4297,  10.7034,  11.3461,   3.2788,   4.0479,   6.6397
197102,   2.9513,   3.1429,   4.4679,   1.9362,   1.1590,   1.8680
197103,   5.2126,   6.1356,   7.2880,   3.1568,   3.9216,   6.4702
197104,   3.9026,   4.2296,   2.3803,   4.3816,   2.8462,   4.4605
197105,  -4.0245,  -4.9929,  -5.6152,  -3.7134,  -3.8731,  -2.7261
197106,  -2.7194,   0.3359,  -0.9787,  -0.5255,   0.5530,   1.2115
197107,  -5.1320,  -4.0721,  -7.0186,  -4.0531,  -3.2526,  -5.4006
197108,   5.4769,   4.3491,   4.0727,   8.0387,   3.3256,   4.2403
197109,  -1.9047,  -0.5422,   0.8428,  -0.7057,  -0.4044,  -0.3416
197110,  -6.0653,  -5.2513,  -5.3550,  -5.1826,  -3.6518,  -3.4137
197111,  -2.9050,  -2.7018,  -3.2251,  -0.4516,   0.2073,   0.5793
197112,  12.3132,  10.5741,  13.2009,   7.1210,   8.7538,   9.8911
197201,   9.8710,   7.3835,   8.8133,   3.0442,   1.0507,   3.5207
197202,   4.0601,   2.7989,   3.5837,   2.1107,   3.0076,   3.6289
197203,  -0.2178,   0.0183,   0.9852,   1.9943,   0.4596,   1.1676
197204,   0.8967,   0.7607,   0.4008,  -1.2807,   0.6529,   0.9918
197205,  -1.6430,  -1.9168,  -1.8928,  -0.9443,   2.1253,   3.0018
197206,  -2.4868,  -2.9183,  -3.5394,  -3.1217,  -2.0108,  -1.3591
197207,  -3.4611,  -2.4893,  -4.2783,  -2.0872,   0.2997,  -0.0997
197208,   1.8644,   1.7833,  -0.1041,   6.4486,   4.0205,   2.5247
197209,  -3.7708,  -2.4914,  -2.8760,  -3.4888,  -0.0255,  -0.4310
197210,  -1.4265,  -0.0354,  -2.6999,   0.0288,   1.0619,   1.3943
197211,   6.1136,   6.1348,   3.9150,   8.1493,   4.9556,   3.6507
197212,  -1.6987,  -1.0198,  -1.3012,  -2.3353,   1.7517,   1.6624
197301,  -4.5291,  -4.9627,  -6.4702,  -4.1509,  -0.8566,  -4.0491
197302,  -7.8764,  -7.0766,  -9.6402,  -5.2906,  -3.7134,  -3.5032
197303,  -1.2904,  -3.1704,  -3.2877,  -1.5615,   0.0678,  -1.0225
197304,  -6.0247,  -5.1542,  -9.4828,  -3.9258,  -3.6461,  -5.8822
197305,  -8.8122,  -7.3245,  -8.3116,  -4.2014,  -1.3769,  -1.1315
197306,  -2.7642,  -2.7648,  -5.2083,  -2.9036,  -0.3551,  -0.8912
197307,   9.9687,  10.5816,  15.5337,   6.1131,   3.2149,   7.4694
197308,  -4.2439,  -4.1920,  -4.4783,  -1.4639,  -3.2258,  -3.6307
197309,   9.8018,   8.8665,  10.7031,   8.8205,   4.2601,   4.2766
197310,   1.2488,   0.2930,  -1.8931,   1.5711,  -0.3856,  -0.4706
197311, -17.9015, -17.5809, -20.7837, -13.4618, -10.2754, -13.5747
197312,  -1.3886,  -2.6957,  -1.8179,   4.3520,   1.5095,   0.1730
197401,  14.4211,  10.3078,   7.7542,   0.9828,  -0.5581,  -1.2762
197402,   1.8489,   1.1540,  -0.6108,   2.4812,  -0.4479,  -0.4084
197403,  -0.2268,   0.3524,  -0.6361,  -2.2879,  -2.3450,  -2.6068
197404,  -3.6421,  -5.1476,  -6.3623,  -3.3594,  -4.6028,  -4.3229
197405,  -6.7595,  -6.7895,  -8.1576,  -3.7779,  -3.3856,  -2.3527
197406,  -0.9167,  -1.2845,  -3.6833,  -0.9843,  -1.2405,  -4.3245
197407,  -3.4218,  -3.6898,  -6.0548,  -3.5835,  -7.5925, -10.1100
197408,  -6.1410,  -8.0737,  -9.4015,  -8.4073,  -8.0937, -10.2478
197409,  -6.4585,  -7.1741, -11.5993,  -7.8264, -10.5367, -14.5086
197410,   9.0243,   9.3675,  10.8021,  18.3103,  15.5744,  22.4056
197411,  -3.2269,  -4.2951,  -6.4824,  -1.4888,  -4.3533,  -4.1379
197412,  -5.8930,  -5.4214,  -8.4946,  -1.2537,  -1.3093,  -5.1160
197501,  26.9156,  25.8673,  28.4399,  13.5129,  12.6170,  13.7179
197502,   4.4608,   3.8921,   4.8214,   3.1880,   6.5462,   7.1002
197503,   6.1508,   6.7646,   9.3415,   5.1448,   1.4978,   4.4456
197504,   3.9807,   4.2540,   4.4946,   4.8890,   3.6879,   7.0746
197505,   6.8190,   7.6078,   8.9227,   5.4842,   5.8612,   4.5933
197506,   7.0128,   7.5664,   6.5580,   6.0323,   5.1748,   4.3569
197507,  -2.3453,  -2.2144,  -3.0691,  -4.7153,  -7.1846,  -6.3813
197508,  -5.3820,  -4.3872,  -5.2433,  -3.7905,  -1.6294,  -2.1525
197509,  -3.3870,  -3.9421,  -3.4717,  -3.6726,  -2.7953,  -4.5831
197510,   2.8609,   2.3301,   2.1711,   8.3367,   7.4592,   4.4920
197511,   2.6431,   2.9515,   1.9963,   4.2116,   4.3302,   1.4301
197512,  -0.5718,  -0.1638,  -1.6993,  -0.9409,  -1.3009,  -1.0175
197601,  20.7787,  18.4416,  18.9113,  14.1923,  12.0430,  11.3471
197602,  10.4666,   8.0004,   7.8404,   3.4381,  -0.1519,  -1.6103
197603,   2.4642,   1.6216,   0.7424,   3.2974,   2.7295,   2.8317
197604,  -1.3809,  -0.8016,  -0.9930,  -2.0067,  -1.5900,  -0.1984
197605,  -2.7355,  -1.9695,  -1.6808,  -1.3938,  -1.7274,   0.3905
197606,   3.9796,   3.7821,   4.0414,   6.0766,   4.8172,   4.1602
