This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 4 OP portfolios and 4 INV portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                                                                              Small                                                                                                                                            Big
                   Lo OP                                   2                                   3                               Hi OP                               Lo OP                                   2                                   3                               Hi OP
          Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV
199201    -7.64    -2.15    -7.30    -8.18    -2.01    -4.74    -5.70    -3.84    -6.34    -7.32    -8.59    -7.37    -6.32    -4.29    -5.81    -6.49    -4.25    -5.80    -6.81    -9.22    -3.19    -5.15    -6.32    -6.55    -1.02    -6.16    -6.22    -4.68    -6.01    -3.92    -4.17    -2.22
199202    -3.87    -4.17    -5.19    -3.89    -2.47    -8.00    -5.88    -5.08    -2.79    -5.26    -5.97    -4.28    -4.06    -1.12    -4.04    -4.88    -4.44    -6.57   -10.75    -8.31    -4.85    -7.55    -7.96   -10.50    -4.61    -5.39    -8.34    -8.37    -4.46    -8.94    -7.66    -8.52
199203   -14.60   -12.29   -15.77   -12.63   -12.09   -15.17   -14.28   -11.58   -10.22   -13.82   -11.46   -10.78   -11.63   -12.30   -11.01   -11.65   -12.85   -12.13   -12.64   -11.15   -11.18   -10.69    -8.40   -14.63    -9.85   -12.51   -11.20   -10.79   -10.77    -8.11   -10.34   -11.02
199204   -14.63   -11.90   -13.62   -10.76    -8.07    -9.02    -8.67    -8.11   -12.44    -9.43   -13.76   -12.00   -12.09    -8.00   -10.36    -6.67   -11.96    -7.36   -12.14   -13.36    -5.51   -11.11   -10.13   -12.73    -7.08    -5.46    -4.14    -3.99    -3.82    -1.60   -10.03     1.05
199205    19.43    15.36    17.91    13.69    11.64    13.21    14.16    13.91    14.67    15.18    17.88    15.65    11.46    11.25    13.48    14.54    13.64    10.83     9.45     8.28     9.47     9.82     7.69    10.01    12.20     7.14     8.18     6.21     6.80     6.44    10.09     8.72
199206   -10.28   -11.28    -8.96    -9.46   -12.09    -6.89   -10.68    -9.32    -6.33    -8.79    -8.67    -8.09   -10.10    -8.71    -8.05    -6.91   -12.43    -8.69   -10.98   -12.10    -8.31    -9.44    -8.06   -12.79    -5.60   -10.94    -7.92    -9.20    -6.03    -6.72    -8.37    -7.88
199207    -8.11    -7.86    -9.55    -7.92    -5.73    -5.95    -8.29    -8.07    -7.90    -6.49    -5.62    -9.55    -5.71    -9.26    -8.15   -11.98     1.33    -4.75    -3.61    -4.26     8.37    -4.54    -4.37    -5.05    -3.22    -2.16    -5.79    -3.42    -1.85    -4.04    -3.51    -8.22
199208    12.38    12.50    18.37    13.67    10.52    10.66    10.46    10.36     9.15    12.30    10.95    16.16     9.29    12.34     8.84    17.59    25.28    16.57    16.47    15.48    28.08    13.52    13.60    17.13    18.59    10.86     9.98    20.71     9.20    12.01    14.63    16.64
199209     1.17     1.18     1.04     2.43     2.75     1.64    -0.17     2.26    -1.27     0.41    -0.66     1.34     3.95     0.42    -0.27    -3.08    -1.40    -2.36    -0.58    -2.16    -4.79    -3.04     0.26    -0.29    -0.09    -1.32    -3.18    -5.45    -2.42    -3.86    -3.73    -4.94
199210    -9.79    -4.38    -6.07    -8.36    -7.98    -6.60    -6.17    -5.24    -7.37    -6.09    -4.00    -5.38    -2.37    -5.99    -5.24    -8.40    -6.89    -7.43    -6.16    -4.95    -4.60    -3.84    -4.69    -6.30    -3.03    -4.94    -3.31    -3.30    -4.74    -4.90    -5.15    -6.20
