TICKER,OFTIC,STATPERS,MEASURE,FISCALP,FPI,ESTFLAG,MEANEST,FPEDATS,ACTUAL
@SPX,SPX,18NOV1993,EPS,ANN,3,P,26.6,31DEC1995,36.4
@SPX,SPX,16DEC1993,EPS,ANN,1,P,21.53,31DEC1993,23.2615
@SPX,SPX,16DEC1993,EPS,ANN,2,P,23.44,31DEC1994,30.0462
@SPX,SPX,16DEC1993,EPS,ANN,3,P,26.6,31DEC1995,36.4
@SPX,SPX,20JAN1994,EPS,ANN,1,P,21.53,31DEC1993,23.2615
@SPX,SPX,20JAN1994,EPS,ANN,2,P,23.42,31DEC1994,30.0462
@SPX,SPX,20JAN1994,EPS,ANN,3,P,26.6,31DEC1995,36.4
@SPX,SPX,17FEB1994,EPS,ANN,1,P,21.5,31DEC1993,23.2615
@SPX,SPX,17FEB1994,EPS,ANN,2,P,23.38,31DEC1994,30.0462
@SPX,SPX,17FEB1994,EPS,ANN,3,P,26.65,31DEC1995,36.4
@SPX,SPX,17MAR1994,EPS,ANN,1,P,21.56,31DEC1993,23.2615
@SPX,SPX,17MAR1994,EPS,ANN,2,P,23.41,31DEC1994,30.0462
@SPX,SPX,17MAR1994,EPS,ANN,3,P,26.42,31DEC1995,36.4
@SPX,SPX,14APR1994,EPS,ANN,1,P,23.52,31DEC1994,30.0462
@SPX,SPX,14APR1994,EPS,ANN,2,P,26.85,31DEC1995,36.4
@SPX,SPX,19MAY1994,EPS,ANN,1,P,24.72,31DEC1994,30.0462
@SPX,SPX,19MAY1994,EPS,ANN,2,P,27.58,31DEC1995,36.4
@SPX,SPX,19MAY1994,EPS,ANN,3,P,29.51,31DEC1996,40.9231
@SPX,SPX,16JUN1994,EPS,ANN,1,P,24.9,31DEC1994,30.0462
@SPX,SPX,16JUN1994,EPS,ANN,2,P,27.54,31DEC1995,36.4
@SPX,SPX,16JUN1994,EPS,ANN,3,P,29.51,31DEC1996,40.9231
@SPX,SPX,14JUL1994,EPS,ANN,1,P,24.91,31DEC1994,30.0462
@SPX,SPX,14JUL1994,EPS,ANN,2,P,27.62,31DEC1995,36.4
@SPX,SPX,14JUL1994,EPS,ANN,3,P,31.45,31DEC1996,40.9231
@SPX,SPX,18AUG1994,EPS,ANN,1,P,24.81,31DEC1994,30.0462
@SPX,SPX,18AUG1994,EPS,ANN,2,P,27.52,31DEC1995,36.4
@SPX,SPX,18AUG1994,EPS,ANN,3,P,30.91,31DEC1996,40.9231
@SPX,SPX,15SEP1994,EPS,ANN,1,P,24.81,31DEC1994,30.0462
@SPX,SPX,15SEP1994,EPS,ANN,2,P,27.52,31DEC1995,36.4
@SPX,SPX,15SEP1994,EPS,ANN,3,P,30.91,31DEC1996,40.9231
@SPX,SPX,20OCT1994,EPS,ANN,1,P,25.04,31DEC1994,30.0462
@SPX,SPX,20OCT1994,EPS,ANN,2,P,27.85,31DEC1995,36.4
@SPX,SPX,20OCT1994,EPS,ANN,3,P,30.91,31DEC1996,40.9231
@SPX,SPX,17NOV1994,EPS,ANN,1,P,25.15,31DEC1994,30.0462
@SPX,SPX,17NOV1994,EPS,ANN,2,P,28.01,31DEC1995,36.4
@SPX,SPX,17NOV1994,EPS,ANN,3,P,30.91,31DEC1996,40.9231
@SPX,SPX,15DEC1994,EPS,ANN,1,P,25.39,31DEC1994,30.0462
@SPX,SPX,15DEC1994,EPS,ANN,2,P,28.16,31DEC1995,36.4
@SPX,SPX,15DEC1994,EPS,ANN,3,P,31.61,31DEC1996,40.9231
@SPX,SPX,19JAN1995,EPS,ANN,1,P,25.74,31DEC1994,30.0462
@SPX,SPX,19JAN1995,EPS,ANN,2,P,28.68,31DEC1995,36.4
@SPX,SPX,19JAN1995,EPS,ANN,3,P,31.61,31DEC1996,40.9231
@SPX,SPX,16FEB1995,EPS,ANN,1,P,25.74,31DEC1994,30.0462
@SPX,SPX,16FEB1995,EPS,ANN,2,P,28.68,31DEC1995,36.4
@SPX,SPX,16FEB1995,EPS,ANN,3,P,31.63,31DEC1996,40.9231
@SPX,SPX,16MAR1995,EPS,ANN,1,P,25.74,31DEC1994,30.0462
@SPX,SPX,16MAR1995,EPS,ANN,2,P,28.68,31DEC1995,36.4
@SPX,SPX,16MAR1995,EPS,ANN,3,P,32.61,31DEC1996,40.9231
@SPX,SPX,20APR1995,EPS,ANN,1,P,29.23,31DEC1995,36.4
@SPX,SPX,20APR1995,EPS,ANN,2,P,33.71,31DEC1996,40.9231
@SPX,SPX,18MAY1995,EPS,ANN,1,P,31.14,31DEC1995,36.4
@SPX,SPX,18MAY1995,EPS,ANN,2,P,35.59,31DEC1996,40.9231
@SPX,SPX,18MAY1995,EPS,ANN,3,P,38.12,31DEC1997,41.2462
@SPX,SPX,15JUN1995,EPS,ANN,1,P,32.84,31DEC1995,36.4
@SPX,SPX,15JUN1995,EPS,ANN,2,P,37.61,31DEC1996,40.9231
@SPX,SPX,15JUN1995,EPS,ANN,3,P,40.38,31DEC1997,41.2462
@SPX,SPX,20JUL1995,EPS,ANN,1,P,33.42,31DEC1995,36.4
@SPX,SPX,20JUL1995,EPS,ANN,2,P,37.6,31DEC1996,40.9231
@SPX,SPX,20JUL1995,EPS,ANN,3,P,40.38,31DEC1997,41.2462
@SPX,SPX,17AUG1995,EPS,ANN,1,P,34.05,31DEC1995,36.4
@SPX,SPX,17AUG1995,EPS,ANN,2,P,38.32,31DEC1996,40.9231
@SPX,SPX,17AUG1995,EPS,ANN,3,P,41.07,31DEC1997,41.2462
@SPX,SPX,14SEP1995,EPS,ANN,1,P,34.05,31DEC1995,36.4
@SPX,SPX,14SEP1995,EPS,ANN,2,P,38.32,31DEC1996,40.9231
@SPX,SPX,14SEP1995,EPS,ANN,3,P,41.07,31DEC1997,41.2462
@SPX,SPX,19OCT1995,EPS,ANN,1,P,34.39,31DEC1995,36.4
@SPX,SPX,19OCT1995,EPS,ANN,2,P,38.67,31DEC1996,40.9231
@SPX,SPX,19OCT1995,EPS,ANN,3,P,41.07,31DEC1997,41.2462
@SPX,SPX,16NOV1995,EPS,ANN,1,P,36.04,31DEC1995,36.4
@SPX,SPX,16NOV1995,EPS,ANN,2,P,40.9,31DEC1996,40.9231
@SPX,SPX,16NOV1995,EPS,ANN,3,P,41.07,31DEC1997,41.2462
@SPX,SPX,14DEC1995,EPS,ANN,1,P,36.26,31DEC1995,36.4
@SPX,SPX,14DEC1995,EPS,ANN,2,P,41.18,31DEC1996,40.9231
@SPX,SPX,14DEC1995,EPS,ANN,3,P,43.72,31DEC1997,41.2462
@SPX,SPX,18JAN1996,EPS,ANN,1,P,35.93,31DEC1995,36.4
@SPX,SPX,18JAN1996,EPS,ANN,2,P,40.84,31DEC1996,40.9231
@SPX,SPX,18JAN1996,EPS,ANN,3,P,43.72,31DEC1997,41.2462
@SPX,SPX,15FEB1996,EPS,ANN,1,P,35.81,31DEC1995,36.4
@SPX,SPX,15FEB1996,EPS,ANN,2,P,40.69,31DEC1996,40.9231
@SPX,SPX,15FEB1996,EPS,ANN,3,P,43.72,31DEC1997,41.2462
@SPX,SPX,14MAR1996,EPS,ANN,1,P,41.08,31DEC1996,40.9231
@SPX,SPX,14MAR1996,EPS,ANN,2,P,45.91,31DEC1997,41.2462
@SPX,SPX,18APR1996,EPS,ANN,1,P,41.32,31DEC1996,40.9231
@SPX,SPX,18APR1996,EPS,ANN,2,P,45.71,31DEC1997,41.2462
@SPX,SPX,16MAY1996,EPS,ANN,1,P,41.29,31DEC1996,40.9231
@SPX,SPX,16MAY1996,EPS,ANN,2,P,45.63,31DEC1997,41.2462
@SPX,SPX,16MAY1996,EPS,ANN,3,P,48.73,31DEC1998,37.1539
@SPX,SPX,20JUN1996,EPS,ANN,1,P,41.04,31DEC1996,40.9231
@SPX,SPX,20JUN1996,EPS,ANN,2,P,45.58,31DEC1997,41.2462
@SPX,SPX,20JUN1996,EPS,ANN,3,P,48.73,31DEC1998,37.1539
@SPX,SPX,18JUL1996,EPS,ANN,1,P,41.14,31DEC1996,40.9231
@SPX,SPX,18JUL1996,EPS,ANN,2,P,45.79,31DEC1997,41.2462
@SPX,SPX,18JUL1996,EPS,ANN,3,P,48.73,31DEC1998,37.1539
@SPX,SPX,15AUG1996,EPS,ANN,1,P,41.19,31DEC1996,40.9231
@SPX,SPX,15AUG1996,EPS,ANN,2,P,45.87,31DEC1997,41.2462
@SPX,SPX,15AUG1996,EPS,ANN,3,P,48.73,31DEC1998,37.1539
@SPX,SPX,19SEP1996,EPS,ANN,1,P,40.76,31DEC1996,40.9231
@SPX,SPX,19SEP1996,EPS,ANN,2,P,45.64,31DEC1997,41.2462
@SPX,SPX,19SEP1996,EPS,ANN,3,P,50.59,31DEC1998,37.1539
@SPX,SPX,17OCT1996,EPS,ANN,1,P,40.7,31DEC1996,40.9231
@SPX,SPX,17OCT1996,EPS,ANN,2,P,45.6,31DEC1997,41.2462
@SPX,SPX,17OCT1996,EPS,ANN,3,P,50.59,31DEC1998,37.1539
@SPX,SPX,14NOV1996,EPS,ANN,1,P,40.56,31DEC1996,40.9231
@SPX,SPX,14NOV1996,EPS,ANN,2,P,45.1,31DEC1997,41.2462
@SPX,SPX,14NOV1996,EPS,ANN,3,P,50.59,31DEC1998,37.1539
@SPX,SPX,19DEC1996,EPS,ANN,1,P,40.5,31DEC1996,40.9231
@SPX,SPX,19DEC1996,EPS,ANN,2,P,44.75,31DEC1997,41.2462
@SPX,SPX,19DEC1996,EPS,ANN,3,P,50.27,31DEC1998,37.1539
@SPX,SPX,16JAN1997,EPS,ANN,1,P,40.32,31DEC1996,40.9231
@SPX,SPX,16JAN1997,EPS,ANN,2,P,43.96,31DEC1997,41.2462
@SPX,SPX,16JAN1997,EPS,ANN,3,P,50.27,31DEC1998,37.1539
@SPX,SPX,16JAN1997,EPS,ANN,4,P,57.29,31DEC1999,38.8769
@SPX,SPX,20FEB1997,EPS,ANN,1,P,40.2,31DEC1996,40.9231
@SPX,SPX,20FEB1997,EPS,ANN,2,P,43.56,31DEC1997,41.2462
@SPX,SPX,20FEB1997,EPS,ANN,3,P,49.93,31DEC1998,37.1539
@SPX,SPX,20FEB1997,EPS,ANN,4,P,57.29,31DEC1999,38.8769
@SPX,SPX,20MAR1997,EPS,ANN,1,P,42.28,31DEC1997,41.2462
@SPX,SPX,20MAR1997,EPS,ANN,2,P,46.23,31DEC1998,37.1539
@SPX,SPX,20MAR1997,EPS,ANN,3,P,52.02,31DEC1999,38.8769
@SPX,SPX,20MAR1997,EPS,ANN,4,P,58.05,31DEC2000,40.2339
@SPX,SPX,17APR1997,EPS,ANN,1,P,42.06,31DEC1997,41.2462
@SPX,SPX,17APR1997,EPS,ANN,2,P,46.27,31DEC1998,37.1539
@SPX,SPX,17APR1997,EPS,ANN,3,P,52.02,31DEC1999,38.8769
@SPX,SPX,17APR1997,EPS,ANN,4,P,58.05,31DEC2000,40.2339
@SPX,SPX,15MAY1997,EPS,ANN,1,P,41.98,31DEC1997,41.2462
@SPX,SPX,15MAY1997,EPS,ANN,2,P,46.1,31DEC1998,37.1539
@SPX,SPX,15MAY1997,EPS,ANN,3,P,50.91,31DEC1999,38.8769
@SPX,SPX,15MAY1997,EPS,ANN,4,P,58.05,31DEC2000,40.2339
@SPX,SPX,19JUN1997,EPS,ANN,1,P,42.08,31DEC1997,41.2462
@SPX,SPX,19JUN1997,EPS,ANN,2,P,46.15,31DEC1998,37.1539
@SPX,SPX,19JUN1997,EPS,ANN,3,P,50.96,31DEC1999,38.8769
@SPX,SPX,19JUN1997,EPS,ANN,4,P,58.05,31DEC2000,40.2339
@SPX,SPX,17JUL1997,EPS,ANN,1,P,41.51,31DEC1997,41.2462
@SPX,SPX,17JUL1997,EPS,ANN,2,P,45.48,31DEC1998,37.1539
@SPX,SPX,17JUL1997,EPS,ANN,3,P,50.53,31DEC1999,38.8769
@SPX,SPX,17JUL1997,EPS,ANN,4,P,58.05,31DEC2000,40.2339
@SPX,SPX,14AUG1997,EPS,ANN,1,P,41.14,31DEC1997,41.2462
@SPX,SPX,14AUG1997,EPS,ANN,2,P,45.13,31DEC1998,37.1539
@SPX,SPX,14AUG1997,EPS,ANN,3,P,49.37,31DEC1999,38.8769
@SPX,SPX,14AUG1997,EPS,ANN,4,P,58.05,31DEC2000,40.2339
@SPX,SPX,18SEP1997,EPS,ANN,1,P,40.89,31DEC1997,41.2462
@SPX,SPX,18SEP1997,EPS,ANN,2,P,44.72,31DEC1998,37.1539
@SPX,SPX,18SEP1997,EPS,ANN,3,P,47.92,31DEC1999,38.8769
@SPX,SPX,18SEP1997,EPS,ANN,4,P,58.05,31DEC2000,40.2339
@SPX,SPX,16OCT1997,EPS,ANN,1,P,40.24,31DEC1997,41.2462
@SPX,SPX,16OCT1997,EPS,ANN,2,P,43.77,31DEC1998,37.1539
@SPX,SPX,16OCT1997,EPS,ANN,3,P,47.92,31DEC1999,38.8769
@SPX,SPX,16OCT1997,EPS,ANN,4,P,58.05,31DEC2000,40.2339
@SPX,SPX,20NOV1997,EPS,ANN,1,P,40.24,31DEC1997,41.2462
@SPX,SPX,20NOV1997,EPS,ANN,2,P,43.77,31DEC1998,37.1539
@SPX,SPX,20NOV1997,EPS,ANN,3,P,47.04,31DEC1999,38.8769
@SPX,SPX,20NOV1997,EPS,ANN,4,P,58.05,31DEC2000,40.2339
@SPX,SPX,18DEC1997,EPS,ANN,1,P,40.13,31DEC1997,41.2462
@SPX,SPX,18DEC1997,EPS,ANN,2,P,43.07,31DEC1998,37.1539
@SPX,SPX,18DEC1997,EPS,ANN,3,P,46.49,31DEC1999,38.8769
@SPX,SPX,18DEC1997,EPS,ANN,4,P,58.05,31DEC2000,40.2339
@SPX,SPX,15JAN1998,EPS,ANN,1,P,40.18,31DEC1997,41.2462
@SPX,SPX,15JAN1998,EPS,ANN,2,P,42.12,31DEC1998,37.1539
@SPX,SPX,15JAN1998,EPS,ANN,3,P,45.43,31DEC1999,38.8769
@SPX,SPX,15JAN1998,EPS,ANN,4,P,58.05,31DEC2000,40.2339
@SPX,SPX,19FEB1998,EPS,ANN,1,P,40.18,31DEC1997,41.2462
@SPX,SPX,19FEB1998,EPS,ANN,2,P,41.73,31DEC1998,37.1539
@SPX,SPX,19FEB1998,EPS,ANN,3,P,43.58,31DEC1999,38.8769
@SPX,SPX,19FEB1998,EPS,ANN,4,P,58.05,31DEC2000,40.2339
@SPX,SPX,19MAR1998,EPS,ANN,1,P,38.77,31DEC1998,37.1539
@SPX,SPX,19MAR1998,EPS,ANN,2,P,44.34,31DEC1999,38.8769
@SPX,SPX,19MAR1998,EPS,ANN,3,P,46.31,31DEC2000,40.2339
@SPX,SPX,16APR1998,EPS,ANN,1,P,37.41,31DEC1998,37.1539
@SPX,SPX,16APR1998,EPS,ANN,2,P,43.87,31DEC1999,38.8769
@SPX,SPX,16APR1998,EPS,ANN,3,P,46.63,31DEC2000,40.2339
@SPX,SPX,14MAY1998,EPS,ANN,1,P,37.08,31DEC1998,37.1539
@SPX,SPX,14MAY1998,EPS,ANN,2,P,43.82,31DEC1999,38.8769
@SPX,SPX,14MAY1998,EPS,ANN,3,P,46.16,31DEC2000,40.2339
@SPX,SPX,18JUN1998,EPS,ANN,1,P,37.08,31DEC1998,37.1539
@SPX,SPX,18JUN1998,EPS,ANN,2,P,43.82,31DEC1999,38.8769
@SPX,SPX,18JUN1998,EPS,ANN,3,P,46.16,31DEC2000,40.2339
@SPX,SPX,16JUL1998,EPS,ANN,1,P,39.94,31DEC1998,37.1539
@SPX,SPX,16JUL1998,EPS,ANN,2,P,42.17,31DEC1999,38.8769
@SPX,SPX,16JUL1998,EPS,ANN,3,P,49.06,31DEC2000,40.2339
@SPX,SPX,20AUG1998,EPS,ANN,1,P,37.64,31DEC1998,37.1539
@SPX,SPX,20AUG1998,EPS,ANN,2,P,40.88,31DEC1999,38.8769
@SPX,SPX,20AUG1998,EPS,ANN,3,P,41.56,31DEC2000,40.2339
@SPX,SPX,17SEP1998,EPS,ANN,1,P,33.52,31DEC1998,37.1539
@SPX,SPX,17SEP1998,EPS,ANN,2,P,39,31DEC1999,38.8769
@SPX,SPX,17SEP1998,EPS,ANN,3,P,41.9,31DEC2000,40.2339
@SPX,SPX,15OCT1998,EPS,ANN,1,P,33.27,31DEC1998,37.1539
@SPX,SPX,15OCT1998,EPS,ANN,2,P,39.15,31DEC1999,38.8769
@SPX,SPX,15OCT1998,EPS,ANN,3,P,41.62,31DEC2000,40.2339
@SPX,SPX,19NOV1998,EPS,ANN,1,P,33.48,31DEC1998,37.1539
@SPX,SPX,19NOV1998,EPS,ANN,2,P,38.73,31DEC1999,38.8769
@SPX,SPX,19NOV1998,EPS,ANN,3,P,41.62,31DEC2000,40.2339
@SPX,SPX,17DEC1998,EPS,ANN,1,P,33.44,31DEC1998,37.1539
@SPX,SPX,17DEC1998,EPS,ANN,2,P,38.53,31DEC1999,38.8769
@SPX,SPX,17DEC1998,EPS,ANN,3,P,41.13,31DEC2000,40.2339
@SPX,SPX,14JAN1999,EPS,ANN,1,P,33.32,31DEC1998,37.1539
@SPX,SPX,14JAN1999,EPS,ANN,2,P,38.35,31DEC1999,38.8769
@SPX,SPX,14JAN1999,EPS,ANN,3,P,40.29,31DEC2000,40.2339
@SPX,SPX,18FEB1999,EPS,ANN,1,P,33.17,31DEC1998,37.1539
@SPX,SPX,18FEB1999,EPS,ANN,2,P,38.11,31DEC1999,38.8769
@SPX,SPX,18FEB1999,EPS,ANN,3,P,40.29,31DEC2000,40.2339
@SPX,SPX,18MAR1999,EPS,ANN,1,P,38.49,31DEC1999,38.8769
@SPX,SPX,18MAR1999,EPS,ANN,2,P,41.07,31DEC2000,40.2339
@SPX,SPX,18MAR1999,EPS,ANN,3,P,45.41,31DEC2001,37.2616
