
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198007   4.88   3.92   6.73   0.69   9.14   2.11   6.01   2.50   9.66  27.58
198008   5.04   2.44   7.11   3.88   4.58   0.38   3.31   5.43   4.08  -5.80
198009  -5.91  -2.01  -6.81   1.01  -6.76   6.07  -4.49  -4.22  -8.39   7.86
198010  11.62   7.80  10.40  30.45   8.53   7.24   2.93   7.95  10.69   2.28
198011   5.00   5.71   5.43   6.06   5.92   5.92   8.83   5.83   5.20   3.55
198012  -2.61  -0.75  -3.40  -4.31  -0.86  -6.03   1.40  -6.83   0.66  -3.56
198101  13.61  13.95  11.56   6.86  12.30   8.90  17.37   9.26  18.14 -99.99
198102   8.56  11.86  13.30   3.09  16.87   4.42  19.48  -0.18  14.37 -99.99
198103  -0.69   5.58  -4.33   0.29  -5.37  -4.92  -8.25  -0.06  -4.59 -99.99
198104   7.49   7.93   1.65   5.32   2.13   9.00  -0.16   9.14   4.87 -99.99
198105  -4.81  -4.23  -3.32  -6.37  -3.81  -9.10  -2.19  -7.62  -5.50 -99.99
198106   8.42   4.35   5.92  14.94   8.08   7.95   2.74   9.23   9.78 -99.99
198107 -15.05 -14.40 -14.19 -15.12 -17.45 -15.26 -17.44 -14.11 -15.79 -99.99
198108 -21.63 -18.05 -22.25 -23.07 -25.57 -26.96 -24.52 -18.14 -23.68 -99.99
198109   0.48   3.40  -2.54   1.86   3.85   1.90  -3.83  -0.36  -1.13 -99.99
198110   2.77   0.02   5.46   3.00   1.04  -0.05   8.46   2.26   4.75 -99.99
198111  20.50  17.16  25.60  16.12  27.43  22.08  23.73  16.06  26.94 -99.99
198112   1.18   2.14   0.74   2.56   0.76   3.30   1.22   1.82   0.07 -99.99
198201  -2.58  -4.64  -0.43  -4.30  -2.60  -4.79  -0.86  -2.03  -1.69 -99.99
198202  -9.65  -4.57  -8.77  -6.72  -8.11  -4.46  -8.80 -11.26  -8.12 -99.99
198203  -2.69  -3.50  -0.56  -7.33   0.20  -4.80  -3.50  -8.26   0.21 -99.99
198204   7.24   8.09   7.73   8.42   7.25   7.26   7.08   4.73   7.16 -99.99
198205  -0.38  -1.40   0.61  -1.18  -0.14   1.11  -0.59   1.55   0.69 -99.99
198206  -8.73  -5.14  -8.87  -7.56  -8.50  -7.44 -10.45  -4.41  -8.96 -99.99
198207  -6.80  -2.48  -7.14  -5.61  -8.12  -4.56 -15.46  -4.55  -7.65 -99.99
198208  -5.21  -6.47  -5.75  -7.85  -5.16  -5.25  -7.99  -6.45  -3.29 -99.99
198209   3.14  14.83   1.63   5.65   3.51  13.67   0.79   2.49   1.97 -99.99
