This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Emerging_Markets.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199107  ,-1.02  ,-1.62 ,-10.32  ,-1.15   ,1.20   ,5.56
199108  ,-6.58  ,-4.13  ,-5.63  ,-2.35  ,-3.47   ,2.30
199109  ,-4.11  ,-3.07  ,-7.50  ,-5.40  ,-5.08  ,-4.03
199110   ,0.88   ,2.49  ,-2.17   ,5.22  ,-0.89   ,6.81
199111   ,0.27   ,2.63   ,7.37   ,0.62   ,0.94   ,0.63
199112   ,0.63   ,4.33   ,9.29   ,7.65   ,7.83   ,9.16
199201   ,9.17   ,2.72  ,-3.97  ,14.57   ,8.53   ,7.43
199202   ,5.75   ,3.88  ,-9.67   ,2.42   ,6.28  ,12.04
199203  ,-4.30   ,1.59  ,-0.88  ,-2.72  ,-3.73  ,-0.71
199204   ,3.06   ,1.66   ,2.21  ,-4.03  ,-1.00  ,-1.46
199205  ,-1.17  ,-3.79  ,-9.17  ,-1.11  ,-0.45  ,-0.48
199206  ,-3.15  ,-2.62   ,9.60  ,-7.23  ,-2.54 ,-11.01
199207   ,0.83   ,3.62   ,2.80  ,-2.73   ,1.50   ,2.84
199208  ,-5.24  ,-5.51  ,-0.64  ,-5.69  ,-1.96  ,-3.61
199209  ,-3.11  ,-0.05  ,-2.04  ,-1.58   ,3.42   ,0.00
199210   ,4.49   ,8.79  ,-0.04   ,6.36   ,2.65   ,6.85
199211   ,1.95   ,2.26  ,-2.26  ,-1.49  ,-2.22   ,2.55
199212   ,1.54   ,0.25   ,3.80   ,0.76   ,1.78   ,0.14
199301  ,-2.05  ,-0.11  ,-2.08   ,0.91  ,-0.27  ,-1.58
199302   ,8.99   ,7.01   ,4.71   ,4.51   ,3.76   ,3.95
199303   ,5.27   ,3.24   ,0.56   ,1.61   ,3.87   ,3.66
199304  ,11.18   ,7.45   ,5.12   ,6.52   ,5.56   ,0.20
199305  ,11.80   ,7.80   ,6.32   ,6.18   ,4.44   ,3.01
199306  ,-3.00  ,-0.71  ,-5.80  ,-3.94   ,3.76  ,-0.89
199307   ,3.46   ,6.60   ,5.87   ,4.14   ,3.57   ,4.51
199308  ,12.05   ,9.87   ,6.87   ,7.28   ,9.95   ,6.83
199309   ,7.73   ,6.11   ,9.22   ,8.11   ,3.47   ,2.07
199310  ,10.89  ,15.74  ,15.26  ,11.40   ,8.82   ,9.23
199311  ,12.33   ,8.75   ,6.93   ,7.88   ,7.90   ,3.43
199312  ,22.67  ,23.54  ,17.57  ,18.93  ,16.90  ,17.50
199401  ,-5.85  ,-8.61 ,-12.06  ,-2.53  ,-0.62  ,-1.11
199402   ,5.16   ,6.01   ,3.96  ,-1.34  ,-3.02  ,-1.75
199403 ,-12.44 ,-11.79 ,-11.51 ,-13.36 ,-10.46 ,-10.32
199404  ,-2.09   ,0.97   ,0.07  ,-2.72  ,-0.16   ,2.05
199405  ,-3.23  ,-3.52  ,-5.51   ,1.46   ,1.64   ,2.78
199406  ,-0.93  ,-1.57  ,-0.35  ,-1.03  ,-3.23  ,-3.33
199407   ,4.84   ,3.56   ,2.97   ,5.47   ,9.15   ,5.30
199408  ,16.64  ,14.94  ,17.70  ,18.19  ,12.31   ,9.53
199409   ,6.91   ,6.64   ,6.67   ,3.74   ,2.63   ,0.28
199410  ,-3.87  ,-3.07  ,-0.04  ,-1.52  ,-3.28  ,-3.11
199411  ,-1.43  ,-4.20  ,-4.16  ,-4.09  ,-3.57  ,-5.10
199412 ,-10.56  ,-9.27  ,-3.28 ,-11.20  ,-9.49  ,-8.48
199501 ,-17.66 ,-13.90 ,-13.82 ,-11.60 ,-13.38 ,-12.07
