This file was created by CMPT_VAR_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The total    return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    0.33,   -0.42,   -1.08,   -0.25,   -1.69,    0.38,    0.24,    0.25,   -1.33,   -1.00,   -1.18,    0.86,   -2.27,   -1.84,   -1.55
196308,    4.59,    6.07,    5.94,    6.43,    7.82,    4.18,    5.23,    5.34,    7.08,    5.94,    5.95,    6.19,    6.73,    9.30,    6.34
196309,   -0.89,   -1.08,   -2.69,   -2.51,   -1.52,   -0.52,   -1.37,   -0.86,   -1.41,   -1.91,   -3.41,   -3.00,   -1.92,   -0.53,   -2.44
196310,    3.13,    2.18,    2.38,    2.49,    3.61,    1.33,    5.57,    1.77,    2.80,    2.57,    2.16,    2.28,    2.89,    6.73,    0.79
196311,    0.78,   -1.14,   -3.18,   -0.02,   -1.67,    1.45,   -0.24,   -0.99,   -1.42,   -4.45,   -0.47,    0.11,   -0.20,    0.89,   -3.57
196312,    2.91,    3.41,    1.15,   -0.18,    0.73,    2.63,    3.23,    3.56,    3.26,    3.02,    0.37,    0.28,   -0.71,    2.47,   -0.82
196401,    1.97,    3.81,    2.43,    2.03,    0.68,    1.21,    2.72,    4.24,    3.01,    1.67,    2.84,    1.96,    2.17,    0.82,    0.56
196402,    1.62,    2.00,    1.33,    2.98,    1.92,    0.71,    2.56,    2.51,    1.11,    0.81,    3.48,    3.08,    2.82,    1.68,    2.23
196403,    1.06,    2.70,    2.01,    3.04,    2.08,    0.87,    1.39,    2.10,    3.26,    2.63,    1.00,    3.10,    2.94,    3.04,    1.37
196404,    1.33,   -0.30,   -0.03,   -2.62,   -1.38,    1.61,    0.58,    1.49,   -1.90,   -0.25,    0.26,   -2.09,   -3.57,   -2.63,   -0.15
196405,    1.78,    1.19,    1.35,    0.78,    4.20,    1.87,    1.42,    0.69,    1.79,    1.48,    1.18,    0.19,    1.54,    6.43,    1.72
196406,    1.69,    1.71,    1.74,    1.28,   -0.30,    1.82,    1.48,    1.88,    1.46,    2.31,    0.96,    1.38,    1.14,    0.81,   -1.58
196407,    1.47,    3.65,    1.97,    1.27,    0.83,    1.27,    1.86,    4.30,    2.21,    3.34,   -0.34,    1.62,    0.70,    0.57,    1.23
196408,   -1.22,   -0.92,   -0.88,   -1.03,   -1.84,   -2.08,    0.22,   -1.36,   -0.22,   -0.34,   -1.55,   -0.65,   -1.45,   -1.95,   -1.69
196409,    2.43,    2.49,    3.74,    5.28,    6.59,    2.22,    2.71,    2.76,    2.16,    3.28,    4.33,    5.32,    5.21,    7.45,    5.48
196410,    0.95,    0.44,    1.62,    1.35,   -1.08,    0.54,    2.36,    2.12,   -0.81,    1.61,    1.64,   -0.09,    3.04,   -1.38,   -0.63
196411,    0.74,   -0.06,   -0.20,    0.57,   -2.93,    1.27,   -0.37,    1.36,   -1.25,   -0.93,    0.73,    1.80,   -1.41,   -1.18,   -4.43
196412,    0.87,   -0.37,    0.25,   -0.53,   -0.52,    0.74,    1.07,    0.12,   -1.28,   -0.11,    0.76,   -0.66,   -0.29,   -0.30,   -0.72
196501,    2.96,    4.53,    4.75,    4.46,    7.22,    1.46,    5.13,    4.55,    4.51,    4.74,    4.77,    3.83,    5.55,    4.54,    9.73
