This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199811   5.17   4.51   4.31   5.76   4.93   5.72
199812   2.10   2.83   2.96   3.60   5.09   5.26
199901   2.23  -0.09   0.51   2.29   0.07   3.82
199902  -4.08  -3.75  -2.29  -2.48  -2.92  -3.14
199903   3.98   3.25   1.78   5.34   4.68   3.07
199904   7.92   8.30   7.36   5.92   4.84   3.42
199905   0.05  -0.28   0.30  -3.51  -3.30  -2.59
199906   7.66   7.90   6.79   3.14   4.62   5.69
199907   2.17   1.90   2.65  -0.12  -0.18  -0.21
199908   1.04   0.75   1.45   1.19  -0.54   0.79
199909   1.31   0.61   1.54   1.09  -0.51  -0.88
199910   0.28  -0.89  -0.23   4.30   5.78   5.26
199911   4.05   1.85   3.80   2.87   2.23   6.10
199912   6.60   3.34   5.54   8.28   6.96   8.19
200001   1.29  -1.95  -0.49  -4.15  -6.33  -5.48
200002  14.70   4.68   5.83   4.40   0.28   1.79
200003  -5.25   0.58   0.03   3.46   7.40   6.41
200004 -11.79  -5.68  -6.80  -6.48  -2.87  -5.58
200005  -3.10  -0.61  -2.16  -3.72  -0.51  -4.15
200006  10.58   5.54   4.28   5.48   1.78   3.34
200007  -5.40  -1.89  -2.00  -4.74  -1.37  -3.31
200008   4.99   3.84   3.57   8.27   4.49   3.50
200009  -5.53  -2.13  -3.31  -6.53  -3.90  -4.79
200010  -9.39  -4.20  -4.64  -6.60  -3.03  -0.02
200011  -9.23  -2.42  -3.13 -12.29  -5.54  -6.05
200012   1.66   5.78   5.13   3.25   3.52  -0.79
200101   4.92   2.60   3.41   3.70   1.86   1.94
200102  -5.72  -2.08  -1.85  -9.98  -9.12  -8.08
200103  -7.79  -4.82  -6.04 -10.99  -6.42  -6.95
200104   7.53   6.88   6.71   9.12   7.21   8.81
200105   1.36   2.36   1.83  -1.91  -0.13  -1.63
200106  -0.68   0.52  -0.33  -2.51  -2.45  -3.17
200107  -6.43  -2.48  -2.61  -4.94  -2.02  -0.45
200108  -2.89   0.33  -0.26  -6.31  -3.94  -4.14
200109 -14.23 -12.14 -14.11 -12.56  -9.21  -7.80
200110   5.66   4.04   5.08   3.81   2.55   2.13
200111   5.31   4.24   4.47   7.49   6.27   4.76
200112   1.09   1.30   1.71   0.13   1.28   0.59
200201  -2.46  -0.80   0.33  -6.41  -2.93  -1.65
200202  -2.42   2.04   1.79  -4.19  -0.30   0.62
200203   5.62   6.57   6.46   4.95   5.24   3.93
200204   0.44   4.33   3.49  -4.29  -1.27  -3.68
200205   0.78   1.67   2.33  -0.12   0.50   0.37
200206  -3.78  -1.83  -2.53  -9.04  -4.22  -5.45
200207 -10.65  -9.22  -8.87 -10.60  -8.87  -6.97
200208  -0.94  -0.44   0.03  -0.07   1.45  -0.30
200209  -8.28  -6.65  -7.09 -13.15 -10.15  -9.66
200210   1.83  -0.19  -0.74   9.46   5.96   6.19
200211   7.06   3.94   3.02   9.58   4.79   3.53
200212  -2.88  -0.51  -0.58  -7.22  -4.38  -2.94
200301  -0.85  -0.76  -0.36  -1.51  -3.77  -2.73
200302  -0.75  -0.89  -0.77  -2.92  -1.09  -2.01
200303   0.04  -0.21  -0.03  -1.48  -0.54   0.62
200304   8.84   8.25   8.11  11.67   8.75   7.51
200305  11.21   7.77   9.10   8.45   5.96   5.41
200306   3.78   4.05   4.93   1.19   2.18   1.95
200307   5.50   4.40   3.36   5.03   2.55  -0.12
200308   6.36   4.93   4.80   3.35   2.40   1.91
200309   3.25   3.37   5.61   0.23   1.44   1.10
200310   7.26   7.08   7.12   8.17   5.94   4.14
200311   1.88   1.76   1.27   1.63   2.07   1.61
200312   4.06   4.66   5.02   6.04   5.86   5.71
200401   6.21   3.89   4.83   3.85   1.32   1.57
200402   1.44   2.41   3.16   1.32   2.42   1.94
200403   2.50   3.31   5.09  -0.52  -0.14  -0.75
200404  -4.50  -2.42  -1.15  -3.50  -2.40  -1.02
200405  -0.44  -0.32  -1.07   1.16   1.33   0.41
200406   3.69   5.06   5.92   2.24   2.17   2.06
200407  -6.19  -3.69  -3.45  -4.93  -2.68  -3.45
200408  -0.20   0.48  -0.05  -0.09   0.72   0.67
200409   3.50   3.24   3.65   2.82   2.25   1.64
200410   2.89   2.99   3.87   2.62   2.84   2.45
200411   8.03   7.54   7.21   6.84   4.63   4.93
200412   4.40   3.75   4.02   4.03   3.74   4.07
200501  -0.70   0.80   1.84  -3.14  -1.87  -1.47
200502   3.45   3.84   4.13   1.82   3.48   3.44
200503  -2.33  -1.34  -1.90  -2.07  -1.72  -1.64
200504  -3.25  -3.20  -3.23  -2.73  -2.24  -2.06
200505   0.83   1.31   0.71   2.87   1.30   1.66
200506   3.16   3.44   3.80   0.47   1.37   1.55
200507   5.04   4.29   4.73   3.76   3.58   3.67
200508   1.88   1.56   2.48   1.74   0.60   1.56
200509   2.29   1.94   2.57   1.81   2.44   2.68
200510  -2.54  -2.17  -2.53  -1.13  -1.85  -3.72
200511   3.07   3.53   3.33   3.59   3.91   2.16
200512   3.92   5.02   5.93   2.80   2.88   2.30
200601   8.13   7.13   6.75   4.90   4.21   4.75
200602  -0.09  -1.07  -1.10   0.02   0.99  -1.20
200603   4.92   4.67   4.05   2.68   2.64   2.47
