This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
199007    ,4.20   ,-3.02   ,-1.46    ,0.68
199008   ,-8.68    ,3.17    ,1.73    ,0.66
199009   ,-8.80    ,4.03   ,-0.06    ,0.60
199010   ,-1.95   ,-5.18   ,-1.48    ,0.68
199011   ,-2.98   ,-1.61   ,-0.77    ,0.57
199012   ,-1.10   ,-3.05   ,-1.02    ,0.60
199101    ,5.28   ,-3.45    ,1.34    ,0.52
199102    ,9.08   ,-1.34   ,-1.60    ,0.48
199103    ,2.28   ,-1.14    ,1.80    ,0.44
199104    ,2.09    ,1.46   ,-0.12    ,0.53
199105   ,-0.55   ,-1.49    ,1.45    ,0.47
199106   ,-0.64    ,0.52   ,-0.29    ,0.42
199107    ,5.78   ,-1.11    ,4.39    ,0.49
199108   ,-1.59   ,-0.75    ,1.41    ,0.46
199109    ,0.81    ,1.10    ,1.80    ,0.46
199110    ,3.77    ,0.43    ,1.29    ,0.42
199111   ,-0.35    ,2.45    ,0.51    ,0.39
199112    ,1.36   ,-2.40   ,-0.96    ,0.38
199201    ,1.30   ,-0.04    ,0.63    ,0.34
199202    ,2.00   ,-0.08    ,2.17    ,0.28
199203   ,-0.27    ,0.28   ,-1.17    ,0.34
199204    ,5.39   ,-4.26   ,-0.23    ,0.32
199205    ,7.92   ,-2.84    ,4.41    ,0.28
199206   ,-1.18   ,-0.12    ,0.08    ,0.32
199207   ,-3.37    ,1.48   ,-0.56    ,0.31
199208   ,-6.07   ,-0.22    ,1.25    ,0.26
199209   ,-2.51    ,0.75    ,2.43    ,0.26
199210    ,2.89   ,-2.99    ,2.21    ,0.23
199211   ,-1.98    ,2.29   ,-0.58    ,0.23
199212    ,0.63    ,1.48   ,-4.75    ,0.28
199301    ,1.03    ,0.31    ,1.09    ,0.23
199302    ,8.06   ,-1.47    ,1.32    ,0.22
199303    ,2.76    ,3.76   ,-1.29    ,0.25
199304    ,5.51    ,3.73    ,1.30    ,0.24
199305    ,4.89    ,2.72    ,0.79    ,0.22
199306   ,-2.79    ,2.44    ,2.33    ,0.25
199307    ,2.21    ,1.11   ,-1.86    ,0.24
199308    ,6.37   ,-1.38    ,0.86    ,0.25
199309    ,0.01   ,-2.97    ,0.53    ,0.26
199310   ,15.82   ,-5.09    ,1.71    ,0.22
199311   ,-2.38    ,2.41    ,1.83    ,0.25
199312   ,20.52   ,-6.15    ,7.23    ,0.23
199401    ,0.86    ,3.76    ,2.16    ,0.25
199402   ,-6.52    ,5.91    ,0.76    ,0.21
199403   ,-9.99    ,0.65    ,0.38    ,0.27
199404    ,2.14   ,-1.59   ,-0.06    ,0.27
199405    ,4.24   ,-4.30    ,0.54    ,0.32
199406   ,-6.39    ,2.58   ,-1.73    ,0.31
199407    ,4.75   ,-4.26    ,1.66    ,0.28
199408    ,3.63   ,-2.70   ,-0.24    ,0.37
199409   ,-2.53    ,0.88   ,-0.16    ,0.37
199410    ,0.94   ,-2.80    ,0.85    ,0.38
199411   ,-8.43    ,1.15    ,0.83    ,0.37
199412   ,-1.44   ,-1.55    ,0.94    ,0.44
199501   ,-7.64   ,-1.79    ,1.84    ,0.42
199502    ,5.83   ,-6.36    ,2.38    ,0.40
199503    ,0.51   ,-3.02   ,-0.51    ,0.46
199504    ,1.02   ,-0.58    ,0.02    ,0.45
199505    ,4.15   ,-4.11   ,-1.38    ,0.54
199506   ,-2.35    ,2.17    ,0.49    ,0.47
199507    ,4.83    ,3.28   ,-2.28    ,0.45
199508   ,-1.47    ,5.07   ,-3.64    ,0.47
199509    ,1.75   ,-1.17    ,3.45    ,0.43
199510   ,-0.78   ,-2.16    ,0.15    ,0.47
199511    ,0.81   ,-0.37    ,0.71    ,0.42
199512    ,2.82   ,-2.14    ,0.06    ,0.49
199601    ,8.33   ,-2.06    ,3.05    ,0.43
199602    ,0.34    ,2.21   ,-1.34    ,0.39
199603   ,-0.98    ,0.19   ,-0.22    ,0.39
199604    ,1.58    ,1.11   ,-0.31    ,0.46
199605    ,0.72    ,1.12   ,-1.13    ,0.42
199606   ,-2.13   ,-0.13    ,1.76    ,0.40
199607   ,-5.34   ,-0.20    ,2.41    ,0.45
199608    ,3.89    ,0.53   ,-2.02    ,0.41
199609    ,2.31   ,-0.51    ,0.85    ,0.44
199610    ,2.34    ,1.97   ,-0.50    ,0.42
199611    ,6.48   ,-0.89    ,4.74    ,0.41
199612   ,-0.45   ,-0.32    ,0.57    ,0.46
199701   ,-2.17    ,2.53   ,-1.13    ,0.45
199702    ,0.87    ,4.15   ,-0.27    ,0.39
199703   ,-4.71    ,2.10    ,0.31    ,0.43
199704   ,-0.01   ,-0.86    ,2.81    ,0.43
199705    ,6.90   ,-3.40    ,1.46    ,0.49
199706    ,2.22   ,-3.31   ,-0.23    ,0.37
199707    ,1.69    ,1.81    ,1.85    ,0.43
199708   ,-8.43    ,8.43    ,8.17    ,0.41
199709    ,3.75   ,-6.67   ,-5.05    ,0.44
199710  ,-22.35   ,-1.47   ,-4.43    ,0.42
199711   ,-1.53   ,-5.07   ,-2.07    ,0.39
199712   ,-1.47   ,-6.12   ,-1.38    ,0.48
199801   ,-8.61   ,-3.46   ,-8.91    ,0.43
199802   ,11.87    ,1.06    ,5.08    ,0.39
199803   ,-1.87   ,-0.55    ,1.80    ,0.39
199804   ,-5.69    ,1.91    ,0.11    ,0.43
199805  ,-11.07    ,1.05   ,-0.66    ,0.40
199806   ,-6.01   ,-5.32    ,3.69    ,0.41
199807   ,-3.72    ,0.21   ,-7.12    ,0.40
199808  ,-13.36   ,-1.65   ,-5.47    ,0.43
199809   ,10.76   ,-5.31    ,1.11    ,0.46
199810   ,18.07   ,-6.08   ,23.70    ,0.32
199811    ,4.62    ,2.48    ,2.10    ,0.31
199812   ,-2.67   ,-0.33   ,-2.17    ,0.38
199901   ,-0.40    ,2.46   ,-7.07    ,0.35
199902   ,-1.28   ,-0.61   ,-0.34    ,0.35
199903    ,8.14   ,-6.47    ,3.51    ,0.43
199904   ,16.83    ,2.04   ,11.48    ,0.37
199905   ,-5.42   ,12.41    ,5.85    ,0.34
199906    ,9.18    ,4.80    ,8.24    ,0.40
199907   ,-2.19   ,-1.98   ,-4.05    ,0.38
199908   ,-2.28   ,-0.73   ,-1.96    ,0.39
199909   ,-2.30    ,4.12    ,0.44    ,0.39
199910    ,1.19   ,-1.30   ,-3.06    ,0.39
199911    ,7.08   ,-0.89   ,-5.11    ,0.36
199912    ,8.98   ,-0.64    ,4.05    ,0.44
200001   ,-6.83    ,6.82    ,2.65    ,0.41
200002   ,-0.73    ,5.78   ,-1.47    ,0.43
200003    ,0.61   ,-2.06    ,1.27    ,0.47
200004   ,-6.45  ,-11.69   ,-0.40    ,0.46
200005   ,-8.45   ,-0.33   ,-3.08    ,0.50
200006   ,10.78   ,-4.56    ,1.74    ,0.40
200007   ,-0.65   ,-0.67    ,3.66    ,0.48
200008    ,2.21   ,-2.89    ,4.97    ,0.50
