This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 CF/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  CF/P is cashflow (earnings before extraordinary plus deferred tax income statement plus common equitys
 share of depreciation) at the last fiscal year end of the prior calendar year divided by ME at the end of December of the prior year.  Firms with negative or zero
CF/P are not included in any portfolio.
196402   1.11   2.09   2.37   0.97   1.01   3.83
196403   2.00   2.51   5.56   0.53   2.47   2.60
196404  -2.22  -0.74  -1.73  -0.72   1.98   0.71
196405   1.68   0.23   1.24   0.76   0.97   2.94
196406   1.06   1.62   1.51   1.94   1.13   1.40
196407   1.30   2.08   2.91   0.85   3.32   1.87
196408  -1.60  -0.10  -1.32  -1.97  -1.41  -0.38
196409   4.25   2.35   2.64   2.11   3.12   5.01
196410  -1.08   2.61   1.70  -0.20   1.78   0.22
196411  -0.91  -0.14  -0.96  -0.08  -0.04  -1.07
196412   0.32  -0.51  -1.81   1.07   0.06  -1.31
196501   5.79   6.59   6.30   4.57   2.21   3.58
196502   2.93   3.69   4.01   0.73  -0.98   0.12
196503   0.49   0.20   0.99  -1.53  -1.45  -0.57
196504   3.76   5.62   3.92   3.59   3.30   2.79
196505  -0.43  -0.49  -0.20   0.28  -1.79  -1.24
196506 -11.34  -9.39  -8.78  -4.76  -4.63  -5.36
196507   2.80   2.71   3.41   1.37   1.01   3.57
196508   8.26   4.57   4.13   2.35   2.47   1.43
196509   5.62   4.31   3.25   3.29   2.58   4.52
196510   6.72   6.03   6.49   2.14   2.77   5.30
196511   4.32   4.55   5.65  -1.28  -0.38   0.93
196512   5.39   2.70   3.62   0.46   1.35   2.08
196601   6.25   4.38   7.65  -0.40   1.26   2.96
196602   6.80   1.99   3.38  -1.46  -2.95   0.07
196603  -1.61  -3.17  -2.28  -2.06  -2.56  -1.35
196604   7.37   5.80   4.47   2.01   1.93   2.69
196605 -11.88  -9.81 -10.66  -4.75  -5.79  -6.82
196606   1.78  -0.88   0.07  -1.40  -2.15   1.33
196607  -2.81  -1.79  -1.28  -1.95  -0.70  -0.68
196608 -11.06 -10.52 -10.43  -7.58  -7.81  -8.67
196609  -1.60  -1.94  -2.03  -1.39   0.11  -0.89
196610  -3.26  -1.30  -0.52   4.04   5.71   3.34
196611   8.09   2.68   2.41   4.65  -2.55  -0.51
196612   3.34   1.95   0.94  -0.67   1.02  -0.11
196701  17.88  16.07  17.06   6.77   7.12  11.77
196702   5.25   1.82   2.25   2.27  -1.08  -1.90
196703   6.82   6.11   5.65   3.83   4.03   5.41
196704   5.75   3.86   4.04   5.87   2.72   3.77
196705  -2.04  -1.76  -1.82  -5.24  -4.96  -3.78
196706  11.55   7.45   7.65   1.89   1.20   2.99
196707   6.98   7.73   9.31   4.15   4.41   6.60
196708  -2.00   0.39   0.47  -0.83  -1.94  -0.89
196709   7.13   4.62   4.93   3.79   2.82   1.73
196710   0.42  -3.20  -4.06  -1.07  -3.58  -5.68
196711   0.37   0.88  -0.40   1.52  -1.21  -1.32
196712  12.00   6.13   7.10   1.62   3.21   4.81
196801  -3.29   0.86   2.73  -6.38  -2.47  -2.53
196802  -8.30  -6.16  -4.47  -3.27  -3.44  -3.81
196803  -2.09  -1.52  -0.25   2.04  -0.87   0.52
196804  18.13  13.00  13.92  10.38   5.94   9.45
196805  10.40   7.70   8.90   2.11  -0.19   1.95
196806  -0.96   0.89   1.66   0.06   2.24  -0.19
196807  -5.77  -3.22  -1.55  -5.36  -1.94   2.32
196808   3.48   2.98   4.58   0.88   0.79   1.16
196809   8.05   6.60   5.96   2.40   4.90   4.38
196810  -0.88   0.94   2.21  -1.52   1.70   2.55
196811   8.08   7.57   7.05   6.32   3.35   5.76
196812   0.62  -0.39  -1.57  -5.23  -3.56  -3.65
196901  -1.90  -1.56  -0.37  -2.13  -0.03  -0.39
196902 -10.89  -8.08  -7.73  -4.39  -5.27  -5.58
196903   3.53   1.67   2.81   4.17   2.17   3.15
196904   1.31   1.15   0.30   3.59   0.90   1.66
196905  -0.14   0.30   0.00  -0.39  -1.62   1.68
196906 -12.89 -11.04 -10.76  -2.73  -7.33  -7.86
196907 -11.47  -9.40  -7.89  -4.64  -6.58  -7.22
196908   7.31   4.58   3.68   6.89   4.16   2.26
196909  -0.51  -2.75  -2.16   0.03  -3.71  -4.72
196910  11.27   7.61   6.16   6.40   6.24   2.61
196911  -5.52  -5.13  -6.55  -2.22  -4.09  -4.50
196912  -5.39  -5.12  -6.04   1.00  -2.33  -3.62
197001  -5.93  -5.01  -3.20  -8.08  -7.60  -8.07
197002   2.89   3.42   4.23   3.73   6.35   6.46
197003  -5.33  -1.22   0.00  -2.50   0.26   1.77
197004 -21.38 -13.02 -11.17 -10.72 -10.41  -7.75
197005 -11.61 -10.32  -8.51  -8.53  -7.57  -3.39
197006  -9.86  -6.85  -5.93  -5.75  -4.43  -5.08
197007   7.06   6.93   6.17   4.74   9.02   9.08
197008   6.41   5.59   7.10   3.71   3.41   6.09
197009  16.40  10.90   9.57   6.88   1.21   1.44
197010  -7.49  -5.98  -4.98  -1.02  -2.87  -0.70
197011  -0.62   2.38   2.25   4.57   5.91   4.53
197012   7.45   9.31   9.76   5.08   7.25   5.43
197101  11.25  11.65  11.57   4.05   6.13   2.35
197102   4.43   2.67   3.16   2.14  -1.38   1.89
197103   8.28   5.61   4.17   5.90   2.93   2.50
197104   3.72   2.85   3.63   3.21   2.61   4.79
197105  -4.58  -5.29  -5.26  -3.02  -4.56  -5.21
197106   0.46  -1.55  -1.90   0.91   0.82  -1.37
197107  -6.73  -4.92  -5.12  -4.48  -3.96  -3.68
197108   4.52   4.13   4.61   5.53   3.22   0.55
197109   0.45  -1.45  -0.89   0.44  -1.34  -1.86
197110  -5.97  -4.58  -6.34  -3.39  -4.51  -4.66
197111  -2.14  -3.68  -3.26   0.68  -1.35  -1.06
197112  13.32  11.16  11.88   8.89   9.06   8.24
197201  10.14   6.67   8.12   2.30   1.17   2.01
197202   4.58   2.90   2.93   4.28   1.63   0.22
197203   0.78   1.00  -0.91   2.44   0.37  -2.62
197204   1.05   0.21   0.29   1.00   0.30  -0.81
197205  -0.74  -2.34  -2.49   2.71  -0.90   1.26
197206  -3.20  -2.40  -3.44  -1.19  -2.83  -3.46
197207  -5.08  -2.98  -2.31   0.98  -1.67  -1.13
197208  -1.01   2.26   1.78   0.10   5.71   7.14
197209  -3.54  -3.18  -3.06   0.06  -2.90  -0.11
197210  -3.69  -0.41  -0.27   0.61   1.35   1.29
197211   3.31   5.33   7.10   1.54   6.58   7.61
197212  -1.08  -1.56  -1.95   3.18  -1.34  -0.09
197301  -8.35  -4.86  -3.55  -2.00  -5.56  -0.50
197302 -11.18  -7.56  -6.65  -3.14  -4.37  -5.84
197303  -4.11  -3.16  -1.40  -1.10  -0.95   0.71
197304 -10.62  -6.35  -4.63  -6.49  -4.46  -1.36
197305 -10.09  -8.10  -7.06  -0.66  -2.38  -4.01
197306  -5.49  -3.43  -2.95  -0.59  -2.30  -0.38
197307  18.03  10.02   8.97   6.62   2.91   2.31
197308  -3.75  -5.45  -5.24  -3.67  -3.02  -3.69
197309  10.83   9.18   8.46   1.36   8.99   9.01
197310  -1.89   0.20  -0.09   0.11  -0.19  -1.98
197311 -22.18 -18.40 -17.04 -11.93 -13.03 -11.35
197312  -3.17  -1.35  -2.15  -1.70   4.76   5.38
197401   7.41   9.68  12.21  -1.65  -1.08   1.99
197402  -0.73   0.35   1.80  -1.48   0.16   1.05
197403  -0.63  -0.05  -0.09  -2.02  -3.22  -3.13
197404  -7.25  -5.01  -4.21  -3.69  -5.85  -4.99
197405  -8.40  -7.56  -6.99  -2.08  -6.59  -4.15
197406  -3.83  -2.50  -1.29  -2.37  -2.51  -1.29
197407  -6.26  -4.45  -3.39 -10.28  -2.94  -7.55
197408  -9.60  -8.45  -7.86 -10.65  -7.88  -6.04
197409 -11.42  -8.01  -8.13 -14.27  -6.93  -8.58
197410  12.20   8.41   7.27  21.88  13.50   2.50
197411  -4.30  -5.85  -5.79  -4.39  -4.68  -6.44
197412  -7.10  -6.04  -8.06  -3.80  -0.57  -1.14
197501  24.36  26.44  28.96  10.27  15.00  22.14
197502   6.38   3.98   1.64   8.03   2.25   0.92
197503   6.50   5.86   9.03   2.94   0.62   6.44
197504   4.66   4.44   2.96   5.39   2.95   4.66
197505   8.89   6.98   6.36   4.85   5.61   2.23
197506   7.20   6.03   6.47   3.90   6.10   7.47
197507  -2.87  -3.05  -2.20  -8.34  -4.34  -5.28
197508  -4.48  -5.04  -6.19  -3.27  -1.97  -1.36
197509  -4.42  -3.67  -3.41  -4.96  -1.96  -3.70
197510   1.05   2.92   2.21   7.68   4.51   2.82
197511   1.07   2.39   3.27   3.32   1.29   2.92
197512  -1.53  -1.46  -0.93  -2.63   0.27   0.44
197601  15.75  17.84  21.91  11.00  11.43  18.26
197602   5.74   7.58  10.50  -2.11   0.28   2.11
197603   1.55   0.72   1.15   2.73   2.85   1.43
197604  -1.56  -0.93  -1.24  -2.44   0.48  -0.18
197605  -2.03  -2.09  -3.01  -2.19  -0.58  -0.83
197606   3.47   3.20   3.66   4.58   4.07   5.64
197607  -0.56   0.66  -0.02  -1.22  -0.98   0.41
197608  -3.69  -1.44  -2.02  -0.64  -0.31  -0.61
197609   2.29   2.29   3.17   1.15   3.33   3.93
197610  -2.86  -1.47  -2.59  -2.53  -2.61  -0.94
197611   3.39   2.70   3.39  -1.33   0.16   1.34
197612   9.56   9.24   9.01   4.12   6.69   6.38
197701  -0.07   1.59   3.28  -7.78  -2.33  -0.68
197702  -2.02  -1.40   0.09  -1.95  -3.29  -1.77
197703  -0.04  -0.06   0.42  -1.55  -1.43  -1.03
197704   0.95   0.34   2.39  -1.99   1.89   2.09
197705  -0.82   0.21  -0.02  -2.80  -1.32  -1.20
197706   7.01   5.84   6.47   5.73   4.13   3.42
197707  -0.27   0.24   0.10  -1.12  -1.94  -1.89
197708   0.88  -1.25  -1.96   0.59  -4.14  -4.21
197709   0.70   1.09   1.38  -1.44  -0.32   2.20
197710  -3.07  -2.24  -2.11  -4.62  -3.85  -4.14
197711   7.36   6.97   7.96   3.65   3.19   1.78
197712   2.30   1.38   1.64  -0.05   0.41   0.81
197801  -3.90  -3.55  -2.33  -6.14  -6.09  -5.99
197802   1.20   1.92   2.13  -3.43  -2.22   0.23
197803   6.72   5.61   6.56   1.79   2.76   3.85
197804   8.61   7.53   7.75  11.25   6.90   5.56
197805   6.67   5.44   5.65   1.42   0.94  -0.75
197806   0.14  -0.21  -0.26  -1.18  -2.19  -2.02
197807   6.20   5.14   5.55   6.94   4.46   4.32
197808   7.93   7.67   8.79   2.91   3.43   2.53
197809  -1.57  -2.00  -0.31  -3.08  -0.10   0.89
197810 -21.75 -18.48 -20.47  -9.62 -10.65  -9.99
197811   7.18   5.08   4.92   1.86   2.79   2.15
197812   2.67   1.74   1.72   2.54   0.11   0.84
197901   8.09   7.41   9.44   3.17   5.11   4.42
197902  -3.39  -2.96  -2.35  -4.73  -3.11  -3.25
197903   9.81   8.09   9.26   4.93   5.89   6.36
197904   1.46   2.27   3.81   0.09  -0.40   1.12
197905  -2.66  -1.81  -0.78  -2.72  -1.76  -2.72
197906   5.20   5.26   5.55   2.42   5.88   4.62
197907   2.68   2.96   3.19  -0.14   2.05   1.73
197908   8.11   6.93   7.78   5.74   5.07   4.56
197909   0.65  -1.04  -1.64  -2.27   0.80   0.82
197910  -9.58 -10.12 -12.00  -7.05  -7.07  -6.65
197911  10.18   6.13   6.78   5.04   5.26   4.28
197912   7.26   4.16   6.47   1.92   1.81   1.31
198001   8.02   6.14   9.30   2.60   6.49   7.75
198002  -1.15  -3.34  -2.34  -5.22   0.91   0.95
198003 -19.18 -15.75 -18.74  -7.57 -11.83 -12.03
198004   6.77   5.69   4.53   3.94   5.78   3.93
198005   7.61   7.45   7.82   5.04   5.29   4.13
198006   4.37   4.18   4.51   2.76   2.77   3.18
198007  12.86   8.18   9.19  11.02   4.38   4.12
198008   7.69   3.97   4.23   1.53   0.46   1.36
198009   4.32   2.51   2.20   3.33   3.34   1.40
198010   5.72   2.10   3.02   0.30   2.40   1.74
198011  11.07   4.26   3.78  10.21  10.38  11.59
198012  -5.30  -1.55  -2.16  -0.71  -3.22  -6.01
198101  -3.47   0.77   1.06  -5.58  -5.24  -3.57
198102  -0.27   1.72   1.89   2.64   1.11  -0.04
198103   7.52   7.35   7.77   4.59   4.55   1.25
198104   2.49   3.78   3.17  -0.99  -3.71  -0.26
198105   4.24   2.66   2.32   1.82  -0.71  -1.02
198106  -5.05   0.67   0.14  -4.71   0.80   1.04
198107  -2.66  -2.46  -2.28   0.17  -0.39   0.66
198108  -9.85  -6.05  -5.54  -8.06  -5.99  -5.28
198109 -10.65  -6.45  -5.12  -6.52  -5.63  -4.82
198110  10.59   6.18   6.01   7.92   5.81   2.99
198111   0.89   4.50   4.44   2.61   4.75   3.19
198112  -2.28  -1.73  -1.27  -3.00  -3.35  -3.05
198201  -5.17  -2.76  -2.38  -2.51  -2.23  -2.15
198202  -7.13  -3.47  -1.92  -7.13  -5.76  -4.38
198203  -2.61  -0.33   0.02  -2.15  -1.14   0.13
198204   6.06   5.24   4.54   4.91   5.03   1.82
198205  -3.50  -2.29  -2.20  -4.62  -3.82  -2.99
198206  -3.97  -2.26  -1.48  -2.92  -1.42  -2.69
198207  -2.30  -0.53  -1.49  -1.77  -1.67  -3.87
198208   7.83   7.88   8.01  12.58  10.03  11.52
198209   2.66   3.98   5.05   1.25   2.11   0.42
198210  15.24  12.26  12.31  14.69  10.99   8.22
198211   9.91   7.51   7.98   7.96   3.82   0.05
198212   1.05   0.35   1.85  -0.59   1.59   1.62
198301   9.46   5.03   4.82   1.96   2.89   5.58
198302   5.03   4.81   6.31   3.23   2.64   0.63
198303   2.99   5.30   6.34   3.12   3.11   2.83
198304   7.73   7.54   6.89   5.55   7.61   7.66
198305   7.99   4.91   4.67   0.16  -1.49  -0.40
198306   5.68   3.94   2.63   5.09   3.15   1.75
198307  -5.69  -0.69   1.48  -5.61  -3.62  -1.74
198308  -4.98  -2.57  -1.01  -2.18  -0.28   3.54
198309   0.91   3.07   2.50   1.42   2.90  -0.15
198310  -8.64  -4.26  -3.20  -4.66  -1.09  -1.03
198311   5.37   4.56   3.02   4.33   1.21   0.44
198312  -2.91  -0.70  -0.65  -2.60  -0.06  -1.26
198401  -4.31  -0.74   0.70  -5.48  -3.02   4.28
198402  -6.76  -5.42  -3.22  -5.30  -5.05  -2.24
198403   0.02   1.21   1.37   1.33   1.99  -0.71
198404  -1.25   0.34   0.42  -0.32   0.08   2.00
198405  -5.96  -4.80  -4.27  -7.00  -5.20  -4.90
198406   4.13   3.08  -0.02   4.89   2.16   1.72
198407  -5.48  -2.18  -3.23  -2.27  -0.92  -2.27
198408  13.48   9.89   9.53  11.79  10.16  10.30
198409  -3.32   1.60   2.01  -3.54  -1.06   2.47
198410  -2.72   0.26   0.73  -0.45   1.04  -0.44
198411  -4.08  -0.71   0.45  -2.61  -1.64  -0.70
198412   1.97   1.97   2.44   2.53   2.27   2.10
198501  14.12  10.95   8.41  10.06   8.89   5.45
198502   2.51   2.72   1.82   0.06   0.97   2.07
198503  -4.14  -0.72   0.99  -1.61  -0.87   1.16
198504  -2.19   0.70   0.80  -1.63  -1.06   0.83
198505   3.46   4.76   3.42   5.85   6.64   4.37
198506   0.55   3.08   2.83   2.12   0.68   1.73
198507   3.10   2.14   0.61  -0.32  -0.71  -1.54
198508  -1.91  -0.68   0.43  -1.84  -1.16  -0.07
198509  -6.99  -4.84  -3.80  -4.22  -3.48  -3.84
198510   2.91   3.91   3.23   4.25   4.63   4.95
198511   8.25   6.83   5.65   9.33   7.09   4.00
198512   4.76   3.69   4.29   4.78   5.28   3.27
198601   2.16   1.24   2.60   1.91   0.03   0.09
198602   6.79   7.80   7.59   8.92   7.45   6.04
198603   3.65   5.14   5.55   6.32   5.40   4.62
198604   2.07   1.38   1.19   0.06  -0.57  -3.02
198605   3.34   5.40   3.20   6.29   4.61   4.42
198606  -0.25   0.37   2.16   2.17   0.82   2.13
198607 -10.50  -8.10  -6.53  -6.39  -7.22  -2.76
198608   2.94   3.23   3.81   5.50   5.40   8.99
198609  -7.85  -6.14  -4.32 -10.15  -9.23  -7.44
198610   4.13   2.75   3.32   6.60   4.60   4.90
198611   0.06   0.35  -0.07   1.89   1.55   1.26
198612  -2.77  -2.46  -2.52  -1.83  -3.60  -3.30
198701  13.01  10.52   9.13  14.84  12.25  12.03
198702   8.74   6.66   5.59   7.73   6.16  -1.33
198703   0.95   1.86   2.66   1.03   1.59   2.81
198704  -3.09  -3.19  -4.22  -2.23  -1.54  -1.54
198705  -0.02  -0.21  -0.09   0.99   0.46  -0.23
198706   1.29   3.76   2.92   4.72   4.85   4.60
198707   2.38   3.74   3.00   5.90   4.24   2.32
198708   3.30   3.74   3.89   4.59   4.38   2.88
198709  -2.05  -2.26  -1.29  -2.28  -2.91  -2.50
198710 -31.50 -27.72 -27.22 -22.76 -23.44 -17.18
198711  -5.42  -4.98  -3.37  -9.37  -7.93  -8.10
198712   9.39   7.55   5.76   8.75   7.28   4.86
198801   1.84   4.47   4.41   1.68   3.69   7.75
198802   8.09   7.94   7.62   5.04   5.04   2.13
198803   3.72   3.46   3.02  -3.17  -3.31  -2.76
198804   2.44   0.87   2.06  -0.72   0.34   1.92
198805  -2.88  -1.90  -0.88   0.19  -0.42   1.35
198806   7.48   6.90   6.73   4.53   5.77   3.65
198807  -2.59  -0.60   0.20  -1.67  -0.50  -1.08
198808  -3.44  -2.48  -2.00  -3.08  -3.03  -3.49
198809   2.45   3.01   2.97   4.77   3.70   3.21
198810  -1.53  -0.48   0.28   0.87   2.57   2.47
198811  -3.43  -2.64  -3.55  -1.80  -2.89  -1.37
198812   4.20   3.13   4.22   2.03   1.79   0.92
198901   3.62   4.07   5.55   6.97   6.08   6.84
198902   0.68   0.86   0.31  -2.58  -2.39  -2.53
198903   2.98   2.31   2.18   2.01   1.10   2.29
198904   5.28   3.89   4.61   6.02   4.28   4.71
198905   4.04   3.14   4.79   4.56   3.37   3.05
198906  -3.48  -0.88  -0.45  -1.45  -0.37  -0.28
198907   4.23   4.08   3.48  10.07   7.99   6.77
