This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 CF/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  CF/P is cashflow (earnings before extraordinary plus deferred tax income statement plus common equitys
 share of depreciation) at the last fiscal year end of the prior calendar year divided by ME at the end of December of the prior year.  Firms with negative or zero
CF/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
195107   3.44   6.47   5.72   5.48   7.96   9.34
195108   6.68   4.56   4.30   2.87   4.92   6.01
195109  -0.06   0.97   0.52  -0.61   0.21  -0.45
195110  -1.71  -1.00  -2.19  -4.64  -1.49  -1.91
195111  -0.40   0.71  -0.39  -0.43  -0.45  -1.29
195112  -0.25   0.90   0.48   3.85   3.99   2.25
195201   0.65   1.31   0.38  -0.78   2.20   4.12
195202  -4.06  -2.87  -2.35  -3.42  -3.95  -5.80
195203   0.72  -0.34   2.11   1.32   6.80   6.43
195204  -3.60  -5.83  -5.07  -4.41  -6.01  -7.77
195205   0.40   2.14   1.56   2.68   2.75   2.35
195206   1.73   2.56   2.07   2.80   5.26   4.84
195207   1.06   0.76   0.96   1.25   0.94  -0.14
195208  -0.88  -0.17  -0.64  -0.67  -1.87  -2.73
195209  -2.12  -0.85  -2.12  -1.61  -2.40  -4.39
195210  -1.94  -1.58  -1.93  -0.43  -0.67   0.52
195211   6.55   3.23   6.09   6.58   3.65   3.87
195212   2.82   1.28   0.80   2.12   3.20   3.15
195301   3.56   2.42   4.19  -0.15  -1.45  -0.92
195302   2.52  -0.08   1.77  -1.08  -1.03  -0.91
195303  -5.39  -1.37  -1.36  -1.62  -1.38  -2.34
195304  -1.00  -2.08  -0.72  -1.95  -4.11  -2.50
195305   0.62   0.55   0.37  -0.06   0.10  -0.27
195306  -4.96  -3.25  -5.32  -2.03  -1.57  -1.17
195307   0.08   1.42   1.79   2.26   2.97   3.36
195308  -5.50  -3.59  -6.92  -3.62  -4.76  -8.12
195309  -2.19  -1.53  -0.74   1.18  -0.29  -1.09
195310   1.98   3.55   4.16   4.24   4.52   7.12
195311   3.51   0.07   0.13   2.54   1.72   1.07
195312  -1.75  -0.78  -3.02  -0.08  -0.10   1.39
195401   5.54   5.05   6.91   3.21   6.28   7.40
195402   0.58   1.88   0.41   0.85   0.70   2.23
195403   1.53   1.39   1.67   3.74   2.66   5.72
195404   3.08   3.32  -0.37   4.85   4.52   5.12
195405   2.92   2.47   5.59   1.72   2.56   2.88
195406   0.42   3.22   0.81   3.06  -0.77  -2.45
195407   4.26   5.74   9.44   2.84   6.18   7.42
195408  -0.88  -2.59  -0.56  -3.47  -2.91  -3.28
195409   4.33   4.40   3.99   4.58   8.82   9.04
195410  -1.97  -1.95   0.25  -2.66  -1.76  -0.56
195411   9.33   7.30  10.89   8.97   6.71  10.47
195412  11.90   8.97  10.42   2.54   4.96   8.98
195501   1.93   1.79   1.44  -0.28   1.35   1.48
195502   3.63   4.72   6.15   2.95   1.21   2.93
195503   0.32   0.67  -1.45  -0.91  -0.48   0.63
195504  -0.45   1.24   1.31   4.49   2.73   2.62
195505   0.34  -0.92   0.39   1.96  -0.11  -1.01
195506   1.73   3.47   3.26   5.06   7.90  11.33
195507   0.02   1.05   1.53  -0.92   7.28   0.74
195508   0.55   0.72   0.07   1.29  -2.10   0.31
195509  -1.87  -1.04   0.30  -2.33   1.48   0.89
195510  -1.73  -1.21  -0.85  -2.96  -2.78  -2.30
195511   5.56   3.64   3.75   6.62   5.87   6.36
195512   4.97   1.43   1.31   2.27   0.26   2.64
195601  -3.92  -0.99  -2.45  -4.68  -2.20  -1.95
195602   1.04   1.77   2.70   4.86   2.36   3.93
195603   2.41   4.10   4.12   6.91   5.94   8.06
195604  -0.96   1.31   1.95  -0.71  -0.96   4.98
195605  -5.55  -5.34  -4.06  -5.44  -4.18  -8.19
195606   1.69   1.71   1.75   4.21   3.11   4.16
195607   2.13   3.04   4.41   4.40   4.88   7.60
195608  -0.32  -0.26  -0.36  -4.64  -2.47  -3.10
195609  -1.86  -3.21  -3.76  -6.77  -4.41  -3.65
195610   0.15   1.12   1.43   1.19  -0.53   1.22
195611   3.71   0.01   1.06  -1.52  -0.86   3.38
195612   4.18   4.08   2.66   3.68   2.16   5.69
195701   0.53   1.93  -0.39  -3.95  -2.53  -7.50
195702  -4.89  -4.48  -2.57  -1.90  -2.09  -2.83
195703   1.26   2.19   1.63   2.89   1.22   1.67
195704   2.50   3.21   4.00   5.10   3.84   5.47
195705   1.17   1.85   0.43   4.25   2.18   3.85
195706  -1.27  -1.51   0.20   0.90  -2.22  -1.15
195707   0.22  -0.81   0.88   1.46   0.56   0.10
195708  -3.90  -4.78  -5.73  -5.92  -3.86  -6.09
195709  -5.44  -4.85  -4.82  -6.69  -4.57  -6.57
195710  -6.26  -6.25  -6.98  -3.38  -3.67  -5.43
195711   6.98   0.78   0.85   2.12   1.90   1.31
195712  -1.21  -4.30  -5.40  -3.50  -3.00  -6.46
195801   7.86  10.35  11.52   3.39   4.27   5.62
195802  -2.92  -1.80  -0.04  -2.71  -0.51  -3.75
195803   4.87   2.94   3.54   2.74   3.00   5.61
195804   7.33   1.56   2.10   2.73   3.53   1.20
195805   3.58   3.37   3.57   1.00   2.25   1.81
195806   2.52   2.81   2.92   2.92   2.09   2.93
195807   5.03   5.48   6.95   4.11   3.60   6.39
195808   2.91   3.12   3.08   1.47   0.71   3.06
195809   8.71   5.15   7.28   4.35   5.17   4.94
195810   2.60   3.04   3.96   2.12   2.61   3.40
195811   3.87   7.18   2.20   3.26   1.97   1.56
195812   1.93   2.64   3.70   5.58   5.32   5.22
195901   4.85   3.51   6.84  -0.49   1.18   2.41
195902   1.87   5.14   3.54   1.97  -1.38   0.56
195903   2.05   0.36   2.69   0.78  -0.13   0.87
195904  11.47   4.67   2.43   4.68   3.51   3.57
195905  -3.39   0.42   0.53   2.46   0.92   2.41
195906   0.47   1.56   1.81   0.09  -1.46   1.28
195907   0.58   3.96   3.40   3.94   2.63   3.84
195908  -3.70  -1.96  -1.71  -1.94  -0.13  -3.10
195909  -7.40  -3.96  -5.12  -4.76  -4.35  -4.83
195910   4.88   1.36   1.06   1.33   1.06   2.19
195911   3.70   0.70   1.85   2.73   0.28  -0.92
195912   5.74   3.05   1.16   3.02   2.41   2.33
196001  -7.92  -4.08  -5.65  -8.74  -5.09  -6.79
196002   5.20   0.10   1.44   1.18   2.30  -1.51
196003  -4.06  -1.87  -3.28  -1.02  -1.45  -1.95
196004   0.68  -2.31  -1.83  -1.63  -1.52  -1.66
196005   7.32   2.46   2.02   4.70   1.95  -1.98
196006   1.61   0.83   2.96   1.76   2.50   2.48
196007  -4.69  -3.03  -1.50  -3.99  -0.72  -0.27
196008   3.90   1.57   2.14   1.77   3.57   3.42
196009  -8.48  -6.24  -6.44  -7.27  -4.92  -3.16
196010  -7.70  -2.58  -3.56  -1.50   0.46   0.70
196011   9.19   3.58   3.64   4.60   3.61   3.96
196012   5.80   3.12   3.27   3.17   6.77   5.14
196101   5.47   7.16  11.02   4.67   6.87   8.03
196102   7.82   5.95   7.39   3.50   2.04   2.42
196103   7.30   5.76   5.05   1.75   3.98   2.07
196104   2.23   0.04   0.99  -0.80   0.90   4.02
196105   3.93   4.29   6.51   3.08   1.32   0.49
196106  -6.43  -4.01  -5.98  -1.80  -3.96  -2.69
196107   1.34   0.20   1.34   1.91   4.24   3.43
196108  -0.89   1.05   0.76   3.98   0.89  -0.31
196109  -6.44  -2.83  -3.43  -1.04  -1.42  -5.61
196110   3.06   2.36   0.37   2.73   2.48   4.52
196111   8.45   6.06   3.51   2.97   5.13   3.52
196112  -0.52  -1.77   0.72  -1.42   1.22   1.74
196201  -2.68  -1.45   0.66  -5.94  -3.18  -0.55
196202  -0.30   0.86   1.53   1.06   1.96   2.28
196203  -0.09  -1.13  -0.70   0.02  -0.51  -2.30
196204  -8.36  -7.19  -7.04  -8.15  -4.83  -5.48
196205 -11.75  -9.79 -10.43 -10.82  -7.71  -6.66
196206 -11.48  -7.66  -6.78 -10.73  -6.80  -6.49
196207   9.20   5.35   5.33   8.82   5.67   4.30
196208   3.02   2.39   3.38   2.06   1.66   0.90
196209  -8.21  -7.04  -6.86  -6.32  -4.39  -3.37
196210  -5.19  -3.97  -1.68  -0.01   1.32  -0.37
196211  15.58  11.95  13.43  12.13   8.10  10.47
196212  -3.33  -1.47  -1.12   0.88   1.59   2.76
196301   7.27   8.08   8.59   4.47   5.43   3.48
196302  -3.29  -1.95  -0.82  -3.48  -2.74  -1.93
196303   0.03   1.58   2.13   2.44   3.45   5.36
196304   2.50   2.78   4.12   4.75   3.96   6.24
196305   3.48   2.76   3.75   1.82   1.15   1.05
196306  -1.75  -2.18  -2.12  -2.84  -2.04  -0.46
196307  -0.67  -0.49  -0.93  -0.43   0.70  -0.80
196308   5.41   5.02   4.24   5.06   4.16   6.47
196309  -3.88  -0.27  -2.10  -0.68  -1.81  -2.15
196310   0.49   1.58   2.06   3.39   3.08   1.63
196311  -3.45  -1.43  -0.91   0.21  -2.84  -1.61
196312   1.20   0.19   0.18   1.78   2.48   3.04
196401   1.26   1.85   4.29   2.90   2.62   1.48
