
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
199304  23.86  29.46  21.47  16.27  21.95  18.42  23.72  26.56  19.59  29.17
199305   3.72   4.97   1.98   5.33  -1.81   3.02   9.73   3.14   0.20   8.36
199306  -9.70  -9.70 -12.09 -15.05  -4.09 -11.71 -11.10  -7.93  -8.58 -13.59
199307   2.14   3.60  -1.76  -0.12  -7.07  -6.29  11.83   3.05  -2.80   6.25
199308  12.36  19.00   8.31   3.14   9.52   5.86   9.33  17.49   4.69  17.33
199309   0.01  -4.77   0.76   8.20   1.48   0.16   3.39  -1.77   3.28  -2.04
199310  10.75   7.75   9.41   3.73   7.52   7.18  14.39  11.01   6.16  12.33
199311  -5.13  -4.99  -5.95  -3.24   5.95  -0.21 -10.83  -4.97  -0.75  -8.43
199312   7.65   9.45   8.60   7.62  16.43  12.52  13.51  10.86   1.70  13.49
199401  24.93  23.17  20.99  27.52  16.92  21.57  23.94  20.53  25.22  27.95
199402  -1.35  -1.58  -2.16  -5.88   1.25   1.77  -0.55   4.56  -2.88  -2.39
199403  -4.05 -12.00  13.56  -9.05  18.99 -10.33   1.07  -8.07   6.56  -8.43
199404   7.16   4.56  10.73   5.00  16.36   7.64  10.36   9.70  13.13   2.21
199405  -5.73  -1.62  -8.73  -3.55 -12.63  -4.07  -9.20  -2.45 -11.76  -0.99
199406  -1.23  -1.93   2.65  -8.31   7.14  -3.79   5.70  -6.92   8.77  -4.91
199407  10.80   7.89  16.02   7.42  17.05   7.30  13.48   3.55  13.56  10.64
199408   8.45   6.74  10.42  -0.16  10.08   1.09  13.38   2.20  14.52   7.77
199409   1.26   1.19   4.09   2.82   5.96   2.60   2.17   0.54   3.53  -1.47
199410  10.89   1.81  21.75   9.26  26.75   7.95  16.23   8.66  20.57   4.29
199411 -10.90 -10.33 -10.86 -12.41 -10.48 -12.72  -9.75 -11.35 -10.41  -9.54
199412   3.55   2.10   5.52   5.88   7.09   3.18   4.89   5.80   5.78  -1.31
199501  -2.22  -5.43  -1.24  -3.94  -1.22  -1.99  -1.20  -1.34  -1.19  -3.01
199502   1.56   5.84  -0.79   8.66   0.58  11.45  -0.71   0.21   1.04   3.09
199503  -3.28  -7.00  -0.85  -4.76  -1.62  -3.69   0.15  -4.50  -1.21  -8.39
199504  13.57  10.48  13.42  11.90  13.27  13.13  11.33   8.02  13.69  14.04
