
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198006  12.28  11.27  13.17  10.85  14.80  10.24  15.78  10.71  12.81  11.15
198007   2.79   1.66   2.91  -0.21   6.51   0.09   5.30   3.03   2.30  14.45
198008   2.38   0.77   2.94   1.81   3.44   1.68   3.84   0.56   3.07 -36.41
198009   2.69  -0.46   4.74   5.46   1.98   4.17   1.64  -1.29   4.72  -5.13
198010   7.88   2.22  11.13  12.56   7.81  14.70   8.44   1.58  12.45  10.06
198011  -2.69  -6.51  -1.11  -2.81  -1.77  -0.91  -0.07  -7.22  -2.82  -3.30
198012  -5.03  -1.73  -6.23  -7.61  -2.00  -8.68  -1.80  -3.58  -4.97  -5.99
198101  -1.24  -0.55  -1.75  -3.43   0.94  -0.84  -0.01  -3.54  -1.37  48.70
198102  -3.60  -0.28  -4.65  -5.10  -3.36  -3.85  -2.55  -2.63  -3.83 -10.85
198103   2.21   4.32   0.11  -3.65   5.16  -1.90   5.60   1.67   3.34   1.79
198104   2.95  10.90  -0.78   1.75   0.84   4.29   1.82  10.56   0.66 -99.99
198105  -8.53  -9.86  -6.32  -5.56  -8.71  -6.98  -8.33 -10.25  -7.95 -99.99
198106  -5.08  -3.75  -7.53  -9.90  -2.67 -14.37  -3.33  -6.85  -3.58 -99.99
198107  -4.36  -6.30  -2.50  -2.41  -4.66  -2.21  -5.48  -4.73  -3.66 -99.99
198108   4.05   4.29   3.55  -0.04   6.74   1.49   6.41   1.92   4.56 -99.99
198109 -18.29 -14.82 -18.36 -16.46 -19.06 -17.38 -19.77 -14.21 -19.55 -99.99
198110   5.23   1.44   8.02  10.13   3.11  10.28   2.71   1.84   5.26 -99.99
198111  18.46  20.68  17.48  17.47  19.83  17.98  20.05  16.02  19.55 -99.99
198112  -3.99  -2.84  -3.60  -5.07  -2.44  -5.37  -1.97  -3.59  -3.19 -99.99
198201   3.01   6.02   4.78  -1.79   5.01  -0.43   5.30   0.76   3.94  -2.24
198202  -8.76  -5.84  -8.67  -7.43  -8.90  -9.32  -9.17  -8.29  -9.43 -25.05
198203   1.41  -2.97   3.51  -3.42   1.76   3.81   3.36  -3.02   2.64   6.94
198204   1.32  -2.53   1.80   2.59   2.09   5.63   2.68   1.93   2.39  13.20
198205   3.85   3.20   5.90   1.60   5.24   1.71   6.65   1.09   6.22   6.56
198206  -7.27  -7.84  -4.99  -9.73  -5.39 -11.05  -5.00  -9.47  -4.91 -17.67
198207   3.38   0.31   6.10   0.71   5.22  -2.43   6.70  -0.88   6.22   0.58
198208   1.24  -2.82   1.23   1.68   0.57   6.36   1.25   2.54   0.81  12.26
198209   4.01  -3.04  10.76  -0.93   8.85  -5.47  11.39  -1.98  10.37  -4.36
198210   0.72   4.91  -2.51   6.54  -2.26   8.21  -3.80   8.09  -3.99   8.64
198211  -2.70  -3.82  -0.91  -5.36  -1.45  -8.21  -0.99  -6.03  -0.66 -12.65
198212   1.71  -0.71   0.77   1.97   0.40  -0.32  -0.03   0.98   0.52  -3.28
198301  -2.26   3.33  -6.75   0.70  -5.54  -1.36  -7.67   3.14  -7.46 -10.99
198302   0.04   2.12   1.44  -1.76   0.89  -0.08   1.68  -0.99   1.63  34.28
198303   0.45   2.23  -2.37   5.00  -0.83   6.33  -1.84   3.72  -1.44   4.87
198304  13.85  14.24  13.31  14.60  14.19  17.85  13.75  18.22  13.15  14.29
198305   2.88   5.92   4.05   2.98   4.40   3.19   4.33   2.78   4.23  -3.69
198306  -0.08   0.32  -3.05   4.70  -3.59   5.93  -4.11   4.21  -3.74 -11.70
198307  -3.57  -4.10  -3.14  -5.34  -3.70  -4.71  -3.47  -7.01  -3.55  14.82
198308  -1.01  -2.39  -3.00   0.45  -2.79   2.05  -4.15   0.96  -3.79   0.76
198309  -0.81  -0.31  -1.26  -0.56  -1.17  -0.24  -0.99  -0.06  -0.90   3.05
198310  -2.19  -2.70  -2.04  -4.32  -1.16  -3.10  -2.48  -3.63  -2.18  -3.90
198311   3.50   8.53   3.33   3.02   4.10   2.14   2.91   3.21   3.12  15.39
198312   0.37   2.37  -1.16   2.17  -1.32   0.49  -1.79  -0.16  -1.74   5.97
198401   3.12   5.47  -0.58   7.94  -0.22   7.48  -0.61   6.87  -0.83   9.00
198402   4.17   5.57   4.95   3.80   4.88   4.10   5.79   3.54   5.40  -1.11
198403   3.27   1.06   5.19   0.59   5.64   2.95   5.41   2.45   6.73  -3.03
198404  -0.93  -2.89  -1.77   1.13  -1.70   1.14  -1.65   0.40  -2.80  -0.89
198405 -11.18 -12.14 -12.16  -9.40 -11.89  -8.89 -11.16 -11.61 -12.32 -12.63
198406  -0.34   1.81   0.96  -2.14   0.14  -3.40   1.61  -1.49   1.32   8.25
198407  -6.22  -3.44  -5.42  -7.86  -3.81  -8.77  -5.46  -5.25  -6.17  -8.25
198408   9.77   5.93  11.00  10.13   8.57  12.76  11.20   7.65  10.31   8.12
198409  -2.32  -2.57  -2.79  -0.39  -4.34  -0.86  -1.54  -1.41  -2.65 -27.41
198410  -1.39   1.27  -0.99  -3.15  -0.32  -4.01  -0.76  -2.44   0.21   0.59
198411   1.12  -0.22   2.06   0.11   1.63   1.78   1.84   0.88   1.71 -28.43
198412   0.25   1.32   0.15   0.32   1.07  -0.59   0.34  -0.59   0.24   0.47
198501   1.78   3.65   0.41   5.59   0.18   5.90  -1.67   5.69  -0.78  42.38
198502  -4.82  -4.44  -4.70  -4.59  -4.37  -3.16  -4.47  -4.41  -5.67  17.91
198503  15.12  15.25  17.06  11.25  16.68  12.18  14.04  13.16  13.72  68.93
198504   1.27   1.32   2.03   0.41   1.88   0.88   2.59   2.27   2.52 -99.99
198505   5.91   3.92   9.03   2.86   4.54   2.14   3.27   3.19   2.37 -99.99
198506  -4.27  -1.06  -7.37   0.60  -5.59  -2.30  -6.86  -0.02  -5.71 -99.99
198507  12.41  12.40  15.61   8.19  12.81   9.50  14.24  11.56  11.83 -99.99
198508   4.49   4.79   5.00   4.59   4.64   5.61   4.52   5.34   5.32 -99.99
198509  -3.94  -3.29  -4.73  -4.77  -3.06  -4.96  -3.73  -3.45  -6.29 -99.99
198510  10.17  10.88   9.22   9.66  11.36   7.41  10.98  10.27  11.48 -99.99
198511   7.30   5.29   8.64   5.48   7.25   4.54   7.58   5.05   7.24 -99.99
198512  -4.42  -4.72  -5.68  -2.12  -4.68  -3.57  -4.52  -4.08  -3.82 -99.99
198601  -0.32   1.01  -1.77   1.98  -1.36   3.08  -1.14   1.25  -1.19 -99.99
198602  12.38   9.48  12.01   9.01  12.82   8.49  12.80   9.00  15.56 -99.99
198603   9.34  10.04   8.44  11.25   8.90   8.87   9.57  10.65   8.49 -99.99
198604   4.20   4.52   3.08   3.49   3.49   2.83   4.03   4.25   5.29 -99.99
198605  -7.31  -6.32  -7.71  -6.54  -8.44  -5.00  -7.02  -6.74  -7.04 -99.99
198606   6.65   6.65   5.39   6.94   5.41   7.10   5.76   7.22   6.22 -99.99
198607  -8.05  -6.09  -8.40  -6.52  -8.08  -5.95  -7.30  -6.23  -8.22 -99.99
198608   5.30   7.12   5.38   8.61   4.70   8.71   4.65   7.92   4.39 -99.99
198609  -7.92  -5.02 -10.82  -4.35 -10.70  -2.88  -9.48  -5.07 -10.37 -99.99
198610   1.33   0.96   1.26   0.18   1.04   0.63   1.58   1.11   0.59 -99.99
198611   3.71   3.61   2.70   3.46   2.98   3.47   1.58   3.06   3.56 -99.99
198612   5.18   6.91   5.13   6.60   5.92   6.51   4.61   6.69   3.92 -99.99
198701  12.45  11.32  11.70  12.81  13.87  12.77  12.94  11.51  13.46 -99.99
198702  10.13   4.05  15.16   4.89  13.81   5.60  15.58   4.95  14.48 -99.99
198703   5.41  12.37   2.23   9.15   3.03  12.19   1.55  11.02   2.51 -99.99
198704   6.18   6.52   4.15   4.03   5.48   7.48   5.13   7.39   6.07 -99.99
198705   4.41   4.15   3.43   3.61   3.77   5.97   4.15   5.35   4.65 -99.99
198706   3.41   6.81   1.87   4.55   4.11   3.22   1.66   4.13   3.33 -99.99
198707   2.61   3.92   2.54   6.50   1.61   3.07   1.94   1.67   2.29 -99.99
198708  -2.58  -3.14  -1.92  -2.67  -2.24  -3.09  -1.43  -2.61  -2.47 -99.99
198709   5.43   5.53   6.48   5.65   7.62   3.65   5.62   3.41   6.32 -99.99
198710 -22.71 -23.64 -24.34 -25.03 -24.81 -22.57 -24.98 -19.55 -24.96 -99.99
198711  -3.31  -2.13  -3.37  -2.40  -3.71  -2.09  -3.48  -2.77  -4.68 -99.99
198712  11.54  11.40  11.06  12.65  10.96  11.41  11.39  10.86  11.43 -99.99
198801  -1.02  -0.44  -1.09  -1.54  -0.22  -0.65  -0.89  -0.52  -0.64  14.67
198802  -0.76  -1.43  -0.39   0.40  -0.71  -0.81  -1.02  -1.27  -1.19  -1.65
198803   4.85   7.07   3.23   3.58   5.35   4.57   4.32   5.30   4.48   4.50
198804   2.98   2.37   3.09   1.95   2.82   2.85   1.61   2.22   1.44  -1.16
198805  -2.84  -2.60  -1.93  -3.16  -1.79  -4.28  -2.27  -3.54  -2.57   1.51
198806  -2.96  -4.44  -2.61  -1.09  -2.77  -2.49  -3.06  -2.51  -3.62  -2.94
198807  -0.03   0.90  -0.27  -0.81  -0.38   0.11  -0.19  -0.73   0.33  -2.17
198808  -6.79  -6.93  -7.25  -6.21  -7.12  -6.64  -6.90  -6.83  -7.25 -10.52
198809   4.20   3.85   3.98   4.86   5.08   4.77   4.34   3.51   3.47   7.58
198810   6.51   6.64   5.96   8.04   5.76   6.87   5.90   5.95   7.24   5.24
