
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198007   0.24  -0.31   1.54  -0.50   0.33   0.33  -0.90   0.13  -0.54   0.08
198008   0.34   0.99   0.80  -0.61   1.70  -0.69  -0.03   0.77   0.37   9.86
198009  -0.33  -1.47   1.45  -1.76  -0.07  -1.21  -2.80   0.91  -1.57  -3.87
198010  -2.70  -2.66  -1.83  -3.95   0.76  -5.38  -2.04  -4.23  -0.96  -9.56
198011  -2.39  -4.58   0.45  -4.19  -2.37  -5.20  -5.78  -3.10  -4.34  -4.82
198012  -0.54   0.08  -1.42  -0.01  -2.34  -1.00   0.49   0.17  -0.49   1.99
198101 -11.96 -10.70 -11.96 -11.24 -10.61 -13.34 -13.91 -10.20 -13.33 -16.41
198102  -0.16   2.30  -1.71  -1.06   5.08  -0.91   5.05  -1.88   2.97  -1.09
198103   1.98   4.20   0.30   2.08   4.17   4.39   4.20   1.26   3.75   2.75
198104  -7.32  -6.05  -8.18  -7.30  -5.02 -11.72  -5.46  -8.19  -5.62  -3.83
198105  -7.11  -7.49  -6.53  -6.61  -8.01  -5.55 -10.49  -7.69  -9.44  -5.87
198106   5.10   4.95   4.80   3.04   6.29   5.42   7.52   2.31   7.52  -1.19
198107  -5.41  -4.80  -5.06  -3.07  -8.03  -6.01  -8.61  -2.98  -7.56 -11.09
198108  -2.32  -3.85  -1.92  -1.61  -3.37   1.19  -4.06  -2.77  -3.05  -0.71
198109  -1.09  -2.26   0.51  -0.45  -2.59  -2.33  -5.70   0.11  -4.40 -10.02
198110   5.64   5.33   6.84   6.65   6.76  -5.03   0.51   3.91   2.19  10.08
198111   8.90   9.13   9.43  10.10   5.63  -5.78   6.19   8.83   6.90   3.62
198112  -1.55  -0.41  -2.48  -1.11  -1.40   5.66  -1.26  -0.08  -1.88 -10.00
198201  -4.22  -5.05  -3.50  -4.91  -4.26  -8.98  -5.12  -4.42  -3.68  -9.44
198202  -4.22  -2.75  -4.65  -2.48  -4.04  -4.99  -5.39  -3.49  -4.56  -6.68
198203  -2.01  -1.75  -0.98  -3.79  -1.70   1.46  -3.81  -3.35  -3.62   5.47
198204  -0.98  -1.07  -0.15  -1.38  -0.19  -8.35  -2.46  -1.33   0.57  -2.46
198205  -1.82  -3.64  -1.58  -3.45  -1.83  -6.93  -0.40  -3.01  -1.74   6.17
198206  -9.66  -9.55  -9.68 -10.34  -9.31 -14.24  -8.66 -10.60  -9.46  -8.63
198207  -0.50   1.40  -0.46  -0.07   0.35  -4.93  -0.31  -2.14   0.50   0.18
198208   0.97   2.44   1.62   0.20   3.76  -4.06   0.92   0.30   1.67  -0.54
198209  -1.50  -1.38  -1.76  -2.41  -0.59   2.01  -0.78  -1.74  -0.57  -2.34
198210   5.27   3.17   4.49   7.51   2.87  10.31   5.23   8.55   3.13   9.57
198211   7.32   9.86   7.50   5.73  11.46  -3.95  11.62   4.08  11.22  15.11
198212  12.16  16.31  10.78   8.69  16.17  15.47  17.25   8.65  14.89  11.90
198301   2.25   6.03   2.72   3.62   3.63   6.56   4.06   6.28   2.60  -1.74
198302   1.18   1.99   0.95   2.19   0.91   6.01   3.17   2.25   2.06   1.99
198303  -1.07   0.60  -2.75  -2.94  -1.54   0.81  -1.35  -1.59  -1.56  -2.49
198304   4.47   7.76   1.53   8.62   1.67   5.43   3.69   7.30   4.14  -3.78
198305  -3.63  -4.44  -3.08  -6.25  -1.85  -1.02  -2.69  -4.68  -2.73   9.71
198306   1.50   2.19   0.17   1.27   3.36   1.60   5.03   1.14   3.86   4.82
198307   1.82   2.90   1.02   2.71   2.33   2.78   2.67   3.40   1.88   2.09
198308  -5.13  -6.20  -4.93  -4.47  -5.10  -8.51  -5.36  -6.70  -4.31  -4.62
198309   2.60   2.16   3.76   3.87   1.01   4.52   0.75   4.95   1.44   1.25
198310   2.97   3.65   1.52   3.45   3.66   4.80   5.50   3.58   3.90   1.30
198311   2.84   2.59   1.20   2.32   4.36   5.11   6.38   3.09   4.31   1.97
198312   4.93   4.61   3.73   3.80   4.70   5.08   3.59   4.14   4.52   1.90
198401  -3.17  -3.64  -3.99  -2.82  -3.73  -2.92  -3.58  -1.37  -4.50   3.71
198402   0.70  -0.78   1.27   2.62  -1.49   1.01  -1.55   2.02  -1.22  -3.28
198403   0.71   1.18   1.04   0.28   0.40   2.24   0.23   0.39  -0.51   0.95
198404  -1.25  -1.08  -1.67  -0.59  -1.78  -3.59  -2.01  -0.87  -1.73  -6.36
198405  -4.98  -5.12  -5.47  -4.68  -5.31  -6.75  -5.32  -4.34  -4.99  -6.03
198406  -3.98  -3.67  -4.60  -4.86  -3.13  -1.92  -2.90  -5.22  -3.78  -2.11
198407  -6.76  -5.84  -7.48  -6.03  -6.62  -5.45  -7.05  -6.59  -6.50 -12.43
198408   7.69   9.82   7.47   6.34   8.14   8.14   8.64   6.13   9.34   9.28
198409  -2.79  -4.31  -3.44  -0.94  -4.01  -2.40  -4.85  -0.62  -4.23  -3.19
198410   1.60   2.60   0.47   2.23   2.09   0.49   2.54   2.57   2.17  -0.77
198411  -2.03  -2.10   0.38  -1.45  -4.55  -3.07  -5.48  -1.44  -4.57  -2.71
198412   0.29   0.72   0.58   0.52  -1.66   2.06  -1.84   0.18  -1.47  -1.56
198501   2.52   3.50   1.24   1.69   3.91   5.60   4.02   0.76   4.75   5.88
198502  -5.50  -5.35  -6.12  -6.33  -6.39  -3.45  -5.49  -6.55  -5.49   0.95
198503   8.30   7.70   8.90   8.06   8.15   7.20   7.73   8.04   8.40   8.15
198504   4.48   2.39   6.31   5.25   1.15   5.47   0.86   4.91   2.28  -0.63
198505   2.53   0.95   3.31   1.41   6.35  -0.65   5.27   3.00   6.26   0.30
