This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
        LoINV     2   HiINV  LoINV     2   HiINV 
197005  -8.3244 -10.1411 -12.4698  -5.9200  -5.8349  -8.1850
197006  -5.8239  -7.0809  -9.4336  -5.2564  -3.9240  -7.4559
197007   6.8114   6.4404   6.6948   9.4486   6.6514   5.8708
197008   5.9427   6.4265   6.5339   5.0355   3.5927   5.5326
197009   9.6369   9.7283  16.3234   1.8935   3.2452   7.2907
197010  -4.7474  -5.4804  -7.7741  -1.1181  -1.1673  -2.7318
197011   1.7477   2.6126  -0.2223   5.2276   4.8287   4.8130
197012   8.4646   9.0199   8.3582   5.2379   6.2967   4.9436
197101  14.3205  10.5636  11.2677   3.1396   3.9072   6.5691
197102   2.6307   2.8727   4.3418   1.2316   0.6667   1.6321
197103   4.9682   5.9156   7.1732   2.9885   3.7620   6.2928
197104   3.8122   4.1027   2.3090   4.2490   2.7370   4.4014
197105  -4.3263  -5.2240  -5.7282  -4.3403  -4.3720  -2.9626
197106  -2.9163   0.1230  -1.0920  -0.7060   0.4058   1.0788
197107  -5.2066  -4.2611  -7.0969  -4.1130  -3.3941  -5.4498
197108   5.1602   3.9918   3.8998   7.2318   2.7439   3.9462
197109  -2.1097  -0.7244   0.7341  -0.7994  -0.5526  -0.4882
197110  -6.1677  -5.4666  -5.4414  -5.2980  -3.9013  -3.4839
197111  -3.2351  -3.0872  -3.3971  -1.1975  -0.3086   0.3069
197112  12.0551  10.3751  13.0851   7.0101   8.5937   9.7383
197201   9.7718   7.2041   8.7270   2.9379   0.8921   3.4573
197202   3.7954   2.4866   3.4474   1.4291   2.4914   3.3818
197203  -0.3963  -0.1513   0.8927   1.9056   0.3102   1.0394
197204   0.8306   0.5691   0.3462  -1.3364   0.5527   0.9540
197205  -1.9112  -2.1907  -2.0456  -1.7411   1.5732   2.7425
197206  -2.6890  -3.1344  -3.6394  -3.2203  -2.1589  -1.4867
197207  -3.5474  -2.6628  -4.3556  -2.3216   0.1773  -0.1360
197208   1.6453   1.4052  -0.2635   6.0012   3.5342   2.1729
197209  -3.9318  -2.6405  -3.0241  -3.6648  -0.1309  -0.5775
197210  -1.5388  -0.2379  -2.7948  -0.2123   0.9065   1.3420
197211   5.8455   5.7666   3.7272   7.6809   4.4605   3.1992
197212  -1.8674  -1.2253  -1.4575  -2.5099   1.6588   1.5316
197301  -4.6318  -5.1304  -6.5666  -4.3262  -1.0040  -4.0998
197302  -8.1175  -7.4075  -9.8138  -5.7985  -4.1518  -3.8412
197303  -1.5137  -3.3889  -3.4824  -1.7437  -0.0230  -1.1697
197304  -6.1417  -5.3964  -9.6098  -4.1817  -3.7713  -5.9399
197305  -9.1201  -7.7582  -8.5581  -4.7157  -1.8699  -1.5589
197306  -3.0378  -3.0138  -5.4594  -3.1253  -0.4799  -1.0633
197307   9.8251  10.3967  15.4163   5.8700   3.0858   7.3453
197308  -4.6604  -4.5958  -4.6644  -2.1136  -3.7534  -3.8747
197309   9.5901   8.5945  10.5230   8.7013   4.1386   4.1665
197310   1.0837   0.0851  -2.0245   1.3435  -0.5606  -0.5964
197311 -18.3086 -18.0025 -20.9601 -14.4688 -10.8284 -13.7826
197312  -1.7374  -3.0930  -2.0916   4.1873   1.3557  -0.0162
197401  14.2530  10.0355   7.6025   0.8661  -0.7280  -1.4235
197402   1.4544   0.7407  -0.8161   1.7015  -1.0280  -0.6540
197403  -0.5393   0.0200  -0.9115  -2.4566  -2.4950  -2.8042
197404  -3.8381  -5.3786  -6.5201  -3.5590  -4.7626  -4.4760
197405  -7.2404  -7.2608  -8.3838  -4.5519  -4.0456  -2.6212
197406  -1.2717  -1.7306  -3.9814  -1.1726  -1.4420  -4.5530
197407  -3.7052  -3.9600  -6.2246  -3.8586  -7.7711 -10.2252
197408  -6.6962  -8.6625  -9.6624  -9.1224  -8.9709 -10.6399
197409  -6.8612  -7.6551 -11.9378  -8.2611 -10.7217 -14.7431
197410   8.6115   8.9872  10.5588  17.9437  15.2324  22.2265
197411  -3.7785  -4.9922  -6.8231  -2.3439  -5.2902  -4.4498
197412  -6.5263  -6.0220  -8.9108  -1.6972  -1.5120  -5.4778
197501  26.5665  25.5407  28.2107  13.2536  12.4217  13.5841
197502   4.0034   3.3240   4.5613   2.4703   5.6317   6.7873
197503   5.7060   6.2866   8.9994   4.7115   1.3281   4.1435
197504   3.7026   3.9994   4.2938   4.6578   3.4586   6.9473
197505   6.3917   7.1372   8.6915   4.8697   5.1257   4.3059
197506   6.6455   7.1496   6.2816   5.6694   5.0093   4.1050
197507  -2.5391  -2.4630  -3.1979  -4.8956  -7.3433  -6.6166
197508  -5.8057  -4.8415  -5.5176  -4.4725  -2.2960  -2.6001
197509  -3.7749  -4.3041  -3.6963  -3.9616  -3.0677  -4.7288
197510   2.5853   2.0002   2.0006   8.0903   7.2076   4.2261
197511   2.2061   2.5249   1.7129   3.5241   3.6698   0.9849
197512  -1.0814  -0.6386  -2.0133  -1.1992  -1.5416  -1.2091
197601  20.5166  18.1937  18.7661  14.0471  11.9002  11.1628
197602  10.1099   7.5878   7.5965   2.8058  -0.7610  -2.0879
197603   2.0796   1.2772   0.5010   3.0522   2.4776   2.6598
197604  -1.5461  -1.0328  -1.1141  -2.1337  -1.7214  -0.2901
197605  -3.1238  -2.3886  -1.9606  -2.2190  -2.3598  -0.2215
197606   3.6336   3.4404   3.8232   5.8353   4.5694   4.0117
197607   0.0082   0.7053  -0.5793  -1.1069  -0.5210  -1.0013
197608  -2.6804  -1.7086  -2.9083  -2.3515   0.1565  -0.8945
197609   1.2556   2.7480   2.9909   2.1329   1.9269   2.8303
197610  -2.2982  -2.1921  -2.2557  -3.3001  -1.8619  -2.5329
197611   2.4914   3.0787   3.5147   0.2403   0.1334  -0.8550
197612  10.3859   9.2594   8.7960   7.3975   5.7676   4.6851
197701   2.7731   1.7079   1.5575  -3.3181  -3.6688  -5.7829
197702  -1.4259  -0.4147  -1.5132  -2.8195  -2.4003  -2.3818
197703  -0.1278   0.4109   0.0077  -1.2517  -1.7272  -1.0900
197704   2.0938   1.1485   1.2161   0.6838   0.8271  -0.6586
197705  -0.2357  -0.3989  -0.3339  -2.0506  -1.8311  -2.1164
197706   6.6913   5.1836   7.4270   3.8288   3.9935   5.6814
197707  -0.0532  -0.0855   0.3247  -1.4381  -1.4413  -1.8394
197708  -2.0850  -1.0453  -0.2540  -0.9424  -2.7780  -1.4611
197709   0.4165   1.2650   1.2557  -1.7264   0.2674  -0.6887
197710  -3.1423  -1.9321  -2.8029  -4.5436  -4.4026  -3.9653
197711   7.7137   7.2599   7.2923   4.4335   2.4616   3.6578
197712   1.6948   0.8787   2.4198  -0.5680   0.5097   0.1800
197801  -1.7826  -3.2859  -4.0665  -5.6008  -5.9561  -6.4588
197802   2.6690   1.3230   1.6081  -2.2889  -1.6402  -3.0623
197803   7.8677   5.8129   6.0040   3.4610   2.9799   1.7225
197804   7.1067   7.0224   9.3408   9.5991   7.2484  10.0412
197805   6.6883   4.0344   7.1085   1.9770   0.4218   0.9551
197806  -0.6859   0.9815  -0.5993  -1.3342  -2.0342  -1.3163
197807   4.8307   5.4031   6.3337   5.6765   5.2411   5.8173
197808   9.3076   6.8528   8.3523   3.1577   2.4600   3.9191
197809  -0.4672  -1.4388  -1.5092   0.3388  -0.8801  -2.3033
197810 -21.1128 -17.7587 -22.5343 -11.0988  -9.1348 -11.6416
197811   4.6683   4.3974   7.5353   2.6980   1.7849   2.9499
197812   1.5361   1.0080   2.8906   0.2742   1.4498   1.5733
197901   9.8712   7.4906   8.3375   5.0942   4.1551   3.6214
197902  -2.4875  -3.0545  -3.2150  -3.6513  -3.6706  -4.3358
197903   9.8674   7.0801  10.4651   7.6829   4.8295   6.3989
197904   3.4257   1.4346   2.5767  -0.1493   0.2759   0.3146
197905  -1.4055  -1.8189  -2.1253  -3.4762  -2.5217  -1.4116
197906   4.8928   5.3725   5.8085   5.2428   3.4635   5.1322
197907   2.7428   3.2187   2.3528   2.4917   0.5198   1.9290
197908   7.0887   7.1843   8.2447   4.9726   4.5364   7.4194
197909  -0.6395  -1.1653  -0.2247   0.6619  -0.4236  -0.7442
197910 -11.5600 -10.3088  -9.9956  -6.1500  -6.9454  -7.9149
197911   7.1345   6.6121   9.7966   5.2137   4.1307   7.1615
197912   6.0992   5.5360   6.8038   1.7684   1.2333   3.2689
198001   8.1961   7.1237   8.2113   8.7293   4.8102   4.8957
198002  -2.4066  -2.3818  -1.7217   2.0653  -1.3226  -4.0330
198003 -18.3695 -16.8888 -19.1017 -13.6622  -9.5721 -10.1864
198004   6.3846   5.3036   6.0348   5.2100   4.4134   4.6902
198005   7.1700   7.3179   8.0767   5.3308   4.2061   6.1310
198006   3.4953   4.2511   4.9299   2.5079   2.9250   3.0849
198007   8.0543   8.6673  12.8649   6.9250   5.6027   7.2721
198008   5.0644   5.2135   6.5426   0.8683   0.8615   1.6423
198009   2.4083   2.0373   4.6813   1.9755   1.4449   5.4807
198010   3.0717   3.4144   4.4667   1.3297   0.9233   2.7208
198011   5.0027   4.7913  10.1553   7.9504   9.1824  14.7483
