This file was created by CMPT_ME_BRKPTS using the 202006 CRSP database.  It contains every 5th NYSE ME percentile (divided by 1000000).
192801,  573,      1.33,      2.44,      4.04,      5.42,      7.26,      9.07,     10.75,     12.87,     15.11,     18.13,     23.31,     28.73,     36.94,     44.62,     60.97,     79.40,    107.14,    170.53,    273.72,   2335.95
192802,  569,      1.23,      2.53,      3.80,      5.12,      6.95,      8.64,     10.31,     12.62,     14.82,     17.96,     23.36,     28.35,     36.02,     43.09,     59.50,     78.49,    105.30,    168.74,    277.67,   2381.62
192803,  567,      1.24,      2.51,      4.11,      5.76,      7.49,      9.25,     11.41,     13.50,     15.90,     20.02,     25.50,     29.63,     37.70,     48.96,     62.81,     81.07,    121.17,    186.58,    293.71,   3253.80
192804,  565,      1.44,      2.94,      4.36,      6.11,      7.70,      9.80,     11.89,     14.26,     17.12,     20.90,     26.73,     32.28,     38.49,     52.05,     65.93,     85.93,    126.60,    188.27,    300.46,   3292.95
192805,  574,      1.60,      3.20,      4.70,      5.96,      7.97,      9.80,     11.80,     14.61,     16.75,     21.11,     26.34,     31.60,     37.82,     49.89,     65.99,     86.78,    127.74,    189.60,    297.93,   3358.20
192806,  569,      1.49,      2.81,      4.25,      5.33,      7.10,      9.12,     10.90,     14.00,     16.43,     19.97,     24.75,     29.56,     35.66,     45.90,     62.29,     83.61,    124.40,    185.22,    293.40,   3306.00
192807,  577,      1.46,      2.90,      4.28,      5.40,      6.90,      8.48,     10.74,     13.61,     16.23,     20.36,     24.60,     29.50,     36.04,     46.89,     62.27,     83.99,    123.38,    190.07,    293.12,   3347.32
192808,  581,      1.42,      2.90,      4.47,      5.80,      7.19,      9.23,     11.51,     14.44,     17.46,     21.59,     26.59,     31.79,     40.26,     54.16,     67.02,     86.31,    131.09,    189.60,    322.62,   3536.55
192809,  588,      1.63,      2.89,      4.42,      6.25,      7.50,      9.38,     12.32,     14.98,     18.30,     22.80,     27.97,     32.74,     42.62,     54.16,     69.53,     91.41,    131.18,    192.19,    321.67,   3769.27
192810,  592,      1.77,      3.08,      4.73,      6.30,      7.93,      9.93,     12.92,     15.57,     18.22,     22.40,     28.24,     33.44,     41.87,     52.52,     70.07,     92.95,    132.62,    197.18,    332.92,   3806.25
192811,  599,      2.03,      3.13,      5.37,      6.96,      8.69,     10.71,     14.19,     17.33,     19.90,     24.89,     29.75,     37.66,     45.85,     56.78,     76.04,    101.83,    139.54,    205.16,    386.37,   3680.10
192812,  604,      1.94,      3.19,      5.20,      7.00,      8.92,     11.03,     13.70,     17.35,     21.81,     26.06,     31.15,     38.95,     45.54,     62.52,     83.62,    108.26,    146.72,    227.86,    414.38,   3545.25
192901,  610,      1.85,      3.20,      5.28,      7.03,      9.04,     11.09,     13.50,     17.80,     22.15,     26.85,     32.66,     40.36,     47.75,     63.98,     85.08,    113.35,    154.69,    226.80,    425.43,   3637.69
192902,  614,      1.86,      3.30,      5.38,      6.93,      9.00,     11.58,     14.35,     18.32,     23.00,     27.69,     33.05,     39.38,     47.62,     64.09,     83.31,    112.06,    150.69,    235.63,    446.09,   3643.12
192903,  615,      1.94,      3.13,      5.06,      6.48,      8.75,     11.64,     14.03,     17.55,     21.94,     25.95,     31.15,     38.26,     47.40,     61.74,     83.07,    109.38,    151.02,    232.30,    430.78,   3697.50
192904,  635,      1.77,      3.11,      5.11,      6.67,      8.69,     11.89,     14.04,     17.49,     22.01,     26.04,     31.41,     37.41,     49.32,     64.26,     81.13,    109.55,    146.00,    236.93,    418.11,   3675.75
192905,  643,      1.49,      2.67,      4.34,      5.83,      7.81,     10.79,     12.98,     15.21,     19.64,     23.81,     28.40,     35.83,     44.24,     55.65,     77.34,    103.66,    141.56,    226.93,    403.42,   3045.00
192906,  648,      1.40,      2.82,      4.72,      6.08,      8.37,     11.20,     13.61,     16.30,     21.48,     25.62,     30.42,     36.56,     46.81,     61.41,     83.76,    110.90,    155.18,    240.98,    403.14,   3262.50
192907,  661,      1.50,      3.01,      4.59,      6.69,      8.61,     11.60,     13.69,     15.93,     21.60,     25.82,     30.62,     36.60,     45.42,     62.34,     82.68,    110.74,    159.75,    243.00,    423.00,   3516.82
192908,  667,      1.38,      2.96,      4.50,      6.65,      8.64,     11.88,     14.03,     16.91,     22.04,     26.43,     31.77,     37.84,     45.87,     66.15,     88.06,    120.00,    183.83,    275.90,    470.73,   3926.02
192909,  681,      1.26,      2.68,      4.14,      6.02,      8.14,     10.60,     13.09,     15.90,     19.94,     24.70,     30.90,     36.34,     43.00,     57.61,     80.61,    115.62,    167.17,    266.44,    476.25,   3860.29
192910,  667,      0.96,      1.95,      3.06,      4.78,      6.44,      8.38,     10.62,     12.23,     15.72,     20.55,     24.57,     29.16,     34.50,     50.44,     70.46,     91.09,    139.39,    221.93,    401.06,   3244.02
192911,  685,      0.85,      1.60,      2.56,      4.00,      5.39,      7.04,      8.77,     10.63,     12.41,     16.25,     20.41,     23.80,     30.03,     40.56,     57.75,     76.21,    121.62,    189.44,    348.90,   2946.50
192912,  690,      0.73,      1.58,      2.40,      3.73,      5.20,      6.66,      8.20,     10.28,     12.55,     15.75,     20.55,     24.00,     30.54,     40.29,     58.65,     79.00,    125.30,    193.68,    354.92,   2939.89
193001,  696,      0.88,      1.91,      2.81,      4.20,      5.68,      7.74,      9.59,     11.22,     13.89,     16.95,     22.26,     26.20,     32.55,     45.49,     65.17,     84.96,    134.84,    200.39,    353.42,   2958.06
193002,  695,      1.00,      1.93,      2.93,      4.63,      5.97,      8.11,      9.60,     11.69,     14.14,     18.03,     21.91,     27.00,     33.28,     45.86,     64.92,     88.35,    134.51,    212.78,    364.59,   3179.38
193003,  708,      1.11,      2.07,      3.73,      4.89,      6.25,      8.47,     10.33,     12.28,     14.85,     18.85,     23.58,     28.23,     36.00,     48.68,     64.83,     91.38,    142.28,    206.07,    376.36,   3488.23
193004,  712,      1.10,      2.07,      3.52,      4.86,      6.33,      8.28,      9.92,     12.04,     14.09,     18.00,     23.00,     27.59,     33.00,     44.50,     60.68,     83.70,    132.30,    209.80,    369.00,   3329.68
193005,  711,      0.91,      1.84,      3.20,      4.42,      5.86,      7.86,      9.56,     11.18,     13.60,     17.28,     22.31,     25.50,     32.06,     43.79,     60.24,     85.80,    130.98,    206.55,    381.28,   3588.50
193006,  697,      0.73,      1.48,      2.27,      3.41,      4.44,      6.34,      7.62,      9.45,     11.47,     14.40,     18.13,     21.23,     27.75,     36.54,     50.54,     74.11,    107.71,    170.47,    318.25,   3257.70
193007,  709,      0.76,      1.61,      2.34,      3.50,      4.58,      6.66,      7.84,      9.98,     12.07,     14.96,     19.08,     21.96,     28.22,     36.62,     52.29,     75.08,    116.00,    178.14,    354.09,   3284.78
193008,  705,      0.66,      1.45,      2.24,      3.20,      4.21,      6.18,      7.91,      9.21,     11.76,     14.08,     18.75,     22.08,     26.92,     37.58,     51.69,     75.54,    117.07,    182.44,    345.49,   3809.98
193009,  701,      0.54,      1.15,      1.79,      2.56,      3.68,      5.00,      6.80,      7.99,      9.79,     12.07,     15.50,     18.66,     23.01,     32.02,     42.64,     64.57,     96.99,    154.35,    304.04,   3580.54
193010,  707,      0.50,      1.07,      1.63,      2.24,      3.36,      4.37,      5.77,      7.00,      8.70,     10.84,     13.25,     17.23,     21.55,     29.00,     38.11,     56.10,     87.26,    140.29,    273.12,   3439.35
193011,  699,      0.51,      1.02,      1.52,      2.25,      3.23,      4.51,      5.66,      7.20,      8.56,     10.61,     13.26,     16.67,     21.60,     28.31,     37.93,     57.07,     82.80,    142.50,    277.05,   3315.81
193012,  705,      0.34,      0.86,      1.15,      1.71,      2.60,      3.41,      4.46,      5.84,      7.62,      9.04,     11.01,     14.98,     18.91,     25.42,     33.44,     50.11,     74.98,    128.70,    267.34,   3152.55
193101,  702,      0.44,      0.99,      1.47,      2.11,      3.21,      4.11,      5.33,      6.80,      8.60,     10.11,     12.20,     16.20,     19.83,     27.21,     37.44,     54.02,     82.35,    139.52,    277.27,   3306.98
193102,  707,      0.56,      1.28,      1.87,      2.80,      3.59,      4.53,      5.78,      7.67,      9.60,     11.32,     14.34,     17.77,     22.39,     28.84,     39.51,     60.01,     92.51,    152.01,    309.25,   3507.74
193103,  702,      0.45,      1.07,      1.67,      2.52,      3.30,      4.25,      5.40,      6.75,      8.58,     10.42,     13.12,     16.86,     20.68,     26.82,     37.25,     56.23,     85.10,    136.88,    294.76,   3403.53
193104,  701,      0.37,      0.94,      1.35,      2.02,      2.73,      3.40,      4.62,      5.80,      7.17,      8.75,     11.05,     14.06,     17.62,     22.84,     33.18,     49.25,     74.56,    124.11,    253.08,   3277.39
193105,  706,      0.34,      0.77,      1.21,      1.68,      2.34,      2.93,      4.15,      5.08,      6.39,      7.49,      9.83,     12.02,     15.56,     20.39,     27.16,     39.51,     62.44,    102.03,    221.45,   2971.05
193106,  703,      0.41,      0.95,      1.49,      2.10,      2.81,      3.42,      4.77,      5.80,      7.19,      9.05,     11.14,     14.44,     17.55,     23.17,     33.74,     47.75,     70.62,    118.22,    256.01,   3234.59
193107,  703,      0.38,      0.85,      1.35,      1.91,      2.59,      3.23,      4.29,      5.43,      6.34,      8.05,     10.22,     12.76,     16.72,     21.41,     30.66,     42.90,     66.28,    109.21,    230.14,   3058.90
193108,  697,      0.33,      0.82,      1.23,      1.75,      2.37,      3.25,      4.25,      5.23,      6.37,      7.99,      9.89,     12.00,     16.59,     21.67,     30.71,     44.05,     67.84,    106.12,    254.43,   3088.18
193109,  696,      0.25,      0.53,      0.81,      1.11,      1.52,      2.16,      2.78,      3.33,      4.24,      5.40,      6.46,      8.30,     11.19,     14.83,     20.37,     30.60,     42.50,     73.00,    170.06,   2353.86
193110,  699,      0.25,      0.59,      0.95,      1.26,      1.75,      2.33,      3.10,      3.67,      4.53,      5.49,      7.22,      9.00,     11.94,     15.39,     22.91,     31.49,     49.06,     76.57,    192.09,   2482.26
193111,  701,      0.23,      0.50,      0.79,      1.11,      1.50,      2.16,      2.75,      3.33,      4.13,      5.10,      6.38,      7.95,     10.35,     14.14,     19.86,     29.47,     42.55,     66.89,    172.87,   2329.08
193112,  695,      0.20,      0.38,      0.60,      0.80,      1.12,      1.52,      2.21,      2.67,      3.24,      4.06,      5.21,      6.86,      8.97,     11.53,     16.42,     25.08,     36.72,     59.15,    144.80,   2178.32
