This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199007   ,1.44   ,2.25   ,3.19   ,2.70   ,5.70   ,5.64
199008  ,-2.61  ,-4.15  ,-2.86  ,-8.19  ,-5.33  ,-7.41
199009  ,-4.66  ,-4.54  ,-4.31  ,-8.86  ,-8.67  ,-7.26
199010  ,-6.82  ,-6.74  ,-5.55  ,-1.71  ,-2.65  ,-1.63
199011  ,-4.32  ,-4.61  ,-1.75  ,-4.64  ,-1.21  ,-1.92
199012  ,-2.48  ,-2.75  ,-4.30  ,-0.92  ,-2.12   ,1.45
199101   ,2.44   ,1.96   ,3.03   ,5.11   ,6.30   ,6.20
199102   ,6.59   ,5.57  ,11.01   ,9.71   ,8.45   ,8.56
199103   ,3.50   ,1.32   ,1.18   ,2.09   ,4.78   ,1.27
199104   ,3.80   ,3.11   ,6.12   ,1.53   ,3.99   ,2.88
199105   ,0.91  ,-0.82  ,-3.23  ,-0.07  ,-0.92  ,-0.32
199106   ,0.57   ,0.23  ,-0.16  ,-0.40  ,-0.13   ,0.46
199107   ,6.05   ,5.02   ,5.70   ,7.17   ,7.64   ,4.50
199108  ,-0.87  ,-0.78  ,-1.50  ,-0.65  ,-2.44  ,-0.48
199109   ,2.07   ,3.54   ,1.88   ,1.22   ,1.06   ,1.20
199110   ,6.94   ,3.79   ,5.06   ,4.02   ,3.34   ,4.76
