This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
199909   ,-2.69    ,3.94   ,-4.19    ,0.39
199910    ,5.63   ,-6.33   ,-3.02    ,0.39
199911    ,2.84    ,6.24   ,-8.35    ,0.36
199912    ,7.11    ,5.67   ,-8.72    ,0.44
200001   ,-4.28    ,3.35    ,0.06    ,0.41
200002    ,1.64   ,21.23  ,-14.07    ,0.43
200003    ,6.83  ,-16.60    ,9.64    ,0.47
200004   ,-4.86   ,-5.20    ,7.19    ,0.46
200005   ,-3.55   ,-4.02    ,5.25    ,0.50
200006    ,3.66   ,10.27  ,-10.34    ,0.40
200007   ,-2.24   ,-3.79    ,9.29    ,0.48
200008    ,7.12    ,0.47   ,-1.77    ,0.50
200009   ,-5.36   ,-1.27    ,9.58    ,0.51
200010   ,-2.89   ,-4.95    ,7.02    ,0.56
200011  ,-10.31   ,-4.85   ,16.01    ,0.51
200012    ,1.50    ,2.67   ,10.96    ,0.50
200101    ,3.25    ,5.71   ,-8.68    ,0.54
200102   ,-9.77   ,-2.04   ,17.58    ,0.38
200103   ,-7.32   ,-0.98   ,10.49    ,0.42
200104    ,7.66    ,2.20   ,-8.31    ,0.39
200105    ,0.84    ,3.03    ,1.92    ,0.32
200106   ,-1.95    ,4.58    ,0.20    ,0.28
200107   ,-2.17   ,-4.60    ,3.15    ,0.30
200108   ,-6.30    ,1.00    ,3.92    ,0.31
200109   ,-9.37   ,-6.12    ,1.66    ,0.28
200110    ,2.41    ,6.97   ,-7.06    ,0.22
200111    ,7.74    ,0.34   ,-0.80    ,0.17
200112    ,1.67    ,4.85    ,1.57    ,0.15
200201   ,-1.61   ,-0.32    ,3.24    ,0.14
200202   ,-2.23   ,-2.28    ,5.03    ,0.13
200203    ,4.26    ,3.59    ,1.03    ,0.13
200204   ,-5.22    ,3.87    ,7.51    ,0.15
200205   ,-1.15   ,-3.20    ,2.90    ,0.14
200206   ,-7.31    ,1.56    ,2.35    ,0.13
200207   ,-8.36   ,-5.13   ,-3.25    ,0.15
200208    ,0.59   ,-1.00    ,1.30    ,0.14
200209  ,-10.12    ,2.78    ,0.74    ,0.14
200210    ,7.55   ,-2.33   ,-6.37    ,0.14
200211    ,5.89    ,2.83   ,-1.37    ,0.12
200212   ,-5.48   ,-0.41    ,4.30    ,0.11
200301   ,-2.47    ,1.07   ,-0.44    ,0.10
200302   ,-1.69   ,-0.92    ,0.07    ,0.09
200303    ,0.83    ,0.40   ,-1.92    ,0.10
200304    ,8.13    ,1.27   ,-0.27    ,0.10
200305    ,6.32    ,4.52    ,0.60    ,0.09
200306    ,1.51    ,1.23    ,0.07    ,0.10
200307    ,2.15    ,4.42   ,-0.99    ,0.07
200308    ,2.50    ,2.62    ,1.39    ,0.07
200309   ,-1.07    ,0.36    ,0.07    ,0.08
200310    ,6.04    ,2.31    ,3.26    ,0.07
200311    ,1.48    ,2.21    ,0.84    ,0.07
200312    ,4.52   ,-2.70    ,1.74    ,0.08
200401    ,2.09    ,1.74    ,1.34    ,0.07
200402    ,1.51   ,-0.60    ,0.90    ,0.06
200403   ,-1.18    ,2.22    ,0.40    ,0.09
200404   ,-2.19   ,-1.84   ,-2.83    ,0.08
200405    ,1.26   ,-0.20    ,0.52    ,0.06
200406    ,2.04    ,1.54    ,1.30    ,0.08
200407   ,-3.81   ,-3.56    ,3.99    ,0.10
200408    ,0.04   ,-1.43    ,1.48    ,0.11
200409    ,2.08    ,3.91    ,0.02    ,0.11
200410    ,1.66    ,0.53    ,0.06    ,0.11
200411    ,4.63    ,4.13    ,1.14    ,0.15
200412    ,3.31   ,-0.25   ,-0.24    ,0.16
200501   ,-2.66   ,-1.31    ,1.79    ,0.16
200502    ,2.19   ,-0.13    ,1.75    ,0.16
200503   ,-1.69   ,-1.60    ,1.58    ,0.21
200504   ,-2.88   ,-4.04   ,-0.21    ,0.21
200505    ,3.49    ,2.49   ,-0.87    ,0.24
200506    ,0.92    ,2.82    ,2.49    ,0.23
200507    ,4.03    ,2.70   ,-1.36    ,0.24
200508   ,-0.71   ,-0.41    ,1.49    ,0.30
200509    ,0.91    ,0.09    ,1.38    ,0.29
200510   ,-2.52   ,-1.94   ,-0.40    ,0.27
200511    ,3.88    ,1.24   ,-0.81    ,0.31
200512    ,0.14    ,0.28    ,0.20    ,0.32
200601    ,3.48    ,5.81    ,0.33    ,0.35
200602   ,-0.54   ,-0.55    ,0.71    ,0.34
200603    ,1.39    ,2.87    ,0.11    ,0.37
200604    ,1.15   ,-0.17    ,2.60    ,0.36
200605   ,-3.37   ,-2.73    ,2.40    ,0.43
200606   ,-0.55   ,-0.86    ,0.67    ,0.40
200607   ,-0.74   ,-3.12    ,2.68    ,0.40
200608    ,2.12    ,0.58   ,-1.01    ,0.42
200609    ,1.33   ,-2.37    ,0.78    ,0.41
200610    ,3.27    ,2.34   ,-0.99    ,0.41
200611    ,1.74   ,-0.09    ,0.15    ,0.42
200612    ,0.65   ,-0.81    ,2.44    ,0.40
200701    ,1.23   ,-0.08   ,-0.68    ,0.44
200702   ,-1.75    ,1.56    ,0.33    ,0.38
200703    ,0.90   ,-0.03    ,0.29    ,0.43
200704    ,3.86   ,-1.39   ,-1.18    ,0.44
200705    ,3.68   ,-0.12    ,0.46    ,0.41
200706   ,-1.74    ,0.60   ,-0.66    ,0.40
200707   ,-3.43   ,-2.47   ,-2.80    ,0.40
200708    ,0.68   ,-1.02   ,-1.34    ,0.42
200709    ,3.82   ,-1.13   ,-2.25    ,0.32
200710    ,2.32    ,0.98   ,-4.12    ,0.32
200711   ,-5.45   ,-3.81   ,-1.00    ,0.34
200712   ,-0.56    ,0.63   ,-0.77    ,0.27
200801   ,-6.37   ,-1.56    ,5.13    ,0.21
200802   ,-2.24    ,0.45   ,-0.20    ,0.13
200803   ,-1.30   ,-0.32    ,0.37    ,0.17
200804    ,4.73   ,-2.06    ,0.08    ,0.18
200805    ,2.41    ,3.06   ,-2.74    ,0.18
200806   ,-7.90    ,1.02   ,-2.80    ,0.17
200807   ,-1.54    ,2.32    ,1.67    ,0.15
200808    ,1.00    ,1.91    ,1.06    ,0.13
200809   ,-9.96   ,-1.56    ,4.05    ,0.15
200810  ,-18.41   ,-3.97   ,-0.48    ,0.08
200811   ,-7.74   ,-4.18   ,-3.11    ,0.03
200812    ,1.50    ,4.93   ,-1.57    ,0.00
200901   ,-7.52   ,-0.48   ,-7.26    ,0.00
200902   ,-9.89   ,-0.09   ,-5.54    ,0.01
200903    ,8.81    ,0.19    ,1.01    ,0.02
200904   ,10.49    ,5.30    ,4.27    ,0.01
200905    ,6.68   ,-1.23   ,-0.06    ,0.00
200906   ,-0.22    ,2.15   ,-3.11    ,0.01
200907    ,8.14    ,1.36    ,4.59    ,0.01
200908    ,3.02   ,-0.57    ,5.49    ,0.01
200909    ,4.54    ,2.86    ,1.52    ,0.01
200910   ,-2.75   ,-3.45   ,-2.60    ,0.00
200911    ,5.76   ,-2.20   ,-0.14    ,0.00
200912    ,3.02    ,5.42    ,0.21    ,0.01
201001   ,-3.63    ,0.54    ,0.63    ,0.00
201002    ,3.71    ,0.83    ,2.75    ,0.00
201003    ,6.27    ,1.53    ,1.39    ,0.01
201004    ,1.92    ,3.73    ,2.08    ,0.01
201005   ,-7.86    ,0.65   ,-2.20    ,0.01
201006   ,-5.50   ,-1.05   ,-3.82    ,0.01
