dates,c,a,y,cay
01-Oct-1952,9.20170317858052,10.972573772127,8.35784436182142,0.0754243152560965
01-Jan-1953,9.20964012686179,10.9726725213867,8.33595019256414,0.096295396701884
01-Apr-1953,9.21193909333988,10.9691577715135,8.34650060820207,0.0939097555460007
01-Jul-1953,9.20502627715241,10.9700038371135,8.42006024532392,0.0430151525775082
01-Oct-1953,9.19360104797189,10.9761239964903,8.43958817340906,0.0172816234044733
01-Jan-1954,9.19299073364107,10.9831242837167,8.45344896559037,0.00532933615386422
01-Apr-1954,9.20190489315508,10.9956953255741,8.45496713502978,0.00773047160470397
01-Jul-1954,9.21074029199751,11.0194096833237,8.43235374112991,0.0193817307732578
01-Oct-1954,9.22660734444005,11.0271829610063,8.40352662369501,0.0488658114565952
01-Jan-1955,9.24464517566817,11.0343149528789,8.40955858460259,0.0601435654144999
01-Apr-1955,9.2596066132791,11.0522818666388,8.40644858366594,0.0689261121045817
01-Jul-1955,9.26738211234338,11.0690732537227,8.43914237438766,0.0498241601598879
01-Oct-1955,9.2750038853019,11.0743676161103,8.43331932811249,0.0585336789102724
01-Jan-1956,9.27246974344173,11.0925472520846,8.46445543232657,0.0294255700409696
01-Apr-1956,9.27171765165109,11.0879137786802,8.48599493309971,0.0179743824669705
01-Jul-1956,9.26936371242564,11.0846994652215,8.50376810361958,0.00652024902845993
01-Oct-1956,9.27799902045,11.09657124571,8.51076198740494,0.00570891632529924
01-Jan-1957,9.28051920659743,11.0906641037663,8.52311273295721,0.00354553899117493
01-Apr-1957,9.27818591887125,11.1015243850587,8.51521817413928,0.00104269020898395
01-Jul-1957,9.28154413098251,11.0880507173631,8.53156575394075,0.000726662277576784
01-Oct-1957,9.27743811550868,11.0878190457939,8.53015272991403,-0.0024383100169445
01-Jan-1958,9.25970180151391,11.0904544408827,8.52700577952532,-0.0194859340846298
01-Apr-1958,9.26416545867109,11.0996832897115,8.52013486578098,-0.0150701738518253
01-Jul-1958,9.2762217410897,11.1236758904352,8.51922865099522,-0.0131896528109003
01-Oct-1958,9.28516951259683,11.1353462731126,8.47028628325239,0.0195587844854737
01-Jan-1959,9.29899206957075,11.1347391406148,8.47310722033768,0.0319802629418937
01-Apr-1959,9.31045716331096,11.1409808989465,8.50975553324775,0.0189342961569234
01-Jul-1959,9.31659049181884,11.1373779397069,8.52545436712179,0.0173705710606773
01-Oct-1959,9.31334812205041,11.144378890791,8.54432663855813,-0.00018472695325511
01-Jan-1960,9.31695010703444,11.1413458345663,8.55778822018546,-0.00320808508307491
01-Apr-1960,9.32349046990884,11.1389352444009,8.5369579065219,0.0167562338080331
01-Jul-1960,9.31452019088585,11.1279205628692,8.5338908451701,0.0145221862104916
01-Oct-1960,9.31181334090682,11.1453569984281,8.55247729793729,-0.00698771649099172
01-Jan-1961,9.30810208975868,11.1639714132294,8.5499305974453,-0.0175008824229839
01-Apr-1961,9.31901538860184,11.1708042635341,8.54142894372279,-0.0045989877563406
01-Jul-1961,9.31973274874738,11.1797359649334,8.53268647163071,-0.00268743993409548
01-Oct-1961,9.33529761138057,11.1995262916666,8.53041599805267,0.00538671206628538
01-Jan-1962,9.34233308143468,11.1973699854289,8.54715654805896,0.00346168433069916
01-Apr-1962,9.35105837891506,11.1476490634359,8.55549665266772,0.0294441057649777
01-Jul-1962,9.35513311687772,11.1590291346431,8.56369334606396,0.0235787656751263
01-Oct-1962,9.3652050825371,11.1983653778708,8.57341557328756,0.0103236474611241
01-Jan-1963,9.36888140010473,11.2068432096036,8.58143805639458,0.00545903306553774
01-Apr-1963,9.37509180757667,11.2156250737381,8.57605375501825,0.0109399063006481
01-Jul-1963,9.38471375892096,11.2244120269456,8.57241980977984,0.0187924909588302
01-Oct-1963,9.38915578944085,11.2147939848002,8.58322679395578,0.0211230092735899
01-Jan-1964,9.40549588675022,11.2260051231295,8.59258045143176,0.0269126441691101
01-Apr-1964,9.41987169587053,11.2383955457294,8.60058737916114,0.031009730671183
01-Jul-1964,9.43452338286506,11.2497935722244,8.6086749549732,0.0357780041204749
01-Oct-1964,9.43380387210131,11.2601063147622,8.63821509713307,0.0129432137159957
01-Jan-1965,9.45312967553723,11.2708466859129,8.67655334230669,0.00474753784887993
01-Apr-1965,9.46141032593123,11.2618779775399,8.68731309890409,0.0106547370678942
01-Jul-1965,9.47508641314491,11.2838348458871,8.68965901249225,0.0131362710597018
01-Oct-1965,9.49957124441781,11.3066615451539,8.68933198875723,0.0276226001762241
01-Jan-1966,9.5117774096603,11.2988045423173,8.68926882930697,0.0433744358046277
01-Apr-1966,9.51170343148383,11.2994096989863,8.73165300129793,0.0179061466407455
01-Jul-1966,9.51995515442751,11.2786887686105,8.75424218925446,0.0220197622111502
01-Oct-1966,9.52105514353854,11.299143622197,8.73753744563724,0.0238885374983331
01-Jan-1967,9.52434786959551,11.32968143543,8.76198887501527,-0.000948274199932486
01-Apr-1967,9.53546272740181,11.3360461662601,8.78755704750587,-0.00783140093332801
01-Jul-1967,9.53777186394525,11.352070297552,8.80412474225347,-0.0224980480172514
01-Oct-1967,9.54108193388841,11.3620282337718,8.81536040948598,-0.0302944736162154
01-Jan-1968,9.56261565157023,11.3563200705096,8.82754769546893,-0.0134362713408056
01-Apr-1968,9.57546947856147,11.3857639777298,8.83150452741904,-0.0160749416954273
01-Jul-1968,9.59130784848395,11.3910174356178,8.85685354487278,-0.0176084529731295
01-Oct-1968,9.59315078951954,11.4256546656147,8.87755339105989,-0.0435016515532569
01-Jan-1969,9.60211215295234,11.4187312883803,8.89661628735,-0.0427488596743821
