This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on NI.

The portfolios are constructed at the end of June. NI (net stock issues), the change in the natural 
log of the split-adjusted shares outstanding from the fiscal year-end in t-2 to t-1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196412,   -0.49,   -1.05,    0.48,    1.08,    2.06,   -0.56,    0.51,    0.88,   -0.65,   -0.19,    1.92,   -0.13,    3.26,   -1.58,    0.33,    0.63,    0.34
196501,    1.93,    4.11,    4.68,    3.08,    3.51,    5.30,    5.68,    4.56,    5.03,    2.94,    3.18,    7.96,    1.16,    6.34,    4.41,    5.54,    5.89
196502,   -0.85,    1.46,    0.88,   -0.07,    1.45,    0.49,    3.14,    0.21,    2.77,    1.35,   -0.99,    2.22,    1.02,    1.09,   -0.03,    2.97,    3.39
196503,   -2.27,   -0.38,   -2.09,   -0.52,   -0.72,   -0.76,   -1.37,   -2.46,   -1.08,   -2.49,    0.79,   -0.26,   -0.99,    0.46,   -1.83,   -2.18,   -0.16
196504,    1.98,    1.72,    2.05,    6.06,    4.24,    3.42,    3.41,    1.23,    4.26,    6.17,    6.00,    5.33,    3.61,    3.81,    3.07,    3.59,    3.14
196505,    0.03,   -0.55,    0.47,   -2.01,    0.92,   -0.70,    1.03,    0.72,   -0.19,   -0.77,   -2.81,   -1.07,    2.09,   -1.27,   -0.18,    1.68,    0.08
196506,   -3.10,   -5.32,   -4.97,   -5.43,   -4.78,   -5.23,   -6.48,   -4.77,   -5.50,   -4.20,   -6.24,   -5.00,   -4.65,   -4.64,   -5.76,   -5.56,   -7.87
196507,    2.26,    2.42,    1.63,    0.25,    3.81,    2.08,    0.53,    0.82,    2.72,    0.27,    0.23,    4.10,    3.62,    2.99,    0.87,    0.12,    1.92
196508,    4.12,    3.88,    3.17,    1.72,    4.84,    2.88,    1.99,    2.26,    4.36,    1.20,    2.89,    4.70,    4.93,    2.59,    3.27,    1.21,    4.59
196509,    3.50,    2.25,    2.38,    4.16,    4.33,    4.77,    1.71,    2.52,    2.20,    5.34,    1.54,    6.67,    2.85,    5.15,    4.27,    1.18,    3.43
196510,    2.95,    3.64,    3.14,    4.00,    3.13,    2.29,    0.70,    3.38,    2.83,    4.39,    3.10,    2.74,    3.38,    1.98,    2.72,   -0.42,    4.20
196511,    2.42,   -0.12,   -0.32,   -0.59,    1.14,    1.95,   -1.78,   -0.97,    0.54,   -1.99,    2.72,    0.01,    1.88,    1.25,    2.87,   -2.96,    1.75
196512,    1.10,    3.01,    1.87,    0.33,    0.23,    2.18,    0.31,    2.12,    1.55,    0.50,   -0.05,    2.99,   -1.53,    1.61,    2.92,   -0.19,    1.74
196601,    2.20,    1.28,    1.39,   -0.55,    1.68,    1.39,   -0.41,    0.34,    2.74,    0.13,   -2.05,    1.66,    1.69,    0.78,    2.19,   -1.04,    1.37
196602,   -1.13,   -2.30,   -1.87,   -2.01,    0.88,   -0.62,    0.28,   -1.72,   -2.06,   -2.82,   -0.14,   -1.95,    2.76,    0.65,   -2.26,   -0.19,    1.55
196603,   -1.82,   -0.08,   -2.33,   -2.85,   -0.34,   -1.91,   -3.86,   -2.86,   -1.66,   -3.31,   -1.83,   -0.84,   -0.02,   -2.68,   -0.91,   -4.01,   -3.46
196604,    2.89,    2.68,    1.79,    0.81,    5.18,    2.17,    2.24,    0.96,    2.83,    0.29,    1.94,    5.06,    5.26,    2.73,    1.46,    1.60,    3.93
196605,   -6.29,   -5.21,   -4.82,   -5.50,   -4.79,   -5.27,   -3.84,   -3.97,   -5.86,   -5.97,   -4.49,   -7.23,   -3.26,   -6.53,   -3.62,   -3.33,   -5.18
196606,    0.43,   -0.86,   -1.72,   -2.09,   -0.97,   -1.82,    0.44,   -1.35,   -2.19,   -2.61,   -0.98,    0.21,   -1.68,   -2.09,   -1.48,    0.64,   -0.08
196607,   -0.21,   -1.18,   -0.11,   -2.37,   -1.97,   -1.97,   -1.77,   -0.80,    0.57,   -3.40,   -0.72,   -2.21,   -1.45,   -1.41,   -3.09,   -2.66,   -0.78
196608,   -6.39,   -9.49,   -7.45,   -6.75,   -7.31,   -7.51,   -8.30,   -6.93,   -7.97,   -6.93,   -6.47,   -6.39,   -9.37,   -5.81,  -10.95,   -8.19,   -8.42
196609,    2.36,    1.70,   -1.90,    0.13,   -2.81,   -0.89,   -3.47,   -5.12,    1.32,   -0.39,    0.93,   -3.65,   -0.87,   -0.84,   -1.00,   -3.30,   -3.66
196610,    7.09,    6.67,    2.55,    4.21,    2.72,    6.28,    0.73,    4.66,    0.57,    4.17,    4.27,    2.40,    3.43,    8.34,    1.92,    0.95,    0.48
196611,   -0.70,    0.11,    0.60,    0.75,    6.72,    1.30,    6.94,    1.24,   -0.02,   -0.02,    1.93,    8.78,    2.11,   -1.54,    7.71,    6.75,    7.15
196612,   -1.17,    2.89,    0.53,   -1.77,    0.13,    1.84,    2.07,    1.12,   -0.04,   -3.02,    0.11,   -0.77,    2.29,    2.50,    0.49,    2.58,    1.50
196701,    6.32,    6.93,    9.16,    7.47,    9.71,    7.73,   10.99,    8.36,    9.96,    7.27,    7.76,    9.11,   11.09,    6.96,    9.35,   10.62,   11.40
196702,   -0.20,   -0.73,    0.35,    0.54,    3.51,    2.03,    1.79,    1.02,   -0.30,   -0.42,    1.92,    4.41,    1.46,    1.90,    2.29,    0.98,    2.69
196703,    4.19,    2.99,    3.87,    2.64,    5.48,    5.28,    6.76,    3.58,    4.17,    2.92,    2.25,    6.16,    3.88,    4.63,    6.61,    7.27,    6.21
196704,    2.42,    2.43,    5.47,    5.62,    8.03,    1.67,    4.84,    2.86,    8.06,    6.58,    4.26,    8.24,    7.53,    0.95,    3.10,    5.54,    4.07
196705,   -2.77,   -2.96,   -5.35,   -4.80,   -4.52,   -4.74,   -3.58,   -4.97,   -5.72,   -6.46,   -2.38,   -4.55,   -4.46,   -5.62,   -3.01,   -4.85,   -2.15
196706,    2.46,    2.08,   -0.39,    1.89,    3.84,    3.69,    4.21,    0.77,   -1.51,    1.19,    2.87,    4.07,    3.28,    3.98,    3.14,    2.08,    6.51
196707,    8.46,    5.14,    6.59,    4.33,    4.34,    1.11,    4.94,    6.83,    6.10,    3.60,    5.82,    4.29,    4.37,   -1.13,    3.60,    4.37,    5.57
196708,   -0.95,   -0.45,   -0.67,   -0.39,   -0.64,   -1.00,   -1.00,   -0.46,   -1.08,   -0.29,   -0.60,   -0.50,   -0.72,   -1.31,   -0.66,    0.18,   -2.28
196709,    2.77,    1.06,    4.13,    2.76,    3.64,    4.95,    2.28,    3.62,    5.17,    3.36,    1.55,    1.84,    4.71,    3.19,    6.81,    1.78,    2.83
196710,   -3.82,   -4.53,   -3.13,   -2.40,   -2.80,    0.22,   -3.55,   -2.28,   -4.79,   -1.05,   -5.16,   -5.28,   -1.37,   -3.11,    3.59,   -4.68,   -2.31
196711,   -0.19,    1.13,   -0.64,    1.38,    0.86,    1.53,    1.15,   -0.84,   -0.24,    2.20,   -0.40,    0.08,    1.30,    0.25,    2.75,    1.18,    1.11
196712,    2.43,    3.35,    3.81,    3.37,    3.52,    2.07,    4.09,    3.53,    4.36,    3.42,    3.25,    4.93,    2.76,    1.65,    2.45,    2.89,    5.37
196801,   -2.74,   -0.98,   -3.67,   -4.20,   -6.78,   -3.57,   -6.13,   -3.06,   -4.86,   -4.52,   -3.47,   -5.22,   -7.64,   -2.09,   -4.93,   -5.21,   -7.09
196802,   -3.02,   -2.64,   -2.13,   -3.13,   -3.93,   -3.36,   -4.96,   -2.41,   -1.57,   -3.18,   -3.02,   -3.93,   -3.93,   -2.79,   -3.89,   -4.43,   -5.52
196803,   -0.51,   -1.68,    0.28,    1.36,    2.16,    1.58,    0.85,    0.32,    0.19,    1.45,    1.16,    1.35,    2.61,   -0.41,    3.47,    1.52,    0.13
196804,    9.91,    7.00,    7.56,    9.38,   12.46,    8.65,   10.64,    6.83,    8.99,    9.26,    9.64,   11.95,   12.74,    6.16,   10.91,    9.76,   11.60
196805,    1.36,    3.26,   -0.24,    3.78,    5.44,    2.08,    3.34,   -0.57,    0.39,    4.45,    2.30,    4.10,    6.16,   -0.48,    4.32,    3.25,    3.43
196806,    1.51,    3.98,    1.14,   -0.19,   -0.78,    1.16,    0.89,    1.76,   -0.05,   -0.82,    1.21,   -0.68,   -0.84,    2.43,    0.11,    2.70,   -1.04
196807,    0.79,   -0.28,   -1.62,   -2.53,   -4.17,   -2.79,   -5.91,   -1.12,   -2.39,   -1.10,   -4.02,   -3.57,   -4.59,   -1.85,   -4.07,   -4.82,   -6.90
196808,    2.12,    1.65,    1.91,    1.15,    2.18,    1.53,    1.43,    1.31,    2.85,    1.74,    0.53,    1.84,    2.42,    1.50,    1.57,    0.99,    1.84
196809,    3.77,    3.65,    5.02,    3.56,    3.86,    5.21,    4.90,    4.91,    5.19,    4.49,    2.56,    4.44,    3.45,    5.24,    5.17,    5.67,    4.20
196810,    1.95,    2.56,    2.40,   -0.87,    0.46,   -1.13,    0.68,    3.80,    0.23,    0.72,   -2.62,    0.76,    0.24,   -0.88,   -1.48,    0.36,    0.98
196811,    5.80,    5.99,    3.22,    6.23,    6.12,    8.57,    7.20,    2.44,    4.48,    5.70,    6.84,    7.00,    5.47,    9.17,    7.72,    6.27,    8.07
196812,   -4.34,   -2.26,   -3.77,   -5.17,   -3.10,   -1.62,   -3.27,   -3.65,   -3.95,   -5.16,   -5.19,   -1.83,   -4.04,   -2.56,   -0.28,   -3.07,   -3.45
196901,   -0.90,    0.80,    1.00,   -1.75,   -0.69,   -2.38,   -2.22,    0.13,    2.37,    0.11,   -3.85,   -0.38,   -0.93,   -2.81,   -1.80,   -1.49,   -2.89
196902,   -4.11,   -5.03,   -3.85,   -3.84,   -5.43,   -7.13,   -8.28,   -2.86,   -5.38,   -4.21,   -3.42,   -6.21,   -4.84,   -7.05,   -7.24,   -7.49,   -9.00
196903,    4.31,    1.82,    4.40,    3.36,    3.23,    2.04,    2.35,    3.92,    5.15,    1.25,    5.81,    2.61,    3.70,    0.72,    3.87,    1.83,    2.84
196904,    2.88,    0.98,    1.49,    3.74,    1.14,    2.34,    0.78,    0.96,    2.31,    4.33,    3.09,    2.05,    0.46,    2.97,    1.50,    0.93,    0.64
196905,    1.00,    0.39,   -0.20,    0.47,   -0.16,    0.64,   -0.31,    0.64,   -1.49,    1.16,   -0.30,    0.34,   -0.54,    1.50,   -0.52,    1.45,   -1.99
196906,   -6.29,   -7.12,   -6.59,   -3.42,   -6.68,   -8.63,   -8.15,   -6.88,   -6.15,   -5.38,   -1.20,   -7.33,   -6.18,   -8.18,   -9.26,   -6.07,  -10.21
196907,   -6.91,   -5.92,   -5.60,   -5.22,   -6.16,   -8.52,   -9.01,   -5.62,   -5.56,   -4.69,   -5.47,   -7.81,   -5.26,   -7.96,   -9.07,   -8.75,   -9.31
196908,    4.55,    2.20,    3.85,    6.32,    4.50,    6.33,    9.22,    3.33,    4.76,    4.54,    7.16,    5.92,    3.75,    5.76,    6.90,    8.80,    9.72
196909,   -3.55,   -1.64,   -2.42,   -0.77,   -2.10,   -4.21,   -3.70,   -2.73,   -1.89,    0.16,   -1.20,   -1.87,   -2.23,   -2.21,   -6.17,   -2.50,   -5.11
196910,    4.44,    6.09,    4.16,    6.12,    5.88,    6.59,    7.18,    4.15,    4.17,    7.58,    5.45,    7.70,    4.88,    7.49,    5.67,    5.07,    9.74
196911,   -3.84,   -4.93,   -4.12,   -1.68,   -1.75,   -4.16,   -3.97,   -4.57,   -3.34,   -2.69,   -1.21,   -3.88,   -0.56,   -5.52,   -2.76,   -3.15,   -4.93
196912,   -1.41,   -2.16,   -1.11,    0.76,   -3.77,   -3.51,   -3.66,   -0.45,   -2.20,    1.07,    0.62,   -1.93,   -4.78,   -2.45,   -4.59,   -2.45,   -5.09
197001,   -6.23,   -5.40,   -8.19,   -7.42,   -5.31,   -8.12,  -12.50,   -8.21,   -8.16,   -7.23,   -7.50,   -7.70,   -3.98,   -6.63,   -9.66,  -12.76,  -12.18
197002,    3.21,    7.91,    6.25,    5.15,    6.01,    7.68,    4.27,    7.21,    4.60,    5.72,    4.88,    6.33,    5.85,    7.36,    8.03,    5.37,    2.94
197003,    2.14,    0.86,    1.17,   -1.92,   -0.09,   -1.29,   -4.86,    1.69,    0.27,   -1.79,   -1.97,   -1.14,    0.48,   -1.12,   -1.47,   -4.39,   -5.44
197004,   -8.78,   -9.13,   -7.32,  -10.31,  -10.36,  -13.00,  -17.70,   -7.63,   -6.77,   -9.31,  -10.78,  -11.14,   -9.94,  -13.16,  -12.83,  -15.94,  -19.90
197005,   -1.91,   -5.36,   -5.59,   -6.43,   -6.36,   -7.66,  -11.97,   -5.56,   -5.65,   -7.60,   -5.88,   -8.06,   -5.47,   -9.58,   -5.62,  -12.21,  -11.67
197006,   -2.58,   -4.17,   -3.97,   -5.03,   -7.01,   -5.11,   -9.91,   -3.06,   -5.55,   -1.49,   -6.69,   -4.01,   -8.55,   -5.71,   -4.49,   -9.30,  -10.73
197007,   10.15,    7.19,    7.08,    4.96,    7.50,    7.17,    7.56,    7.30,    6.46,    9.48,    2.12,    7.81,    7.05,    5.12,    9.56,    7.01,    8.50
197008,    5.66,    3.55,    3.86,    5.25,    4.76,    6.45,    5.32,    3.49,    4.89,    4.76,    5.58,    4.38,    5.32,    6.88,    5.98,    5.71,    4.65
197009,    2.22,    4.74,    1.36,    6.86,    5.57,    6.62,    8.55,    0.77,    2.93,    5.37,    7.86,    4.90,    6.53,    7.09,    6.10,    7.21,   10.85
197010,   -0.38,   -2.92,   -0.71,   -1.07,   -3.51,   -3.32,   -3.05,   -0.98,    0.00,   -2.72,    0.01,   -2.03,   -5.58,   -3.17,   -3.48,   -2.58,   -3.83
197011,    5.48,    6.48,    5.15,    5.31,    5.09,    4.90,    3.59,    5.15,    5.17,    7.36,    4.01,    4.86,    5.43,    4.23,    5.67,    4.33,    2.33
197012,    5.69,    5.74,    7.07,    5.45,    7.17,    6.11,    5.82,    7.77,    5.24,    5.67,    5.30,    6.56,    8.05,    4.77,    7.64,    5.10,    7.06
197101,    2.71,    6.36,    4.08,    3.96,    7.52,    6.18,    9.08,    4.26,    3.60,    5.65,    2.86,    7.83,    7.08,    6.68,    5.62,    9.05,    9.12
197102,    2.76,    2.09,   -0.33,    2.75,    2.88,    1.16,    0.83,   -1.05,    1.62,    1.72,    3.45,    2.50,    3.41,    1.22,    1.10,    0.65,    1.13
197103,    3.39,    4.33,    3.30,    5.38,    4.57,    5.39,    5.61,    2.50,    5.38,    3.81,    6.42,    5.14,    3.76,    5.73,    5.01,    5.95,    5.03
197104,    4.46,    0.98,    3.36,    2.37,    5.54,    3.41,    3.54,    3.12,    3.97,    3.92,    1.37,    5.66,    5.36,    4.06,    2.67,    3.03,    4.40
197105,   -3.70,   -3.42,   -3.52,   -5.12,   -2.57,   -2.94,   -4.12,   -3.98,   -2.36,   -3.36,   -6.29,   -1.72,   -3.79,   -1.97,   -4.06,   -3.33,   -5.44
197106,    0.09,   -0.46,    0.55,   -0.49,    0.35,    1.25,    0.90,    0.35,    1.04,    0.40,   -1.09,    1.42,   -1.20,    1.43,    1.03,    1.39,    0.08
197107,   -3.24,   -4.55,   -3.79,   -5.60,   -3.34,   -3.36,   -4.89,   -4.20,   -3.27,   -6.13,   -5.47,   -3.42,   -3.26,   -2.49,   -5.05,   -3.69,   -6.04
197108,    3.78,    4.70,    4.40,    5.85,    4.94,    2.52,    2.79,    3.23,    5.88,    5.64,    5.91,    5.10,    4.79,    1.67,    4.24,    0.57,    4.98
197109,   -0.84,   -2.00,   -0.11,   -0.54,   -0.16,    0.12,   -0.36,   -0.04,   -0.20,   -1.46,   -0.30,    0.06,   -0.35,    0.68,   -0.98,   -0.13,   -0.57
197110,   -4.68,   -3.64,   -4.05,   -3.44,   -4.52,   -4.43,   -2.60,   -3.35,   -4.92,   -4.85,   -3.09,   -4.60,   -4.44,   -4.60,   -4.09,   -0.68,   -4.40
197111,    0.06,   -1.68,    0.64,    1.06,   -0.23,   -1.27,   -0.85,    1.17,   -0.02,   -0.65,    1.48,   -0.01,   -0.44,   -0.96,   -1.90,   -1.38,   -0.33
197112,    9.80,    8.61,    7.55,    9.59,    9.75,    9.78,   10.32,    8.87,    5.88,   10.25,    9.43,    9.80,    9.69,    9.28,   10.78,    9.16,   11.43
197201,    2.57,    4.70,    1.34,    3.16,    2.63,    2.16,    3.86,    1.17,    1.55,    1.86,    3.48,    3.27,    2.06,    2.03,    2.43,    2.37,    5.25
197202,    1.79,    2.34,    3.83,    3.28,    5.01,    2.38,    2.17,    3.86,    3.80,    3.03,    3.34,    4.63,    5.36,    2.41,    2.33,    0.21,    3.97
197203,   -0.89,    0.57,    2.48,    3.34,   -0.39,   -1.77,   -1.29,    1.44,    3.83,    1.25,    3.84,    1.13,   -1.79,   -1.95,   -1.41,   -0.88,   -1.65
197204,    1.34,   -0.71,    0.02,    0.60,    1.54,    0.91,    0.28,    0.63,   -0.76,    0.20,    0.69,    1.60,    1.48,    0.53,    1.66,   -1.34,    1.71
197205,    0.71,    0.53,    1.27,    3.08,    1.80,    1.79,    1.17,    2.06,    0.25,    1.76,    3.38,    1.15,    2.41,    2.49,    0.43,    0.04,    2.14
197206,   -1.94,   -4.41,   -1.53,   -1.25,   -2.11,   -2.51,   -2.66,   -0.65,   -2.68,   -0.74,   -1.36,   -0.86,   -3.27,   -2.25,   -3.03,   -2.92,   -2.44
197207,   -1.84,   -2.42,    0.80,    0.69,    0.57,   -1.75,   -2.72,   -0.07,    2.32,    0.94,    0.22,    1.66,   -1.77,   -0.22,   -3.33,   -1.38,   -4.82
197208,    5.80,    4.86,    3.36,    3.62,    3.74,    2.55,    2.40,    3.70,    2.76,    3.50,    3.85,    3.26,    4.81,    0.96,    4.25,    3.01,    1.40
197209,   -1.21,   -1.37,    1.17,   -0.50,   -1.26,   -2.04,   -1.83,    2.52,   -1.15,    0.14,   -1.73,   -0.92,   -1.99,   -2.11,   -1.98,   -1.49,   -2.41
197210,    1.15,    1.98,    1.05,    1.60,   -1.31,    1.85,    1.00,    0.54,    1.95,    1.46,    1.86,   -2.11,    0.44,    1.52,    2.19,    2.39,   -1.31
197211,    6.49,    6.59,    4.97,    3.24,    4.03,    5.88,    6.87,    6.12,    2.96,    3.58,    2.59,    3.53,    5.12,    5.94,    5.83,    8.22,    4.53
197212,   -0.83,   -1.05,    2.40,    1.70,    2.19,   -0.58,   -0.21,    2.17,    2.80,    1.71,    1.68,    2.26,    2.05,   -0.38,   -0.79,    0.05,   -0.67
197301,   -0.60,   -1.51,   -3.31,   -2.14,    1.15,   -5.46,   -6.50,   -3.36,   -3.21,   -0.97,   -4.44,    3.91,   -4.73,   -4.61,   -6.33,   -6.57,   -6.37
197302,   -5.74,   -6.07,   -2.85,   -3.46,   -3.39,   -5.44,   -5.56,   -3.15,   -2.32,   -4.33,   -1.69,   -2.33,   -5.85,   -3.98,   -6.97,   -4.78,   -6.96
197303,   -0.93,    1.44,   -0.45,   -0.22,    0.24,   -2.23,   -2.73,   -0.18,   -0.91,   -0.36,    0.06,    0.44,   -0.24,   -1.53,   -2.98,   -2.67,   -2.84
197304,   -3.37,   -2.45,   -3.05,   -4.48,   -5.23,   -7.14,   -6.96,   -2.16,   -4.61,   -4.52,   -4.40,   -5.30,   -5.06,   -6.68,   -7.64,   -6.47,   -7.86
197305,   -6.07,   -5.73,   -1.62,    0.36,   -1.62,   -1.49,   -4.21,   -1.52,   -1.81,    0.09,    0.89,   -1.54,   -1.81,   -1.16,   -1.86,   -2.14,   -8.06
197306,   -1.02,   -1.90,   -0.17,   -0.70,   -0.06,   -2.13,   -3.03,    0.01,   -0.50,    0.07,   -2.21,    0.30,   -0.94,   -2.03,   -2.25,   -2.21,   -4.64
197307,    4.63,    3.59,    3.71,    6.35,    4.25,    9.97,    7.65,    2.65,    5.16,    6.13,    6.55,    2.87,    8.62,   10.10,    9.84,    4.93,   10.78
197308,   -2.12,   -2.94,   -2.72,   -3.66,   -3.61,   -3.46,   -2.87,   -3.20,   -2.08,   -3.00,   -4.24,   -3.13,   -5.06,   -3.75,   -3.13,   -2.68,   -3.08
197309,    7.78,    7.00,    5.81,    4.44,    2.33,    6.41,    8.98,    4.32,    7.78,    5.05,    3.90,    0.77,    7.08,    6.68,    6.12,    7.65,   10.43
197310,   -1.96,    0.20,    0.10,    0.23,    1.03,    0.05,   -3.34,    0.80,   -0.79,    0.21,    0.24,    1.63,   -0.69,   -0.39,    0.54,   -2.31,   -4.43
197311,  -15.30,  -12.46,   -9.90,  -12.81,   -9.19,  -16.42,  -15.02,   -9.70,  -10.16,  -11.83,  -13.70,   -8.10,  -12.40,  -16.37,  -16.47,  -13.66,  -16.51
197312,    1.84,    4.59,    2.79,   -0.65,    0.84,    0.73,    0.49,    4.17,    0.98,   -0.59,   -0.71,    1.46,   -1.08,   -1.01,    2.62,    0.36,    0.63
197401,    4.27,    1.79,   -2.71,    0.32,   -0.92,    1.30,    3.23,   -3.23,   -2.01,   -1.10,    1.62,   -1.64,    1.35,    3.57,   -1.07,    2.98,    3.52
197402,    0.36,    0.34,   -1.81,   -0.21,    1.38,    0.24,    0.31,   -1.61,   -2.08,   -0.19,   -0.23,    1.69,    0.44,   -0.55,    1.11,    1.08,   -0.54
197403,   -1.73,   -2.22,   -2.13,   -1.69,   -2.46,   -2.39,   -3.77,   -1.97,   -2.35,   -2.87,   -0.62,   -2.52,   -2.28,   -1.38,   -3.47,   -3.00,   -4.64
197404,   -2.80,   -5.21,   -5.21,   -2.50,   -4.08,   -4.48,   -9.42,   -4.99,   -5.49,   -3.25,   -1.84,   -3.94,   -4.53,   -3.54,   -5.51,  -11.14,   -7.43
197405,   -3.43,   -4.68,   -4.07,   -1.25,   -3.50,   -2.68,   -7.77,   -4.48,   -3.51,   -2.18,   -0.44,   -2.69,   -6.03,   -1.14,   -4.40,   -7.30,   -8.28
197406,   -1.78,   -2.04,   -2.17,   -0.28,   -1.41,   -3.92,   -5.27,   -2.96,   -1.11,    0.31,   -0.78,   -0.72,   -3.62,   -3.31,   -4.64,   -6.59,   -3.81
197407,   -5.47,   -2.90,   -9.99,   -9.09,   -8.14,   -9.06,   -5.80,  -10.21,   -9.79,  -10.05,   -7.86,   -7.65,   -9.06,  -10.34,   -7.57,   -6.31,   -5.09
197408,   -7.38,   -7.97,   -9.00,   -8.21,   -9.49,  -10.18,   -9.47,   -9.06,   -8.95,   -5.84,  -11.20,   -8.55,  -11.28,  -10.09,  -10.29,   -8.92,  -10.24
197409,   -9.79,   -6.54,  -16.10,   -9.28,  -12.51,  -12.49,   -9.31,  -15.31,  -16.82,   -9.27,   -9.28,  -13.10,  -11.34,  -13.87,  -10.93,   -9.50,   -9.04
197410,   13.53,   12.70,   17.88,   19.54,   17.27,   21.30,   17.21,   16.83,   18.87,   18.26,   21.26,   16.53,   18.72,   23.46,   18.93,   18.74,   15.02
197411,   -3.33,   -2.55,   -5.21,   -5.13,   -4.72,   -2.76,   -2.57,   -5.95,   -4.53,   -4.93,   -5.38,   -4.41,   -5.31,   -2.09,   -3.53,   -2.95,   -2.01
197412,   -1.70,   -3.14,   -2.58,   -1.75,   -2.94,   -3.97,   -4.56,   -4.81,   -0.57,   -1.60,   -1.95,   -2.54,   -3.70,   -3.02,   -5.08,   -3.99,   -5.40
197501,   15.89,   16.89,   13.48,   11.49,   13.29,   11.14,   18.95,   12.80,   14.07,   13.62,    8.72,   12.62,   14.57,    6.65,   16.50,   17.15,   21.63
