This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  INV is percentage difference in Total Assets at the last fiscal year end of the prior calendar
year from the previous fiscal year as of 6 months before formation.  Firms with negative
INV are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
19901226   ,0.45   ,0.36   ,0.33   ,0.50   ,0.32   ,0.36
19901227  ,-0.01   ,0.15   ,0.16  ,-0.11   ,0.35   ,0.25
19901228   ,2.15   ,2.10   ,1.95   ,1.67   ,1.73   ,1.64
19901231   ,0.17   ,0.32   ,0.57   ,0.09  ,-0.05   ,0.16
19910101   ,0.00  ,-0.01  ,-0.03   ,0.02   ,0.01   ,0.00
19910102  ,-0.02   ,0.10   ,0.19  ,-0.35  ,-0.31  ,-0.24
19910103  ,-0.57  ,-0.55  ,-0.57  ,-0.16  ,-0.15  ,-0.23
19910104  ,-0.66  ,-0.61  ,-0.65  ,-0.16  ,-0.08  ,-0.10
19910107  ,-2.18  ,-2.03  ,-2.13  ,-2.90  ,-2.91  ,-2.77
19910108  ,-1.01  ,-0.89  ,-1.12  ,-1.03  ,-1.05  ,-1.17
19910109   ,0.63   ,0.44   ,0.29   ,1.93   ,1.74   ,1.91
19910110  ,-0.86  ,-0.56  ,-0.30  ,-1.27  ,-0.65  ,-0.81
19910111  ,-0.20  ,-0.40  ,-0.45   ,0.04  ,-0.30  ,-0.21
19910114  ,-1.59  ,-1.50  ,-1.38  ,-2.20  ,-2.50  ,-2.45
19910115  ,-0.66  ,-0.61  ,-0.75  ,-0.16  ,-0.54  ,-0.39
