This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199007   ,4.22   ,7.90   ,7.78   ,1.21   ,0.30  ,-1.15
199008 ,-15.61 ,-16.16 ,-14.93 ,-12.23 ,-10.90  ,-9.50
199009 ,-14.91 ,-16.58 ,-16.63 ,-16.34 ,-16.93 ,-16.84
199010  ,28.21  ,25.69  ,25.01  ,25.58  ,24.13  ,28.53
199011 ,-19.59 ,-17.84 ,-16.97 ,-16.98 ,-12.51 ,-11.87
199012  ,-2.78  ,-3.29  ,-3.39   ,1.36   ,3.34   ,4.43
199101  ,-5.64  ,-5.45  ,-5.28  ,-0.18   ,1.72   ,3.81
199102  ,25.23  ,22.10  ,21.52  ,18.10  ,11.17  ,10.44
199103  ,-1.57  ,-0.40   ,0.01  ,-6.09  ,-3.81  ,-4.33
199104   ,3.54   ,3.78   ,3.99   ,1.15   ,3.36   ,1.99
199105  ,-2.96  ,-1.86  ,-1.96  ,-1.75  ,-1.79  ,-1.26
199106  ,-6.38  ,-4.88  ,-4.11  ,-8.36  ,-5.57  ,-7.92
199107  ,-0.58  ,-1.47  ,-1.15   ,1.21   ,1.95   ,3.51
199108 ,-11.55 ,-10.68 ,-11.05  ,-5.52  ,-7.35  ,-6.10
199109  ,11.62  ,10.20   ,8.91  ,10.04   ,9.97   ,7.73
199110   ,6.46   ,6.98   ,4.63   ,6.23   ,4.29   ,3.48
199111 ,-10.52 ,-10.33  ,-9.98  ,-7.54  ,-8.44  ,-7.87
