"Start","1/31/1973"
"End","6/25/2007"
"Frequency","M"
"Name","A.P. MOLLER-MAERSK - COMMON SHARES OUTSTANDING","GROUPE VICTOIRE SA - COMMON SHARES OUTSTANDING","FINANZAUTO SA - COMMON SHARES OUTSTANDING","FONCINA SA - COMMON SHARES OUTSTANDING","SOPAGRI SA - COMMON SHARES OUTSTANDING","HUBER & SUHNER AG - COMMON SHARES OUTSTANDING","DIORA EXPLORATION NL- COMMON SHARES OUTSTANDING","HYSAN DEVELOPMENT CO- COMMON SHARES OUTSTANDING","LUFKIN INDUSTRIES - COMMON SHARES OUTSTANDING","LOOK INCORPORATED - COMMON SHARES OUTSTANDING","HUTTER & SCHRANTZ - COMMON SHARES OUTSTANDING","FIEBM SA - COMMON SHARES OUTSTANDING","C-COR INCORPORATED - COMMON SHARES OUTSTANDING","HUFVUDSTADEN AB - COMMON SHARES OUTSTANDING","IMMOB MARSEILLA, STE- COMMON SHARES OUTSTANDING","INTERTECHNIQUE SA - COMMON SHARES OUTSTANDING","INVESTOR AB - COMMON SHARES OUTSTANDING","INVESTOR AB - COMMON SHARES OUTSTANDING","FONCIERE EURIS - COMMON SHARES OUTSTANDING","NH HOTELES S.A. - COMMON SHARES OUTSTANDING","ELXSI CORPORATION - COMMON SHARES OUTSTANDING","ENSOURCE INC. - COMMON SHARES OUTSTANDING","SEAGATE TECHNOLOGY - COMMON SHARES OUTSTANDING","CYCARE SYSTEMS, INC.- COMMON SHARES OUTSTANDING","BOLLORE - COMMON SHARES OUTSTANDING","METAL DEPLOYE SA - COMMON SHARES OUTSTANDING","MUNKSJO AB - COMMON SHARES OUTSTANDING","NEW ZEALAND OIL - COMMON SHARES OUTSTANDING","FIRST AMERICAN CORP - COMMON SHARES OUTSTANDING","CIPHER DATA PRODUCTS- COMMON SHARES OUTSTANDING","NEW ENGLAND BUSINESS- COMMON SHARES OUTSTANDING","BANCA NAZ DELL'AGRIC- COMMON SHARES OUTSTANDING","ABIGROUP LIMITED - COMMON SHARES OUTSTANDING","BIOGEN, INC. - COMMON SHARES OUTSTANDING","ELECTROMETALS TECH - COMMON SHARES OUTSTANDING","ORFEVRERIE CHRISTOFL- COMMON SHARES OUTSTANDING","SMURFIT NAVARRA - COMMON SHARES OUTSTANDING","INVESTMENT AB BAHCO - COMMON SHARES OUTSTANDING","ROCAMAT SA - COMMON SHARES OUTSTANDING","SADE-STE ALSACIENNE - COMMON SHARES OUTSTANDING","COMPAGNIE GENERALE - COMMON SHARES OUTSTANDING","FLSMIDTH & CO A/S - COMMON SHARES OUTSTANDING","PERPETUAL LTD - COMMON SHARES OUTSTANDING","SCHNEIDER ELECTRIC - COMMON SHARES OUTSTANDING","STADL MALZFABRIK AG - COMMON SHARES OUTSTANDING","STORA KOPPARBERGS - COMMON SHARES OUTSTANDING","SV. HANDELSBANKEN AB- COMMON SHARES OUTSTANDING","UNIVERSALE-BAU AG - COMMON SHARES OUTSTANDING","VIVAX SA - COMMON SHARES OUTSTANDING","WIENERBERGER AG - COMMON SHARES OUTSTANDING","TORO ASSICURAZIONI - COMMON SHARES OUTSTANDING","UNI-INVEST NV - COMMON SHARES OUTSTANDING","BASIC PETROLEUM CORP- COMMON SHARES OUTSTANDING","RENAISSANCE CORP - COMMON SHARES OUTSTANDING","SINO-I TECH LTD - COMMON SHARES OUTSTANDING","HOKUETSU IND. CO. - COMMON SHARES OUTSTANDING","JACKS INTERNATIONAL - COMMON SHARES OUTSTANDING","CONVERGENT, INC. - COMMON SHARES OUTSTANDING","PLASMA-THERM, INC. - COMMON SHARES OUTSTANDING","APLUS COMPANY LTD - COMMON SHARES OUTSTANDING","PHILIPPINE LONG DIST- COMMON SHARES OUTSTANDING","REX TRUEFORM CLOTH - COMMON SHARES OUTSTANDING","SUNCALL CORPORATION - COMMON SHARES OUTSTANDING","SAN MIGUEL CORP - COMMON SHARES OUTSTANDING","COLLAGEN AESTHETICS - COMMON SHARES OUTSTANDING","SOLV-EX CORP - COMMON SHARES OUTSTANDING","HOME DEPOT, INC. - COMMON SHARES OUTSTANDING","INT'L GAME TECH - COMMON SHARES OUTSTANDING","MEDIAVEST INC - COMMON SHARES OUTSTANDING","ATLAS CONSOLIDATED - COMMON SHARES OUTSTANDING","BENGUET CORPORATION - COMMON SHARES OUTSTANDING","LEPANTO CONSOLIDATED- COMMON SHARES OUTSTANDING","TAYCA CORPORATION - COMMON SHARES OUTSTANDING","TOKYO AUTO. MACH. - COMMON SHARES OUTSTANDING","IBERDROLA SA - COMMON SHARES OUTSTANDING","DYNO ASA - COMMON SHARES OUTSTANDING","CLECO CORPORATION - COMMON SHARES OUTSTANDING","EMULEX CORPORATION - COMMON SHARES OUTSTANDING","JAPAN VILENE CO. LTD- COMMON SHARES OUTSTANDING","AWILCO ASA - COMMON SHARES OUTSTANDING","BANCO ATLANTICO S.A.- COMMON SHARES OUTSTANDING","ALITALIA SPA - COMMON SHARES OUTSTANDING","WAKAMOTO PHARM CO - COMMON SHARES OUTSTANDING","COMMUNICATIONS SYST - COMMON SHARES OUTSTANDING","CONTINUUM CO., INC. - COMMON SHARES OUTSTANDING","FONAR CORPORATION - COMMON SHARES OUTSTANDING","PARGESA HOLDING SA - COMMON SHARES OUTSTANDING","TELECOMM - TCI GROUP- COMMON SHARES OUTSTANDING","GRUPO LAMOSA - COMMON SHARES OUTSTANDING","KIMBERLY CLARK - COMMON SHARES OUTSTANDING","BELO CORP - COMMON SHARES OUTSTANDING","CA INC - COMMON SHARES OUTSTANDING","HEALTHDYNE INC. - COMMON SHARES OUTSTANDING","ALK-ABELO A/S - COMMON SHARES OUTSTANDING","INTERMAGNETICS GEN - COMMON SHARES OUTSTANDING","FORUM GROUP, INC. - COMMON SHARES OUTSTANDING","TELEPHONE & DATA SYS- COMMON SHARES OUTSTANDING","NEXUS GROUP INTL - COMMON SHARES OUTSTANDING","TUAN SING HOLDINGS - COMMON SHARES OUTSTANDING","TURNER BROADCASTING - COMMON SHARES OUTSTANDING","PRIMARK CORPORATION - COMMON SHARES OUTSTANDING","HORIZON OIL LTD - COMMON SHARES OUTSTANDING","MYND CORP - COMMON SHARES OUTSTANDING","HONG LEONG FINANCE - COMMON SHARES OUTSTANDING","CHARTER MEDICAL - COMMON SHARES OUTSTANDING","SOCFINAL (STE FINAN)- COMMON SHARES OUTSTANDING","CHINA AEROSPACE - COMMON SHARES OUTSTANDING","P&C GROEP NV - COMMON SHARES OUTSTANDING","GRONTMIJ - COMMON SHARES OUTSTANDING","KONINKLIJK VAN MELLE- COMMON SHARES OUTSTANDING","ALANHERI NV - COMMON SHARES OUTSTANDING","VHS ONROEREND GOED - COMMON SHARES OUTSTANDING","LTX CORP - COMMON SHARES OUTSTANDING","BIG B, INC. - COMMON SHARES OUTSTANDING","JONES INTERCABLE INC- COMMON SHARES OUTSTANDING","VSI HOLDINGS, INC. - COMMON SHARES OUTSTANDING","SUNSTAR INC. - COMMON SHARES OUTSTANDING","NAT BNCSHRS CORP TEX- COMMON SHARES OUTSTANDING","CIRCON CORPORATION - COMMON SHARES OUTSTANDING","LAGARDERE SCA - COMMON SHARES OUTSTANDING","ALLIED PROPERTIES - COMMON SHARES OUTSTANDING","CITIC PACIFIC LTD. - COMMON SHARES OUTSTANDING","AYALA INTERNL HOLDIN- COMMON SHARES OUTSTANDING","MICHAELS STORES, INC- COMMON SHARES OUTSTANDING","TCI INT'L INC. - COMMON SHARES OUTSTANDING","MALAYSIAN RESOURCES - COMMON SHARES OUTSTANDING","SINGAPURA FINANCE - COMMON SHARES OUTSTANDING","LILLY INDUSTRIES INC- COMMON SHARES OUTSTANDING","LASER PRECISION Corp- COMMON SHARES OUTSTANDING","SYNTREX CORP. - COMMON SHARES OUTSTANDING","WILMINGTON TRST - COMMON SHARES OUTSTANDING","SUMMA INDUSTRIES - COMMON SHARES OUTSTANDING","REPUBLIC RESOURCES - COMMON SHARES OUTSTANDING","NOVAR ELECTRONICS - COMMON SHARES OUTSTANDING","PATLEX CORP - COMMON SHARES OUTSTANDING","MASSTOR SYSTEMS CORP- COMMON SHARES OUTSTANDING","POSTAL INSTANT PRESS- COMMON SHARES OUTSTANDING","MAJOR GROUP, INC. - COMMON SHARES OUTSTANDING","ISETAN (SINGAPORE) - COMMON SHARES OUTSTANDING","SANRIO COMPANY LTD - COMMON SHARES OUTSTANDING","MIDAMERICAN ENERGY - COMMON SHARES OUTSTANDING","BEVER HOLDING - COMMON SHARES OUTSTANDING","DATA SWITCH CORP - COMMON SHARES OUTSTANDING","TRANSMARCO LIMITED - COMMON SHARES OUTSTANDING","ORCHARD PARADE HLDGS- COMMON SHARES OUTSTANDING","QUEENSBOROUGH HLDGS - COMMON SHARES OUTSTANDING","BERKELEY - COMMON SHARES OUTSTANDING","SIEMENS NIXDORF AG - COMMON SHARES OUTSTANDING","MICRON TECHNOLOGY - COMMON SHARES OUTSTANDING","SENETAS CORPORATION - COMMON SHARES OUTSTANDING","WATSCO INC - COMMON SHARES OUTSTANDING","TEISSEIRE FRANCE SA - COMMON SHARES OUTSTANDING","TERAOKA SEISAKUSHO - COMMON SHARES OUTSTANDING","ALBIS LEASING AG - COMMON SHARES OUTSTANDING","CARL SCHENCK AG - COMMON SHARES OUTSTANDING","SAAB AB - COMMON SHARES OUTSTANDING","TECHNO ASIA HOLDINGS- COMMON SHARES OUTSTANDING","GOLD PEAK INDUSTRIES- COMMON SHARES OUTSTANDING","KATOKICHI CO., LTD. - COMMON SHARES OUTSTANDING","LANDESBANK BERLIN - COMMON SHARES OUTSTANDING","JOHNSON ELECTRIC - COMMON SHARES OUTSTANDING","SONY PRECISION TECH.- COMMON SHARES OUTSTANDING","HAWKER DE HAVILLAND - COMMON SHARES OUTSTANDING","BRADY CORP - COMMON SHARES OUTSTANDING","HABER INC - COMMON SHARES OUTSTANDING","MABUCHI MOTOR CO. - COMMON SHARES OUTSTANDING","CHIYODA CO., LTD. - COMMON SHARES OUTSTANDING","RPC, INC. - COMMON SHARES OUTSTANDING","BIOFERMIN PHARM'L CO- COMMON SHARES OUTSTANDING","IMW IMMOBILIEN AG - COMMON SHARES OUTSTANDING","VICTORIA PETROLEUM - COMMON SHARES OUTSTANDING","REX STORES CORP - COMMON SHARES OUTSTANDING","NERCO, INC. - COMMON SHARES OUTSTANDING","GREAT AMERICAN BANK - COMMON SHARES OUTSTANDING","NORITZ CORP - COMMON SHARES OUTSTANDING","HILLSDOWN HOLDINGS - COMMON SHARES OUTSTANDING","CONTINENTAL FOODS - COMMON SHARES OUTSTANDING","TINSLEY ROBOR PLC - COMMON SHARES OUTSTANDING","PWS HOLDINGS PLC - COMMON SHARES OUTSTANDING"
"Code","997863(WC05301)","997879(WC05301)","997883(WC05301)","997896(WC05301)","997897(WC05301)","997912(WC05301)","997913(WC05301)","997914(WC05301)","997918(WC05301)","997921(WC05301)","997924(WC05301)","997926(WC05301)","997927(WC05301)","997928(WC05301)","997930(WC05301)","997940(WC05301)","997941(WC05301)","997942(WC05301)","997950(WC05301)","997952(WC05301)","997961(WC05301)","997962(WC05301)","997963(WC05301)","997965(WC05301)","997966(WC05301)","997967(WC05301)","997970(WC05301)","997978(WC05301)","997993(WC05301)","998000(WC05301)","998004(WC05301)","998006(WC05301)","998010(WC05301)","998014(WC05301)","998017(WC05301)","998030(WC05301)","998032(WC05301)","998040(WC05301)","998049(WC05301)","998052(WC05301)","998054(WC05301)","998064(WC05301)","998066(WC05301)","998075(WC05301)","998076(WC05301)","998078(WC05301)","998080(WC05301)","998090(WC05301)","998092(WC05301)","998096(WC05301)","998100(WC05301)","998101(WC05301)","998113(WC05301)","998119(WC05301)","998126(WC05301)","998130(WC05301)","998134(WC05301)","998135(WC05301)","998139(WC05301)","998151(WC05301)","998153(WC05301)","998155(WC05301)","998157(WC05301)","998158(WC05301)","998160(WC05301)","998170(WC05301)","998171(WC05301)","998173(WC05301)","998174(WC05301)","998177(WC05301)","998178(WC05301)","998180(WC05301)","998193(WC05301)","998194(WC05301)","998213(WC05301)","998221(WC05301)","998223(WC05301)","998227(WC05301)","998237(WC05301)","998242(WC05301)","998243(WC05301)","998250(WC05301)","998252(WC05301)","998258(WC05301)","998260(WC05301)","998261(WC05301)","998266(WC05301)","998278(WC05301)","998305(WC05301)","998306(WC05301)","998320(WC05301)","998326(WC05301)","998328(WC05301)","998329(WC05301)","998330(WC05301)","998332(WC05301)","998333(WC05301)","998337(WC05301)","998340(WC05301)","998350(WC05301)","998355(WC05301)","998356(WC05301)","998357(WC05301)","998366(WC05301)","998379(WC05301)","998392(WC05301)","998409(WC05301)","998410(WC05301)","998414(WC05301)","998416(WC05301)","998418(WC05301)","998422(WC05301)","998434(WC05301)","998473(WC05301)","998479(WC05301)","998483(WC05301)","998487(WC05301)","998492(WC05301)","998493(WC05301)","998500(WC05301)","998508(WC05301)","998511(WC05301)","998542(WC05301)","998558(WC05301)","998570(WC05301)","998572(WC05301)","998573(WC05301)","998579(WC05301)","998581(WC05301)","998588(WC05301)","998589(WC05301)","998608(WC05301)","998627(WC05301)","998631(WC05301)","998637(WC05301)","998642(WC05301)","998646(WC05301)","998647(WC05301)","998675(WC05301)","998676(WC05301)","998683(WC05301)","998684(WC05301)","998685(WC05301)","998687(WC05301)","998697(WC05301)","998765(WC05301)","998777(WC05301)","999503(WC05301)","999506(WC05301)","999519(WC05301)","999527(WC05301)","999542(WC05301)","999560(WC05301)","999563(WC05301)","999564(WC05301)","999575(WC05301)","999583(WC05301)","999592(WC05301)","999594(WC05301)","999595(WC05301)","999604(WC05301)","999612(WC05301)","999616(WC05301)","999617(WC05301)","999618(WC05301)","999619(WC05301)","999620(WC05301)","999657(WC05301)","999658(WC05301)","999661(WC05301)","999673(WC05301)","999677(WC05301)","999679(WC05301)","999685(WC05301)","999709(WC05301)","999776(WC05301)","999858(WC05301)","999881(WC05301)","999897(WC05301)"
"Currency", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"1/31/1973",#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a
"2/28/1973",#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a
"3/30/1973",#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a
"4/30/1973",#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a
"5/31/1973",#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a
"6/29/1973",#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a
"7/31/1973",#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a
