date,Real_earnings_growth,YoY_change_in_expectations_of_EPS,zeros
01-Nov-1971,-23.38,,0
01-Dec-1971,-23.61,,0
01-Jan-1972,7.02,,0
01-Feb-1972,3.95,,0
01-Mar-1972,3.92,,0
01-Apr-1972,4.65,,0
01-May-1972,1.62,,0
01-Jun-1972,-1.36,,0
01-Jul-1972,5.3,,0
01-Aug-1972,5.25,,0
01-Sep-1972,8.16,,0
01-Oct-1972,16.91,,0
01-Nov-1972,19.57,,0
01-Dec-1972,13.32,,0
01-Jan-1973,7.72,,0
01-Feb-1973,1.82,,0
01-Mar-1973,4.7,,0
01-Apr-1973,8.1,,0
01-May-1973,8.01,,0
01-Jun-1973,7.91,,0
01-Jul-1973,5.61,,0
01-Aug-1973,8.4,,0
01-Sep-1973,8.3,,0
01-Oct-1973,12.48,,0
01-Nov-1973,15.1,,0
01-Dec-1973,14.84,,0
01-Jan-1974,20.8,,0
01-Feb-1974,14.66,,0
01-Mar-1974,11.48,,0
01-Apr-1974,16.86,,0
01-May-1974,16.4,,0
01-Jun-1974,15.96,,0
01-Jul-1974,22.68,,0
01-Aug-1974,3.19,,0
01-Sep-1974,21.7,,0
01-Oct-1974,13.71,,0
01-Nov-1974,15.96,,0
01-Dec-1974,15.55,,0
01-Jan-1975,-0.58,,0
01-Feb-1975,-5.65,,0
01-Mar-1975,-5.54,,0
01-Apr-1975,13.11,,0
01-May-1975,2.87,,0
01-Jun-1975,7.71,,0
01-Jul-1975,7.08,,0
01-Aug-1975,2.1,,0
01-Sep-1975,2.04,,0
01-Oct-1975,-21.31,,0
01-Nov-1975,-18.98,,0
01-Dec-1975,-18.99,,0
01-Jan-1976,-24.33,,0
01-Feb-1976,-29.12,,0
01-Mar-1976,-24.95,,0
01-Apr-1976,-27.64,,0
01-May-1976,-30.29,,0
01-Jun-1976,-32.9,,0
01-Jul-1976,-23.22,,0
01-Aug-1976,-12.33,,0
01-Sep-1976,-16.76,,0
01-Oct-1976,3.7,,0
01-Nov-1976,1.47,,0
01-Dec-1976,5.77,,0
01-Jan-1977,32.95,,0
01-Feb-1977,29.75,,0
01-Mar-1977,31.02,,0
01-Apr-1977,22.88,,0
01-May-1977,17.96,,0
01-Jun-1977,19.59,,0
01-Jul-1977,6.6,,0
01-Aug-1977,6.5,,0
01-Sep-1977,8.49,,0
01-Oct-1977,8.78,,0
01-Nov-1977,12.8,,0
01-Dec-1977,10.53,,0
01-Jan-1978,0.67,,0
01-Feb-1978,-5.43,,0
01-Mar-1978,-1.32,,0
01-Apr-1978,3.38,,0
01-May-1978,7.31,,0
01-Jun-1978,5.2,,0
01-Jul-1978,5.18,,0
01-Aug-1978,7.06,,0
01-Sep-1978,6.99,,0
