date,XS_Mean,XS_Std_dev,perc_25,perc_75,IQR,Max,Min,RF,recession
01-Jan-1960,11.86,4.63,8.43,14.98,6.55,17.84,4.61,3.96,-100
01-Feb-1960,11.02,4.28,7.79,13.25,5.46,18.04,4.64,3.48,-100
01-Mar-1960,10.68,4.3,7.27,13.16,5.89,17.21,4.08,4.2,-100
01-Apr-1960,11.7,4.44,8.48,14.78,6.3,17.21,4.67,2.28,-100
01-May-1960,11.61,4.27,8.47,14.56,6.09,16.69,4.75,3.24,100
01-Jun-1960,12.12,5,8.48,14.73,6.25,20.21,4.9,2.88,100
01-Jul-1960,12.3,5.53,8.36,14.48,6.13,22.49,5.01,1.56,100
01-Aug-1960,11.33,3.58,8.6,13.38,4.78,15.68,5.66,2.04,100
01-Sep-1960,10.09,3.93,5.69,12.89,7.21,15.14,5.28,1.92,100
01-Oct-1960,9.76,3.89,5.45,12.85,7.4,13.85,4.66,2.64,100
01-Nov-1960,10.18,3.31,6.6,13,6.4,13.33,5.83,1.56,100
01-Dec-1960,9.34,4.58,5.89,12.8,6.91,13.28,0.84,1.92,100
01-Jan-1961,9.55,4.31,6.02,12.88,6.86,13.46,1.92,2.28,100
01-Feb-1961,9.36,4.4,5.56,12.98,7.42,13.55,1.88,1.68,100
01-Mar-1961,10,3.28,7.12,13.03,5.91,13.6,5.35,2.4,-100
01-Apr-1961,10.33,3.07,7.94,12.99,5.05,13.56,5.77,2.04,-100
01-May-1961,10.13,3.02,7.56,13.05,5.49,13.62,6,2.16,-100
01-Jun-1961,12.19,6.41,7.82,13.34,5.52,26.23,5.77,2.4,-100
01-Jul-1961,10.14,2.96,7.75,12.98,5.23,13.55,5.88,2.16,-100
01-Aug-1961,8.97,4.08,5.55,13.05,7.5,13.61,3.34,1.68,-100
01-Sep-1961,9.78,3.23,6.85,12.95,6.09,13.51,5.3,2.04,-100
01-Oct-1961,9.19,3.69,5.94,13.01,7.07,13.57,4.99,2.28,-100
01-Nov-1961,10.05,3.53,6.32,13.11,6.8,13.68,5.29,1.8,-100
01-Dec-1961,8.38,4.15,5.7,12.81,7.11,13.63,2.92,2.28,-100
01-Jan-1962,7.07,4.95,2.38,12.1,9.72,13.47,-0.25,2.88,-100
01-Feb-1962,7.66,5.29,2.23,12.79,10.56,13.5,-0.29,2.4,-100
01-Mar-1962,7.31,5.05,2.12,12.13,10.01,13.43,-0.22,2.4,-100
01-Apr-1962,9.5,10.26,2.76,12.64,9.87,38.36,-0.26,2.64,-100
01-May-1962,9.43,9.05,2.54,12.33,9.79,33.49,-0.32,2.88,-100
01-Jun-1962,6.74,5.54,0.78,12.02,11.23,13.86,-0.39,2.4,-100
01-Jul-1962,6.04,5.13,0.76,11.33,10.57,12.72,-0.39,3.24,-100
01-Aug-1962,5.74,5.16,0.67,11.33,10.66,12.76,-0.33,2.76,-100
01-Sep-1962,5.81,5.12,0.74,11.28,10.54,12.57,-0.26,2.52,-100
01-Oct-1962,5.67,5.23,0.71,11.25,10.54,12.55,-0.2,3,-100
01-Nov-1962,6.67,5.53,0.55,12.19,11.64,12.88,-0.21,2.4,-100
01-Dec-1962,7.27,5.72,3.56,12.11,8.55,18.83,-0.09,2.76,-100
01-Jan-1963,7.53,5.74,2.18,12.47,10.28,16.67,0.01,3,-100
01-Feb-1963,6.24,5.07,1.91,11.42,9.51,12.9,-0.02,2.76,-100
01-Mar-1963,7.17,4.94,2.29,11.64,9.36,12.97,0.02,2.76,-100
01-Apr-1963,7.24,4.92,2.41,11.57,9.15,13.09,0.11,3,-100
01-May-1963,5.81,5.56,0.78,11.47,10.69,13.12,-1.16,2.88,-100
01-Jun-1963,4.78,8.81,2.06,11.32,9.25,13.02,-19.46,2.76,-100
01-Jul-1963,4.68,6.66,1.16,11.12,9.95,12.97,-9.97,3.24,-100
01-Aug-1963,5.26,6.03,1.05,11.22,10.17,13.12,-6.19,3,-100
01-Sep-1963,5.74,5.33,1.09,11.2,10.11,13.03,-1.77,3.24,-100
01-Oct-1963,5.83,5.24,1.19,11.19,10,13.07,-1.12,3.48,-100
01-Nov-1963,5.43,5.93,1.03,11.12,10.08,13.02,-5.63,3.24,-100
01-Dec-1963,5.63,5.13,1.24,10.16,8.92,13.05,-1.67,3.48,-100
01-Jan-1964,6.92,5.01,1.38,11.57,10.19,13.07,0,3.6,-100
01-Feb-1964,6.27,5.76,0.83,11.45,10.62,13.1,-3.08,3.12,-100
01-Mar-1964,6.63,5.23,1.29,11.34,10.05,13.13,0,3.72,-100
01-Apr-1964,7.14,4.9,1.55,11.44,9.9,13.11,0.5,3.48,-100
01-May-1964,7.43,4.9,2.08,11.35,9.28,13.13,0.58,3.12,-100
01-Jun-1964,9.76,8.25,4.01,12.49,8.48,32.38,0.69,3.6,-100
01-Jul-1964,7.48,4.76,3.14,11.2,8.06,13.16,0.75,3.6,-100
01-Aug-1964,7.9,4.68,3.95,11.4,7.45,13.1,0.67,3.36,-100
01-Sep-1964,8,4.71,4.24,11.36,7.12,13.17,0.59,3.36,-100
01-Oct-1964,7.59,4.67,4.19,11.44,7.25,13.16,0.63,3.48,-100
01-Nov-1964,7.38,4.7,3.48,11.42,7.94,13.13,0.63,3.48,-100
01-Dec-1964,7,4.52,3.31,10.81,7.5,13.1,0.54,3.72,-100
01-Jan-1965,7.1,4.94,1.49,11.55,10.06,13.19,0.43,3.36,-100
01-Feb-1965,7.23,4.82,2.91,11.85,8.93,13.18,0.36,3.6,-100
01-Mar-1965,7.49,4.71,3.96,11.9,7.94,13.12,0.31,4.32,-100
01-Apr-1965,7.66,4.76,4.01,12.02,8.01,13.19,0.25,3.72,-100
01-May-1965,7.33,4.81,3.9,12.07,8.17,13.14,0.2,3.72,-100
01-Jun-1965,7.52,4.74,4.05,12.05,8,12.94,0.28,4.2,-100
01-Jul-1965,7.89,4.91,3.98,12,8.02,12.98,0.13,3.72,-100
01-Aug-1965,7.65,4.77,4.27,12.16,7.9,13.06,0.14,3.96,-100
01-Sep-1965,7.23,4.9,3.22,12.1,8.87,13.12,0.02,3.72,-100
01-Oct-1965,8.28,5.75,5.02,12.42,7.4,19.89,-0.1,3.72,-100
01-Nov-1965,7.46,4.69,5.29,12.07,6.78,13.16,-0.17,4.2,-100
01-Dec-1965,6.9,4.58,3.32,11.3,7.98,13.16,-0.25,3.96,-100
01-Jan-1966,5.98,7.03,0.59,12.04,11.44,13.16,-12.16,4.56,-100
01-Feb-1966,7.09,4.83,5.33,12.05,6.71,13.1,-0.74,4.2,-100
01-Mar-1966,7.43,4.7,5.25,12.05,6.79,13.01,-0.41,4.56,-100
01-Apr-1966,7.18,4.78,5.25,12.05,6.79,13.05,-0.52,4.08,-100
01-May-1966,7.67,4.71,5.38,12.05,6.67,12.88,-0.58,4.92,-100
01-Jun-1966,7.82,4.78,5.38,12.05,6.66,12.83,-0.5,4.56,-100
01-Jul-1966,5.75,6.66,0.65,11.98,11.33,12.76,-10.19,4.2,-100
01-Aug-1966,6.64,7.25,0.29,12.07,11.78,15.17,-11.07,4.92,-100
01-Sep-1966,6.54,5.26,0.5,11.69,11.19,12.47,-2.01,4.8,-100
01-Oct-1966,7.67,4.91,4.43,12.07,7.64,12.56,-0.76,5.4,-100
01-Nov-1966,7.55,4.99,3.75,11.84,8.09,12.6,-0.94,4.8,-100
01-Dec-1966,7.44,4.59,3.68,11.88,8.2,12.59,-0.42,4.8,-100
01-Jan-1967,7.65,4.58,5.49,12.05,6.56,12.79,-0.36,5.16,-100
01-Feb-1967,7.69,4.69,4.87,12.02,7.16,12.77,-0.5,4.32,-100
01-Mar-1967,7.52,4.54,3.7,12.08,8.38,12.86,-0.08,4.68,-100
01-Apr-1967,6.65,5.52,1.05,12.09,11.04,12.94,-3.43,3.84,-100
01-May-1967,7.22,4.81,3.43,12.09,8.66,12.81,-0.23,3.96,-100
01-Jun-1967,6.51,5.91,1.08,12.1,11.02,13.33,-5.27,3.24,-100
01-Jul-1967,6.31,5.86,1.2,12.03,10.83,12.94,-6.16,3.72,-100
01-Aug-1967,5.75,5.6,1.52,10.2,8.68,12.89,-6.29,3.72,-100
01-Sep-1967,4.66,7.12,1.26,9.9,8.65,12.94,-14.03,3.84,-100
01-Oct-1967,4.42,7.53,0.8,9.8,9,12.84,-15.81,4.68,-100
01-Nov-1967,4.15,8.45,0.47,9.76,9.28,12.83,-19.77,4.32,-100
01-Dec-1967,5.05,5.91,1.51,9.12,7.61,12.88,-9.42,3.96,-100
01-Jan-1968,5,6.81,1.03,9.85,8.81,12.73,-12.48,4.8,-100
01-Feb-1968,6.07,5.67,0.75,11.84,11.09,12.61,-4.81,4.68,-100
01-Mar-1968,6.84,4.86,3.31,11.83,8.52,12.6,-1.1,4.56,-100
01-Apr-1968,6.93,4.85,4.7,12.06,7.35,12.83,-1.13,5.16,-100
01-May-1968,7.32,5.08,5.29,12.09,6.8,12.86,-1.3,5.4,-100
01-Jun-1968,7.31,4.89,5.24,12.09,6.85,12.86,-1,5.16,-100
01-Jul-1968,7.17,4.77,5.82,11.99,6.18,12.77,-0.8,5.76,-100
01-Aug-1968,7.39,4.82,5.96,12,6.04,12.78,-0.88,5.04,-100
01-Sep-1968,7.52,5.03,5.73,12.11,6.38,12.88,-0.99,5.16,-100
01-Oct-1968,7.99,5.46,5.45,12.88,7.43,13.59,-1.08,5.28,-100
01-Nov-1968,7.29,5.11,5.01,11.76,6.75,13.01,-1.08,5.04,-100
01-Dec-1968,6.17,5.11,3,11.37,8.37,12.89,-1.56,5.16,-100
01-Jan-1969,6.71,5.08,3.56,11.82,8.26,12.84,-1.54,6.36,-100
01-Feb-1969,6.37,4.8,3.95,10.14,6.18,12.66,-1.36,5.52,-100
01-Mar-1969,5.4,5.55,-0.23,9.79,10.02,12.72,-4.86,5.52,-100
