date,all,hist_mean,ddm,cross_section,time_series,surveys,RF,recession
01-Jan-1960,-4.77,9.93,0.38,16.18,5.31,,3.1,-100
01-Feb-1960,-4.53,10,0.37,16.11,5.14,,3.21,-100
01-Mar-1960,-5.6,10.05,0.39,16.03,6.21,,3.34,-100
01-Apr-1960,-5.17,10.11,0.39,15.92,5.97,,3.33,-100
01-May-1960,-5.33,10.16,0.39,15.83,6.24,,3.38,100
01-Jun-1960,-4.69,10.19,0.38,15.74,5.81,,3.37,100
01-Jul-1960,-5.07,10.21,0.38,15.64,6.35,,3.25,100
01-Aug-1960,-4.21,10.23,0.38,15.56,5.71,,3.23,100
01-Sep-1960,-3.77,10.23,0.38,15.47,5.47,,3.07,100
01-Oct-1960,-3.7,10.2,0.37,15.37,5.62,,2.99,100
01-Nov-1960,-4.13,10.17,0.39,15.29,6.22,,2.86,100
01-Dec-1960,-3.62,10.12,0.37,15.22,5.94,,2.67,100
01-Jan-1961,-3.08,10.07,0.39,15.22,5.5,,2.53,100
01-Feb-1961,-3.03,10.01,0.37,15.23,5.5,,2.38,100
01-Mar-1961,-3.35,9.95,0.38,15.28,5.77,,2.22,-100
01-Apr-1961,-3.28,9.88,0.38,15.34,5.68,,2.2,-100
01-May-1961,-3.43,9.81,0.4,15.4,5.79,,2.11,-100
01-Jun-1961,-3.48,9.74,0.39,15.43,5.87,,2.07,-100
01-Jul-1961,-3.05,9.68,0.37,15.47,5.45,,2.12,-100
01-Aug-1961,-2.64,9.6,0.36,15.52,5.11,,2.09,-100
01-Sep-1961,-2.72,9.52,0.38,15.58,5.14,,2.1,-100
01-Oct-1961,-2.92,9.45,0.37,15.66,5.26,,2.07,-100
01-Nov-1961,-2.7,9.38,0.36,15.75,4.98,,2.09,-100
01-Dec-1961,-0.76,9.32,-0.36,15.8,4.91,,2.12,-100
01-Jan-1962,0.69,9.26,0.92,15.8,4.92,,2.17,-100
01-Feb-1962,0.36,9.22,0.86,15.78,5.27,,2.23,-100
01-Mar-1962,0.28,9.21,0.84,15.75,5.37,,2.23,-100
01-Apr-1962,0.36,9.2,0.77,15.68,5.23,,2.28,-100
01-May-1962,-0.47,9.19,0.72,15.56,6.39,,2.34,-100
01-Jun-1962,0.58,9.2,0.7,15.43,5.23,,2.34,-100
01-Jul-1962,1,9.2,0.69,15.3,4.92,,2.44,-100
01-Aug-1962,0.85,9.21,0.66,15.17,5.24,,2.53,-100
01-Sep-1962,1.16,9.22,0.7,15.04,5.15,,2.57,-100
01-Oct-1962,0.97,9.26,0.69,14.89,5.58,,2.63,-100
01-Nov-1962,1.15,9.29,0.63,14.77,5.38,,2.68,-100
01-Dec-1962,2.7,9.34,0.54,14.66,5.22,,2.72,-100
01-Jan-1963,1.48,9.39,0.75,14.57,5.45,,2.73,-100
01-Feb-1963,1.79,9.41,0.71,14.47,5.16,,2.76,-100
01-Mar-1963,2.08,9.43,0.73,14.39,4.94,,2.8,-100
01-Apr-1963,2.03,9.45,0.82,14.36,5.22,,2.83,-100
01-May-1963,2.19,9.45,0.99,14.38,5.31,,2.83,-100
01-Jun-1963,2.93,9.42,1.28,14.44,4.83,,2.86,-100
01-Jul-1963,3,9.37,1.24,14.47,4.68,,2.86,-100
01-Aug-1963,3.03,9.33,1.18,14.52,4.5,,2.88,-100
01-Sep-1963,3.12,9.3,1.19,14.58,4.36,,2.94,-100
01-Oct-1963,2.48,9.26,1.26,14.66,5.19,,2.98,-100
01-Nov-1963,2.88,9.22,1.15,14.67,4.51,,3.05,-100
01-Dec-1963,3.65,9.19,0.67,14.69,4.1,,3.11,-100
01-Jan-1964,2.84,9.17,0.98,14.69,4.26,,3.16,-100
01-Feb-1964,3.84,9.15,0.95,14.72,3.71,,3.2,-100
01-Mar-1964,3.76,9.13,0.95,14.74,3.78,,3.28,-100
01-Apr-1964,4.03,9.11,0.87,14.73,3.41,,3.32,-100
01-May-1964,3.04,9.11,0.87,14.73,4.41,,3.34,-100
01-Jun-1964,2.91,9.13,0.91,14.74,4.5,,3.41,-100
01-Jul-1964,1.76,9.18,0.95,14.76,5.53,,3.44,-100
01-Aug-1964,1.09,9.23,0.9,14.76,6.1,,3.47,-100
01-Sep-1964,0.77,9.25,0.87,14.77,6.34,,3.48,-100
01-Oct-1964,0.59,9.28,0.89,14.78,6.5,,3.48,-100
01-Nov-1964,0.25,9.3,0.9,14.79,6.77,,3.51,-100
01-Dec-1964,1.75,9.3,0.52,14.24,6.91,,3.53,-100
01-Jan-1965,1.13,9.28,0.8,14.25,6.43,,3.51,-100
01-Feb-1965,1.04,9.26,0.78,14.26,6.5,,3.55,-100
01-Mar-1965,1.1,9.24,0.76,14.26,6.44,,3.6,-100
01-Apr-1965,1.09,9.23,0.74,14.27,6.41,,3.62,-100
01-May-1965,0.14,9.21,0.72,14.26,7.48,,3.67,-100
01-Jun-1965,1.26,9.19,0.77,14.23,6.37,,3.72,-100
01-Jul-1965,1.03,9.17,0.71,14.2,6.59,,3.73,-100
01-Aug-1965,1.05,9.16,0.73,14.18,6.62,,3.78,-100
01-Sep-1965,1.25,9.15,0.68,14.17,6.35,,3.82,-100
01-Oct-1965,1.29,9.15,0.63,14.16,6.26,,3.84,-100
01-Nov-1965,1.12,9.16,0.59,14.16,6.4,,3.9,-100
01-Dec-1965,2.19,9.17,0.36,14.16,6.11,,3.92,-100
01-Jan-1966,1.27,9.17,0.5,14.15,6.09,,4.02,-100
01-Feb-1966,1.04,9.18,0.34,14.13,6.14,,4.07,-100
01-Mar-1966,1.25,9.19,0.51,14.11,6.17,,4.09,-100
01-Apr-1966,1.44,9.2,0.47,14.08,5.93,,4.13,-100
01-May-1966,1.48,9.21,0.46,14.04,5.92,,4.23,-100
01-Jun-1966,1.4,9.23,0.5,14.01,6.11,,4.26,-100
01-Jul-1966,1.68,9.23,0.48,13.97,5.85,,4.3,-100
01-Aug-1966,1.8,9.23,0.31,13.89,5.6,,4.39,-100
01-Sep-1966,2.09,9.23,0.42,13.8,5.54,,4.48,-100
01-Oct-1966,2.23,9.24,0.42,13.71,5.55,,4.63,-100
01-Nov-1966,2.17,9.24,0.35,13.64,5.75,,4.68,-100
01-Dec-1966,3.53,9.25,0.58,13.55,5.87,,4.75,-100
01-Jan-1967,2.81,9.26,0.68,13.49,5.8,,4.8,-100
01-Feb-1967,2.83,9.26,0.62,13.43,5.76,,4.81,-100
01-Mar-1967,3.35,9.24,0.85,13.4,5.5,,4.82,-100
01-Apr-1967,3.15,9.21,0.67,13.36,5.54,,4.8,-100
01-May-1967,3.54,9.18,0.8,13.33,5.35,,4.72,-100
01-Jun-1967,3.78,9.13,0.63,13.32,4.81,,4.6,-100
01-Jul-1967,3.44,9.1,0.68,13.33,5.04,,4.56,-100
01-Aug-1967,4.06,9.07,0.8,13.38,4.56,,4.46,-100
01-Sep-1967,4.45,9.01,0.89,13.45,3.98,,4.38,-100
01-Oct-1967,4.47,8.94,0.76,13.48,3.9,,4.31,-100
01-Nov-1967,4.34,8.86,0.58,13.51,3.64,,4.27,-100
01-Dec-1967,4.57,8.79,0.32,13.56,3.3,,4.2,-100
01-Jan-1968,4.85,8.72,0.56,13.55,3.02,,4.17,-100
01-Feb-1968,5.06,8.66,0.45,13.53,2.58,,4.2,-100
01-Mar-1968,4.89,8.62,0.28,13.5,2.53,,4.19,-100
01-Apr-1968,4.81,8.6,0.24,13.51,2.78,,4.3,-100
01-May-1968,4.46,8.59,0.13,13.54,3.07,,4.43,-100
01-Jun-1968,4.48,8.6,0.26,13.57,3.25,,4.59,-100
01-Jul-1968,4.46,8.62,0.34,13.56,3.43,,4.77,-100
01-Aug-1968,4.39,8.64,0.29,13.55,3.52,,4.89,-100
01-Sep-1968,4.05,8.68,0.22,13.55,3.87,,5,-100
01-Oct-1968,3.68,8.74,0.16,13.57,4.21,,5.05,-100
01-Nov-1968,3.24,8.8,0.16,13.62,4.62,,5.12,-100
01-Dec-1968,2.93,8.83,-0.17,13.63,4.88,,5.22,-100
01-Jan-1969,2.71,8.87,-0.08,13.66,5.11,,5.36,-100
01-Feb-1969,2.57,8.89,0,13.68,5.38,,5.43,-100
01-Mar-1969,2.71,8.9,0.04,13.7,5.25,,5.51,-100
01-Apr-1969,2.49,8.89,-0.06,13.7,5.2,,5.62,-100
01-May-1969,2.4,8.89,-0.28,13.68,5.04,,5.65,-100
01-Jun-1969,2.38,8.87,-0.4,13.63,5.01,,5.74,-100
01-Jul-1969,2.48,8.84,-0.35,13.58,5.11,,5.79,-100
01-Aug-1969,2.47,8.82,-0.37,13.54,5.21,,5.87,-100
01-Sep-1969,1.9,8.78,-0.77,13.48,5.36,,6.07,-100
01-Oct-1969,2.24,8.74,-0.52,13.42,5.44,,6.24,-100
01-Nov-1969,2.12,8.71,-0.72,13.35,5.51,,6.35,-100
01-Dec-1969,3.03,8.69,-0.34,13.27,5.62,,6.57,-100
01-Jan-1970,2.1,8.68,-0.85,13.18,5.79,,6.64,100
01-Feb-1970,2.84,8.65,-0.4,13.1,5.65,,6.81,100
01-Mar-1970,2.64,8.64,-0.43,13.02,5.85,,6.93,100
01-Apr-1970,2.38,8.62,-0.84,12.9,5.81,,6.9,100
01-May-1970,2.53,8.6,-0.97,12.76,5.76,,6.95,100
01-Jun-1970,3.71,8.57,-0.7,12.62,5.23,,7.03,100
