date,XS_Mean,XS_Std_dev,perc_25,perc_75,IQR,Max,Min,RF,recession
01-Mar-1966,6.94,5.81,1.04,12.87,11.83,13.52,-0.49,4.46,-100
01-Apr-1966,6.4,7.09,0.91,12.85,11.95,14.94,-8.7,4.3,-100
01-May-1966,6.36,6.43,1.16,12.78,11.62,13.4,-6.43,4.54,-100
01-Jun-1966,6.73,5.57,1.05,12.72,11.67,13.6,-0.33,4.54,-100
01-Jul-1966,5.07,8.56,0.99,10.93,9.94,13.24,-19.01,4.58,-100
01-Aug-1966,4.79,9.13,0.94,11.67,10.73,13.12,-21.58,4.58,-100
01-Sep-1966,4.21,11.19,1.41,12.39,10.99,13,-30.63,4.66,-100
01-Oct-1966,2.6,13.71,1.47,10.51,9.04,12.93,-42.16,5.06,-100
01-Nov-1966,2.42,15.26,1.09,11,9.91,12.96,-47.7,5.02,-100
01-Dec-1966,3.32,12.19,1.83,10.88,9.05,13,-39.01,5.02,-100
01-Jan-1967,4.87,8.69,2.05,12.42,10.37,13.08,-20.27,4.94,-100
01-Feb-1967,5.31,7.04,1.59,10.45,8.85,13.13,-13.14,4.78,-100
01-Mar-1967,5.83,6.17,1.35,11.58,10.23,13.22,-7.33,4.74,-100
01-Apr-1967,6.46,5.54,1.21,12.7,11.49,13.27,-1.18,4.3,-100
01-May-1967,6.94,5.46,1.03,12.71,11.68,14.05,-0.25,4.17,-100
01-Jun-1967,7.2,5.46,0.65,12.68,12.02,13.27,-0.58,3.69,-100
01-Jul-1967,7.36,5.58,0.57,12.71,12.14,13.88,-0.57,3.65,-100
01-Aug-1967,7.16,5.45,0.36,11.73,11.37,13.3,-0.73,3.57,-100
01-Sep-1967,7.12,5.48,0.23,12.18,11.95,13.34,-0.81,3.77,-100
01-Oct-1967,7.11,5.55,0,11.56,11.56,13.3,-1.11,4.09,-100
01-Nov-1967,7.23,5.65,0,12.68,12.68,13.27,-1.04,4.3,-100
01-Dec-1967,6.42,5.28,1.6,11.31,9.71,13.25,-1.1,4.34,-100
01-Jan-1968,6.77,5.36,0.07,11.16,11.09,13.21,-0.89,4.38,-100
01-Feb-1968,6.34,5.08,0.35,10.51,10.16,13.14,-0.66,4.5,-100
01-Mar-1968,6.22,5.04,0.3,10.47,10.17,13.05,-0.74,4.7,-100
01-Apr-1968,5.77,5.47,0,10.66,10.66,13.08,-1.04,4.82,-100
01-May-1968,5.48,5.39,0,10.38,10.38,13.17,-1.24,5.06,-100
01-Jun-1968,6.1,5.18,0.46,10.42,9.95,13.26,-1.1,5.26,-100
01-Jul-1968,6.57,5.11,1.66,11.85,10.2,13.24,-0.79,5.46,-100
01-Aug-1968,6.61,5.28,0.29,11.74,11.45,13.22,-0.69,5.34,-100
01-Sep-1968,6.56,5.32,0.07,11.03,10.97,13.23,-0.88,5.34,-100
01-Oct-1968,6.44,5.38,0,10.67,10.67,13.26,-1.07,5.18,-100
01-Nov-1968,6.45,5.56,0,12.2,12.2,13.34,-1.27,5.18,-100
01-Dec-1968,6.03,5.71,1.5,11.61,10.11,15.83,-1.67,5.18,-100
01-Jan-1969,6.6,6.13,0,12.71,12.71,16.96,-1.47,5.55,-100
01-Feb-1969,6.29,5.84,0,12.6,12.6,14.58,-1.47,5.71,-100
01-Mar-1969,5.77,5.34,0,10.42,10.42,13.16,-1.35,5.83,-100
01-Apr-1969,5.1,5.31,0,10.34,10.34,13.12,-1.3,5.83,-100
01-May-1969,4.91,5.51,0,10.31,10.31,13.14,-1.79,5.91,-100
01-Jun-1969,4.62,5.41,0,10.31,10.31,13.07,-1.69,6.11,-100
01-Jul-1969,4.7,5.22,1.06,10.28,9.22,12.94,-1.5,6.11,-100
01-Aug-1969,4.16,5.63,-0.61,10.21,10.82,12.84,-3.6,6.19,-100
01-Sep-1969,3.05,6.73,-1.3,10.1,11.4,12.78,-10.46,6.64,-100
01-Oct-1969,3.19,6.92,-0.77,10.04,10.82,12.83,-12.3,6.92,-100
01-Nov-1969,3.55,6.72,-1.21,10.02,11.23,12.8,-10.63,7,-100
01-Dec-1969,3.36,6.05,-0.44,7.29,7.73,12.78,-8.58,7.08,-100
01-Jan-1970,3.15,6.74,-1.35,9.96,11.31,12.64,-10.64,7.08,100
01-Feb-1970,3.12,6.73,-0.33,9.89,10.22,12.57,-11.36,7.49,100
01-Mar-1970,2.45,7.61,-1.03,9.79,10.82,12.52,-14.35,7.2,100
01-Apr-1970,3.14,7.58,-1.27,9.75,11.02,12.45,-15.16,6.8,100
01-May-1970,3.59,7.45,-0.8,9.69,10.48,12.28,-14.5,6.43,100
01-Jun-1970,3.55,7.24,-0.43,9.56,10,12.08,-12.83,6.47,100
01-Jul-1970,2.99,7.94,-2.27,9.75,12.02,12.01,-15.41,6.56,100
01-Aug-1970,3.45,7.94,-0.47,10.03,10.5,12.05,-15.74,6.56,100
01-Sep-1970,4.59,7.96,-0.73,11.66,12.4,13.25,-13.12,6.39,100
01-Oct-1970,4.43,7.31,-0.98,11.7,12.68,13.69,-9.41,6.15,100
01-Nov-1970,4.78,7.05,-0.22,11.75,11.97,13.91,-8.19,5.87,100
01-Dec-1970,4.96,6.37,-0.46,11.52,11.98,13.15,-5.92,5.38,-100
01-Jan-1971,5.02,6.53,-0.6,11.93,12.54,12.46,-5.05,5.06,-100
01-Feb-1971,4.84,6.52,-0.83,12.02,12.85,12.83,-3.04,4.54,-100
01-Mar-1971,5.65,6.11,-0.32,12.09,12.41,13.84,-1.46,4.05,-100
01-Apr-1971,5.7,5.97,-0.02,12.15,12.17,13.77,-2.06,3.65,-100
01-May-1971,5.76,5.76,0.47,12.17,11.7,12.94,-2.33,3.49,-100
01-Jun-1971,5.62,5.47,1.64,11.39,9.75,12.67,-2.59,3.77,-100
01-Jul-1971,5.36,5.29,1.87,9.95,8.07,12.59,-2.71,4.25,-100
01-Aug-1971,4.7,5.67,-0.23,9.73,9.96,12.57,-4.29,4.98,-100
01-Sep-1971,5.46,5.01,1.62,9.68,8.06,12.55,-1.8,4.98,-100
01-Oct-1971,5.23,5.33,0.22,10.15,9.93,12.53,-1.56,4.86,-100
01-Nov-1971,4.33,7.59,0.46,11.07,10.6,12.47,-15.54,4.46,-100
01-Dec-1971,5.12,5.13,0.07,10.72,10.65,12.48,-1.49,4.46,-100
01-Jan-1972,5.13,5.85,-0.3,12.03,12.33,12.92,-2.42,4.13,-100
01-Feb-1972,8.39,8.48,0.68,12.65,11.97,23.73,-1.69,3.65,-100
01-Mar-1972,12.82,17.61,2.89,12.68,9.78,52.43,-1.77,3.25,-100
01-Apr-1972,11.42,14.19,2.77,12.69,9.92,42.52,-1.76,3.25,-100
01-May-1972,10.79,12.73,2.28,12.43,10.16,38.25,-1.59,3.45,-100
01-Jun-1972,9.17,9.23,2.08,12.4,10.33,27.19,-1.65,3.53,-100
01-Jul-1972,7.56,6.37,1.78,12.36,10.58,16.49,-1.55,3.61,-100
01-Aug-1972,7.28,6.44,1.62,12.34,10.71,16.17,-1.89,3.57,-100
01-Sep-1972,7.22,6.36,1.79,12.33,10.54,16.07,-1.92,3.77,-100
01-Oct-1972,6.96,6.04,1.76,12.33,10.57,14.82,-1.73,4.13,-100
01-Nov-1972,6.68,5.72,1.83,12.35,10.52,13.23,-1.66,4.46,-100
01-Dec-1972,6.21,5.66,1.86,12.23,10.37,13.97,-1.77,4.58,-100
01-Jan-1973,6.93,6.19,1.81,12.38,10.56,15.54,-1.85,4.74,-100
01-Feb-1973,7.49,6.86,1.92,12.29,10.37,18.76,-1.78,4.9,-100
01-Mar-1973,6.75,5.88,1.42,12.19,10.78,14.38,-1.74,5.26,-100
01-Apr-1973,5.88,5.03,1.18,9.65,8.48,12.34,-1.57,5.59,-100
01-May-1973,4.05,5.33,-0.8,9.58,10.38,12.24,-1.62,5.99,-100
01-Jun-1973,1.92,8.47,-0.61,9.52,10.13,12.15,-14.65,6.19,-100
01-Jul-1973,0.45,10.73,-1.14,9.45,10.58,12.13,-21.93,6.68,-100
01-Aug-1973,-0.78,13.17,-1.41,9.4,10.81,12.12,-29.43,7.45,-100
01-Sep-1973,0.29,10.89,-1.1,9.35,10.45,12.16,-22.3,8.13,-100
01-Oct-1973,2.02,8.67,-0.43,9.33,9.75,12.15,-22.05,8.18,-100
01-Nov-1973,2.41,8.13,-0.25,9.33,9.58,12.06,-19.81,7.61,-100
01-Dec-1973,1.33,9.81,0.09,7.36,7.27,11.95,-21.16,7.45,100
01-Jan-1974,-0.05,12.17,-0.44,9.2,9.64,11.84,-26.41,7.36,100
01-Feb-1974,0.98,9.86,-0.28,9.09,9.37,11.83,-19.35,7.45,100
01-Mar-1974,0.75,10.07,-0.78,9.01,9.79,11.79,-19.99,7.12,100
01-Apr-1974,0.82,10.11,-0.67,9,9.68,11.7,-20.24,7.61,100
01-May-1974,1.24,9.17,-0.26,8.96,9.22,11.58,-17.35,8.3,100
01-Jun-1974,2.4,6.87,-0.27,8.9,9.18,11.46,-9.49,8.46,100
01-Jul-1974,1.98,8.04,0,8.83,8.83,11.34,-13.7,8.26,100
01-Aug-1974,0.18,12.21,0,8.7,8.7,11.19,-26.6,7.65,100
